# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.400000000000000E+009;-1.232490955969166E+000;
1.400400400400400E+009;-1.234993563472995E+000;
1.400800800800801E+009;-1.235412670561566E+000;
1.401201201201201E+009;-1.231118276930129E+000;
1.401601601601602E+009;-1.234547808527071E+000;
1.402002002002002E+009;-1.222577098104364E+000;
1.402402402402402E+009;-1.234401276207920E+000;
1.402802802802803E+009;-1.230695937127589E+000;
1.403203203203203E+009;-1.235728594727133E+000;
1.403603603603604E+009;-1.233127864332429E+000;
1.404004004004004E+009;-1.225573752640697E+000;
1.404404404404404E+009;-1.238530748783817E+000;
1.404804804804805E+009;-1.238281648932390E+000;
1.405205205205205E+009;-1.234806578028298E+000;
1.405605605605606E+009;-1.233043678953790E+000;
1.406006006006006E+009;-1.235248073824980E+000;
1.406406406406406E+009;-1.227917887603134E+000;
1.406806806806807E+009;-1.240140178239011E+000;
1.407207207207207E+009;-1.225030700726124E+000;
1.407607607607608E+009;-1.235286105593826E+000;
1.408008008008008E+009;-1.226321082415870E+000;
1.408408408408408E+009;-1.228429582302087E+000;
1.408808808808809E+009;-1.233858467425811E+000;
1.409209209209209E+009;-1.224671936889827E+000;
1.409609609609610E+009;-1.228623048055027E+000;
1.410010010010010E+009;-1.219355813432558E+000;
1.410410410410410E+009;-1.226281050973086E+000;
1.410810810810811E+009;-1.230446735957363E+000;
1.411211211211211E+009;-1.249032393860879E+000;
1.411611611611612E+009;-1.229166256004600E+000;
1.412012012012012E+009;-1.232851129559346E+000;
1.412412412412412E+009;-1.227909362286345E+000;
1.412812812812813E+009;-1.234810795584397E+000;
1.413213213213213E+009;-1.222726261129865E+000;
1.413613613613614E+009;-1.236643093248272E+000;
1.414014014014014E+009;-1.224410942917749E+000;
1.414414414414414E+009;-1.237558844462007E+000;
1.414814814814815E+009;-1.240935874641074E+000;
1.415215215215215E+009;-1.223790636153855E+000;
1.415615615615616E+009;-1.240895211877756E+000;
1.416016016016016E+009;-1.229508121393609E+000;
1.416416416416416E+009;-1.228430019384034E+000;
1.416816816816817E+009;-1.224334140325117E+000;
1.417217217217217E+009;-1.227054029396456E+000;
1.417617617617618E+009;-1.238083514015673E+000;
1.418018018018018E+009;-1.232648594961367E+000;
1.418418418418418E+009;-1.232503530202800E+000;
1.418818818818819E+009;-1.226421451581705E+000;
1.419219219219219E+009;-1.234335385411742E+000;
1.419619619619620E+009;-1.240004707761337E+000;
1.420020020020020E+009;-1.227187216549710E+000;
1.420420420420420E+009;-1.241636215683297E+000;
1.420820820820821E+009;-1.233213402837546E+000;
1.421221221221221E+009;-1.240390381967933E+000;
1.421621621621622E+009;-1.224701519586665E+000;
1.422022022022022E+009;-1.237463415771276E+000;
1.422422422422422E+009;-1.232669416446032E+000;
1.422822822822823E+009;-1.225562655687539E+000;
1.423223223223223E+009;-1.239922793658682E+000;
1.423623623623624E+009;-1.236165487483381E+000;
1.424024024024024E+009;-1.232583852207303E+000;
1.424424424424424E+009;-1.231321094569508E+000;
1.424824824824825E+009;-1.228749721157974E+000;
1.425225225225225E+009;-1.228808474944120E+000;
1.425625625625626E+009;-1.228881270757906E+000;
1.426026026026026E+009;-1.223998470934326E+000;
1.426426426426426E+009;-1.241369730225165E+000;
1.426826826826827E+009;-1.233920281679035E+000;
1.427227227227227E+009;-1.236502816449313E+000;
1.427627627627628E+009;-1.229718238938056E+000;
1.428028028028028E+009;-1.232267037368230E+000;
1.428428428428428E+009;-1.225181312245318E+000;
1.428828828828829E+009;-1.235988903585653E+000;
1.429229229229229E+009;-1.237592908823882E+000;
1.429629629629630E+009;-1.238725085081558E+000;
1.430030030030030E+009;-1.234312555498627E+000;
1.430430430430430E+009;-1.232272297787186E+000;
1.430830830830831E+009;-1.241987794019157E+000;
1.431231231231231E+009;-1.236897079103897E+000;
1.431631631631632E+009;-1.219517197645072E+000;
1.432032032032032E+009;-1.237014223808137E+000;
1.432432432432432E+009;-1.234529245829874E+000;
1.432832832832833E+009;-1.232161857034869E+000;
1.433233233233233E+009;-1.236779625524334E+000;
1.433633633633634E+009;-1.235263475693097E+000;
1.434034034034034E+009;-1.226123772399493E+000;
1.434434434434434E+009;-1.231392538388384E+000;
1.434834834834835E+009;-1.231852956523102E+000;
1.435235235235235E+009;-1.225635993057969E+000;
1.435635635635636E+009;-1.239125736048968E+000;
1.436036036036036E+009;-1.228891762818744E+000;
1.436436436436436E+009;-1.229978960424866E+000;
1.436836836836837E+009;-1.238041338988456E+000;
1.437237237237237E+009;-1.229037108260769E+000;
1.437637637637638E+009;-1.233865487625623E+000;
1.438038038038038E+009;-1.242058976356183E+000;
1.438438438438438E+009;-1.238310781638374E+000;
1.438838838838839E+009;-1.224607368949117E+000;
1.439239239239239E+009;-1.228859949332606E+000;
1.439639639639640E+009;-1.242858170815478E+000;
1.440040040040040E+009;-1.243700806512793E+000;
1.440440440440440E+009;-1.227176950013234E+000;
1.440840840840841E+009;-1.231720141960655E+000;
1.441241241241241E+009;-1.229749730760337E+000;
1.441641641641642E+009;-1.236522357427904E+000;
1.442042042042042E+009;-1.226991186302208E+000;
1.442442442442442E+009;-1.232405913921896E+000;
1.442842842842843E+009;-1.230822052348851E+000;
1.443243243243243E+009;-1.238796818371436E+000;
1.443643643643644E+009;-1.236608554738951E+000;
1.444044044044044E+009;-1.228222127978857E+000;
1.444444444444444E+009;-1.229900187663893E+000;
1.444844844844845E+009;-1.222623164206326E+000;
1.445245245245245E+009;-1.222712223866636E+000;
1.445645645645646E+009;-1.234782293339421E+000;
1.446046046046046E+009;-1.235382630510428E+000;
1.446446446446446E+009;-1.224461767022983E+000;
