# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.400000000000000E+009;1.076122182933734E+001;
1.400400400400400E+009;1.031197236280638E+001;
1.400800800800801E+009;9.812825648597311E+000;
1.401201201201201E+009;9.321511866697662E+000;
1.401601601601602E+009;8.897249753527772E+000;
1.402002002002002E+009;8.513603277734180E+000;
1.402402402402402E+009;8.044908100342772E+000;
1.402802802802803E+009;7.523692270644422E+000;
1.403203203203203E+009;7.147506102640527E+000;
1.403603603603604E+009;6.658348756752930E+000;
1.404004004004004E+009;6.257201412251894E+000;
1.404404404404404E+009;5.750664470728776E+000;
1.404804804804805E+009;5.281205271259221E+000;
1.405205205205205E+009;4.848489424322989E+000;
1.405605605605606E+009;4.436513195479285E+000;
1.406006006006006E+009;3.957270984788117E+000;
1.406406406406406E+009;3.569870709192332E+000;
1.406806806806807E+009;3.142329946287954E+000;
1.407207207207207E+009;2.612858222359223E+000;
1.407607607607608E+009;2.160874630734528E+000;
1.408008008008008E+009;1.715777601460935E+000;
1.408408408408408E+009;1.206289998866591E+000;
1.408808808808809E+009;7.636835401545531E-001;
1.409209209209209E+009;3.607003704090109E-001;
1.409609609609610E+009;-1.164621818673836E-001;
1.410010010010010E+009;-5.587733597800995E-001;
1.410410410410410E+009;-9.753106823411013E-001;
1.410810810810811E+009;-1.371496040821081E+000;
1.411211211211211E+009;-1.923595691071387E+000;
1.411611611611612E+009;-2.372407891457401E+000;
1.412012012012012E+009;-2.718047700469831E+000;
1.412412412412412E+009;-3.264595916238569E+000;
1.412812812812813E+009;-3.724857556787789E+000;
1.413213213213213E+009;-4.122435496092963E+000;
1.413613613613614E+009;-4.624677004111980E+000;
1.414014014014014E+009;-5.040461958797688E+000;
1.414414414414414E+009;-5.568289521763533E+000;
1.414814814814815E+009;-5.992696275613521E+000;
1.415215215215215E+009;-6.378695308989376E+000;
1.415615615615616E+009;-6.855185171425955E+000;
1.416016016016016E+009;-7.334336309130880E+000;
1.416416416416416E+009;-7.837650520507942E+000;
1.416816816816817E+009;-8.225528111123332E+000;
1.417217217217217E+009;-8.693262269560284E+000;
1.417617617617618E+009;-9.210115627259603E+000;
1.418018018018018E+009;-9.563322185532970E+000;
1.418418418418418E+009;-1.005927900401974E+001;
1.418818818818819E+009;-1.047771886277511E+001;
1.419219219219219E+009;-1.089106555053016E+001;
1.419619619619620E+009;-1.134501039963583E+001;
1.420020020020020E+009;-1.183281442186293E+001;
1.420420420420420E+009;-1.225625509562138E+001;
1.420820820820821E+009;-1.274587950264441E+001;
1.421221221221221E+009;-1.319104131670142E+001;
1.421621621621622E+009;-1.371088036646990E+001;
1.422022022022022E+009;-1.409175667352698E+001;
1.422422422422422E+009;-1.447960921663912E+001;
1.422822822822823E+009;-1.501490445856694E+001;
1.423223223223223E+009;-1.545132387754707E+001;
1.423623623623624E+009;-1.592158391989055E+001;
1.424024024024024E+009;-1.634717724422423E+001;
1.424424424424424E+009;-1.680563594270399E+001;
1.424824824824825E+009;-1.728168857101110E+001;
1.425225225225225E+009;-1.774179888583347E+001;
1.425625625625626E+009;-1.819442044484833E+001;
1.426026026026026E+009;-1.864214018691750E+001;
1.426426426426426E+009;-1.907327703818021E+001;
1.426826826826827E+009;-1.952313707917132E+001;
1.427227227227227E+009;-2.003704764138384E+001;
1.427627627627628E+009;-2.043948971459351E+001;
1.428028028028028E+009;-2.091155833384453E+001;
1.428428428428428E+009;-2.135166742018968E+001;
1.428828828828829E+009;-2.182235691649995E+001;
1.429229229229229E+009;-2.224439841561307E+001;
1.429629629629630E+009;-2.276545248679281E+001;
1.430030030030030E+009;-2.317295805041028E+001;
1.430430430430430E+009;-2.362832708828200E+001;
1.430830830830831E+009;-2.409707475926392E+001;
1.431231231231231E+009;-2.448681202497114E+001;
1.431631631631632E+009;-2.502227410603448E+001;
1.432032032032032E+009;-2.546248564503167E+001;
1.432432432432432E+009;-2.588179076037846E+001;
1.432832832832833E+009;-2.639586287076014E+001;
1.433233233233233E+009;-2.689448488670693E+001;
1.433633633633634E+009;-2.729828849201445E+001;
1.434034034034034E+009;-2.767947904089061E+001;
1.434434434434434E+009;-2.810729241016032E+001;
1.434834834834835E+009;-2.861350158849212E+001;
1.435235235235235E+009;-2.909065231671428E+001;
1.435635635635636E+009;-2.953766767713488E+001;
1.436036036036036E+009;-2.993348013943143E+001;
1.436436436436436E+009;-3.043280649818076E+001;
1.436836836836837E+009;-3.084021638875841E+001;
1.437237237237237E+009;-3.129754373283621E+001;
1.437637637637638E+009;-3.182834396232267E+001;
1.438038038038038E+009;-3.219999002873422E+001;
1.438438438438438E+009;-3.263401778887405E+001;
1.438838838838839E+009;-3.313208314525264E+001;
1.439239239239239E+009;-3.360769418146825E+001;
1.439639639639640E+009;-3.413337499031127E+001;
1.440040040040040E+009;-3.447826480386934E+001;
1.440440440440440E+009;-3.495655210252289E+001;
1.440840840840841E+009;-3.544367440532805E+001;
1.441241241241241E+009;-3.588775322599251E+001;
1.441641641641642E+009;-3.631841147549688E+001;
1.442042042042042E+009;-3.678652494712966E+001;
1.442442442442442E+009;-3.715895487757268E+001;
1.442842842842843E+009;-3.766677806757964E+001;
1.443243243243243E+009;-3.817618720849455E+001;
1.443643643643644E+009;-3.854324248442743E+001;
1.444044044044044E+009;-3.905627548360725E+001;
1.444444444444444E+009;-3.948930664451377E+001;
1.444844844844845E+009;-3.991553932834428E+001;
1.445245245245245E+009;-4.045451325029229E+001;
1.445645645645646E+009;-4.081927158010613E+001;
1.446046046046046E+009;-4.133873090630767E+001;
1.446446446446446E+009;-4.172899096428176E+001;
1.446846846846847E+009;-4.221138936199020E+001;
1.447247247247247E+009;-4.263485460243304E+001;
1.447647647647648E+009;-4.318095296316265E+001;
1.448048048048048E+009;-4.352126348867697E+001;
1.448448448448448E+009;-4.404681489680212E+001;
1.448848848848849E+009;-4.445848045718638E+001;
1.449249249249249E+009;-4.490923228343385E+001;
1.449649649649650E+009;-4.536773669202275E+001;
1.450050050050050E+009;-4.585597677452260E+001;
1.450450450450450E+009;-4.627042620076708E+001;
1.450850850850851E+009;-4.678548400586598E+001;
1.451251251251251E+009;-4.722112182013768E+001;
1.451651651651652E+009;-4.767636900940595E+001;
1.452052052052052E+009;-4.804247436788245E+001;
1.452452452452452E+009;-4.854279696360684E+001;
1.452852852852853E+009;-4.898759359697207E+001;
1.453253253253253E+009;-4.940767533940517E+001;
1.453653653653654E+009;-4.988002998849073E+001;
1.454054054054054E+009;-5.036628787416788E+001;
1.454454454454454E+009;-5.082125058465941E+001;
1.454854854854855E+009;-5.129060334928742E+001;
1.455255255255255E+009;-5.169760829143853E+001;
1.455655655655656E+009;-5.212664021199136E+001;
1.456056056056056E+009;-5.260379068638373E+001;
