# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;5.810787267863384E-001;
1.549549549549549E+007;4.470678207681096E-001;
2.099099099099099E+007;-4.007602581786184E-001;
2.648648648648649E+007;-6.154122453732811E-001;
3.198198198198198E+007;-1.931459167304585E-001;
3.747747747747748E+007;-6.834531639920880E-001;
4.297297297297297E+007;-7.453018388720613E-001;
4.846846846846847E+007;-4.738976067269139E-001;
5.396396396396396E+007;-6.004998554215547E-001;
5.945945945945946E+007;-5.802855684556351E-001;
6.495495495495495E+007;-6.620057168919579E-001;
7.045045045045045E+007;-5.407979204228314E-001;
7.594594594594595E+007;-5.090930481386671E-001;
8.144144144144145E+007;-4.382732227423619E-001;
8.693693693693693E+007;-4.838063055741315E-001;
9.243243243243243E+007;-6.266042658399701E-001;
9.792792792792793E+007;-4.946597020629686E-001;
1.034234234234234E+008;-5.541176884564574E-001;
1.089189189189189E+008;-6.401769143529167E-001;
1.144144144144144E+008;-5.674776298979647E-001;
1.199099099099099E+008;-5.062667641465796E-001;
1.254054054054054E+008;-5.019434914647906E-001;
1.309009009009009E+008;-5.951880155967416E-001;
1.363963963963964E+008;-5.865416009639022E-001;
1.418918918918919E+008;-5.535532166182577E-001;
1.473873873873874E+008;-6.160248605756619E-001;
1.528828828828829E+008;-5.942095376533151E-001;
1.583783783783784E+008;-5.550709736352200E-001;
1.638738738738739E+008;-5.214095263659720E-001;
1.693693693693694E+008;-5.390565784236054E-001;
1.748648648648649E+008;-5.568550327563356E-001;
1.803603603603604E+008;-5.806227383223969E-001;
1.858558558558559E+008;-5.457840882592200E-001;
1.913513513513514E+008;-5.879001360421239E-001;
1.968468468468469E+008;-5.918704917349168E-001;
2.023423423423424E+008;-5.888876632313228E-001;
2.078378378378379E+008;-6.629879197609476E-001;
2.133333333333333E+008;-6.945139954475424E-001;
2.188288288288288E+008;-7.387968608992834E-001;
2.243243243243243E+008;-7.438748858564639E-001;
2.298198198198198E+008;-7.848680422113789E-001;
2.353153153153153E+008;-7.905456054665307E-001;
2.408108108108108E+008;-8.840103230470582E-001;
2.463063063063063E+008;-9.052597623708228E-001;
2.518018018018018E+008;-9.713825732867143E-001;
2.572972972972973E+008;-1.049089263779546E+000;
2.627927927927928E+008;-1.143948126242554E+000;
2.682882882882883E+008;-1.186115731930165E+000;
