# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.671594383928972E+002;
1.099099099099099E+007;1.656630210529356E+002;
1.198198198198198E+007;1.645605941412734E+002;
1.297297297297297E+007;1.634358698917164E+002;
1.396396396396396E+007;1.621330524534955E+002;
1.495495495495496E+007;1.609361092037616E+002;
1.594594594594595E+007;1.596700423384129E+002;
1.693693693693694E+007;1.582960930707671E+002;
1.792792792792793E+007;1.570955787630641E+002;
1.891891891891892E+007;1.560138218127750E+002;
1.990990990990991E+007;1.548135586866150E+002;
2.090090090090090E+007;1.536064267817473E+002;
2.189189189189189E+007;1.524540464928918E+002;
2.288288288288289E+007;1.512577961309630E+002;
2.387387387387388E+007;1.501146797750648E+002;
2.486486486486486E+007;1.488697232362528E+002;
2.585585585585586E+007;1.477020077468984E+002;
2.684684684684685E+007;1.466373517483744E+002;
2.783783783783784E+007;1.455461872059850E+002;
2.882882882882883E+007;1.442784465150632E+002;
2.981981981981982E+007;1.431800858002732E+002;
3.081081081081081E+007;1.419491911096914E+002;
3.180180180180180E+007;1.407607018125399E+002;
3.279279279279279E+007;1.396399027301757E+002;
3.378378378378379E+007;1.384557288673863E+002;
3.477477477477478E+007;1.374037238653590E+002;
3.576576576576577E+007;1.361308796519955E+002;
3.675675675675675E+007;1.370611932564856E+002;
3.774774774774775E+007;1.357558181552676E+002;
3.873873873873874E+007;1.344424743347890E+002;
3.972972972972973E+007;1.331324671487803E+002;
4.072072072072072E+007;1.318356319429536E+002;
4.171171171171171E+007;1.305359182108016E+002;
4.270270270270270E+007;1.292229810578608E+002;
4.369369369369370E+007;1.278910591112646E+002;
4.468468468468469E+007;1.265631256421471E+002;
4.567567567567568E+007;1.252078154884300E+002;
4.666666666666666E+007;1.238616383928422E+002;
4.765765765765766E+007;1.225193358136914E+002;
4.864864864864865E+007;1.211871091473823E+002;
4.963963963963964E+007;1.198369200988910E+002;
5.063063063063064E+007;1.185527880086259E+002;
5.162162162162162E+007;1.173533690266222E+002;
5.261261261261261E+007;1.161550316423385E+002;
5.360360360360360E+007;1.149645147200096E+002;
5.459459459459460E+007;1.137600846119408E+002;
5.558558558558559E+007;1.125459927569578E+002;
5.657657657657658E+007;1.113711989830646E+002;
5.756756756756757E+007;1.102076369569849E+002;
5.855855855855856E+007;1.090324667963972E+002;
5.954954954954955E+007;1.078879151866316E+002;
6.054054054054054E+007;1.067161142110878E+002;
6.153153153153154E+007;1.055634217252356E+002;
6.252252252252252E+007;1.044125261993828E+002;
6.351351351351351E+007;1.032689627584034E+002;
6.450450450450450E+007;1.021074794570170E+002;
6.549549549549550E+007;1.009686147519880E+002;
6.648648648648649E+007;9.975862531193195E+001;
6.747747747747748E+007;9.859323810614237E+001;
6.846846846846847E+007;9.742665522684720E+001;
6.945945945945945E+007;9.626093140693332E+001;
7.045045045045045E+007;9.506774765249004E+001;
7.144144144144145E+007;9.390483822985992E+001;
7.243243243243244E+007;9.272603652291184E+001;
7.342342342342342E+007;9.154091042383566E+001;
7.441441441441441E+007;9.035695590156738E+001;
7.540540540540540E+007;8.918787211345520E+001;
7.639639639639640E+007;8.801792149094705E+001;
7.738738738738740E+007;8.683638836388953E+001;
7.837837837837838E+007;8.567741880925728E+001;
7.936936936936937E+007;8.451737652217997E+001;
8.036036036036035E+007;8.334696371749176E+001;
8.135135135135135E+007;8.218771867464471E+001;
8.234234234234235E+007;8.100051782783872E+001;
8.333333333333333E+007;7.985677338569651E+001;
8.432432432432433E+007;7.870242542280737E+001;
8.531531531531532E+007;7.752706578961991E+001;
8.630630630630630E+007;7.636439574009513E+001;
8.729729729729730E+007;7.518877189878474E+001;
8.828828828828830E+007;7.401527232897433E+001;
8.927927927927928E+007;7.281915945154250E+001;
9.027027027027027E+007;7.162599001945519E+001;
9.126126126126127E+007;7.042310597492691E+001;
9.225225225225225E+007;6.922652106325752E+001;
9.324324324324325E+007;6.803785767821115E+001;
9.423423423423423E+007;6.682145341321527E+001;
9.522522522522523E+007;6.563148196987358E+001;
9.621621621621622E+007;6.443896125064030E+001;
9.720720720720720E+007;6.327672378200273E+001;
9.819819819819820E+007;6.211630757395587E+001;
9.918918918918920E+007;6.098557170219841E+001;
1.001801801801802E+008;5.980839913569423E+001;
1.011711711711712E+008;5.858034259609831E+001;
1.021621621621622E+008;5.733337837434699E+001;
1.031531531531532E+008;5.611035494522127E+001;
1.041441441441442E+008;5.491044807601899E+001;
1.051351351351351E+008;5.372758384359273E+001;
1.061261261261261E+008;5.255669720553249E+001;
1.071171171171171E+008;5.139081220006398E+001;
1.081081081081081E+008;5.009179670728108E+001;
1.090990990990991E+008;4.891301546865794E+001;
1.100900900900901E+008;4.774274618655168E+001;
1.110810810810811E+008;4.656310770471955E+001;
1.120720720720721E+008;4.538985873326783E+001;
1.130630630630631E+008;4.420548344147132E+001;
1.140540540540541E+008;4.304098206711299E+001;
1.150450450450451E+008;4.183950535624803E+001;
1.160360360360360E+008;4.063724838706566E+001;
1.170270270270270E+008;3.943359715247706E+001;
1.180180180180180E+008;3.822680727516417E+001;
1.190090090090090E+008;3.701790294711114E+001;
1.200000000000000E+008;3.581975125340344E+001;
1.209909909909910E+008;3.461581392029530E+001;
1.219819819819820E+008;3.341678742855468E+001;
1.229729729729730E+008;3.221289674333350E+001;
1.239639639639640E+008;3.100665454675341E+001;
1.249549549549550E+008;2.979866074631963E+001;
1.259459459459460E+008;2.859943934210544E+001;
1.269369369369369E+008;2.740074636823948E+001;
1.279279279279279E+008;2.619781201482398E+001;
1.289189189189189E+008;2.499905225641491E+001;
1.299099099099099E+008;2.380000641101331E+001;
1.309009009009009E+008;2.257847603563941E+001;
1.318918918918919E+008;2.136483391806692E+001;
1.328828828828829E+008;2.015652545844074E+001;
1.338738738738739E+008;1.895016598377887E+001;
1.348648648648649E+008;1.773668585098757E+001;
1.358558558558559E+008;1.652623258039954E+001;
1.368468468468469E+008;1.531664672020124E+001;
1.378378378378379E+008;1.410868038396111E+001;
1.388288288288288E+008;1.290168597688981E+001;
1.398198198198198E+008;1.169771639179999E+001;
1.408108108108108E+008;1.049590748592614E+001;
1.418018018018018E+008;9.289572134282196E+000;
1.427927927927928E+008;8.076688176175242E+000;
1.437837837837838E+008;6.869206875004410E+000;
