# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.783665068768210E+002;
1.099099099099099E+007;1.779773551487435E+002;
1.198198198198198E+007;1.779569332594248E+002;
1.297297297297297E+007;1.779538014273457E+002;
1.396396396396396E+007;1.778295385051368E+002;
1.495495495495496E+007;1.776971766257724E+002;
1.594594594594595E+007;1.775570862335950E+002;
1.693693693693694E+007;1.772633163088071E+002;
1.792792792792793E+007;1.771825142964178E+002;
1.891891891891892E+007;1.772753373600813E+002;
1.990990990990991E+007;1.771334794588091E+002;
2.090090090090090E+007;1.769879340478031E+002;
2.189189189189189E+007;1.769949387139338E+002;
2.288288288288289E+007;1.769259552592274E+002;
2.387387387387388E+007;1.768742123744065E+002;
2.486486486486486E+007;1.767481051875091E+002;
2.585585585585586E+007;1.766582690658522E+002;
2.684684684684685E+007;1.767037288503122E+002;
2.783783783783784E+007;1.766960853101172E+002;
2.882882882882883E+007;1.765351961481091E+002;
2.981981981981982E+007;1.765186569291175E+002;
3.081081081081081E+007;1.764358733237635E+002;
3.180180180180180E+007;1.763413665826366E+002;
3.279279279279279E+007;1.763499137166838E+002;
3.378378378378379E+007;1.762421568601768E+002;
3.477477477477478E+007;1.763426151919611E+002;
3.576576576576577E+007;1.761293745259035E+002;
3.675675675675675E+007;1.781810781201037E+002;
3.774774774774775E+007;1.779820692682707E+002;
3.873873873873874E+007;1.777853471797986E+002;
3.972972972972973E+007;1.775811373569969E+002;
4.072072072072072E+007;1.773817800963289E+002;
4.171171171171171E+007;1.771803356565370E+002;
4.270270270270270E+007;1.769799865228561E+002;
4.369369369369370E+007;1.767651002134218E+002;
4.468468468468469E+007;1.765423226399174E+002;
4.567567567567568E+007;1.763033179307478E+002;
4.666666666666666E+007;1.760662257266516E+002;
4.765765765765766E+007;1.758247860960550E+002;
4.864864864864865E+007;1.755817460742601E+002;
4.963963963963964E+007;1.753530046467820E+002;
5.063063063063064E+007;1.751837345120266E+002;
5.162162162162162E+007;1.751053468184617E+002;
5.261261261261261E+007;1.750045215364186E+002;
5.360360360360360E+007;1.749193110268394E+002;
5.459459459459460E+007;1.748149879590542E+002;
5.558558558558559E+007;1.747314253987819E+002;
5.657657657657658E+007;1.746393193170065E+002;
5.756756756756757E+007;1.745865487547556E+002;
5.855855855855856E+007;1.745292998453820E+002;
5.954954954954955E+007;1.744790519903167E+002;
6.054054054054054E+007;1.744234908415710E+002;
6.153153153153154E+007;1.743901898919895E+002;
6.252252252252252E+007;1.743439877517645E+002;
6.351351351351351E+007;1.742853869751094E+002;
6.450450450450450E+007;1.742488687071787E+002;
6.549549549549550E+007;1.741959346343102E+002;
6.648648648648649E+007;1.741199589175550E+002;
6.747747747747748E+007;1.740629037728046E+002;
6.846846846846847E+007;1.739976553008443E+002;
6.945945945945945E+007;1.739331775117912E+002;
7.045045045045045E+007;1.738654623162190E+002;
7.144144144144145E+007;1.737852650972646E+002;
7.243243243243244E+007;1.737093906725342E+002;
7.342342342342342E+007;1.736470742655802E+002;
7.441441441441441E+007;1.735786982653300E+002;
7.540540540540540E+007;1.735064964406100E+002;
7.639639639639640E+007;1.734361827686083E+002;
7.738738738738740E+007;1.733754899915763E+002;
7.837837837837838E+007;1.733253744342553E+002;
7.936936936936937E+007;1.732710473760006E+002;
8.036036036036035E+007;1.732210027876715E+002;
8.135135135135135E+007;1.731612273997122E+002;
8.234234234234235E+007;1.730871681995537E+002;
8.333333333333333E+007;1.730419339184052E+002;
8.432432432432433E+007;1.729892135646081E+002;
8.531531531531532E+007;1.729334826956941E+002;
8.630630630630630E+007;1.728758129500019E+002;
8.729729729729730E+007;1.728016270937486E+002;
8.828828828828830E+007;1.727379451840843E+002;
