# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.671414539945265E+002;
1.099099099099099E+007;1.655982244488685E+002;
1.198198198198198E+007;1.645608116891945E+002;
1.297297297297297E+007;1.634049896291778E+002;
1.396396396396396E+007;1.621407712868292E+002;
1.495495495495496E+007;1.609202640305024E+002;
1.594594594594595E+007;1.596835650783320E+002;
1.693693693693694E+007;1.583114493760420E+002;
1.792792792792793E+007;1.571030141957987E+002;
1.891891891891892E+007;1.560357212008830E+002;
1.990990990990991E+007;1.548171114948754E+002;
2.090090090090090E+007;1.535361511812309E+002;
2.189189189189189E+007;1.524831090765195E+002;
2.288288288288289E+007;1.512843668398232E+002;
2.387387387387388E+007;1.501218841915345E+002;
2.486486486486486E+007;1.488805356224379E+002;
2.585585585585586E+007;1.476935884487564E+002;
2.684684684684685E+007;1.466492552010276E+002;
2.783783783783784E+007;1.455426338907499E+002;
2.882882882882883E+007;1.442534255353955E+002;
2.981981981981982E+007;1.431701665956286E+002;
3.081081081081081E+007;1.419596297545475E+002;
3.180180180180180E+007;1.407460754405853E+002;
3.279279279279279E+007;1.396236907878874E+002;
3.378378378378379E+007;1.384444054581166E+002;
3.477477477477478E+007;1.374116939687311E+002;
3.576576576576577E+007;1.361061517130367E+002;
3.675675675675675E+007;1.370542768855425E+002;
3.774774774774775E+007;1.357475182050042E+002;
3.873873873873874E+007;1.344489810856017E+002;
3.972972972972973E+007;1.331292665006957E+002;
4.072072072072072E+007;1.318613506044893E+002;
4.171171171171171E+007;1.305178307994692E+002;
4.270270270270270E+007;1.292036012463288E+002;
4.369369369369370E+007;1.278848918459733E+002;
4.468468468468469E+007;1.265473376330379E+002;
4.567567567567568E+007;1.252127325091882E+002;
4.666666666666666E+007;1.238550740906759E+002;
4.765765765765766E+007;1.225228242598599E+002;
4.864864864864865E+007;1.211819482024026E+002;
4.963963963963964E+007;1.198393525415246E+002;
5.063063063063064E+007;1.185409250762074E+002;
5.162162162162162E+007;1.173797053337122E+002;
5.261261261261261E+007;1.161752643997466E+002;
5.360360360360360E+007;1.149546676868220E+002;
5.459459459459460E+007;1.137557502257674E+002;
5.558558558558559E+007;1.125426547788851E+002;
5.657657657657658E+007;1.113727176470771E+002;
5.756756756756757E+007;1.101839698882261E+002;
5.855855855855856E+007;1.090345072947510E+002;
5.954954954954955E+007;1.078833821827826E+002;
6.054054054054054E+007;1.067229170157267E+002;
6.153153153153154E+007;1.055704458171412E+002;
6.252252252252252E+007;1.044028596245266E+002;
6.351351351351351E+007;1.032676940464531E+002;
6.450450450450450E+007;1.021058133621520E+002;
6.549549549549550E+007;1.009562789162637E+002;
6.648648648648649E+007;9.976874102283900E+001;
6.747747747747748E+007;9.860009844585939E+001;
6.846846846846847E+007;9.741989733007021E+001;
6.945945945945945E+007;9.625219303317148E+001;
7.045045045045045E+007;9.507251396073575E+001;
7.144144144144145E+007;9.389826573881261E+001;
7.243243243243244E+007;9.272362970611654E+001;
7.342342342342342E+007;9.153971415946361E+001;
7.441441441441441E+007;9.035167015857667E+001;
7.540540540540540E+007;8.917423263987550E+001;
7.639639639639640E+007;8.801552462346854E+001;
7.738738738738740E+007;8.683806956892072E+001;
7.837837837837838E+007;8.567304160182722E+001;
7.936936936936937E+007;8.451955558036588E+001;
8.036036036036035E+007;8.335560179041748E+001;
8.135135135135135E+007;8.218898591097060E+001;
8.234234234234235E+007;8.100241166359916E+001;
8.333333333333333E+007;7.985349364682649E+001;
8.432432432432433E+007;7.869446365703381E+001;
8.531531531531532E+007;7.752746863819401E+001;
8.630630630630630E+007;7.636410605544026E+001;
8.729729729729730E+007;7.518763425884286E+001;
8.828828828828830E+007;7.401601736246893E+001;
8.927927927927928E+007;7.281812572549686E+001;
9.027027027027027E+007;7.162006436916039E+001;
9.126126126126127E+007;7.042529339903011E+001;
9.225225225225225E+007;6.922707856544089E+001;
9.324324324324325E+007;6.803947147557339E+001;
9.423423423423423E+007;6.683126865935860E+001;
9.522522522522523E+007;6.562812718435100E+001;
9.621621621621622E+007;6.444049277540650E+001;
9.720720720720720E+007;6.327216758021828E+001;
9.819819819819820E+007;6.211444172379600E+001;
9.918918918918920E+007;6.098381669098941E+001;
1.001801801801802E+008;5.980468970374746E+001;
1.011711711711712E+008;5.857053265984286E+001;
1.021621621621622E+008;5.733104779365750E+001;
1.031531531531532E+008;5.611522731617028E+001;
1.041441441441442E+008;5.490936995999807E+001;
1.051351351351351E+008;5.373020525622442E+001;
1.061261261261261E+008;5.255551841862426E+001;
1.071171171171171E+008;5.138648111218980E+001;
1.081081081081081E+008;5.009687073003487E+001;
1.090990990990991E+008;4.892040884729807E+001;
1.100900900900901E+008;4.774515749447107E+001;
1.110810810810811E+008;4.656370811357655E+001;
1.120720720720721E+008;4.538769261696338E+001;
1.130630630630631E+008;4.420825398465965E+001;
1.140540540540541E+008;4.304015216417619E+001;
1.150450450450451E+008;4.183964309978408E+001;
1.160360360360360E+008;4.063888255803296E+001;
1.170270270270270E+008;3.943791264526366E+001;
1.180180180180180E+008;3.822480191175000E+001;
1.190090090090090E+008;3.701969681876458E+001;
1.200000000000000E+008;3.582204304340367E+001;
1.209909909909910E+008;3.461264945052644E+001;
1.219819819819820E+008;3.341342441482811E+001;
1.229729729729730E+008;3.221044489588968E+001;
1.239639639639640E+008;3.101051030237318E+001;
1.249549549549550E+008;2.979958500795932E+001;
1.259459459459460E+008;2.859955132744992E+001;
1.269369369369369E+008;2.739911056599641E+001;
1.279279279279279E+008;2.619873137447131E+001;
1.289189189189189E+008;2.499993054730957E+001;
1.299099099099099E+008;2.380235493410827E+001;
1.309009009009009E+008;2.257827906497173E+001;
