# Version 1.00
#
freq[Hz];Trc1_S11[°];
3.000000000000000E+009;3.557368027286739E+001;
3.002502502502502E+009;3.279383088877547E+001;
3.005005005005005E+009;3.005129585186821E+001;
3.007507507507507E+009;2.714395049470629E+001;
3.010010010010010E+009;2.429744754549130E+001;
3.012512512512513E+009;2.139766441235591E+001;
3.015015015015015E+009;1.869421243491373E+001;
3.017517517517518E+009;1.582945058309552E+001;
3.020020020020020E+009;1.285237537882120E+001;
3.022522522522522E+009;1.015183515982444E+001;
3.025025025025025E+009;7.292047059893477E+000;
3.027527527527527E+009;4.387189354741103E+000;
3.030030030030030E+009;1.555511005082203E+000;
3.032532532532533E+009;-1.199038712434569E+000;
3.035035035035035E+009;-4.216312021581332E+000;
3.037537537537538E+009;-7.032948772131372E+000;
3.040040040040040E+009;-9.885295976639986E+000;
3.042542542542543E+009;-1.258060566043161E+001;
3.045045045045045E+009;-1.550088532806932E+001;
3.047547547547547E+009;-1.829509298926905E+001;
3.050050050050050E+009;-2.126332097153536E+001;
3.052552552552553E+009;-2.408325470647497E+001;
3.055055055055055E+009;-2.707781861646178E+001;
3.057557557557558E+009;-2.987628986666770E+001;
3.060060060060060E+009;-3.277489739719660E+001;
3.062562562562563E+009;-3.557573895809834E+001;
3.065065065065065E+009;-3.847282430795391E+001;
3.067567567567567E+009;-4.126262095441572E+001;
3.070070070070070E+009;-4.417736322984310E+001;
3.072572572572573E+009;-4.704366699153032E+001;
3.075075075075075E+009;-4.988617164623075E+001;
3.077577577577578E+009;-5.276005508802384E+001;
3.080080080080080E+009;-5.558892353762418E+001;
3.082582582582583E+009;-5.860463670029277E+001;
3.085085085085085E+009;-6.138845135559884E+001;
3.087587587587587E+009;-6.424312369759363E+001;
3.090090090090090E+009;-6.700073600220283E+001;
3.092592592592593E+009;-7.001272393109298E+001;
3.095095095095095E+009;-7.284577281239795E+001;
3.097597597597598E+009;-7.585081581330243E+001;
3.100100100100100E+009;-7.857895823972652E+001;
3.102602602602603E+009;-8.156813644805705E+001;
3.105105105105105E+009;-8.438584483682908E+001;
3.107607607607608E+009;-8.725857807593495E+001;
3.110110110110110E+009;-9.008094291930608E+001;
3.112612612612613E+009;-9.310621394118803E+001;
3.115115115115115E+009;-9.599838309679056E+001;
3.117617617617618E+009;-9.890351897528693E+001;
3.120120120120120E+009;-1.016584261676930E+002;
3.122622622622623E+009;-1.045168982773626E+002;
3.125125125125125E+009;-1.073153953740669E+002;
3.127627627627628E+009;-1.103691342534255E+002;
3.130130130130130E+009;-1.131571883447768E+002;
3.132632632632633E+009;-1.159245035040342E+002;
3.135135135135135E+009;-1.189360914571318E+002;
3.137637637637638E+009;-1.217321527738569E+002;
3.140140140140140E+009;-1.246536631393007E+002;
3.142642642642643E+009;-1.274926955674900E+002;
3.145145145145145E+009;-1.303570302951600E+002;
3.147647647647648E+009;-1.330601427318752E+002;
3.150150150150150E+009;-1.360981196986154E+002;
3.152652652652653E+009;-1.389892902728390E+002;
3.155155155155155E+009;-1.417530508666108E+002;
3.157657657657658E+009;-1.446307263564995E+002;
3.160160160160160E+009;-1.474848979150598E+002;
3.162662662662663E+009;-1.504355830341393E+002;
3.165165165165165E+009;-1.533054345695930E+002;
3.167667667667668E+009;-1.561472726075114E+002;
3.170170170170170E+009;-1.589834640685546E+002;
3.172672672672673E+009;-1.617717888434121E+002;
3.175175175175175E+009;-1.646687288151730E+002;
3.177677677677678E+009;-1.674589432360684E+002;
3.180180180180180E+009;-1.703955229333515E+002;
3.182682682682683E+009;-1.732775945406395E+002;
3.185185185185185E+009;-1.761839848365222E+002;
3.187687687687688E+009;-1.791695271257985E+002;
3.190190190190190E+009;1.779867770516465E+002;
3.192692692692693E+009;1.750405727713938E+002;
3.195195195195195E+009;1.722869941914049E+002;
3.197697697697698E+009;1.694142456493076E+002;
3.200200200200200E+009;1.666324901212589E+002;
3.202702702702703E+009;1.638480060937298E+002;
3.205205205205205E+009;1.610094128908044E+002;
3.207707707707708E+009;1.580761081436655E+002;
3.210210210210210E+009;1.552197155084098E+002;
