# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-1.743982891458961E-001;
1.099099099099099E+007;-1.864249947270698E-001;
1.198198198198198E+007;-2.045643669189040E-001;
1.297297297297297E+007;-2.257639409548746E-001;
1.396396396396396E+007;-2.447301810309159E-001;
1.495495495495496E+007;-2.397071893729678E-001;
1.594594594594595E+007;-2.502096436649163E-001;
1.693693693693694E+007;-2.452078322036856E-001;
1.792792792792793E+007;-2.540370913110907E-001;
1.891891891891892E+007;-2.932902431139547E-001;
1.990990990990991E+007;-2.919071269381234E-001;
2.090090090090090E+007;-3.062902207080284E-001;
2.189189189189189E+007;-3.174387717255737E-001;
2.288288288288289E+007;-3.018460810186210E-001;
2.387387387387388E+007;-3.119860933173324E-001;
2.486486486486486E+007;-3.129383483757277E-001;
2.585585585585586E+007;-3.271773466790209E-001;
2.684684684684685E+007;-3.338390749449561E-001;
2.783783783783784E+007;-3.317213249233085E-001;
2.882882882882883E+007;-3.401972508469749E-001;
2.981981981981982E+007;-3.443972498094079E-001;
3.081081081081081E+007;-3.362241312310921E-001;
3.180180180180180E+007;-3.394357647697255E-001;
3.279279279279279E+007;-3.497666963662342E-001;
3.378378378378379E+007;-3.500855921434672E-001;
3.477477477477478E+007;-3.963163249624937E-001;
3.576576576576577E+007;-3.763681867224815E-001;
3.675675675675675E+007;-6.649911305101361E-001;
3.774774774774775E+007;-6.447277940060991E-001;
3.873873873873874E+007;-6.233026100970128E-001;
3.972972972972973E+007;-5.996663574947849E-001;
4.072072072072072E+007;-5.806865701129512E-001;
4.171171171171171E+007;-5.649064374068040E-001;
4.270270270270270E+007;-5.463503909411611E-001;
4.369369369369370E+007;-5.266704161333649E-001;
4.468468468468469E+007;-5.100777735729261E-001;
4.567567567567568E+007;-4.958883176017362E-001;
4.666666666666666E+007;-4.797326923018048E-001;
4.765765765765766E+007;-4.639866333969193E-001;
4.864864864864865E+007;-4.471003001870882E-001;
4.963963963963964E+007;-4.342922607563809E-001;
5.063063063063064E+007;-4.335219902052469E-001;
5.162162162162162E+007;-4.357992906029688E-001;
5.261261261261261E+007;-4.372484172876949E-001;
5.360360360360360E+007;-4.428723733326276E-001;
5.459459459459460E+007;-4.439092184483581E-001;
5.558558558558559E+007;-4.447535864898042E-001;
5.657657657657658E+007;-4.467434875342782E-001;
5.756756756756757E+007;-4.469772466504568E-001;
5.855855855855856E+007;-4.501372888103383E-001;
5.954954954954955E+007;-4.512993214809307E-001;
6.054054054054054E+007;-4.526395588369730E-001;
6.153153153153154E+007;-4.543382357992172E-001;
6.252252252252252E+007;-4.547343013295210E-001;
6.351351351351351E+007;-4.589849698534039E-001;
6.450450450450450E+007;-4.596891930962696E-001;
6.549549549549550E+007;-4.614847864558722E-001;
6.648648648648649E+007;-4.647596948695747E-001;
6.747747747747748E+007;-4.652322757615121E-001;
6.846846846846847E+007;-4.666229584676280E-001;
6.945945945945945E+007;-4.667753983940448E-001;
7.045045045045045E+007;-4.685214848584257E-001;
7.144144144144145E+007;-4.697796569127773E-001;
7.243243243243244E+007;-4.718502655645555E-001;
7.342342342342342E+007;-4.717544512266046E-001;
7.441441441441441E+007;-4.717754229102738E-001;
7.540540540540540E+007;-4.725198933891412E-001;
7.639639639639640E+007;-4.731451334694272E-001;
7.738738738738740E+007;-4.730812802795032E-001;
7.837837837837838E+007;-4.725896642303072E-001;
7.936936936936937E+007;-4.734718812965552E-001;
8.036036036036035E+007;-4.741796111891602E-001;
8.135135135135135E+007;-4.751889454194673E-001;
8.234234234234235E+007;-4.733687846828663E-001;
8.333333333333333E+007;-4.710234617555305E-001;
8.432432432432433E+007;-4.703132568793635E-001;
8.531531531531532E+007;-4.682792135038173E-001;
8.630630630630630E+007;-4.691163941666847E-001;
8.729729729729730E+007;-4.701743381015067E-001;
8.828828828828830E+007;-4.685321617499149E-001;
8.927927927927928E+007;-4.711985506679260E-001;
9.027027027027027E+007;-4.728515056254468E-001;
9.126126126126127E+007;-4.735645017577636E-001;
9.225225225225225E+007;-4.742639905032660E-001;
9.324324324324325E+007;-4.764725577338195E-001;
9.423423423423423E+007;-4.773865442447531E-001;
9.522522522522523E+007;-4.765749825804922E-001;
9.621621621621622E+007;-4.779772005715777E-001;
9.720720720720720E+007;-4.759952134431634E-001;
9.819819819819820E+007;-4.759410319321638E-001;
9.918918918918920E+007;-4.762957042936311E-001;
1.001801801801802E+008;-4.784069412118250E-001;
1.011711711711712E+008;-4.799536748279731E-001;
1.021621621621622E+008;-4.796685310886167E-001;
1.031531531531532E+008;-4.792029006885846E-001;
1.041441441441442E+008;-4.760048282753783E-001;
1.051351351351351E+008;-4.740790761804992E-001;
1.061261261261261E+008;-4.691593216787678E-001;
1.071171171171171E+008;-4.646933174436383E-001;
1.081081081081081E+008;-4.343739488085811E-001;
1.090990990990991E+008;-4.387270929006860E-001;
1.100900900900901E+008;-4.406985693312384E-001;
1.110810810810811E+008;-4.454221854679080E-001;
1.120720720720721E+008;-4.478224378379945E-001;
1.130630630630631E+008;-4.529870583876888E-001;
1.140540540540541E+008;-4.592204747573941E-001;
1.150450450450451E+008;-4.536230284132375E-001;
1.160360360360360E+008;-4.490211971102013E-001;
1.170270270270270E+008;-4.441290442654263E-001;
1.180180180180180E+008;-4.405116602396855E-001;
1.190090090090090E+008;-4.382659385089294E-001;
1.200000000000000E+008;-4.361278432594294E-001;
1.209909909909910E+008;-4.341104453914629E-001;
1.219819819819820E+008;-4.327609230032806E-001;
1.229729729729730E+008;-4.307529148214657E-001;
1.239639639639640E+008;-4.293809126817534E-001;
1.249549549549550E+008;-4.295504105227955E-001;
1.259459459459460E+008;-4.300114371996733E-001;
1.269369369369369E+008;-4.312486641553165E-001;
1.279279279279279E+008;-4.322837462231196E-001;
1.289189189189189E+008;-4.326195151742074E-001;
1.299099099099099E+008;-4.345017848852665E-001;
1.309009009009009E+008;-4.343801041263024E-001;
1.318918918918919E+008;-4.337290755982283E-001;
1.328828828828829E+008;-4.334164265369231E-001;
1.338738738738739E+008;-4.331159606007940E-001;
1.348648648648649E+008;-4.317832893800019E-001;
1.358558558558559E+008;-4.309182742441424E-001;
1.368468468468469E+008;-4.291578962603428E-001;
1.378378378378379E+008;-4.287737710321887E-001;
1.388288288288288E+008;-4.279407095137451E-001;
1.398198198198198E+008;-4.268462413369140E-001;
1.408108108108108E+008;-4.252897108868601E-001;
1.418018018018018E+008;-4.237257566281649E-001;
1.427927927927928E+008;-4.211326885968386E-001;
1.437837837837838E+008;-4.187059469504371E-001;
1.447747747747748E+008;-4.156802028533367E-001;
1.457657657657658E+008;-4.141665843913960E-001;
1.467567567567568E+008;-4.148032807696647E-001;
1.477477477477478E+008;-4.167833880958163E-001;
1.487387387387388E+008;-4.163926556522994E-001;
1.497297297297297E+008;-4.159873872774339E-001;
1.507207207207207E+008;-4.153325078112333E-001;
1.517117117117117E+008;-4.153133257536982E-001;
1.527027027027027E+008;-4.132821859909209E-001;
1.536936936936937E+008;-4.131019547427288E-001;
1.546846846846847E+008;-4.115616134688176E-001;
1.556756756756757E+008;-4.097813445101055E-001;
1.566666666666667E+008;-4.080427999211667E-001;
1.576576576576577E+008;-4.060392085948618E-001;
1.586486486486487E+008;-4.023739971953175E-001;
1.596396396396397E+008;-3.990609542149193E-001;
1.606306306306306E+008;-3.974164105225302E-001;
1.616216216216216E+008;-3.945667309827343E-001;
1.626126126126126E+008;-3.958388174823787E-001;
1.636036036036036E+008;-3.958088068053287E-001;
1.645945945945946E+008;-3.970178507530651E-001;
1.655855855855856E+008;-3.980795746061348E-001;
1.665765765765766E+008;-3.987704930956884E-001;
1.675675675675676E+008;-3.973616714298549E-001;
1.685585585585586E+008;-3.961645525498612E-001;
1.695495495495496E+008;-3.944806616100250E-001;
1.705405405405406E+008;-3.931658049877058E-001;
1.715315315315315E+008;-3.923486362582729E-001;
1.725225225225225E+008;-3.904990227177526E-001;
1.735135135135135E+008;-3.890777273271603E-001;
1.745045045045045E+008;-3.878832186403957E-001;
1.754954954954955E+008;-3.869564471465504E-001;
1.764864864864865E+008;-3.861693135893883E-001;
1.774774774774775E+008;-3.845566751494910E-001;
1.784684684684685E+008;-3.833545407244733E-001;
1.794594594594595E+008;-3.805345614330802E-001;
1.804504504504505E+008;-3.791492033182267E-001;
1.814414414414415E+008;-3.771661070085284E-001;
1.824324324324324E+008;-3.760676808129781E-001;
1.834234234234234E+008;-3.747540111306054E-001;
1.844144144144144E+008;-3.738019783804896E-001;
1.854054054054054E+008;-3.735025085423350E-001;
1.863963963963964E+008;-3.740737973081235E-001;
1.873873873873874E+008;-3.757543154695690E-001;
1.883783783783784E+008;-3.774354221560278E-001;
1.893693693693694E+008;-3.785164557290849E-001;
1.903603603603604E+008;-3.795047268452949E-001;
1.913513513513514E+008;-3.806093935691121E-001;
1.923423423423424E+008;-3.823795550014444E-001;
1.933333333333333E+008;-3.840081641740866E-001;
1.943243243243243E+008;-3.825563481712460E-001;
1.953153153153153E+008;-3.815687866755446E-001;
1.963063063063063E+008;-3.798700893451564E-001;
1.972972972972973E+008;-3.793273245108580E-001;
1.982882882882883E+008;-3.792293314812112E-001;
1.992792792792793E+008;-3.785211204083724E-001;
2.002702702702703E+008;-3.792618942634422E-001;
2.012612612612613E+008;-3.796124766718647E-001;
2.022522522522523E+008;-3.803484616631068E-001;
2.032432432432433E+008;-3.814942425345939E-001;
2.042342342342342E+008;-3.830928665635393E-001;
2.052252252252252E+008;-3.841381914953625E-001;
2.062162162162162E+008;-3.855622536734151E-001;
2.072072072072072E+008;-3.880955127108124E-001;
2.081981981981982E+008;-3.899768560407524E-001;
2.091891891891892E+008;-3.921820478001237E-001;
2.101801801801802E+008;-3.953219244774757E-001;
2.111711711711712E+008;-3.958597544889017E-001;
2.121621621621622E+008;-3.964414065660034E-001;
2.131531531531532E+008;-3.969414718646834E-001;
2.141441441441442E+008;-3.982777723717818E-001;
2.151351351351351E+008;-4.001594127622948E-001;
2.161261261261261E+008;-4.029244427117598E-001;
2.171171171171171E+008;-4.058028317512210E-001;
2.181081081081081E+008;-4.085929303350545E-001;
2.190990990990991E+008;-4.107450045373267E-001;
2.200900900900901E+008;-4.120263773089973E-001;
2.210810810810811E+008;-4.138647732216997E-001;
2.220720720720721E+008;-4.146698596370083E-001;
2.230630630630631E+008;-4.160467092436755E-001;
2.240540540540541E+008;-4.174531203481092E-001;
2.250450450450451E+008;-4.191403797016524E-001;
2.260360360360360E+008;-4.220337213430329E-001;
2.270270270270270E+008;-4.237874521401689E-001;
2.280180180180180E+008;-4.260385985055604E-001;
2.290090090090090E+008;-4.285656217929739E-001;
2.300000000000000E+008;-4.307672570321831E-001;
2.309909909909910E+008;-4.321332984046837E-001;
2.319819819819820E+008;-4.339437353744445E-001;
2.329729729729730E+008;-4.040219748530973E-001;
2.339639639639640E+008;-4.098416305320814E-001;
2.349549549549550E+008;-4.162853911377315E-001;
2.359459459459460E+008;-4.225835395696437E-001;
