# Version 1.00
#
freq[Hz];Trc1_S11[dB];
3.000000000000000E+009;-1.762240653843734E+000;
3.002502502502502E+009;-1.773877152679797E+000;
3.005005005005005E+009;-1.753499177681700E+000;
3.007507507507507E+009;-1.771195759942064E+000;
3.010010010010010E+009;-1.767527613491844E+000;
3.012512512512513E+009;-1.752778871550501E+000;
3.015015015015015E+009;-1.763534298639542E+000;
3.017517517517518E+009;-1.754242975355939E+000;
3.020020020020020E+009;-1.748775007005871E+000;
3.022522522522522E+009;-1.754066076807906E+000;
3.025025025025025E+009;-1.767652350351219E+000;
3.027527527527527E+009;-1.756567610090122E+000;
3.030030030030030E+009;-1.765261130203960E+000;
3.032532532532533E+009;-1.758259965939904E+000;
3.035035035035035E+009;-1.764477449759528E+000;
3.037537537537538E+009;-1.758474633250147E+000;
3.040040040040040E+009;-1.740787766106356E+000;
3.042542542542543E+009;-1.767773053307324E+000;
3.045045045045045E+009;-1.757596126875057E+000;
3.047547547547547E+009;-1.737894620023061E+000;
3.050050050050050E+009;-1.741532705590895E+000;
3.052552552552553E+009;-1.747383022525730E+000;
3.055055055055055E+009;-1.756505062838104E+000;
3.057557557557558E+009;-1.733572369774481E+000;
3.060060060060060E+009;-1.763532012174783E+000;
3.062562562562563E+009;-1.738184575728194E+000;
3.065065065065065E+009;-1.727174493372515E+000;
3.067567567567567E+009;-1.741442798826961E+000;
3.070070070070070E+009;-1.769553095081464E+000;
3.072572572572573E+009;-1.746677024990188E+000;
3.075075075075075E+009;-1.737049543619718E+000;
3.077577577577578E+009;-1.736391459187513E+000;
3.080080080080080E+009;-1.754592150025299E+000;
3.082582582582583E+009;-1.738255678563455E+000;
3.085085085085085E+009;-1.745846213295901E+000;
3.087587587587587E+009;-1.756514196839122E+000;
3.090090090090090E+009;-1.764420478140553E+000;
3.092592592592593E+009;-1.765169005656487E+000;
3.095095095095095E+009;-1.750492649857780E+000;
3.097597597597598E+009;-1.771964136765039E+000;
3.100100100100100E+009;-1.769264000240886E+000;
3.102602602602603E+009;-1.766120176204797E+000;
3.105105105105105E+009;-1.777781442417562E+000;
3.107607607607608E+009;-1.762376583391003E+000;
3.110110110110110E+009;-1.758896174423542E+000;
3.112612612612613E+009;-1.798731504865159E+000;
3.115115115115115E+009;-1.786520581307343E+000;
3.117617617617618E+009;-1.779396560331680E+000;
3.120120120120120E+009;-1.796924458175453E+000;
3.122622622622623E+009;-1.791441861856181E+000;
3.125125125125125E+009;-1.814449158493435E+000;
3.127627627627628E+009;-1.786388329761600E+000;
3.130130130130130E+009;-1.830087959789386E+000;
3.132632632632633E+009;-1.801399563319714E+000;
3.135135135135135E+009;-1.804639179682925E+000;
3.137637637637638E+009;-1.834570087321534E+000;
3.140140140140140E+009;-1.826131057770188E+000;
3.142642642642643E+009;-1.824489251588533E+000;
3.145145145145145E+009;-1.843037291870636E+000;
3.147647647647648E+009;-1.816618092031556E+000;
3.150150150150150E+009;-1.819593077036054E+000;
3.152652652652653E+009;-1.846892973882883E+000;
3.155155155155155E+009;-1.849326641217875E+000;
3.157657657657658E+009;-1.843074865697238E+000;
3.160160160160160E+009;-1.850393737152723E+000;
3.162662662662663E+009;-1.864790914275017E+000;
3.165165165165165E+009;-1.855526371898115E+000;
3.167667667667668E+009;-1.873782395887950E+000;
3.170170170170170E+009;-1.874381161753695E+000;
3.172672672672673E+009;-1.856887510584885E+000;
3.175175175175175E+009;-1.863641088382810E+000;
3.177677677677678E+009;-1.870097437954423E+000;
3.180180180180180E+009;-1.873229242966593E+000;
3.182682682682683E+009;-1.870754661903773E+000;
3.185185185185185E+009;-1.893598259882281E+000;
3.187687687687688E+009;-1.858534029210941E+000;
3.190190190190190E+009;-1.827600458923049E+000;
3.192692692692693E+009;-1.815493460436473E+000;
3.195195195195195E+009;-1.845845886403193E+000;
3.197697697697698E+009;-1.844240414874891E+000;
3.200200200200200E+009;-1.875681660936924E+000;
3.202702702702703E+009;-1.909895997335890E+000;
3.205205205205205E+009;-1.905680070711061E+000;
3.207707707707708E+009;-1.914661985068907E+000;
3.210210210210210E+009;-1.925433256875364E+000;
3.212712712712713E+009;-1.889435985268690E+000;
3.215215215215215E+009;-1.919752282967399E+000;
3.217717717717718E+009;-1.926527485147342E+000;
3.220220220220220E+009;-1.924688029070056E+000;
3.222722722722723E+009;-1.935740154412895E+000;
3.225225225225225E+009;-1.923402329090033E+000;
3.227727727727728E+009;-1.918666432837016E+000;
3.230230230230230E+009;-1.928919478835820E+000;
3.232732732732733E+009;-1.941051145621659E+000;
3.235235235235235E+009;-1.937462937169346E+000;
3.237737737737738E+009;-1.926798751447653E+000;
3.240240240240240E+009;-1.962175746271475E+000;
3.242742742742743E+009;-1.918394036178033E+000;
3.245245245245246E+009;-1.953420274690320E+000;
3.247747747747748E+009;-1.955462182576623E+000;
3.250250250250250E+009;-1.953378000626131E+000;
3.252752752752753E+009;-1.940347779066615E+000;
3.255255255255255E+009;-1.939736496956084E+000;
3.257757757757758E+009;-1.935703071768649E+000;
3.260260260260260E+009;-1.937332186260548E+000;
3.262762762762763E+009;-1.954259708373697E+000;
3.265265265265266E+009;-1.958388786555487E+000;
3.267767767767768E+009;-1.956016925707593E+000;
3.270270270270270E+009;-1.941701477874031E+000;
3.272772772772773E+009;-1.947502909945088E+000;
3.275275275275275E+009;-1.941868097775177E+000;
3.277777777777778E+009;-1.957048073430050E+000;
3.280280280280280E+009;-1.946219798837641E+000;
3.282782782782783E+009;-1.953329583770399E+000;
3.285285285285286E+009;-1.946553179029214E+000;
3.287787787787788E+009;-1.945488911489595E+000;
3.290290290290290E+009;-1.939804525060090E+000;
3.292792792792793E+009;-1.940333214206582E+000;
3.295295295295295E+009;-1.944740971161826E+000;
3.297797797797798E+009;-1.945802475154565E+000;
3.300300300300300E+009;-1.930685601064260E+000;
3.302802802802803E+009;-1.943412056045357E+000;
3.305305305305306E+009;-1.933168643836782E+000;
3.307807807807808E+009;-1.938876863650368E+000;
3.310310310310310E+009;-1.938070464971780E+000;
3.312812812812813E+009;-1.917827098575627E+000;
3.315315315315315E+009;-1.912510826671711E+000;
3.317817817817818E+009;-1.927835039100097E+000;
3.320320320320320E+009;-1.920318749154006E+000;
3.322822822822823E+009;-1.913378688067564E+000;
3.325325325325326E+009;-1.911371395020961E+000;
3.327827827827828E+009;-1.914084214536019E+000;
3.330330330330330E+009;-1.919413406681515E+000;
3.332832832832833E+009;-1.901791281699958E+000;
3.335335335335335E+009;-1.911097895440752E+000;
3.337837837837838E+009;-1.908931902984338E+000;
3.340340340340340E+009;-1.878983896149103E+000;
3.342842842842843E+009;-1.890076619492997E+000;
3.345345345345346E+009;-1.883223135606885E+000;
3.347847847847848E+009;-1.915888323436204E+000;
3.350350350350350E+009;-1.896379172915871E+000;
3.352852852852853E+009;-1.894802630208762E+000;
3.355355355355355E+009;-1.863874746676795E+000;
3.357857857857858E+009;-1.894411759458537E+000;
3.360360360360360E+009;-1.867310447056663E+000;
3.362862862862863E+009;-1.888191679382281E+000;
3.365365365365366E+009;-1.862562505344376E+000;
3.367867867867868E+009;-1.883935519380530E+000;
3.370370370370370E+009;-1.877148213044074E+000;
3.372872872872873E+009;-1.870345457947965E+000;
3.375375375375375E+009;-1.855494255471910E+000;
3.377877877877878E+009;-1.864325668424309E+000;
