# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-7.293855115738579E-002;
1.099099099099099E+007;-8.733818023873553E-002;
1.198198198198198E+007;-1.149449653980398E-001;
1.297297297297297E+007;-1.400707596857624E-001;
1.396396396396396E+007;-1.728214620709503E-001;
1.495495495495496E+007;-1.690163515104463E-001;
1.594594594594595E+007;-1.780280821268931E-001;
1.693693693693694E+007;-1.879539386509586E-001;
1.792792792792793E+007;-1.989277188277432E-001;
1.891891891891892E+007;-2.342964065497746E-001;
1.990990990990991E+007;-2.312505819366445E-001;
2.090090090090090E+007;-2.452357936395055E-001;
2.189189189189189E+007;-2.548609685037215E-001;
2.288288288288289E+007;-2.517080272381485E-001;
2.387387387387388E+007;-2.614268089251694E-001;
2.486486486486486E+007;-2.586974162652491E-001;
2.585585585585586E+007;-2.682627667049547E-001;
2.684684684684685E+007;-2.714781920740046E-001;
2.783783783783784E+007;-2.644021714145888E-001;
2.882882882882883E+007;-2.716312810073787E-001;
2.981981981981982E+007;-2.816503906218028E-001;
3.081081081081081E+007;-2.681860424063637E-001;
3.180180180180180E+007;-2.684222534854631E-001;
3.279279279279279E+007;-2.812556016131794E-001;
3.378378378378379E+007;-2.829197397137710E-001;
3.477477477477478E+007;-3.304418352807122E-001;
3.576576576576577E+007;-3.094345236308261E-001;
3.675675675675675E+007;-6.028494835876007E-001;
3.774774774774775E+007;-5.812136052615868E-001;
3.873873873873874E+007;-5.596807417407236E-001;
3.972972972972973E+007;-5.408326640194704E-001;
4.072072072072072E+007;-5.188748413859637E-001;
4.171171171171171E+007;-5.017132495597980E-001;
4.270270270270270E+007;-4.817925634178872E-001;
4.369369369369370E+007;-4.633788660899351E-001;
4.468468468468469E+007;-4.470082977623196E-001;
4.567567567567568E+007;-4.297007481044583E-001;
4.666666666666666E+007;-4.124062275463282E-001;
4.765765765765766E+007;-3.975997593783489E-001;
4.864864864864865E+007;-3.805875882737104E-001;
4.963963963963964E+007;-3.648003206171749E-001;
5.063063063063064E+007;-3.622562492920973E-001;
5.162162162162162E+007;-3.663688610780476E-001;
5.261261261261261E+007;-3.689215532785861E-001;
5.360360360360360E+007;-3.720020977234728E-001;
