# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.674381116018143E+002;
1.099099099099099E+007;1.660432299321180E+002;
1.198198198198198E+007;1.650142311581237E+002;
1.297297297297297E+007;1.638446204670317E+002;
1.396396396396396E+007;1.626449940329851E+002;
1.495495495495496E+007;1.614839693198393E+002;
1.594594594594595E+007;1.602775282919166E+002;
1.693693693693694E+007;1.589546499980608E+002;
1.792792792792793E+007;1.577991553191531E+002;
1.891891891891892E+007;1.567663913019426E+002;
1.990990990990991E+007;1.555992620149994E+002;
2.090090090090090E+007;1.544342518447793E+002;
2.189189189189189E+007;1.533324965248374E+002;
2.288288288288289E+007;1.522270891920408E+002;
2.387387387387388E+007;1.510688506467413E+002;
2.486486486486486E+007;1.498677273826811E+002;
2.585585585585586E+007;1.487373360244740E+002;
2.684684684684685E+007;1.477188308832481E+002;
2.783783783783784E+007;1.466353117706702E+002;
2.882882882882883E+007;1.454068535106546E+002;
2.981981981981982E+007;1.443418816978629E+002;
3.081081081081081E+007;1.432034571662518E+002;
3.180180180180180E+007;1.420251600097888E+002;
3.279279279279279E+007;1.409700958890249E+002;
3.378378378378379E+007;1.398357442421216E+002;
3.477477477477478E+007;1.388315074396046E+002;
3.576576576576577E+007;1.375438991766634E+002;
3.675675675675675E+007;1.384743267311916E+002;
3.774774774774775E+007;1.372171254681117E+002;
3.873873873873874E+007;1.359722096814416E+002;
3.972972972972973E+007;1.347094814381344E+002;
4.072072072072072E+007;1.334535810508965E+002;
4.171171171171171E+007;1.321788679317254E+002;
4.270270270270270E+007;1.309217943619505E+002;
4.369369369369370E+007;1.296336992222332E+002;
4.468468468468469E+007;1.283717560327511E+002;
4.567567567567568E+007;1.270722249227269E+002;
4.666666666666666E+007;1.257611496668259E+002;
4.765765765765766E+007;1.244408357516200E+002;
4.864864864864865E+007;1.231609341288612E+002;
4.963963963963964E+007;1.218697080301471E+002;
5.063063063063064E+007;1.206047233031783E+002;
5.162162162162162E+007;1.194827011716387E+002;
5.261261261261261E+007;1.183118032468447E+002;
5.360360360360360E+007;1.171622765740047E+002;
5.459459459459460E+007;1.159874614290734E+002;
5.558558558558559E+007;1.148334237120400E+002;
5.657657657657658E+007;1.136967391170372E+002;
5.756756756756757E+007;1.125882217333997E+002;
5.855855855855856E+007;1.114483235133109E+002;
5.954954954954955E+007;1.103504475956544E+002;
6.054054054054054E+007;1.092244255709994E+002;
6.153153153153154E+007;1.081248809790762E+002;
6.252252252252252E+007;1.070020191964858E+002;
6.351351351351351E+007;1.058888099623822E+002;
6.450450450450450E+007;1.047810474316326E+002;
6.549549549549550E+007;1.036754310185909E+002;
6.648648648648649E+007;1.025378117800046E+002;
6.747747747747748E+007;1.014030691439909E+002;
6.846846846846847E+007;1.002819379387882E+002;
6.945945945945945E+007;9.915166455212429E+001;
7.045045045045045E+007;9.801077074542287E+001;
7.144144144144145E+007;9.688855893755890E+001;
7.243243243243244E+007;9.575666250290652E+001;
7.342342342342342E+007;9.460781872680879E+001;
7.441441441441441E+007;9.347880202785204E+001;
7.540540540540540E+007;9.235034828790370E+001;
7.639639639639640E+007;9.122808964597314E+001;
7.738738738738740E+007;9.009185029765357E+001;
7.837837837837838E+007;8.897689162709105E+001;
7.936936936936937E+007;8.786618960771378E+001;
8.036036036036035E+007;8.675358176543517E+001;
8.135135135135135E+007;8.563094942728480E+001;
8.234234234234235E+007;8.449384852346540E+001;
8.333333333333333E+007;8.338599659852778E+001;
8.432432432432433E+007;8.226655510283989E+001;
8.531531531531532E+007;8.114784401376340E+001;
8.630630630630630E+007;8.001912487947774E+001;
8.729729729729730E+007;7.890534456050567E+001;
8.828828828828830E+007;7.776261441166716E+001;
8.927927927927928E+007;7.662884720837943E+001;
9.027027027027027E+007;7.548255128968164E+001;
9.126126126126127E+007;7.433425927461632E+001;
9.225225225225225E+007;7.319232171392306E+001;
9.324324324324325E+007;7.203445584212086E+001;
9.423423423423423E+007;7.089338742534991E+001;
9.522522522522523E+007;6.973598473048806E+001;
9.621621621621622E+007;6.859406737601917E+001;
9.720720720720720E+007;6.749254753666648E+001;
9.819819819819820E+007;6.638198704920571E+001;
9.918918918918920E+007;6.530019869266856E+001;
1.001801801801802E+008;6.416285833860550E+001;
1.011711711711712E+008;6.298134258936046E+001;
1.021621621621622E+008;6.179940422325218E+001;
1.031531531531532E+008;6.063119385879826E+001;
1.041441441441442E+008;5.948994033761246E+001;
1.051351351351351E+008;5.836831546216805E+001;
1.061261261261261E+008;5.724537816681629E+001;
1.071171171171171E+008;5.613180069899280E+001;
1.081081081081081E+008;5.490777289071593E+001;
1.090990990990991E+008;5.378274817468141E+001;
1.100900900900901E+008;5.266228620107641E+001;
1.110810810810811E+008;5.153459164631852E+001;
1.120720720720721E+008;5.040718727392123E+001;
1.130630630630631E+008;4.928219607576576E+001;
1.140540540540541E+008;4.816635572213365E+001;
1.150450450450451E+008;4.701920758887430E+001;
1.160360360360360E+008;4.587557256395181E+001;
1.170270270270270E+008;4.472993669827325E+001;
1.180180180180180E+008;4.357977291438574E+001;
1.190090090090090E+008;4.243121828309941E+001;
1.200000000000000E+008;4.128123644330474E+001;
1.209909909909910E+008;4.013996993222942E+001;
1.219819819819820E+008;3.899760632688382E+001;
1.229729729729730E+008;3.784603078273343E+001;
1.239639639639640E+008;3.669482923429393E+001;
1.249549549549550E+008;3.555236089277054E+001;
1.259459459459460E+008;3.440523498385601E+001;
1.269369369369369E+008;3.326218395103845E+001;
1.279279279279279E+008;3.212325574432641E+001;
1.289189189189189E+008;3.098063765128400E+001;
1.299099099099099E+008;2.984059580062034E+001;
1.309009009009009E+008;2.867468245536215E+001;
1.318918918918919E+008;2.752013891447991E+001;
1.328828828828829E+008;2.636633593742337E+001;
1.338738738738739E+008;2.521908907779931E+001;
1.348648648648649E+008;2.407079754780408E+001;
1.358558558558559E+008;2.292114938625176E+001;
1.368468468468469E+008;2.177274175997544E+001;
1.378378378378379E+008;2.062695809309673E+001;
1.388288288288288E+008;1.948487317393964E+001;
1.398198198198198E+008;1.834591492888935E+001;
1.408108108108108E+008;1.721387285553543E+001;
1.418018018018018E+008;1.606647502917731E+001;
1.427927927927928E+008;1.492252572229385E+001;
1.437837837837838E+008;1.377611104968668E+001;
1.447747747747748E+008;1.263510006388398E+001;
1.457657657657658E+008;1.149142406395359E+001;
1.467567567567568E+008;1.032162986656041E+001;
1.477477477477478E+008;9.183712865268038E+000;
1.487387387387388E+008;8.046214646917271E+000;
1.497297297297297E+008;6.901713519146788E+000;
1.507207207207207E+008;5.758518775144878E+000;
1.517117117117117E+008;4.610398031276311E+000;
1.527027027027027E+008;3.471610461566962E+000;
1.536936936936937E+008;2.325468828783624E+000;
1.546846846846847E+008;1.187581904897397E+000;
1.556756756756757E+008;4.672514317967087E-002;
1.566666666666667E+008;-1.100829078410764E+000;
1.576576576576577E+008;-2.246618229846651E+000;
1.586486486486487E+008;-3.400408827570089E+000;
1.596396396396397E+008;-4.565659251767496E+000;
1.606306306306306E+008;-5.723216349991892E+000;
1.616216216216216E+008;-6.879709756279319E+000;
1.626126126126126E+008;-8.023594673937410E+000;
1.636036036036036E+008;-9.166646782026286E+000;
1.645945945945946E+008;-1.031067100133040E+001;
1.655855855855856E+008;-1.145326148587346E+001;
1.665765765765766E+008;-1.259403592447119E+001;
1.675675675675676E+008;-1.373192525402845E+001;
1.685585585585586E+008;-1.487606520026389E+001;
1.695495495495496E+008;-1.602205536316899E+001;
1.705405405405406E+008;-1.717570273483052E+001;
1.715315315315315E+008;-1.832726353059971E+001;
1.725225225225225E+008;-1.948077260452552E+001;
1.735135135135135E+008;-2.063214028340577E+001;
1.745045045045045E+008;-2.178849872036865E+001;
1.754954954954955E+008;-2.294598101302839E+001;
1.764864864864865E+008;-2.410704244409843E+001;
1.774774774774775E+008;-2.527104533153536E+001;
1.784684684684685E+008;-2.644019870952121E+001;
1.794594594594595E+008;-2.758641054002867E+001;
1.804504504504505E+008;-2.873666797359553E+001;
1.814414414414415E+008;-2.988433121458753E+001;
1.824324324324324E+008;-3.103809963153035E+001;
1.834234234234234E+008;-3.218844010745858E+001;
1.844144144144144E+008;-3.334710392793616E+001;
1.854054054054054E+008;-3.450206752409510E+001;
1.863963963963964E+008;-3.565820872708598E+001;
1.873873873873874E+008;-3.680814213443786E+001;
1.883783783783784E+008;-3.795146053239567E+001;
1.893693693693694E+008;-3.909954762292904E+001;
1.903603603603604E+008;-4.024685188141115E+001;
1.913513513513514E+008;-4.139837410685072E+001;
1.923423423423424E+008;-4.254699029628979E+001;
