# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-1.470391881506495E-001;
1.099099099099099E+007;-5.169365767359980E-002;
1.198198198198198E+007;-2.009416853244152E-001;
1.297297297297297E+007;-1.790596279622996E-001;
1.396396396396396E+007;-1.942007722484766E-001;
1.495495495495496E+007;-1.504087481910175E-001;
1.594594594594595E+007;-2.233398733271291E-001;
1.693693693693694E+007;-2.082321490183822E-001;
1.792792792792793E+007;-2.271698636808776E-001;
1.891891891891892E+007;-1.840995026241902E-001;
1.990990990990991E+007;-2.424282317341401E-001;
2.090090090090090E+007;-2.498468789058274E-001;
2.189189189189189E+007;-2.847270879586741E-001;
2.288288288288289E+007;-2.683340577733542E-001;
2.387387387387388E+007;-2.679011952257669E-001;
2.486486486486486E+007;-2.603647413982027E-001;
2.585585585585586E+007;-2.656555115422163E-001;
2.684684684684685E+007;-2.711834350706143E-001;
2.783783783783784E+007;-2.896029045736130E-001;
2.882882882882883E+007;-2.691635348175994E-001;
2.981981981981982E+007;-2.858770415558199E-001;
3.081081081081081E+007;-2.660302489671399E-001;
3.180180180180180E+007;-2.784293967781294E-001;
3.279279279279279E+007;-2.921640350985679E-001;
3.378378378378379E+007;-2.992416563999010E-001;
3.477477477477478E+007;-3.779873108188468E-001;
3.576576576576577E+007;-3.160602425651302E-001;
3.675675675675675E+007;-5.937807315365957E-001;
3.774774774774775E+007;-5.898641824905034E-001;
3.873873873873874E+007;-5.598754606398760E-001;
3.972972972972973E+007;-5.478034914817598E-001;
4.072072072072072E+007;-5.349191685578338E-001;
4.171171171171171E+007;-5.027535809415270E-001;
4.270270270270270E+007;-4.795465266574070E-001;
4.369369369369370E+007;-4.657852334181628E-001;
4.468468468468469E+007;-4.468481001155186E-001;
4.567567567567568E+007;-4.545772638795583E-001;
4.666666666666666E+007;-4.336574520579942E-001;
4.765765765765766E+007;-4.098036658081410E-001;
4.864864864864865E+007;-3.890916709765582E-001;
4.963963963963964E+007;-3.815511313661679E-001;
5.063063063063064E+007;-3.675088028815602E-001;
5.162162162162162E+007;-3.787378727168518E-001;
5.261261261261261E+007;-3.899247749842233E-001;
5.360360360360360E+007;-3.727476680524965E-001;
5.459459459459460E+007;-3.805865507520179E-001;
5.558558558558559E+007;-3.847779377528028E-001;
5.657657657657658E+007;-3.824009618877979E-001;
5.756756756756757E+007;-3.890892971015275E-001;
5.855855855855856E+007;-3.902103721939481E-001;
5.954954954954955E+007;-3.813812871981656E-001;
6.054054054054054E+007;-3.984551731077698E-001;
6.153153153153154E+007;-3.884202493006979E-001;
6.252252252252252E+007;-4.169258934383124E-001;
6.351351351351351E+007;-3.935277284833615E-001;
6.450450450450450E+007;-4.041931862048794E-001;
6.549549549549550E+007;-4.060212303047979E-001;
6.648648648648649E+007;-4.060459011181274E-001;
6.747747747747748E+007;-4.038934805350107E-001;
6.846846846846847E+007;-4.198019407809004E-001;
6.945945945945945E+007;-3.818885913934310E-001;
7.045045045045045E+007;-4.010245557220984E-001;
7.144144144144145E+007;-3.991944134757733E-001;
7.243243243243244E+007;-4.104282989773232E-001;
7.342342342342342E+007;-4.135687902949664E-001;
7.441441441441441E+007;-4.080639878688742E-001;
7.540540540540540E+007;-4.184409715331838E-001;
7.639639639639640E+007;-4.039761455976227E-001;
7.738738738738740E+007;-4.135911897216749E-001;
7.837837837837838E+007;-4.103682757823877E-001;
7.936936936936937E+007;-4.202191727569574E-001;
8.036036036036035E+007;-3.981152012450318E-001;
8.135135135135135E+007;-4.092534792416686E-001;
8.234234234234235E+007;-4.075952061492811E-001;
8.333333333333333E+007;-3.975778547411810E-001;
8.432432432432433E+007;-4.214099474437998E-001;
8.531531531531532E+007;-3.981532523402881E-001;
8.630630630630630E+007;-4.168571461554931E-001;
8.729729729729730E+007;-4.092955635888535E-001;
8.828828828828830E+007;-4.168877611559367E-001;
8.927927927927928E+007;-3.972458538320846E-001;
9.027027027027027E+007;-4.167350105506933E-001;
9.126126126126127E+007;-4.066848146815882E-001;
9.225225225225225E+007;-4.115955211552921E-001;
9.324324324324325E+007;-4.163857530055432E-001;
9.423423423423423E+007;-4.233049322471428E-001;
9.522522522522523E+007;-4.188111415646579E-001;
9.621621621621622E+007;-4.244420807255503E-001;
9.720720720720720E+007;-4.221814485102349E-001;
9.819819819819820E+007;-4.161576889139969E-001;
9.918918918918920E+007;-4.150680602187670E-001;
1.001801801801802E+008;-4.219779376083542E-001;
1.011711711711712E+008;-4.146935692786377E-001;
1.021621621621622E+008;-4.170391951972599E-001;
1.031531531531532E+008;-4.168685597215563E-001;
1.041441441441442E+008;-4.132602912983581E-001;
1.051351351351351E+008;-4.121586999327656E-001;
1.061261261261261E+008;-4.105502303337350E-001;
1.071171171171171E+008;-4.012061725021878E-001;
1.081081081081081E+008;-3.685428888927975E-001;
