# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-2.720728086645850E-001;
1.299299299299299E+007;-7.172351252693182E-002;
1.598598598598599E+007;-2.112636763795765E-001;
1.897897897897898E+007;3.838277554245486E-002;
2.197197197197197E+007;2.260864464532764E-001;
2.496496496496496E+007;-9.285000012633285E-002;
2.795795795795796E+007;-4.605536074144419E-002;
3.095095095095095E+007;8.699463712120212E-002;
3.394394394394395E+007;-1.474488234816019E-001;
3.693693693693694E+007;2.875443746496547E-001;
3.992992992992993E+007;1.754125709053826E-002;
4.292292292292292E+007;8.686582514123897E-002;
4.591591591591591E+007;-2.115546512762059E-002;
4.890890890890891E+007;3.162909864561673E-002;
5.190190190190190E+007;2.434040108597676E-003;
5.489489489489490E+007;3.767043798193551E-002;
5.788788788788789E+007;5.964094887068235E-002;
6.088088088088088E+007;-1.340354147298756E-001;
6.387387387387388E+007;-6.747544511159019E-003;
6.686686686686686E+007;-3.686083554266996E-002;
6.985985985985985E+007;-8.551022324676284E-002;
7.285285285285285E+007;-3.265734544608592E-002;
7.584584584584585E+007;-2.181019073898621E-003;
7.883883883883885E+007;-1.532388605233099E-001;
8.183183183183183E+007;-1.028529535376592E-001;
8.482482482482483E+007;-4.014042123021602E-002;
8.781781781781782E+007;-1.165265965157211E-003;
9.081081081081080E+007;-9.165892496830859E-002;
9.380380380380380E+007;-8.471948462288849E-002;
9.679679679679680E+007;-1.092189069606094E-001;
9.978978978978980E+007;-2.480086439180394E-001;
1.027827827827828E+008;-1.413353311133780E-001;
1.057757757757758E+008;-2.826500642680875E-001;
1.087687687687688E+008;-1.772870043364126E-001;
1.117617617617618E+008;-2.388818141248962E-001;
1.147547547547548E+008;-1.405271207341183E-001;
1.177477477477478E+008;-1.180831706084619E-001;
1.207407407407408E+008;-3.238117083205364E-001;
1.237337337337337E+008;-2.965623737232165E-001;
1.267267267267267E+008;-2.506832893028794E-001;
1.297197197197197E+008;-3.203032810338800E-001;
1.327127127127127E+008;-3.455310116293253E-001;
1.357057057057057E+008;-3.099071002183914E-001;
1.386986986986987E+008;-3.736251699559846E-001;
1.416916916916917E+008;-3.972144703167564E-001;
1.446846846846847E+008;-4.198562301916534E-001;
1.476776776776777E+008;-4.304556604707590E-001;
1.506706706706707E+008;-3.989546325301651E-001;
1.536636636636637E+008;-4.047517212683786E-001;
1.566566566566567E+008;-4.990366323345417E-001;
1.596496496496497E+008;-5.044536439821515E-001;
1.626426426426427E+008;-4.357308192268980E-001;
1.656356356356356E+008;-5.563840607432884E-001;
1.686286286286286E+008;-4.815010955047795E-001;
1.716216216216216E+008;-5.552559278758293E-001;
1.746146146146146E+008;-5.123802519464215E-001;
1.776076076076076E+008;-5.135209238518004E-001;
1.806006006006006E+008;-5.275748437285650E-001;
1.835935935935936E+008;-5.884128706695947E-001;
1.865865865865866E+008;-5.415716127756959E-001;
1.895795795795796E+008;-6.134277377714664E-001;
1.925725725725726E+008;-6.081984834875033E-001;
1.955655655655656E+008;-6.213894799742276E-001;
1.985585585585586E+008;-6.301527533673171E-001;
2.015515515515516E+008;-6.406738138075696E-001;
2.045445445445446E+008;-6.488471938663559E-001;
2.075375375375375E+008;-6.620686420169230E-001;
2.105305305305305E+008;-6.879612567946862E-001;
2.135235235235235E+008;-7.439450900421814E-001;
2.165165165165165E+008;-7.688926095839485E-001;
2.195095095095095E+008;-7.780607487844659E-001;
2.225025025025025E+008;-8.552704746005445E-001;
2.254954954954955E+008;-9.273807469354978E-001;
2.284884884884885E+008;-9.481333293894132E-001;
2.314814814814815E+008;-9.768458818748836E-001;
2.344744744744745E+008;-1.056327803720278E+000;
2.374674674674675E+008;-1.094674471914200E+000;
2.404604604604605E+008;-1.221224189915875E+000;
2.434534534534535E+008;-1.266849316329944E+000;
2.464464464464465E+008;-1.323384632063897E+000;
2.494394394394395E+008;-1.443243876252196E+000;
2.524324324324324E+008;-1.435709155968647E+000;
2.554254254254254E+008;-1.518291485214776E+000;
2.584184184184184E+008;-1.487694677678942E+000;
2.614114114114114E+008;-1.455902036468180E+000;
2.644044044044044E+008;-1.414513610999486E+000;
2.673973973973974E+008;-1.341494401373232E+000;
2.703903903903904E+008;-1.308374137965468E+000;
2.733833833833834E+008;-1.193862901201364E+000;
2.763763763763764E+008;-1.105638041395868E+000;
