# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;2.404554241159863E-001;
1.299299299299299E+007;-7.097387661549316E-002;
1.598598598598599E+007;1.084834372751187E-001;
1.897897897897898E+007;-3.065422129221667E-002;
2.197197197197197E+007;-1.352880421448403E-001;
2.496496496496496E+007;1.039505384352884E-001;
2.795795795795796E+007;1.837637621560193E-001;
3.095095095095095E+007;-8.252539039618001E-002;
3.394394394394395E+007;2.661548589369738E-002;
3.693693693693694E+007;4.021778993018895E-001;
3.992992992992993E+007;1.187091785016676E-001;
4.292292292292292E+007;6.680107030010994E-002;
4.591591591591591E+007;6.050566767566284E-002;
4.890890890890891E+007;-9.850194969766622E-002;
5.190190190190190E+007;-1.503026798696140E-001;
5.489489489489490E+007;-4.377889223330995E-002;
5.788788788788789E+007;3.291081567645832E-002;
6.088088088088088E+007;2.682680114338165E-003;
6.387387387387388E+007;-1.133940401208193E-001;
6.686686686686686E+007;-1.346325786542706E-002;
6.985985985985985E+007;-3.929958919356714E-002;
7.285285285285285E+007;-6.471353807055014E-002;
7.584584584584585E+007;-1.173560911783242E-002;
7.883883883883885E+007;-6.281058192801862E-002;
8.183183183183183E+007;-2.054667474143923E-001;
8.482482482482483E+007;-4.790373864053431E-002;
8.781781781781782E+007;-1.523613118058875E-001;
9.081081081081080E+007;-6.968564011397527E-002;
9.380380380380380E+007;-1.150264795240617E-001;
9.679679679679680E+007;-1.898604058504435E-001;
9.978978978978980E+007;-2.515034032083883E-001;
1.027827827827828E+008;-2.797614917343173E-001;
1.057757757757758E+008;-2.664480717811952E-001;
1.087687687687688E+008;-2.328408272769077E-001;
1.117617617617618E+008;-2.096319588767605E-001;
1.147547547547548E+008;-2.227645559692207E-001;
1.177477477477478E+008;-1.975764383606556E-001;
1.207407407407408E+008;-2.787869173481311E-001;
1.237337337337337E+008;-2.395230188859550E-001;
1.267267267267267E+008;-2.538804596769144E-001;
1.297197197197197E+008;-2.814379689286277E-001;
1.327127127127127E+008;-3.165853533797262E-001;
1.357057057057057E+008;-3.019267465268379E-001;
1.386986986986987E+008;-3.297151261045308E-001;
1.416916916916917E+008;-4.375783749576228E-001;
1.446846846846847E+008;-4.314155661054863E-001;
1.476776776776777E+008;-4.313693422981820E-001;
1.506706706706707E+008;-4.316208457073310E-001;
1.536636636636637E+008;-4.410393297740602E-001;
1.566566566566567E+008;-3.998256716365304E-001;
1.596496496496497E+008;-4.807570204593316E-001;
1.626426426426427E+008;-5.204557216644686E-001;
1.656356356356356E+008;-5.222225998990617E-001;
1.686286286286286E+008;-4.907914274068018E-001;
1.716216216216216E+008;-5.550796472704661E-001;
1.746146146146146E+008;-5.418868068537511E-001;
1.776076076076076E+008;-5.576965940604187E-001;
1.806006006006006E+008;-5.993825360887400E-001;
1.835935935935936E+008;-6.170736175081930E-001;
1.865865865865866E+008;-6.154723195279162E-001;
1.895795795795796E+008;-6.203313529191478E-001;
1.925725725725726E+008;-6.639361389212909E-001;
1.955655655655656E+008;-6.547221234436884E-001;
1.985585585585586E+008;-7.046647248069384E-001;
2.015515515515516E+008;-7.081880809233465E-001;
2.045445445445446E+008;-7.236026856806326E-001;
2.075375375375375E+008;-6.854855033036615E-001;
2.105305305305305E+008;-7.550230405475711E-001;
2.135235235235235E+008;-7.756997103714796E-001;
2.165165165165165E+008;-8.131077971094440E-001;
2.195095095095095E+008;-8.772948111452413E-001;
2.225025025025025E+008;-9.407886780338055E-001;
2.254954954954955E+008;-9.619809355850404E-001;
2.284884884884885E+008;-1.013804369122531E+000;
2.314814814814815E+008;-1.146516866763140E+000;
2.344744744744745E+008;-1.173606070259331E+000;
2.374674674674675E+008;-1.268891483558655E+000;
2.404604604604605E+008;-1.459019606832649E+000;
2.434534534534535E+008;-1.534586149787370E+000;
2.464464464464465E+008;-1.560456831822936E+000;
2.494394394394395E+008;-1.632937720376635E+000;
2.524324324324324E+008;-1.672365003863243E+000;
2.554254254254254E+008;-1.718945490332339E+000;
2.584184184184184E+008;-1.667623245741563E+000;
2.614114114114114E+008;-1.630992025459517E+000;
2.644044044044044E+008;-1.513608787045898E+000;
2.673973973973974E+008;-1.433759143829708E+000;
2.703903903903904E+008;-1.381100480985170E+000;
2.733833833833834E+008;-1.238905658087870E+000;
2.763763763763764E+008;-1.206415112061019E+000;
2.793693693693694E+008;-1.107755328040817E+000;
2.823623623623624E+008;-1.076761786473214E+000;
2.853553553553554E+008;-1.020413938473409E+000;
2.883483483483483E+008;-1.005143080476897E+000;
2.913413413413413E+008;-9.748393105783013E-001;
2.943343343343343E+008;-9.185969237553898E-001;
2.973273273273273E+008;-8.449556580690724E-001;
3.003203203203203E+008;-8.729956527897245E-001;
3.033133133133133E+008;-8.362339649207532E-001;
3.063063063063063E+008;-8.068984454143157E-001;
3.092992992992993E+008;-8.025502147467806E-001;
3.122922922922923E+008;-8.153041419353527E-001;
3.152852852852853E+008;-7.646394949647273E-001;
3.182782782782783E+008;-7.436487593074750E-001;
3.212712712712713E+008;-7.524502227420834E-001;
3.242642642642643E+008;-7.471502608933677E-001;
3.272572572572573E+008;-7.633089094741878E-001;
3.302502502502502E+008;-7.376859478486256E-001;
3.332432432432432E+008;-7.688381573292862E-001;
3.362362362362362E+008;-7.052323408707971E-001;
3.392292292292292E+008;-7.608600020657210E-001;
3.422222222222222E+008;-7.250553052471979E-001;
3.452152152152152E+008;-7.114909292939864E-001;
3.482082082082082E+008;-7.318780904821156E-001;
3.512012012012012E+008;-7.076762978691129E-001;
3.541941941941942E+008;-6.605230212584248E-001;
3.571871871871872E+008;-6.298097623765087E-001;
3.601801801801802E+008;-6.539298634317891E-001;
3.631731731731732E+008;-6.218434497781085E-001;
3.661661661661662E+008;-6.036321856623519E-001;
3.691591591591592E+008;-6.037416248542433E-001;
3.721521521521521E+008;-5.931650941266489E-001;
3.751451451451451E+008;-5.730788846810269E-001;
3.781381381381381E+008;-5.826149834580980E-001;
3.811311311311311E+008;-5.758693083817087E-001;
3.841241241241241E+008;-5.607057034615798E-001;
3.871171171171171E+008;-5.666399407821917E-001;
3.901101101101101E+008;-5.736255821546434E-001;
3.931031031031031E+008;-5.837714863207786E-001;
3.960960960960961E+008;-5.870832699585873E-001;
3.990890890890891E+008;-5.957759024175613E-001;
4.020820820820821E+008;-5.884157427642827E-001;
4.050750750750751E+008;-6.058594413063133E-001;
4.080680680680681E+008;-5.738457586836443E-001;
4.110610610610611E+008;-5.908844022834648E-001;
4.140540540540541E+008;-6.103743027660179E-001;
4.170470470470470E+008;-6.203078035663779E-001;
4.200400400400400E+008;-6.605389749973416E-001;
4.230330330330330E+008;-6.663840632202615E-001;
4.260260260260260E+008;-6.780473982463376E-001;
4.290190190190190E+008;-6.760774919207415E-001;
4.320120120120120E+008;-7.138268522126168E-001;
4.350050050050050E+008;-7.234102400489276E-001;
4.379979979979980E+008;-7.642149443349312E-001;
4.409909909909910E+008;-7.177812964294599E-001;
4.439839839839840E+008;-7.514080674548987E-001;
4.469769769769770E+008;-7.840165369842530E-001;
4.499699699699700E+008;-8.114053177335571E-001;
4.529629629629630E+008;-8.510205146030451E-001;
4.559559559559560E+008;-8.840550570606893E-001;
4.589489489489489E+008;-9.242820259057453E-001;
4.619419419419419E+008;-9.529026618254041E-001;
4.649349349349349E+008;-9.763088942695170E-001;
4.679279279279279E+008;-9.994692812332080E-001;
4.709209209209209E+008;-1.034630696020054E+000;
4.739139139139139E+008;-1.092552831425401E+000;
4.769069069069069E+008;-1.059877397428951E+000;
4.798998998998999E+008;-1.043874255599554E+000;
4.828928928928929E+008;-1.109246447548514E+000;
4.858858858858859E+008;-1.111789658606269E+000;
