# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.234695050129443E+001;
1.299299299299299E+007;-1.313974354306111E+001;
1.598598598598599E+007;-1.878931436300123E+001;
1.897897897897898E+007;-2.100647170372001E+001;
2.197197197197197E+007;-2.412792908038409E+001;
2.496496496496496E+007;-3.033759478050696E+001;
2.795795795795796E+007;-3.364516044285416E+001;
3.095095095095095E+007;-3.771073314055204E+001;
3.394394394394395E+007;-4.218612399201930E+001;
3.693693693693694E+007;-4.394463118689293E+001;
3.992992992992993E+007;-4.839634024150467E+001;
4.292292292292292E+007;-5.271060880023397E+001;
4.591591591591591E+007;-5.647568226941518E+001;
4.890890890890891E+007;-5.839018990679496E+001;
5.190190190190190E+007;-6.300432699949472E+001;
5.489489489489490E+007;-6.747510663022709E+001;
5.788788788788789E+007;-6.963396948818232E+001;
6.088088088088088E+007;-7.518227873086227E+001;
6.387387387387388E+007;-7.798528575880968E+001;
6.686686686686686E+007;-8.232665155186379E+001;
6.985985985985985E+007;-8.558898929577281E+001;
7.285285285285285E+007;-8.913166381511145E+001;
7.584584584584585E+007;-9.316570022153870E+001;
7.883883883883885E+007;-9.626721552581915E+001;
8.183183183183183E+007;-9.969279877365263E+001;
8.482482482482483E+007;-1.031730661317586E+002;
8.781781781781782E+007;-1.064370213030008E+002;
9.081081081081080E+007;-1.109728023085057E+002;
9.380380380380380E+007;-1.149112045546987E+002;
9.679679679679680E+007;-1.184489826462270E+002;
9.978978978978980E+007;-1.229136651214605E+002;
1.027827827827828E+008;-1.260796408971947E+002;
1.057757757757758E+008;-1.299015961875936E+002;
1.087687687687688E+008;-1.341914986644776E+002;
1.117617617617618E+008;-1.375285973651334E+002;
1.147547547547548E+008;-1.417321819577626E+002;
1.177477477477478E+008;-1.451479230096786E+002;
1.207407407407408E+008;-1.492604712779608E+002;
1.237337337337337E+008;-1.529289246117406E+002;
1.267267267267267E+008;-1.558392963798273E+002;
1.297197197197197E+008;-1.602446058929740E+002;
1.327127127127127E+008;-1.644502322829270E+002;
1.357057057057057E+008;-1.682668613320974E+002;
1.386986986986987E+008;-1.720868307025129E+002;
1.416916916916917E+008;-1.762108439132601E+002;
1.446846846846847E+008;1.795866860068624E+002;
1.476776776776777E+008;1.764197476882235E+002;
1.506706706706707E+008;1.722737779369440E+002;
1.536636636636637E+008;1.679569661725589E+002;
1.566566566566567E+008;1.636985952703659E+002;
1.596496496496497E+008;1.593611445240915E+002;
1.626426426426427E+008;1.553007826573935E+002;
1.656356356356356E+008;1.510731670581943E+002;
1.686286286286286E+008;1.460838332027495E+002;
1.716216216216216E+008;1.420601749086114E+002;
1.746146146146146E+008;1.377512096959265E+002;
1.776076076076076E+008;1.334219101206636E+002;
1.806006006006006E+008;1.285460858616590E+002;
1.835935935935936E+008;1.236758179489285E+002;
1.865865865865866E+008;1.188113119571769E+002;
1.895795795795796E+008;1.136907481769076E+002;
1.925725725725726E+008;1.084813349686506E+002;
1.955655655655656E+008;1.033320576402056E+002;
1.985585585585586E+008;9.776549794161188E+001;
2.015515515515516E+008;9.194470856222242E+001;
2.045445445445446E+008;8.603435130793454E+001;
2.075375375375375E+008;7.948876158830755E+001;
2.105305305305305E+008;7.311517279636598E+001;
2.135235235235235E+008;6.644897977250989E+001;
2.165165165165165E+008;5.866600736688945E+001;
2.195095095095095E+008;5.087077020476969E+001;
2.225025025025025E+008;4.226918059705806E+001;
2.254954954954955E+008;3.315209667538740E+001;
2.284884884884885E+008;2.319552263438711E+001;
2.314814814814815E+008;1.241394881020622E+001;
2.344744744744745E+008;1.061235370124014E+000;
2.374674674674675E+008;-1.224910786935526E+001;
2.404604604604605E+008;-2.694306842720339E+001;
2.434534534534535E+008;-4.233600683220458E+001;
2.464464464464465E+008;-5.875000827660273E+001;
2.494394394394395E+008;-7.609658928874359E+001;
2.524324324324324E+008;-9.410328241296210E+001;
2.554254254254254E+008;-1.117920359093191E+002;
2.584184184184184E+008;-1.297429021875885E+002;
2.614114114114114E+008;-1.463330756655754E+002;
2.644044044044044E+008;-1.618698773915189E+002;
2.673973973973974E+008;-1.760707841897962E+002;
2.703903903903904E+008;1.705817315345358E+002;
2.733833833833834E+008;1.582470944503864E+002;
2.763763763763764E+008;1.472708400906038E+002;
2.793693693693694E+008;1.370005630990087E+002;
2.823623623623624E+008;1.276032342813184E+002;
2.853553553553554E+008;1.188322742852655E+002;
2.883483483483483E+008;1.106369416816677E+002;
2.913413413413413E+008;1.034294023562671E+002;
2.943343343343343E+008;9.619046202319396E+001;
2.973273273273273E+008;8.965450965150889E+001;
3.003203203203203E+008;8.308853786094382E+001;
3.033133133133133E+008;7.716263698778465E+001;
3.063063063063063E+008;7.107904225942446E+001;
3.092992992992993E+008;6.548774659963976E+001;
3.122922922922923E+008;6.018769453459843E+001;
3.152852852852853E+008;5.504050885720295E+001;
3.182782782782783E+008;4.982680671275941E+001;
3.212712712712713E+008;4.483628827797176E+001;
3.242642642642643E+008;3.989408086071222E+001;
3.272572572572573E+008;3.517575978188176E+001;
3.302502502502502E+008;3.053291677732666E+001;
3.332432432432432E+008;2.601066480707004E+001;
3.362362362362362E+008;2.155327254833096E+001;
3.392292292292292E+008;1.704206476332141E+001;
3.422222222222222E+008;1.265211745545484E+001;
3.452152152152152E+008;8.430853938986093E+000;
3.482082082082082E+008;4.280339458117913E+000;
3.512012012012012E+008;1.431006598919172E-002;
3.541941941941942E+008;-4.021171825831247E+000;
3.571871871871872E+008;-8.283617414402857E+000;
3.601801801801802E+008;-1.230712715776894E+001;
3.631731731731732E+008;-1.628924057426120E+001;
3.661661661661662E+008;-2.034915554803046E+001;
3.691591591591592E+008;-2.442774068028097E+001;
3.721521521521521E+008;-2.826118525199767E+001;
3.751451451451451E+008;-3.225666048714044E+001;
3.781381381381381E+008;-3.613317797053301E+001;
3.811311311311311E+008;-3.999249407544307E+001;
3.841241241241241E+008;-4.401852891494099E+001;
3.871171171171171E+008;-4.781240281119951E+001;
3.901101101101101E+008;-5.159499497791824E+001;
3.931031031031031E+008;-5.551912313495757E+001;
3.960960960960961E+008;-5.912011789104946E+001;
3.990890890890891E+008;-6.305991396545184E+001;
4.020820820820821E+008;-6.670633946869191E+001;
4.050750750750751E+008;-7.062556868782727E+001;
4.080680680680681E+008;-7.423322582567064E+001;
4.110610610610611E+008;-7.767148341929574E+001;
4.140540540540541E+008;-8.135310712657771E+001;
4.170470470470470E+008;-8.515586292321559E+001;
4.200400400400400E+008;-8.879611779043313E+001;
4.230330330330330E+008;-9.247586277413643E+001;
4.260260260260260E+008;-9.632484939584307E+001;
4.290190190190190E+008;-9.993869654996031E+001;
4.320120120120120E+008;-1.033696442204287E+002;
4.350050050050050E+008;-1.068839809823607E+002;
4.379979979979980E+008;-1.104611025037892E+002;
4.409909909909910E+008;-1.148608259825649E+002;
4.439839839839840E+008;-1.181621222134969E+002;
4.469769769769770E+008;-1.215961167113759E+002;
4.499699699699700E+008;-1.249422812907107E+002;
4.529629629629630E+008;-1.287699436316025E+002;
4.559559559559560E+008;-1.323577666690270E+002;
4.589489489489489E+008;-1.357567299883901E+002;
4.619419419419419E+008;-1.392833547192942E+002;
4.649349349349349E+008;-1.427794896802452E+002;
4.679279279279279E+008;-1.463206896405280E+002;
4.709209209209209E+008;-1.497536812258940E+002;
4.739139139139139E+008;-1.530262696992567E+002;
4.769069069069069E+008;-1.565066743951398E+002;
4.798998998998999E+008;-1.600503040120817E+002;
4.828928928928929E+008;-1.636846814171419E+002;
4.858858858858859E+008;-1.670811884410027E+002;
4.888788788788789E+008;-1.702641179081434E+002;
4.918718718718719E+008;-1.735679609454397E+002;
4.948648648648649E+008;-1.768916502587910E+002;
4.978578578578579E+008;1.798137034965164E+002;
5.008508508508508E+008;1.760662547515443E+002;
5.038438438438438E+008;1.730401489736539E+002;
5.068368368368368E+008;1.697601641825381E+002;
