# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.096270018551862E+001;
1.299299299299299E+007;-1.779508237331679E+001;
1.598598598598599E+007;-1.980543996404754E+001;
1.897897897897898E+007;-2.085086271495952E+001;
2.197197197197197E+007;-2.570370619762233E+001;
2.496496496496496E+007;-3.127783000817106E+001;
2.795795795795796E+007;-3.307446808445945E+001;
3.095095095095095E+007;-3.629654016794888E+001;
3.394394394394395E+007;-4.127981279212425E+001;
3.693693693693694E+007;-4.432459544652324E+001;
3.992992992992993E+007;-4.852837318095025E+001;
4.292292292292292E+007;-5.248851603179483E+001;
4.591591591591591E+007;-5.582604848283766E+001;
4.890890890890891E+007;-5.949814635190721E+001;
5.190190190190190E+007;-6.378132178084010E+001;
5.489489489489490E+007;-6.656406254186956E+001;
5.788788788788789E+007;-7.128317083857611E+001;
6.088088088088088E+007;-7.426261125927465E+001;
6.387387387387388E+007;-7.796476896804818E+001;
6.686686686686686E+007;-8.131352627749054E+001;
6.985985985985985E+007;-8.601629016166037E+001;
7.285285285285285E+007;-8.938528685178900E+001;
7.584584584584585E+007;-9.202654025780585E+001;
7.883883883883885E+007;-9.593007082219471E+001;
8.183183183183183E+007;-9.924895120742238E+001;
8.482482482482483E+007;-1.030710607516761E+002;
8.781781781781782E+007;-1.066377591111788E+002;
9.081081081081080E+007;-1.106007790462285E+002;
9.380380380380380E+007;-1.141469053265755E+002;
9.679679679679680E+007;-1.182293072103381E+002;
9.978978978978980E+007;-1.229905510892730E+002;
1.027827827827828E+008;-1.259561287295413E+002;
1.057757757757758E+008;-1.302042087353743E+002;
1.087687687687688E+008;-1.341774185310514E+002;
1.117617617617618E+008;-1.374544346464158E+002;
1.147547547547548E+008;-1.412668363451239E+002;
1.177477477477478E+008;-1.447738752684742E+002;
1.207407407407408E+008;-1.486637606830607E+002;
1.237337337337337E+008;-1.525631548021677E+002;
1.267267267267267E+008;-1.565271869080268E+002;
1.297197197197197E+008;-1.601387441050078E+002;
1.327127127127127E+008;-1.644303250526462E+002;
1.357057057057057E+008;-1.683688183433854E+002;
1.386986986986987E+008;-1.724956554987286E+002;
1.416916916916917E+008;-1.764425599071062E+002;
1.446846846846847E+008;-1.799756581530823E+002;
1.476776776776777E+008;1.757555732529013E+002;
1.506706706706707E+008;1.720345780691514E+002;
1.536636636636637E+008;1.675276071951080E+002;
1.566566566566567E+008;1.635707468567299E+002;
1.596496496496497E+008;1.596035215631763E+002;
1.626426426426427E+008;1.550340450089457E+002;
1.656356356356356E+008;1.508204181826747E+002;
1.686286286286286E+008;1.463611216220165E+002;
1.716216216216216E+008;1.416593636863237E+002;
1.746146146146146E+008;1.374992541544216E+002;
1.776076076076076E+008;1.329511042487896E+002;
1.806006006006006E+008;1.282812081750832E+002;
1.835935935935936E+008;1.233011014364738E+002;
1.865865865865866E+008;1.183012039088027E+002;
1.895795795795796E+008;1.134703196420122E+002;
1.925725725725726E+008;1.078624814042436E+002;
1.955655655655656E+008;1.026134649481745E+002;
1.985585585585586E+008;9.756334592665665E+001;
2.015515515515516E+008;9.140870781259089E+001;
2.045445445445446E+008;8.523191308462816E+001;
2.075375375375375E+008;7.903088975466406E+001;
2.105305305305305E+008;7.220415944497965E+001;
2.135235235235235E+008;6.471364657635060E+001;
2.165165165165165E+008;5.752142828140151E+001;
2.195095095095095E+008;4.909172279576440E+001;
2.225025025025025E+008;4.037735337862980E+001;
2.254954954954955E+008;3.085773125492676E+001;
2.284884884884885E+008;2.044300477260076E+001;
2.314814814814815E+008;8.900425668616084E+000;
2.344744744744745E+008;-2.963811241958113E+000;
2.374674674674675E+008;-1.710042716453975E+001;
2.404604604604605E+008;-3.247081207194598E+001;
2.434534534534535E+008;-4.854458455757292E+001;
2.464464464464465E+008;-6.634997837291600E+001;
2.494394394394395E+008;-8.418124732583473E+001;
2.524324324324324E+008;-1.029209692411703E+002;
2.554254254254254E+008;-1.213083178837626E+002;
2.584184184184184E+008;-1.384777709785626E+002;
2.614114114114114E+008;-1.548228039937743E+002;
2.644044044044044E+008;-1.702644984681812E+002;
2.673973973973974E+008;1.761299489294295E+002;
2.703903903903904E+008;1.631337582882565E+002;
2.733833833833834E+008;1.516284750610033E+002;
2.763763763763764E+008;1.408175181546355E+002;
2.793693693693694E+008;1.315013304685234E+002;
2.823623623623624E+008;1.223363329023202E+002;
2.853553553553554E+008;1.141442738764286E+002;
2.883483483483483E+008;1.067274331869967E+002;
2.913413413413413E+008;9.914204826535944E+001;
2.943343343343343E+008;9.205015663071639E+001;
2.973273273273273E+008;8.566391241295963E+001;
3.003203203203203E+008;7.947943382780437E+001;
3.033133133133133E+008;7.357633464716997E+001;
3.063063063063063E+008;6.821153305500191E+001;
3.092992992992993E+008;6.251471515295451E+001;
3.122922922922923E+008;5.689903540199254E+001;
3.152852852852853E+008;5.202769348568463E+001;
3.182782782782783E+008;4.696235943745847E+001;
3.212712712712713E+008;4.227605353801184E+001;
3.242642642642643E+008;3.737823576639360E+001;
3.272572572572573E+008;3.260186630711971E+001;
3.302502502502502E+008;2.835810294986360E+001;
3.332432432432432E+008;2.370849642662212E+001;
3.362362362362362E+008;1.934566184029871E+001;
3.392292292292292E+008;1.504521425470671E+001;
3.422222222222222E+008;1.077217690090652E+001;
3.452152152152152E+008;6.595684208475573E+000;
3.482082082082082E+008;2.508249146908677E+000;
3.512012012012012E+008;-1.535377204154341E+000;
3.541941941941942E+008;-5.761750715685118E+000;
3.571871871871872E+008;-9.757826160322257E+000;
3.601801801801802E+008;-1.384203092417117E+001;
3.631731731731732E+008;-1.778322382283708E+001;
3.661661661661662E+008;-2.175679958508318E+001;
3.691591591591592E+008;-2.567189641836483E+001;
3.721521521521521E+008;-2.981403416355397E+001;
3.751451451451451E+008;-3.355919071710612E+001;
3.781381381381381E+008;-3.752758541514988E+001;
3.811311311311311E+008;-4.157888133534642E+001;
3.841241241241241E+008;-4.565782927105266E+001;
3.871171171171171E+008;-4.928846404065246E+001;
3.901101101101101E+008;-5.309260972281329E+001;
3.931031031031031E+008;-5.705150334115051E+001;
3.960960960960961E+008;-6.068879130258075E+001;
3.990890890890891E+008;-6.457452950220586E+001;
4.020820820820821E+008;-6.835350435639536E+001;
4.050750750750751E+008;-7.212937153336858E+001;
4.080680680680681E+008;-7.573503357796673E+001;
4.110610610610611E+008;-7.909249622984900E+001;
4.140540540540541E+008;-8.308980519412963E+001;
4.170470470470470E+008;-8.689499004982638E+001;
4.200400400400400E+008;-9.049039470006814E+001;
4.230330330330330E+008;-9.407336950550675E+001;
4.260260260260260E+008;-9.786176212214095E+001;
4.290190190190190E+008;-1.014702788480801E+002;
4.320120120120120E+008;-1.050670564794377E+002;
4.350050050050050E+008;-1.085713726851619E+002;
4.379979979979980E+008;-1.120918845794427E+002;
4.409909909909910E+008;-1.163293499048536E+002;
4.439839839839840E+008;-1.197546957152593E+002;
4.469769769769770E+008;-1.231980764659306E+002;
4.499699699699700E+008;-1.267507198527712E+002;
4.529629629629630E+008;-1.304789483305893E+002;
4.559559559559560E+008;-1.337123512448782E+002;
4.589489489489489E+008;-1.372061630634238E+002;
4.619419419419419E+008;-1.406347902369053E+002;
4.649349349349349E+008;-1.440880373158140E+002;
4.679279279279279E+008;-1.474378284391966E+002;
4.709209209209209E+008;-1.506565899864415E+002;
4.739139139139139E+008;-1.539193699571373E+002;
4.769069069069069E+008;-1.571465603595063E+002;
4.798998998998999E+008;-1.603076431240848E+002;
4.828928928928929E+008;-1.641134727425390E+002;
4.858858858858859E+008;-1.671805951973976E+002;
4.888788788788789E+008;-1.703923668875085E+002;
4.918718718718719E+008;-1.736157178871097E+002;
4.948648648648649E+008;-1.769286340856986E+002;
4.978578578578579E+008;1.797466426864327E+002;
5.008508508508508E+008;1.761961366783900E+002;
5.038438438438438E+008;1.728815327125201E+002;
5.068368368368368E+008;1.694952747099970E+002;
5.098298298298298E+008;1.661220663866480E+002;
5.128228228228228E+008;1.629085107502234E+002;
5.158158158158158E+008;1.594703234564961E+002;
5.188088088088088E+008;1.558822109232615E+002;
5.218018018018018E+008;1.525593879584646E+002;
5.247947947947948E+008;1.492329305605221E+002;
5.277877877877878E+008;1.458285108959904E+002;
5.307807807807808E+008;1.426329386369370E+002;
5.337737737737738E+008;1.392342605255929E+002;
5.367667667667668E+008;1.356642042053230E+002;
5.397597597597598E+008;1.321563381775403E+002;
5.427527527527528E+008;1.289231458223771E+002;
5.457457457457457E+008;1.253934405110960E+002;
5.487387387387388E+008;1.219188623099717E+002;
5.517317317317318E+008;1.184592440112003E+002;
5.547247247247248E+008;1.149890319769675E+002;
5.577177177177178E+008;1.116227943434804E+002;
5.607107107107108E+008;1.082583906141363E+002;
5.637037037037036E+008;1.047913388361292E+002;
5.666966966966966E+008;1.013500799261856E+002;
5.696896896896896E+008;9.805126455948249E+001;
5.726826826826826E+008;9.454581416118380E+001;
5.756756756756756E+008;9.114457263197309E+001;
5.786686686686686E+008;8.770435131540644E+001;
5.816616616616616E+008;8.421640651622772E+001;
5.846546546546546E+008;8.092355847596271E+001;
5.876476476476476E+008;7.744856586406037E+001;
5.906406406406406E+008;7.406908531984476E+001;
5.936336336336336E+008;7.076402282018498E+001;
5.966266266266266E+008;6.719398119881245E+001;
5.996196196196196E+008;6.375673989535293E+001;
6.026126126126126E+008;6.033719358067510E+001;
6.056056056056056E+008;5.688403434323844E+001;
6.085985985985986E+008;5.345216772099479E+001;
6.115915915915916E+008;5.003441695007060E+001;
6.145845845845846E+008;4.667972290371739E+001;
6.175775775775776E+008;4.320862169448275E+001;
6.205705705705706E+008;3.970482795244545E+001;
6.235635635635636E+008;3.644386115011484E+001;
6.265565565565566E+008;3.301462186008994E+001;
6.295495495495496E+008;2.954999551583933E+001;
6.325425425425426E+008;2.602131342374262E+001;
6.355355355355356E+008;2.264741045708914E+001;
6.385285285285286E+008;1.914300897529754E+001;
6.415215215215216E+008;1.567615501911325E+001;
6.445145145145146E+008;1.229895538648860E+001;
6.475075075075076E+008;8.790454888230384E+000;
6.505005005005004E+008;5.384527072878687E+000;
6.534934934934934E+008;1.826260921410247E+000;
6.564864864864864E+008;-1.579030775002883E+000;
6.594794794794794E+008;-4.996376610601356E+000;
6.624724724724724E+008;-8.465059658700257E+000;
6.654654654654654E+008;-1.194299303193446E+001;
6.684584584584584E+008;-1.547295709804609E+001;
6.714514514514514E+008;-1.884798489118997E+001;
6.744444444444444E+008;-2.241650880940857E+001;
6.774374374374374E+008;-2.576890688187701E+001;
6.804304304304304E+008;-2.936331365531279E+001;
6.834234234234234E+008;-3.282493762233604E+001;
6.864164164164164E+008;-3.626651375153332E+001;
6.894094094094094E+008;-3.984507582269795E+001;
6.924024024024024E+008;-4.322245803517056E+001;
6.953953953953954E+008;-4.664657050257391E+001;
6.983883883883884E+008;-4.995373348644058E+001;
7.013813813813814E+008;-5.354343997899925E+001;
7.043743743743744E+008;-5.716401750113676E+001;
7.073673673673674E+008;-6.055525278018776E+001;
7.103603603603604E+008;-6.404552670729730E+001;
7.133533533533534E+008;-6.748735049534778E+001;
7.163463463463464E+008;-7.098319230194606E+001;
7.193393393393394E+008;-7.450041314875419E+001;
7.223323323323324E+008;-7.787326596684684E+001;
7.253253253253254E+008;-8.134831233330495E+001;
7.283183183183184E+008;-8.488811373527831E+001;
7.313113113113114E+008;-8.827356829648987E+001;
7.343043043043042E+008;-9.166450568226526E+001;
7.372972972972972E+008;-9.523786222971519E+001;
7.402902902902902E+008;-9.865085300747958E+001;
7.432832832832832E+008;-1.021429622766716E+002;
7.462762762762762E+008;-1.054512882017441E+002;
7.492692692692692E+008;-1.088959499494504E+002;
7.522622622622622E+008;-1.122905187613902E+002;
7.552552552552552E+008;-1.157126401403039E+002;
7.582482482482482E+008;-1.190763160292458E+002;
7.612412412412412E+008;-1.224261130049372E+002;
7.642342342342342E+008;-1.258789009864970E+002;
7.672272272272272E+008;-1.291858537986012E+002;
7.702202202202202E+008;-1.326110059121389E+002;
7.732132132132132E+008;-1.360630316093252E+002;
7.762062062062062E+008;-1.394084661614519E+002;
7.791991991991992E+008;-1.426360896858472E+002;
7.821921921921922E+008;-1.460794883577114E+002;
7.851851851851852E+008;-1.495177615065757E+002;
7.881781781781782E+008;-1.529530826677836E+002;
7.911711711711712E+008;-1.562088504987342E+002;
7.941641641641642E+008;-1.597653068356237E+002;
7.971571571571572E+008;-1.629859821722078E+002;
8.001501501501502E+008;-1.663707319220057E+002;
8.031431431431432E+008;-1.696308807147270E+002;
8.061361361361362E+008;-1.729131586287694E+002;
8.091291291291292E+008;-1.760730489035384E+002;
8.121221221221222E+008;-1.795176953931778E+002;
8.151151151151152E+008;1.772555670379694E+002;
8.181081081081082E+008;1.739700431292599E+002;
8.211011011011010E+008;1.707339398394530E+002;
8.240940940940940E+008;1.674093055827910E+002;
8.270870870870870E+008;1.642115323341936E+002;
8.300800800800800E+008;1.608881701548889E+002;
8.330730730730730E+008;1.577956198505763E+002;
8.360660660660660E+008;1.546337842539164E+002;
8.390590590590590E+008;1.514161558128454E+002;
8.420520520520520E+008;1.481791936621719E+002;
8.450450450450450E+008;1.450517869494584E+002;
8.480380380380380E+008;1.419160432351976E+002;
8.510310310310310E+008;1.385585926530496E+002;
8.540240240240240E+008;1.355561343189877E+002;
8.570170170170170E+008;1.323705737351629E+002;
8.600100100100100E+008;1.289209026167425E+002;
8.630030030030030E+008;1.256999118720977E+002;
8.659959959959960E+008;1.225066114152383E+002;
8.689889889889890E+008;1.191548273456435E+002;
8.719819819819820E+008;1.159198206843625E+002;
8.749749749749750E+008;1.125916543436934E+002;
8.779679679679680E+008;1.094216744390551E+002;
8.809609609609610E+008;1.060608917699523E+002;
8.839539539539540E+008;1.028736232740661E+002;
8.869469469469470E+008;9.954133656914583E+001;
8.899399399399400E+008;9.631008679314422E+001;
8.929329329329330E+008;9.283190956687872E+001;
8.959259259259260E+008;8.958392590939067E+001;
8.989189189189190E+008;8.605213187688288E+001;
9.019119119119120E+008;8.274844591272044E+001;
9.049049049049048E+008;7.934928951300725E+001;
9.078978978978978E+008;7.593946669863280E+001;
9.108908908908908E+008;7.258211401863431E+001;
9.138838838838838E+008;6.915840004330040E+001;
9.168768768768768E+008;6.561450901860989E+001;
9.198698698698698E+008;6.216293818859311E+001;
9.228628628628628E+008;5.871378918568226E+001;
9.258558558558558E+008;5.530189815596838E+001;
9.288488488488488E+008;5.201547139328755E+001;
9.318418418418418E+008;4.862892004287401E+001;
9.348348348348348E+008;4.510274828008807E+001;
9.378278278278278E+008;4.174108691462631E+001;
9.408208208208208E+008;3.825988455252177E+001;
9.438138138138138E+008;3.484817442714431E+001;
9.468068068068068E+008;3.138946204195858E+001;
9.497997997997998E+008;2.791497479415517E+001;
9.527927927927928E+008;2.461631929874452E+001;
9.557857857857858E+008;2.103426378077031E+001;
9.587787787787788E+008;1.767586431814726E+001;
9.617717717717718E+008;1.406722554225512E+001;
9.647647647647648E+008;1.081475283346570E+001;
9.677577577577578E+008;7.337111051167592E+000;
9.707507507507508E+008;3.919191311249179E+000;
9.737437437437438E+008;4.086926642884027E-001;
9.767367367367368E+008;-2.963509244789198E+000;
9.797297297297298E+008;-6.488621257051626E+000;
9.827227227227228E+008;-1.104025469296606E+001;
9.857157157157158E+008;-1.418202419113307E+001;
9.887087087087088E+008;-1.733797498892711E+001;
9.917017017017016E+008;-2.055168953936452E+001;
9.946946946946946E+008;-2.382684720712726E+001;
9.976876876876876E+008;-2.727436283432038E+001;
1.000680680680681E+009;-3.075131500171570E+001;
1.003673673673674E+009;-3.425006416230038E+001;
1.006666666666667E+009;-3.770001006932894E+001;
1.009659659659660E+009;-4.116149627675411E+001;
1.012652652652653E+009;-4.475224715887259E+001;
1.015645645645646E+009;-4.815918096327003E+001;
1.018638638638639E+009;-5.158207178100531E+001;
1.021631631631632E+009;-5.509333543261590E+001;
1.024624624624625E+009;-5.859753242803078E+001;
1.027617617617618E+009;-6.209340344399786E+001;
1.030610610610611E+009;-6.553260032945492E+001;
1.033603603603604E+009;-6.897381914858872E+001;
1.036596596596597E+009;-7.242301913361416E+001;
1.039589589589590E+009;-7.590311704194249E+001;
1.042582582582583E+009;-7.934854421511513E+001;
1.045575575575576E+009;-8.275945693006158E+001;
1.048568568568569E+009;-8.613021093961540E+001;
1.051561561561562E+009;-8.970843699826551E+001;
1.054554554554555E+009;-9.312916623600857E+001;
1.057547547547548E+009;-9.666583780254300E+001;
1.060540540540541E+009;-1.001250034812270E+002;
1.063533533533534E+009;-1.034123363985883E+002;
