# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-6.564946899157977E-001;
1.299299299299299E+007;2.087398906509721E-002;
1.598598598598599E+007;-3.714960525984732E-001;
1.897897897897898E+007;-2.061652476953705E-001;
2.197197197197197E+007;2.587605539399999E-001;
2.496496496496496E+007;1.351072384533912E-001;
2.795795795795796E+007;6.984310630243446E-002;
3.095095095095095E+007;1.745907644047582E-001;
3.394394394394395E+007;-2.576186850724423E-001;
3.693693693693694E+007;2.283322275281769E-001;
3.992992992992993E+007;1.354804331333639E-001;
4.292292292292292E+007;6.835268413327700E-002;
4.591591591591591E+007;8.475994111889203E-003;
4.890890890890891E+007;2.590811277722550E-002;
5.190190190190190E+007;6.287223197903251E-002;
5.489489489489490E+007;5.707305901120270E-002;
5.788788788788789E+007;6.588634895511661E-002;
6.088088088088088E+007;-4.550880772443272E-002;
6.387387387387388E+007;-1.508806648301242E-002;
6.686686686686686E+007;-5.878386201804050E-002;
6.985985985985985E+007;-7.755675453524854E-003;
7.285285285285285E+007;8.417045919001324E-002;
7.584584584584585E+007;-7.555596206212925E-002;
7.883883883883885E+007;-1.150784880866228E-001;
8.183183183183183E+007;3.594058554801499E-002;
8.482482482482483E+007;-9.325742608277540E-002;
8.781781781781782E+007;-8.725839144323815E-002;
9.081081081081080E+007;-2.140549760256212E-002;
9.380380380380380E+007;-1.715747066769769E-001;
9.679679679679680E+007;-1.294193285799090E-001;
9.978978978978980E+007;-2.294460283249420E-002;
1.027827827827828E+008;-2.070377688847591E-001;
1.057757757757758E+008;-1.049022134269643E-001;
1.087687687687688E+008;-1.623293798258683E-001;
1.117617617617618E+008;-1.139801134209894E-001;
1.147547547547548E+008;-2.177880501835043E-001;
1.177477477477478E+008;-1.202003560580660E-001;
1.207407407407408E+008;-1.780618167667972E-001;
1.237337337337337E+008;-1.813612074893225E-001;
1.267267267267267E+008;-2.039160433080654E-001;
1.297197197197197E+008;-1.669288774548796E-001;
1.327127127127127E+008;-2.282677652973419E-001;
1.357057057057057E+008;-1.733477890561468E-001;
1.386986986986987E+008;-1.692889760624440E-001;
1.416916916916917E+008;-2.749619033506271E-001;
1.446846846846847E+008;-1.892292575466830E-001;
1.476776776776777E+008;-1.963496162270594E-001;
1.506706706706707E+008;-2.555525793096988E-001;
1.536636636636637E+008;-2.526954303485831E-001;
1.566566566566567E+008;-3.283566591829990E-001;
1.596496496496497E+008;-3.097975490939778E-001;
1.626426426426427E+008;-2.733777315681619E-001;
1.656356356356356E+008;-3.056209268252508E-001;
1.686286286286286E+008;-3.100809879523959E-001;
1.716216216216216E+008;-3.457464183469922E-001;
1.746146146146146E+008;-3.365654459776451E-001;
1.776076076076076E+008;-3.526813326079882E-001;
1.806006006006006E+008;-3.909375660062838E-001;
1.835935935935936E+008;-3.594796511009247E-001;
1.865865865865866E+008;-4.020797590373433E-001;
1.895795795795796E+008;-4.143318980051514E-001;
1.925725725725726E+008;-3.735129940514277E-001;
1.955655655655656E+008;-4.305078622964499E-001;
1.985585585585586E+008;-3.918636095095898E-001;
2.015515515515516E+008;-4.120320023045380E-001;
2.045445445445446E+008;-4.176631636953381E-001;
2.075375375375375E+008;-4.125710300350877E-001;
2.105305305305305E+008;-4.532467271625357E-001;
2.135235235235235E+008;-3.957227169826241E-001;
2.165165165165165E+008;-4.256527054373143E-001;
2.195095095095095E+008;-3.974613461159662E-001;
2.225025025025025E+008;-4.555980846190288E-001;
2.254954954954955E+008;-4.041018412819044E-001;
2.284884884884885E+008;-4.604963813169685E-001;
2.314814814814815E+008;-3.646735051902330E-001;
2.344744744744745E+008;-4.539553907068574E-001;
2.374674674674675E+008;-4.512521532071133E-001;
2.404604604604605E+008;-4.401001423884749E-001;
2.434534534534535E+008;-4.629729276083452E-001;
2.464464464464465E+008;-4.825004989602458E-001;
2.494394394394395E+008;-4.681719708336661E-001;
2.524324324324324E+008;-4.370256211730229E-001;
2.554254254254254E+008;-4.438076690742981E-001;
2.584184184184184E+008;-4.627427612778655E-001;
2.614114114114114E+008;-4.635969637447950E-001;
2.644044044044044E+008;-4.641669966377223E-001;
2.673973973973974E+008;-4.427721771531445E-001;
2.703903903903904E+008;-4.787105162182632E-001;
2.733833833833834E+008;-4.208683502477999E-001;
2.763763763763764E+008;-4.431743103553715E-001;
2.793693693693694E+008;-4.570774191474330E-001;
2.823623623623624E+008;-4.084525373791279E-001;
2.853553553553554E+008;-4.431905755386326E-001;
2.883483483483483E+008;-4.490715027826945E-001;
2.913413413413413E+008;-4.396500977520537E-001;
2.943343343343343E+008;-4.064729667063338E-001;
2.973273273273273E+008;-4.642921507110633E-001;
3.003203203203203E+008;-4.421637451136614E-001;
3.033133133133133E+008;-4.138296523629471E-001;
3.063063063063063E+008;-4.367435946131807E-001;
3.092992992992993E+008;-4.148988667260928E-001;
3.122922922922923E+008;-3.950038207245388E-001;
3.152852852852853E+008;-4.232635149825368E-001;
3.182782782782783E+008;-4.211640958543951E-001;
3.212712712712713E+008;-4.188733667709589E-001;
3.242642642642643E+008;-4.251808432964537E-001;
3.272572572572573E+008;-3.819428657113683E-001;
3.302502502502502E+008;-4.130291904825126E-001;
3.332432432432432E+008;-3.992617181961938E-001;
3.362362362362362E+008;-4.057853987032868E-001;
3.392292292292292E+008;-4.096237550741871E-001;
3.422222222222222E+008;-3.856190933226996E-001;
3.452152152152152E+008;-3.890584098362638E-001;
3.482082082082082E+008;-3.629345898081070E-001;
3.512012012012012E+008;-3.845814645448002E-001;
3.541941941941942E+008;-3.804793221326483E-001;
3.571871871871872E+008;-3.749136795234952E-001;
3.601801801801802E+008;-3.992131233880013E-001;
3.631731731731732E+008;-3.593845951832727E-001;
3.661661661661662E+008;-3.835089112348686E-001;
3.691591591591592E+008;-3.750666695538558E-001;
3.721521521521521E+008;-3.546593103281949E-001;
3.751451451451451E+008;-3.588298287708707E-001;
3.781381381381381E+008;-3.879728782301440E-001;
3.811311311311311E+008;-3.591738233017711E-001;
3.841241241241241E+008;-3.521341524569082E-001;
3.871171171171171E+008;-3.592322919018570E-001;
3.901101101101101E+008;-3.846359767440629E-001;
3.931031031031031E+008;-3.779852852324372E-001;
3.960960960960961E+008;-3.858662645035011E-001;
3.990890890890891E+008;-3.653015504188870E-001;
4.020820820820821E+008;-3.821594589950985E-001;
4.050750750750751E+008;-3.951282953286516E-001;
4.080680680680681E+008;-4.074687141512046E-001;
4.110610610610611E+008;-3.737551652249979E-001;
4.140540540540541E+008;-3.723212480903858E-001;
4.170470470470470E+008;-3.685756871891468E-001;
4.200400400400400E+008;-3.800941894900369E-001;
4.230330330330330E+008;-4.116291435992732E-001;
4.260260260260260E+008;-4.285831790962152E-001;
4.290190190190190E+008;-4.284138348044112E-001;
4.320120120120120E+008;-4.226703248605239E-001;
4.350050050050050E+008;-4.247062308045750E-001;
4.379979979979980E+008;-4.405148823021708E-001;
4.409909909909910E+008;-4.010870169541686E-001;
4.439839839839840E+008;-3.944505479177442E-001;
4.469769769769770E+008;-4.217993351793160E-001;
4.499699699699700E+008;-4.460154289315692E-001;
4.529629629629630E+008;-4.666106842589876E-001;
4.559559559559560E+008;-4.667427844220653E-001;
4.589489489489489E+008;-4.974135335558759E-001;
4.619419419419419E+008;-4.597088053619637E-001;
4.649349349349349E+008;-4.824948855680427E-001;
4.679279279279279E+008;-4.841679554974921E-001;
4.709209209209209E+008;-4.838176251696725E-001;
4.739139139139139E+008;-5.105160449228904E-001;
4.769069069069069E+008;-4.829088705731046E-001;
4.798998998998999E+008;-5.139892772043165E-001;
4.828928928928929E+008;-6.052136162230973E-001;
4.858858858858859E+008;-5.754917428476948E-001;
4.888788788788789E+008;-5.822233615495331E-001;
4.918718718718719E+008;-5.562406839775057E-001;
4.948648648648649E+008;-5.599902161887361E-001;
4.978578578578579E+008;-5.410029062075309E-001;
5.008508508508508E+008;-5.105869620823654E-001;
5.038438438438438E+008;-5.127112495684083E-001;
5.068368368368368E+008;-5.153370330397999E-001;
5.098298298298298E+008;-5.309798726314875E-001;
5.128228228228228E+008;-5.574887982018426E-001;
5.158158158158158E+008;-5.745768204039283E-001;
5.188088088088088E+008;-5.470926739006295E-001;
5.218018018018018E+008;-5.361974033201499E-001;
