# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-9.467792950349335E+000;
1.299299299299299E+007;-1.262659922100450E+001;
1.598598598598599E+007;-1.592487152494438E+001;
1.897897897897898E+007;-2.091444055319714E+001;
2.197197197197197E+007;-2.262940696553797E+001;
2.496496496496496E+007;-2.521271751013109E+001;
2.795795795795796E+007;-2.719803750822395E+001;
3.095095095095095E+007;-3.195827033025524E+001;
3.394394394394395E+007;-3.458312178882739E+001;
3.693693693693694E+007;-3.768456201625718E+001;
3.992992992992993E+007;-4.168878202027969E+001;
4.292292292292292E+007;-4.464897455815722E+001;
4.591591591591591E+007;-4.706475319138094E+001;
4.890890890890891E+007;-5.135214660852249E+001;
5.190190190190190E+007;-5.442983545476845E+001;
5.489489489489490E+007;-5.745299432370793E+001;
5.788788788788789E+007;-6.160364489148689E+001;
6.088088088088088E+007;-6.415571758616373E+001;
6.387387387387388E+007;-6.696624598241158E+001;
6.686686686686686E+007;-7.045548115350522E+001;
6.985985985985985E+007;-7.321523594166317E+001;
7.285285285285285E+007;-7.598619712292597E+001;
7.584584584584585E+007;-7.970520687828150E+001;
7.883883883883885E+007;-8.252489963292419E+001;
8.183183183183183E+007;-8.597946405997671E+001;
8.482482482482483E+007;-8.910199346547113E+001;
8.781781781781782E+007;-9.205405939702420E+001;
9.081081081081080E+007;-9.524537190096052E+001;
9.380380380380380E+007;-9.799100383472742E+001;
9.679679679679680E+007;-1.013724070473063E+002;
9.978978978978980E+007;-1.049121349024247E+002;
1.027827827827828E+008;-1.083506550063498E+002;
1.057757757757758E+008;-1.112750118924594E+002;
1.087687687687688E+008;-1.147189632811075E+002;
1.117617617617618E+008;-1.170391816885733E+002;
1.147547547547548E+008;-1.209173374282523E+002;
1.177477477477478E+008;-1.234649659527737E+002;
1.207407407407408E+008;-1.266547408485268E+002;
1.237337337337337E+008;-1.298485906863194E+002;
1.267267267267267E+008;-1.328774793059624E+002;
1.297197197197197E+008;-1.359929487279094E+002;
1.327127127127127E+008;-1.387768835385173E+002;
1.357057057057057E+008;-1.421541066199161E+002;
1.386986986986987E+008;-1.453288497208974E+002;
1.416916916916917E+008;-1.483430718721089E+002;
1.446846846846847E+008;-1.516232403588149E+002;
1.476776776776777E+008;-1.544429147207054E+002;
1.506706706706707E+008;-1.579370806312190E+002;
1.536636636636637E+008;-1.607993241952562E+002;
1.566566566566567E+008;-1.639667418615460E+002;
1.596496496496497E+008;-1.670129341210503E+002;
1.626426426426427E+008;-1.700524374826187E+002;
1.656356356356356E+008;-1.736245193746990E+002;
1.686286286286286E+008;-1.766113975074899E+002;
1.716216216216216E+008;-1.798181378862723E+002;
1.746146146146146E+008;1.771088119918013E+002;
1.776076076076076E+008;1.745967531572510E+002;
1.806006006006006E+008;1.715515959038306E+002;
1.835935935935936E+008;1.681655467932837E+002;
1.865865865865866E+008;1.654068292071873E+002;
1.895795795795796E+008;1.618867184361180E+002;
1.925725725725726E+008;1.593467010782451E+002;
1.955655655655656E+008;1.559751928399633E+002;
