# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.557903049849390E+002;
1.299299299299299E+007;1.623610116770054E+002;
1.598598598598599E+007;1.590863393310388E+002;
1.897897897897898E+007;1.560859461401105E+002;
2.197197197197197E+007;1.500838376869072E+002;
2.496496496496496E+007;1.483309539924007E+002;
2.795795795795796E+007;1.466839190781710E+002;
3.095095095095095E+007;1.412851751667913E+002;
3.394394394394395E+007;1.382854843586242E+002;
3.693693693693694E+007;1.361811383292344E+002;
3.992992992992993E+007;1.329348892072715E+002;
4.292292292292292E+007;1.289052709882418E+002;
4.591591591591591E+007;1.264433798187357E+002;
4.890890890890891E+007;1.210639646484015E+002;
5.190190190190190E+007;1.184779371586272E+002;
5.489489489489490E+007;1.133705130305808E+002;
5.788788788788789E+007;1.090195489974579E+002;
6.088088088088088E+007;1.072700076952100E+002;
6.387387387387388E+007;1.034529318603426E+002;
6.686686686686686E+007;9.904683304385779E+001;
6.985985985985985E+007;9.635834198165766E+001;
7.285285285285285E+007;9.328701065231726E+001;
7.584584584584585E+007;8.896975451260374E+001;
7.883883883883885E+007;8.524723831825375E+001;
8.183183183183183E+007;8.150496203434145E+001;
8.482482482482483E+007;7.826462694150735E+001;
8.781781781781782E+007;7.447312640630035E+001;
9.081081081081080E+007;7.152585170691336E+001;
9.380380380380380E+007;6.739943465702251E+001;
9.679679679679680E+007;6.468789023991684E+001;
9.978978978978980E+007;6.074477634953731E+001;
1.027827827827828E+008;5.753425376301627E+001;
1.057757757757758E+008;5.330241189656614E+001;
1.087687687687688E+008;4.976655970511776E+001;
1.117617617617618E+008;4.606601118751695E+001;
1.147547547547548E+008;4.272577250439433E+001;
1.177477477477478E+008;3.941349289827782E+001;
1.207407407407408E+008;3.527976574203706E+001;
1.237337337337337E+008;3.179483534289206E+001;
1.267267267267267E+008;2.832569999150910E+001;
1.297197197197197E+008;2.471935781069943E+001;
1.327127127127127E+008;2.142982949591488E+001;
1.357057057057057E+008;1.748507944155243E+001;
1.386986986986987E+008;1.372535843820982E+001;
1.416916916916917E+008;1.013583293308581E+001;
1.446846846846847E+008;6.685809188216314E+000;
1.476776776776777E+008;2.697185652476233E+000;
1.506706706706707E+008;-1.121102055996635E+000;
1.536636636636637E+008;-4.007930961312282E+000;
1.566566566566567E+008;-7.736575177825163E+000;
1.596496496496497E+008;-1.178824817221533E+001;
1.626426426426427E+008;-1.518514329723398E+001;
1.656356356356356E+008;-1.922885248046205E+001;
1.686286286286286E+008;-2.274778393227060E+001;
1.716216216216216E+008;-2.628197122006809E+001;
1.746146146146146E+008;-2.983183267975836E+001;
1.776076076076076E+008;-3.365767516321467E+001;
1.806006006006006E+008;-3.750122932137967E+001;
1.835935935935936E+008;-4.144131945079813E+001;
1.865865865865866E+008;-4.472533973247226E+001;
1.895795795795796E+008;-4.850186538748352E+001;
1.925725725725726E+008;-5.228118545688681E+001;
1.955655655655656E+008;-5.648090050727242E+001;
