# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;1.427862516336927E-001;
1.299299299299299E+007;-1.867845854860268E-001;
1.598598598598599E+007;-9.088976372796005E-001;
1.897897897897898E+007;-8.037347924968629E-001;
2.197197197197197E+007;-1.788966835372813E-001;
2.496496496496496E+007;-5.066229681522154E-001;
2.795795795795796E+007;-5.949864175456120E-001;
3.095095095095095E+007;-6.248200857458006E-001;
3.394394394394395E+007;-2.329559107261968E-001;
3.693693693693694E+007;-5.482906460884244E-001;
3.992992992992993E+007;-4.049140358669092E-001;
4.292292292292292E+007;-8.509592570469070E-001;
4.591591591591591E+007;-7.092936775460748E-001;
4.890890890890891E+007;-5.472743738121605E-001;
5.190190190190190E+007;-4.541681359532700E-001;
5.489489489489490E+007;-6.201022153900873E-001;
5.788788788788789E+007;-4.763114715149717E-001;
6.088088088088088E+007;-5.071491286347343E-001;
6.387387387387388E+007;-3.112999978005763E-001;
6.686686686686686E+007;-4.491130256294046E-001;
6.985985985985985E+007;-4.018742862612750E-001;
7.285285285285285E+007;-3.802951212237732E-001;
7.584584584584585E+007;-3.168279251840870E-001;
7.883883883883885E+007;-3.473541875386623E-001;
8.183183183183183E+007;-5.284287022215211E-001;
8.482482482482483E+007;-5.100614851927490E-001;
8.781781781781782E+007;-4.836188185585109E-001;
9.081081081081080E+007;-4.657216926270394E-001;
9.380380380380380E+007;-4.409684853938989E-001;
9.679679679679680E+007;-4.305424345742965E-001;
9.978978978978980E+007;-4.453147587208886E-001;
1.027827827827828E+008;-4.302451798503841E-001;
1.057757757757758E+008;-4.922179239893946E-001;
1.087687687687688E+008;-3.702756834797554E-001;
1.117617617617618E+008;-4.952871160361920E-001;
1.147547547547548E+008;-3.916113017311213E-001;
1.177477477477478E+008;-4.404818016978060E-001;
1.207407407407408E+008;-3.556994656701865E-001;
1.237337337337337E+008;-4.885845901658370E-001;
1.267267267267267E+008;-3.791474329974490E-001;
1.297197197197197E+008;-4.188821164636171E-001;
1.327127127127127E+008;-3.790910239330115E-001;
1.357057057057057E+008;-3.718911944301916E-001;
1.386986986986987E+008;-4.165205237425971E-001;
1.416916916916917E+008;-3.654402080638740E-001;
