# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.687375296403275E+002;
1.299299299299299E+007;1.632655409915442E+002;
1.598598598598599E+007;1.597851341822382E+002;
1.897897897897898E+007;1.571168295712119E+002;
2.197197197197197E+007;1.524120961068275E+002;
2.496496496496496E+007;1.478522000512599E+002;
2.795795795795796E+007;1.460310783509475E+002;
3.095095095095095E+007;1.439455442454665E+002;
3.394394394394395E+007;1.406418394449941E+002;
3.693693693693694E+007;1.380035299622454E+002;
3.992992992992993E+007;1.345101810634720E+002;
4.292292292292292E+007;1.302180234562533E+002;
4.591591591591591E+007;1.272499494921163E+002;
4.890890890890891E+007;1.211366629078033E+002;
5.190190190190190E+007;1.182671066900746E+002;
5.489489489489490E+007;1.152987452746990E+002;
5.788788788788789E+007;1.118736392810171E+002;
6.088088088088088E+007;1.077636103985253E+002;
6.387387387387388E+007;1.057973184327363E+002;
6.686686686686686E+007;1.012076958031974E+002;
6.985985985985985E+007;9.709499475662858E+001;
7.285285285285285E+007;9.455135287347397E+001;
7.584584584584585E+007;9.073826540398179E+001;
7.883883883883885E+007;8.663787018390323E+001;
8.183183183183183E+007;8.323041672705149E+001;
8.482482482482483E+007;8.076884809149284E+001;
8.781781781781782E+007;7.699898707930538E+001;
9.081081081081080E+007;7.347928261250681E+001;
9.380380380380380E+007;6.969405729968614E+001;
9.679679679679680E+007;6.591857551290640E+001;
9.978978978978980E+007;6.306300135200311E+001;
1.027827827827828E+008;5.943901315383086E+001;
1.057757757757758E+008;5.569819253659497E+001;
1.087687687687688E+008;5.257282514524101E+001;
1.117617617617618E+008;4.879537246826217E+001;
1.147547547547548E+008;4.571406911854997E+001;
1.177477477477478E+008;4.178807988813252E+001;
1.207407407407408E+008;3.846513312366708E+001;
1.237337337337337E+008;3.479711921674639E+001;
1.267267267267267E+008;3.133680092857383E+001;
1.297197197197197E+008;2.766891520876168E+001;
1.327127127127127E+008;2.402508161737825E+001;
1.357057057057057E+008;2.078445487576665E+001;
1.386986986986987E+008;1.741716749068107E+001;
1.416916916916917E+008;1.398233234609659E+001;
1.446846846846847E+008;1.053314170642126E+001;
1.476776776776777E+008;6.781482556077369E+000;
1.506706706706707E+008;3.171024225838858E+000;
1.536636636636637E+008;-3.995325613518929E-001;
1.566566566566567E+008;-3.735023061844977E+000;
1.596496496496497E+008;-7.214537861229391E+000;
1.626426426426427E+008;-1.071046516641170E+001;
1.656356356356356E+008;-1.457087991517567E+001;
1.686286286286286E+008;-1.795779112191208E+001;
1.716216216216216E+008;-2.145796929865642E+001;
1.746146146146146E+008;-2.495595930705533E+001;
1.776076076076076E+008;-2.846781194475665E+001;
1.806006006006006E+008;-3.190989082712022E+001;
1.835935935935936E+008;-3.543366453579216E+001;
1.865865865865866E+008;-3.910169276065508E+001;
1.895795795795796E+008;-4.293427776667803E+001;
1.925725725725726E+008;-4.612308194259456E+001;
1.955655655655656E+008;-5.004761916820598E+001;
1.985585585585586E+008;-5.344127908403599E+001;
2.015515515515516E+008;-5.685629516268016E+001;
2.045445445445446E+008;-6.061979268240155E+001;
2.075375375375375E+008;-6.417192449139328E+001;
2.105305305305305E+008;-6.759177575511536E+001;
2.135235235235235E+008;-7.129861888491506E+001;
2.165165165165165E+008;-7.492377416469442E+001;
2.195095095095095E+008;-7.831530474215983E+001;
2.225025025025025E+008;-8.210587711427428E+001;
2.254954954954955E+008;-8.573161636362322E+001;
2.284884884884885E+008;-8.914718739119864E+001;
2.314814814814815E+008;-9.232251984722848E+001;
2.344744744744745E+008;-9.641258303971998E+001;
2.374674674674675E+008;-9.964306750723111E+001;
2.404604604604605E+008;-1.032023689318767E+002;
2.434534534534535E+008;-1.069067464399297E+002;
2.464464464464465E+008;-1.104687454908741E+002;
2.494394394394395E+008;-1.140607497118358E+002;
2.524324324324324E+008;-1.173698970453000E+002;
2.554254254254254E+008;-1.211800875653448E+002;
2.584184184184184E+008;-1.248401067378033E+002;
2.614114114114114E+008;-1.283500568849191E+002;
2.644044044044044E+008;-1.319784999551776E+002;
2.673973973973974E+008;-1.352330861305718E+002;
2.703903903903904E+008;-1.391664771623400E+002;
2.733833833833834E+008;-1.427876794319812E+002;
2.763763763763764E+008;-1.464537961415737E+002;
2.793693693693694E+008;-1.498014571933189E+002;
2.823623623623624E+008;-1.536313377135481E+002;
2.853553553553554E+008;-1.571860463292058E+002;
2.883483483483483E+008;-1.609703905126198E+002;
2.913413413413413E+008;-1.644378863316259E+002;
2.943343343343343E+008;-1.681291332775182E+002;
2.973273273273273E+008;-1.717479509514373E+002;
3.003203203203203E+008;-1.756630120688703E+002;
3.033133133133133E+008;-1.790927406866255E+002;
3.063063063063063E+008;1.767499053316922E+002;
3.092992992992993E+008;1.732141263822797E+002;
3.122922922922923E+008;1.696129449872028E+002;
3.152852852852853E+008;1.656760902783657E+002;
3.182782782782783E+008;1.619376504282233E+002;
3.212712712712713E+008;1.581947086758857E+002;
3.242642642642643E+008;1.545057182710290E+002;
3.272572572572573E+008;1.503363013355510E+002;
