# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-1.869422065383414E-001;
1.299299299299299E+007;4.904030545898243E-001;
1.598598598598599E+007;-4.001070661211598E-001;
1.897897897897898E+007;-3.958580446277318E-001;
2.197197197197197E+007;-3.653528100915603E-001;
2.496496496496496E+007;-3.020783245387099E-001;
2.795795795795796E+007;-3.353602449093975E-001;
3.095095095095095E+007;-2.543394506457390E-002;
3.394394394394395E+007;-2.063628017489519E-001;
3.693693693693694E+007;-5.894823126942538E-001;
3.992992992992993E+007;-6.549849151507781E-001;
4.292292292292292E+007;-2.482875183453377E-001;
4.591591591591591E+007;-6.033331830016904E-001;
4.890890890890891E+007;-4.515616687067658E-001;
5.190190190190190E+007;-3.774411604157841E-001;
5.489489489489490E+007;-3.592430604994729E-001;
5.788788788788789E+007;-4.949887692758075E-001;
6.088088088088088E+007;-3.079963884574883E-001;
6.387387387387388E+007;-4.494024692098207E-001;
6.686686686686686E+007;-2.431961795815268E-001;
6.985985985985985E+007;-4.309758129947028E-001;
7.285285285285285E+007;-4.668686673177744E-001;
7.584584584584585E+007;-3.642827815502923E-001;
7.883883883883885E+007;-3.740631497959298E-001;
8.183183183183183E+007;-3.546625505235442E-001;
8.482482482482483E+007;-4.746651326664678E-001;
8.781781781781782E+007;-3.262924340053364E-001;
9.081081081081080E+007;-4.258236511204835E-001;
9.380380380380380E+007;-4.452335454473853E-001;
9.679679679679680E+007;-4.164179526063208E-001;
9.978978978978980E+007;-3.861506910921217E-001;
1.027827827827828E+008;-4.744244208065239E-001;
1.057757757757758E+008;-4.519025924034092E-001;
1.087687687687688E+008;-3.531343805922685E-001;
1.117617617617618E+008;-3.819389360407402E-001;
1.147547547547548E+008;-4.146484867006527E-001;
1.177477477477478E+008;-3.548868968982797E-001;
1.207407407407408E+008;-3.847844452180652E-001;
1.237337337337337E+008;-3.282194662770658E-001;
1.267267267267267E+008;-3.228024576611512E-001;
1.297197197197197E+008;-3.346926633915956E-001;
1.327127127127127E+008;-4.362396470866509E-001;
1.357057057057057E+008;-4.232923856132373E-001;
1.386986986986987E+008;-3.421671251229668E-001;
1.416916916916917E+008;-3.636301843951681E-001;
1.446846846846847E+008;-3.450885678506452E-001;
1.476776776776777E+008;-3.750903555106406E-001;
1.506706706706707E+008;-3.459611683814310E-001;
1.536636636636637E+008;-3.439927011869941E-001;
1.566566566566567E+008;-3.558006431611003E-001;
