# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.657317456166587E+002;
1.299299299299299E+007;1.625562184304325E+002;
1.598598598598599E+007;1.601470927486322E+002;
1.897897897897898E+007;1.550762317547215E+002;
2.197197197197197E+007;1.533194592755248E+002;
2.496496496496496E+007;1.506443044109791E+002;
2.795795795795796E+007;1.454919162393477E+002;
3.095095095095095E+007;1.428290736250251E+002;
3.394394394394395E+007;1.391514841674248E+002;
3.693693693693694E+007;1.404779663728301E+002;
3.992992992992993E+007;1.349875642904317E+002;
4.292292292292292E+007;1.318925934818509E+002;
4.591591591591591E+007;1.276144526207191E+002;
4.890890890890891E+007;1.229327303493237E+002;
5.190190190190190E+007;1.188997373478326E+002;
5.489489489489490E+007;1.155652036663592E+002;
5.788788788788789E+007;1.131716828452174E+002;
6.088088088088088E+007;1.086061035612272E+002;
6.387387387387388E+007;1.060906719763123E+002;
6.686686686686686E+007;1.021442507115803E+002;
6.985985985985985E+007;9.918014790016642E+001;
7.285285285285285E+007;9.645507749727291E+001;
7.584584584584585E+007;9.281622107517701E+001;
7.883883883883885E+007;8.915345187786491E+001;
8.183183183183183E+007;8.645509164192463E+001;
8.482482482482483E+007;8.240014260545146E+001;
8.781781781781782E+007;7.894964492803436E+001;
9.081081081081080E+007;7.588257908887644E+001;
9.380380380380380E+007;7.277862495151719E+001;
9.679679679679680E+007;6.910829346904514E+001;
9.978978978978980E+007;6.559687258164553E+001;
1.027827827827828E+008;6.205664925493139E+001;
1.057757757757758E+008;5.932290251177737E+001;
1.087687687687688E+008;5.487690236794390E+001;
1.117617617617618E+008;5.243511526389300E+001;
1.147547547547548E+008;4.905912179479957E+001;
1.177477477477478E+008;4.576130741641953E+001;
1.207407407407408E+008;4.200750511169527E+001;
1.237337337337337E+008;3.866514492967877E+001;
1.267267267267267E+008;3.512924714662579E+001;
1.297197197197197E+008;3.195513450460545E+001;
1.327127127127127E+008;2.840275965354988E+001;
1.357057057057057E+008;2.495901672497496E+001;
1.386986986986987E+008;2.180935210232958E+001;
1.416916916916917E+008;1.803799103136334E+001;
1.446846846846847E+008;1.457538270564091E+001;
1.476776776776777E+008;1.115621704385057E+001;
1.506706706706707E+008;8.296586482595862E+000;
1.536636636636637E+008;4.815739152573040E+000;
1.566566566566567E+008;8.995473093447157E-001;
1.596496496496497E+008;-2.612023964923429E+000;
1.626426426426427E+008;-5.668893810402463E+000;
1.656356356356356E+008;-9.397904460325226E+000;
1.686286286286286E+008;-1.263983182343976E+001;
1.716216216216216E+008;-1.615410461854733E+001;
1.746146146146146E+008;-1.917394210153786E+001;
1.776076076076076E+008;-2.301378845760394E+001;
1.806006006006006E+008;-2.634591306640287E+001;
