# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.706253032439034E+002;
1.299299299299299E+007;1.655328378232291E+002;
1.598598598598599E+007;1.580229543938217E+002;
1.897897897897898E+007;1.604811021220243E+002;
2.197197197197197E+007;1.526457670078735E+002;
2.496496496496496E+007;1.499821458580799E+002;
2.795795795795796E+007;1.481982942364720E+002;
3.095095095095095E+007;1.440765409535046E+002;
3.394394394394395E+007;1.409389272950838E+002;
3.693693693693694E+007;1.376702569225391E+002;
3.992992992992993E+007;1.367709958418581E+002;
4.292292292292292E+007;1.294211392667193E+002;
4.591591591591591E+007;1.274904853896382E+002;
4.890890890890891E+007;1.229173678873496E+002;
5.190190190190190E+007;1.188048117871795E+002;
5.489489489489490E+007;1.162906977403799E+002;
5.788788788788789E+007;1.121842344370804E+002;
6.088088088088088E+007;1.091610862096628E+002;
6.387387387387388E+007;1.058979106666627E+002;
6.686686686686686E+007;1.021129147918654E+002;
6.985985985985985E+007;9.946336906859484E+001;
7.285285285285285E+007;9.576322297095828E+001;
7.584584584584585E+007;9.227437135690725E+001;
7.883883883883885E+007;9.006911443258974E+001;
8.183183183183183E+007;8.598048073246005E+001;
8.482482482482483E+007;8.294402477311364E+001;
8.781781781781782E+007;7.900604013633402E+001;
9.081081081081080E+007;7.611292338841338E+001;
9.380380380380380E+007;7.259252996103855E+001;
9.679679679679680E+007;6.872474843222511E+001;
9.978978978978980E+007;6.557238172298449E+001;
1.027827827827828E+008;6.228037436446391E+001;
1.057757757757758E+008;5.897039900342603E+001;
1.087687687687688E+008;5.531429189881947E+001;
1.117617617617618E+008;5.210155470460705E+001;
1.147547547547548E+008;4.841002266722465E+001;
1.177477477477478E+008;4.598344359280365E+001;
1.207407407407408E+008;4.189733389229561E+001;
1.237337337337337E+008;3.866574042507214E+001;
1.267267267267267E+008;3.482964003408874E+001;
1.297197197197197E+008;3.160617922124194E+001;
1.327127127127127E+008;2.852731670093913E+001;
