# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-3.157154395881959E-001;
1.299299299299299E+007;2.223684851255084E-001;
1.598598598598599E+007;-5.857574142119575E-001;
1.897897897897898E+007;-6.323165632745742E-001;
2.197197197197197E+007;-4.621971015191489E-001;
2.496496496496496E+007;-4.120254604279364E-001;
2.795795795795796E+007;-3.914889844980298E-001;
3.095095095095095E+007;-4.005317705090874E-001;
3.394394394394395E+007;-1.622376127486829E-001;
3.693693693693694E+007;-7.961341780819633E-001;
3.992992992992993E+007;-6.563867030314072E-001;
4.292292292292292E+007;-4.839765354870558E-001;
4.591591591591591E+007;-1.928527909203698E-001;
4.890890890890891E+007;-5.317278027615826E-001;
5.190190190190190E+007;-1.335520661116124E-001;
5.489489489489490E+007;-2.183784257161043E-001;
5.788788788788789E+007;-2.697471929355492E-001;
6.088088088088088E+007;-1.797189453794982E-001;
6.387387387387388E+007;-4.406840143317465E-001;
6.686686686686686E+007;-4.972253873962809E-001;
6.985985985985985E+007;-3.908785444558227E-001;
7.285285285285285E+007;-4.055612160994738E-001;
7.584584584584585E+007;-3.452286661536836E-001;
7.883883883883885E+007;-3.277515978553404E-001;
8.183183183183183E+007;-4.851125471546919E-001;
8.482482482482483E+007;-4.246961155295274E-001;
8.781781781781782E+007;-4.989759467062753E-001;
9.081081081081080E+007;-3.163013577469662E-001;
9.380380380380380E+007;-3.657047869058206E-001;
9.679679679679680E+007;-3.830930836285216E-001;
9.978978978978980E+007;-3.356223780122430E-001;
1.027827827827828E+008;-3.718825390950694E-001;
1.057757757757758E+008;-4.244965658911937E-001;
1.087687687687688E+008;-3.364400542834770E-001;
1.117617617617618E+008;-3.966767707728225E-001;
1.147547547547548E+008;-4.041345473804763E-001;
1.177477477477478E+008;-2.946014666025203E-001;
1.207407407407408E+008;-2.298937120647434E-001;
1.237337337337337E+008;-3.040700231063898E-001;
1.267267267267267E+008;-3.412151471811600E-001;
1.297197197197197E+008;-3.558981771715077E-001;
1.327127127127127E+008;-2.586059326099386E-001;
1.357057057057057E+008;-3.960158542241288E-001;
1.386986986986987E+008;-3.467968374160945E-001;
1.416916916916917E+008;-3.276892309839865E-001;
1.446846846846847E+008;-3.387740288225303E-001;
1.476776776776777E+008;-3.305513066652658E-001;
1.506706706706707E+008;-3.631213782715809E-001;
1.536636636636637E+008;-3.082596849142879E-001;
1.566566566566567E+008;-2.834720176814850E-001;
1.596496496496497E+008;-2.692968478522573E-001;
1.626426426426427E+008;-2.556942553454429E-001;
