# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.749162261700367E+002;
1.299299299299299E+007;1.668090207210829E+002;
1.598598598598599E+007;1.620210425512256E+002;
1.897897897897898E+007;1.570059607359889E+002;
2.197197197197197E+007;1.538545815769025E+002;
2.496496496496496E+007;1.476359890186450E+002;
2.795795795795796E+007;1.458227702055800E+002;
3.095095095095095E+007;1.430773675927310E+002;
3.394394394394395E+007;1.400419325535852E+002;
3.693693693693694E+007;1.378203948276021E+002;
3.992992992992993E+007;1.325233401489666E+002;
4.292292292292292E+007;1.297854727689238E+002;
4.591591591591591E+007;1.266570001745749E+002;
4.890890890890891E+007;1.239859235318740E+002;
5.190190190190190E+007;1.171038337109391E+002;
5.489489489489490E+007;1.149894357689883E+002;
5.788788788788789E+007;1.113737882166409E+002;
6.088088088088088E+007;1.080650531570688E+002;
6.387387387387388E+007;1.040480367953799E+002;
6.686686686686686E+007;1.011372635051588E+002;
6.985985985985985E+007;9.852460907326470E+001;
7.285285285285285E+007;9.473275329115992E+001;
7.584584584584585E+007;9.160017216223683E+001;
7.883883883883885E+007;8.731184282726689E+001;
8.183183183183183E+007;8.494584178482037E+001;
8.482482482482483E+007;8.101476903535087E+001;
8.781781781781782E+007;7.750072875920328E+001;
9.081081081081080E+007;7.435424889021459E+001;
9.380380380380380E+007;7.017179622854289E+001;
9.679679679679680E+007;6.706800940390407E+001;
9.978978978978980E+007;6.324334828951923E+001;
1.027827827827828E+008;5.995441872199144E+001;
1.057757757757758E+008;5.630536890911705E+001;
1.087687687687688E+008;5.332397637401213E+001;
1.117617617617618E+008;4.913013290610482E+001;
1.147547547547548E+008;4.640547279176320E+001;
1.177477477477478E+008;4.289757737420523E+001;
1.207407407407408E+008;3.897876677777710E+001;
1.237337337337337E+008;3.615887718860031E+001;
1.267267267267267E+008;3.278655829078371E+001;
1.297197197197197E+008;2.865828827008869E+001;
1.327127127127127E+008;2.541772285197052E+001;
1.357057057057057E+008;2.211167919149494E+001;
1.386986986986987E+008;1.832593621484345E+001;
1.416916916916917E+008;1.510664742246277E+001;
1.446846846846847E+008;1.134506428027491E+001;
1.476776776776777E+008;7.486665345185568E+000;
1.506706706706707E+008;4.263134622867267E+000;
1.536636636636637E+008;7.066526209981147E-001;
1.566566566566567E+008;-3.143570025233371E+000;
1.596496496496497E+008;-6.280261157229814E+000;
1.626426426426427E+008;-9.572548843953850E+000;
1.656356356356356E+008;-1.346973868198236E+001;
1.686286286286286E+008;-1.672028353649849E+001;
1.716216216216216E+008;-2.048839741282866E+001;
1.746146146146146E+008;-2.355881784068555E+001;
1.776076076076076E+008;-2.737598653761367E+001;
1.806006006006006E+008;-3.091431200667780E+001;
1.835935935935936E+008;-3.436722548218713E+001;
1.865865865865866E+008;-3.782951485701731E+001;
1.895795795795796E+008;-4.136013320655543E+001;
1.925725725725726E+008;-4.503963786428968E+001;
1.955655655655656E+008;-4.869362763748573E+001;
1.985585585585586E+008;-5.211648446283554E+001;
2.015515515515516E+008;-5.567298859514875E+001;
2.045445445445446E+008;-5.955598198589249E+001;
2.075375375375375E+008;-6.258291742608550E+001;
2.105305305305305E+008;-6.622110324978902E+001;
2.135235235235235E+008;-7.002530033436197E+001;
