# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-2.616030223541404E-001;
1.299299299299299E+007;-2.685657813928300E-001;
1.598598598598599E+007;-2.196911210818745E-002;
1.897897897897898E+007;1.924162810268911E-001;
2.197197197197197E+007;-3.394828042227789E-001;
2.496496496496496E+007;-1.028612456007645E-001;
2.795795795795796E+007;9.267010001101443E-002;
3.095095095095095E+007;2.013778390121636E-001;
3.394394394394395E+007;-7.793518102215093E-002;
3.693693693693694E+007;5.384656068685667E-002;
3.992992992992993E+007;-1.585623077485428E-001;
4.292292292292292E+007;-1.682664461451394E-001;
4.591591591591591E+007;-1.917893926220340E-001;
4.890890890890891E+007;-1.124289524173081E-001;
5.190190190190190E+007;-1.276860185041229E-001;
5.489489489489490E+007;-3.224232232878064E-001;
5.788788788788789E+007;-3.891815326017954E-001;
6.088088088088088E+007;-3.680773922028714E-001;
6.387387387387388E+007;-1.479714869479553E-001;
6.686686686686686E+007;-3.854733615956302E-001;
6.985985985985985E+007;-2.085367765656319E-001;
7.285285285285285E+007;-2.911041125287853E-001;
7.584584584584585E+007;-3.375699624649513E-001;
7.883883883883885E+007;-4.495922146898063E-001;
8.183183183183183E+007;-4.583200385444872E-001;
8.482482482482483E+007;-4.353748423294049E-001;
8.781781781781782E+007;-3.596021512637814E-001;
9.081081081081080E+007;-4.431544684640075E-001;
9.380380380380380E+007;-5.083962665497526E-001;
9.679679679679680E+007;-4.657400487137232E-001;
9.978978978978980E+007;-5.209918662997524E-001;
1.027827827827828E+008;-4.866750011417714E-001;
1.057757757757758E+008;-5.084334500273914E-001;
1.087687687687688E+008;-6.349918656830033E-001;
1.117617617617618E+008;-5.438448894380725E-001;
1.147547547547548E+008;-5.367937259408522E-001;
1.177477477477478E+008;-5.126034062661096E-001;
1.207407407407408E+008;-5.736343624927260E-001;
1.237337337337337E+008;-6.030168999995208E-001;
1.267267267267267E+008;-5.539456997238219E-001;
1.297197197197197E+008;-5.491531911474225E-001;
1.327127127127127E+008;-5.963520967514606E-001;
1.357057057057057E+008;-6.378861419429248E-001;
1.386986986986987E+008;-5.638461550874615E-001;
1.416916916916917E+008;-5.999786380440738E-001;
1.446846846846847E+008;-5.966322899337322E-001;
1.476776776776777E+008;-5.194210986484946E-001;
1.506706706706707E+008;-4.961711971130619E-001;
1.536636636636637E+008;-5.360521337320342E-001;
1.566566566566567E+008;-6.011793805313914E-001;
1.596496496496497E+008;-4.868278907066316E-001;
1.626426426426427E+008;-5.300457346232504E-001;
1.656356356356356E+008;-5.257898261919161E-001;
1.686286286286286E+008;-5.393569657466476E-001;
1.716216216216216E+008;-5.639475081805839E-001;
1.746146146146146E+008;-4.836297204980593E-001;
1.776076076076076E+008;-4.839887024285142E-001;
1.806006006006006E+008;-4.912017485894376E-001;
1.835935935935936E+008;-4.906252469140395E-001;
1.865865865865866E+008;-5.113704006119677E-001;
1.895795795795796E+008;-4.775412067982607E-001;
1.925725725725726E+008;-4.765109086299403E-001;
1.955655655655656E+008;-4.642021563827018E-001;
1.985585585585586E+008;-4.655614838682644E-001;
2.015515515515516E+008;-4.573430050657118E-001;
2.045445445445446E+008;-4.225540159805267E-001;
2.075375375375375E+008;-4.609232000992301E-001;
2.105305305305305E+008;-4.414279376374041E-001;
2.135235235235235E+008;-4.527647406661478E-001;
2.165165165165165E+008;-4.242668747713129E-001;
2.195095095095095E+008;-4.521630247766950E-001;
2.225025025025025E+008;-4.021466901247628E-001;
2.254954954954955E+008;-4.237078793108974E-001;
2.284884884884885E+008;-4.190241478304568E-001;
2.314814814814815E+008;-4.322113719853545E-001;
2.344744744744745E+008;-3.822679181611258E-001;
2.374674674674675E+008;-4.393192460646569E-001;
2.404604604604605E+008;-4.356015673166017E-001;
2.434534534534535E+008;-4.131053497718131E-001;
2.464464464464465E+008;-4.398775579690417E-001;
2.494394394394395E+008;-4.606662800702210E-001;
2.524324324324324E+008;-4.293472925452649E-001;
2.554254254254254E+008;-4.710655906145457E-001;
2.584184184184184E+008;-4.401794938642071E-001;
2.614114114114114E+008;-4.166975086609289E-001;
2.644044044044044E+008;-4.580481248193886E-001;
2.673973973973974E+008;-4.619575693156752E-001;
2.703903903903904E+008;-5.145978021375696E-001;
2.733833833833834E+008;-4.562119216628562E-001;
2.763763763763764E+008;-5.006170571699881E-001;
2.793693693693694E+008;-4.915233734723139E-001;
2.823623623623624E+008;-4.891463665425148E-001;
2.853553553553554E+008;-5.242761818055083E-001;
2.883483483483483E+008;-5.247916181189595E-001;
2.913413413413413E+008;-5.293822842452588E-001;
2.943343343343343E+008;-5.267816390791765E-001;
2.973273273273273E+008;-5.268314273101840E-001;
3.003203203203203E+008;-5.607643114185843E-001;
3.033133133133133E+008;-5.857557559334697E-001;
3.063063063063063E+008;-5.611352138511124E-001;
3.092992992992993E+008;-5.827019238932621E-001;
3.122922922922923E+008;-6.130719243831042E-001;
3.152852852852853E+008;-6.046643846313158E-001;
3.182782782782783E+008;-5.691812210925108E-001;
3.212712712712713E+008;-6.038638907444781E-001;
3.242642642642643E+008;-6.094477221443099E-001;
3.272572572572573E+008;-6.427376263058053E-001;
3.302502502502502E+008;-6.116558713127486E-001;
3.332432432432432E+008;-6.160808199787833E-001;
3.362362362362362E+008;-6.205453086846934E-001;
3.392292292292292E+008;-6.436613408548058E-001;
3.422222222222222E+008;-6.325625675786772E-001;
3.452152152152152E+008;-6.493996353024680E-001;
3.482082082082082E+008;-6.533873527271187E-001;
3.512012012012012E+008;-6.369718756079840E-001;
3.541941941941942E+008;-6.637968730110792E-001;
3.571871871871872E+008;-6.814813066528579E-001;
3.601801801801802E+008;-6.639657468328080E-001;
3.631731731731732E+008;-6.826536116380563E-001;
3.661661661661662E+008;-7.222829478928660E-001;
3.691591591591592E+008;-7.310977529372357E-001;
3.721521521521521E+008;-7.192526861131884E-001;
3.751451451451451E+008;-7.202257086269593E-001;
3.781381381381381E+008;-7.241614801145514E-001;
3.811311311311311E+008;-7.280765076859279E-001;
3.841241241241241E+008;-7.355608005581759E-001;
3.871171171171171E+008;-7.259250907376929E-001;
3.901101101101101E+008;-7.504556843925347E-001;
3.931031031031031E+008;-7.685754910033623E-001;
3.960960960960961E+008;-7.720839608711292E-001;
3.990890890890891E+008;-7.404980031985684E-001;
4.020820820820821E+008;-7.238487184813812E-001;
4.050750750750751E+008;-7.375742380176302E-001;
4.080680680680681E+008;-7.195818140281407E-001;
4.110610610610611E+008;-7.874163973405134E-001;
4.140540540540541E+008;-7.758196238389512E-001;
4.170470470470470E+008;-7.657153384222670E-001;
4.200400400400400E+008;-7.862216784824628E-001;
4.230330330330330E+008;-7.826037094852988E-001;
4.260260260260260E+008;-7.698976107217240E-001;
4.290190190190190E+008;-7.693194306336624E-001;
4.320120120120120E+008;-7.564191306149334E-001;
4.350050050050050E+008;-7.413059135278876E-001;
4.379979979979980E+008;-7.034296583682317E-001;
4.409909909909910E+008;-7.918520744496830E-001;
4.439839839839840E+008;-7.333330391749573E-001;
4.469769769769770E+008;-7.236473578997706E-001;
4.499699699699700E+008;-7.340382567040902E-001;
4.529629629629630E+008;-7.439036854071830E-001;
4.559559559559560E+008;-7.222387487417259E-001;
4.589489489489489E+008;-7.276456338606405E-001;
4.619419419419419E+008;-7.189187857914736E-001;
4.649349349349349E+008;-7.176077046931677E-001;
4.679279279279279E+008;-7.298129231350055E-001;
4.709209209209209E+008;-7.073364853631747E-001;
4.739139139139139E+008;-6.961366552535383E-001;
4.769069069069069E+008;-6.928116628902229E-001;
4.798998998998999E+008;-6.932942857459107E-001;
4.828928928928929E+008;-5.382028083786090E-001;
4.858858858858859E+008;-5.626898598856209E-001;
4.888788788788789E+008;-6.067865304051029E-001;
4.918718718718719E+008;-6.450979811298422E-001;
4.948648648648649E+008;-6.753207522255469E-001;
4.978578578578579E+008;-6.843557783924804E-001;
5.008508508508508E+008;-4.910158557065365E-001;
5.038438438438438E+008;-5.293323006778022E-001;
5.068368368368368E+008;-6.065714809027766E-001;
5.098298298298298E+008;-6.232992082066692E-001;
5.128228228228228E+008;-6.973705344634826E-001;
5.158158158158158E+008;-6.712898212960250E-001;
5.188088088088088E+008;-6.723038409165333E-001;
5.218018018018018E+008;-6.648100226653748E-001;
5.247947947947948E+008;-6.412882520707667E-001;
5.277877877877878E+008;-6.795095966645817E-001;
5.307807807807808E+008;-7.049408362045015E-001;
5.337737737737738E+008;-6.706499593624341E-001;
5.367667667667668E+008;-6.803560944221511E-001;
5.397597597597598E+008;-6.899084906267002E-001;
5.427527527527528E+008;-6.787792126118870E-001;
5.457457457457457E+008;-6.722087904208591E-001;
5.487387387387388E+008;-6.735965008651530E-001;
5.517317317317318E+008;-6.811521829437703E-001;
5.547247247247248E+008;-7.015372651155858E-001;
