# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-5.779789555685118E-001;
1.299299299299299E+007;-9.817691992535366E-001;
1.598598598598599E+007;-2.948405940304615E-001;
1.897897897897898E+007;-2.225284349893922E-001;
2.197197197197197E+007;-1.567222801805322E-002;
2.496496496496496E+007;-5.518086764381201E-002;
2.795795795795796E+007;-2.926213675240617E-001;
3.095095095095095E+007;-1.350850073836234E-001;
3.394394394394395E+007;-5.072873936522785E-001;
3.693693693693694E+007;-7.960127671952333E-001;
3.992992992992993E+007;-6.587675756045748E-001;
4.292292292292292E+007;-4.820435957329254E-001;
4.591591591591591E+007;-5.089846773662748E-001;
4.890890890890891E+007;-4.033663456426841E-001;
5.190190190190190E+007;-3.493632710496709E-001;
5.489489489489490E+007;-4.969492217887718E-001;
5.788788788788789E+007;-3.599882767001286E-001;
6.088088088088088E+007;-2.883288937589323E-001;
6.387387387387388E+007;-4.280792466880554E-001;
6.686686686686686E+007;-4.373581623121949E-001;
6.985985985985985E+007;-3.865432990183437E-001;
7.285285285285285E+007;-4.722316476058449E-001;
7.584584584584585E+007;-4.213466922489620E-001;
7.883883883883885E+007;-5.045694911831049E-001;
8.183183183183183E+007;-4.822958448380736E-001;
8.482482482482483E+007;-3.295897400418878E-001;
8.781781781781782E+007;-4.423998815361517E-001;
9.081081081081080E+007;-4.096305385747409E-001;
9.380380380380380E+007;-4.504002829203427E-001;
9.679679679679680E+007;-3.926863453870470E-001;
9.978978978978980E+007;-3.945562683408002E-001;
1.027827827827828E+008;-4.248865428556014E-001;
1.057757757757758E+008;-4.043960447136335E-001;
1.087687687687688E+008;-3.057614456609281E-001;
1.117617617617618E+008;-4.092402903069471E-001;
1.147547547547548E+008;-4.295703297764095E-001;
1.177477477477478E+008;-4.045534196909835E-001;
1.207407407407408E+008;-4.613104466594715E-001;
1.237337337337337E+008;-2.684411244922337E-001;
1.267267267267267E+008;-3.904282720132443E-001;
1.297197197197197E+008;-3.738306480512603E-001;
1.327127127127127E+008;-3.603571594351138E-001;
1.357057057057057E+008;-3.976912989091878E-001;
1.386986986986987E+008;-3.569850896095527E-001;
1.416916916916917E+008;-4.178927581484942E-001;
1.446846846846847E+008;-3.893675047710142E-001;
1.476776776776777E+008;-3.692686516013241E-001;
1.506706706706707E+008;-3.531807462399236E-001;
1.536636636636637E+008;-3.576703536109787E-001;
1.566566566566567E+008;-4.032717069579590E-001;
1.596496496496497E+008;-3.138632749613562E-001;
1.626426426426427E+008;-3.328187111231649E-001;
1.656356356356356E+008;-3.098011310972297E-001;
1.686286286286286E+008;-3.336072568025139E-001;
1.716216216216216E+008;-3.193584470029475E-001;
1.746146146146146E+008;-3.410962039860236E-001;
1.776076076076076E+008;-3.211267686141540E-001;
1.806006006006006E+008;-3.273897137420114E-001;
1.835935935935936E+008;-3.387228422203969E-001;
1.865865865865866E+008;-3.681209404343376E-001;
1.895795795795796E+008;-2.770444268890032E-001;
1.925725725725726E+008;-3.503075693674030E-001;
1.955655655655656E+008;-3.054608540852355E-001;
1.985585585585586E+008;-2.992870302631476E-001;
2.015515515515516E+008;-3.065991179519108E-001;
2.045445445445446E+008;-3.733000220073253E-001;
2.075375375375375E+008;-3.393819457010368E-001;
2.105305305305305E+008;-3.864264262092883E-001;
2.135235235235235E+008;-3.653945272520276E-001;
2.165165165165165E+008;-3.193173911623455E-001;
2.195095095095095E+008;-4.721119626183495E-001;
2.225025025025025E+008;-3.942376876641356E-001;
2.254954954954955E+008;-3.961112629886036E-001;
2.284884884884885E+008;-3.965708003140213E-001;
2.314814814814815E+008;-4.130629014010817E-001;
2.344744744744745E+008;-3.498352472267015E-001;
2.374674674674675E+008;-4.182769708641957E-001;
2.404604604604605E+008;-4.335101232077487E-001;
2.434534534534535E+008;-4.345953700609329E-001;
2.464464464464465E+008;-4.404864232990721E-001;
2.494394394394395E+008;-4.728476223119729E-001;
2.524324324324324E+008;-4.391180389837150E-001;
2.554254254254254E+008;-4.838115533687554E-001;
2.584184184184184E+008;-4.906910732996523E-001;
2.614114114114114E+008;-5.078484699064196E-001;
2.644044044044044E+008;-5.649978343235930E-001;
2.673973973973974E+008;-5.117092278947074E-001;
2.703903903903904E+008;-5.148551709488654E-001;
2.733833833833834E+008;-5.336306387614145E-001;
2.763763763763764E+008;-5.636354996150624E-001;
2.793693693693694E+008;-5.717957305064066E-001;
2.823623623623624E+008;-5.844561140588815E-001;
2.853553553553554E+008;-5.947911408316293E-001;
2.883483483483483E+008;-6.342929645193113E-001;
2.913413413413413E+008;-6.082958698060649E-001;
2.943343343343343E+008;-6.796390583287831E-001;
2.973273273273273E+008;-6.718277237768852E-001;
3.003203203203203E+008;-6.648427899908164E-001;
3.033133133133133E+008;-6.950113901296076E-001;
3.063063063063063E+008;-7.086766517854339E-001;
3.092992992992993E+008;-6.932454384682740E-001;
3.122922922922923E+008;-7.564328359088921E-001;
3.152852852852853E+008;-7.772641721751491E-001;
3.182782782782783E+008;-7.655438852804458E-001;
3.212712712712713E+008;-7.775745604369317E-001;
3.242642642642643E+008;-8.312010250726263E-001;
3.272572572572573E+008;-8.220450568268664E-001;
3.302502502502502E+008;-8.027653570968648E-001;
3.332432432432432E+008;-8.377324032157181E-001;
3.362362362362362E+008;-8.366328652974500E-001;
3.392292292292292E+008;-8.674927966005374E-001;
3.422222222222222E+008;-9.089187108101426E-001;
3.452152152152152E+008;-9.255324643191545E-001;
3.482082082082082E+008;-9.792213270586393E-001;
3.512012012012012E+008;-9.643310436094931E-001;
3.541941941941942E+008;-1.022143983754016E+000;
3.571871871871872E+008;-1.057153545953570E+000;
3.601801801801802E+008;-1.088804732960333E+000;
3.631731731731732E+008;-1.090551598785617E+000;
3.661661661661662E+008;-1.150388629239691E+000;
3.691591591591592E+008;-1.175990474902621E+000;
3.721521521521521E+008;-1.229079897792439E+000;
3.751451451451451E+008;-1.291949447102367E+000;
3.781381381381381E+008;-1.383013960581425E+000;
3.811311311311311E+008;-1.402895242404804E+000;
3.841241241241241E+008;-1.473310576042805E+000;
3.871171171171171E+008;-1.587819494368519E+000;
3.901101101101101E+008;-1.685581944880151E+000;
3.931031031031031E+008;-1.773002196582163E+000;
3.960960960960961E+008;-1.962253869621792E+000;
3.990890890890891E+008;-2.146192156850351E+000;
4.020820820820821E+008;-2.312624827670487E+000;
4.050750750750751E+008;-2.568600192224768E+000;
4.080680680680681E+008;-2.859793890420270E+000;
4.110610610610611E+008;-3.198867473411730E+000;
4.140540540540541E+008;-3.605726987577913E+000;
4.170470470470470E+008;-4.096881872080601E+000;
4.200400400400400E+008;-4.677552561303046E+000;
4.230330330330330E+008;-5.325297950162927E+000;
4.260260260260260E+008;-6.003319147509787E+000;
4.290190190190190E+008;-6.675784962298369E+000;
4.320120120120120E+008;-7.235657419486230E+000;
4.350050050050050E+008;-7.547737566639698E+000;
4.379979979979980E+008;-7.494667225121278E+000;
4.409909909909910E+008;-7.143318732498627E+000;
4.439839839839840E+008;-6.589844389701049E+000;
4.469769769769770E+008;-5.921818721700033E+000;
4.499699699699700E+008;-5.275764705790011E+000;
4.529629629629630E+008;-4.701969294806081E+000;
4.559559559559560E+008;-4.175057039138224E+000;
4.589489489489489E+008;-3.748266675088442E+000;
4.619419419419419E+008;-3.355063580914389E+000;
4.649349349349349E+008;-3.027844047525013E+000;
