# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-5.465733025779714E-001;
1.299299299299299E+007;-4.594003196697742E-001;
1.598598598598599E+007;-6.305628546667234E-001;
1.897897897897898E+007;-3.385745311934426E-001;
2.197197197197197E+007;-2.289809122883464E-001;
2.496496496496496E+007;-8.072278061581040E-002;
2.795795795795796E+007;-1.806914510366423E-001;
3.095095095095095E+007;-2.417269820871147E-001;
3.394394394394395E+007;-2.243631016161916E-001;
3.693693693693694E+007;-5.798598342337622E-001;
3.992992992992993E+007;-5.062605009054488E-001;
4.292292292292292E+007;-6.651447373145899E-001;
4.591591591591591E+007;-5.672898882992156E-001;
4.890890890890891E+007;-2.950595402228448E-001;
5.190190190190190E+007;-2.899030469695544E-001;
5.489489489489490E+007;-4.824902406294722E-001;
5.788788788788789E+007;-3.023002102069027E-001;
6.088088088088088E+007;-3.429289751214711E-001;
6.387387387387388E+007;-4.829472612732081E-001;
6.686686686686686E+007;-2.237284633311416E-001;
6.985985985985985E+007;-4.006280998122618E-001;
7.285285285285285E+007;-4.720267221175126E-001;
7.584584584584585E+007;-2.797570872977580E-001;
7.883883883883885E+007;-4.534542340190759E-001;
8.183183183183183E+007;-4.708404585520742E-001;
8.482482482482483E+007;-3.535278950871514E-001;
8.781781781781782E+007;-5.008403250224625E-001;
9.081081081081080E+007;-4.650054635445133E-001;
9.380380380380380E+007;-4.812677049743697E-001;
9.679679679679680E+007;-3.791502394607291E-001;
9.978978978978980E+007;-4.471648642122678E-001;
1.027827827827828E+008;-4.714088854277684E-001;
1.057757757757758E+008;-4.122428668639273E-001;
1.087687687687688E+008;-3.686912182269737E-001;
1.117617617617618E+008;-3.732297175135526E-001;
1.147547547547548E+008;-3.829718150830845E-001;
1.177477477477478E+008;-3.142458494797715E-001;
1.207407407407408E+008;-3.262077554442799E-001;
1.237337337337337E+008;-3.660647031535173E-001;
1.267267267267267E+008;-3.412263844761629E-001;
1.297197197197197E+008;-3.509667417400645E-001;
1.327127127127127E+008;-3.303057228389982E-001;
1.357057057057057E+008;-3.569629894206192E-001;
1.386986986986987E+008;-3.996546655933764E-001;
1.416916916916917E+008;-3.797534992147992E-001;
1.446846846846847E+008;-3.336845362822213E-001;
1.476776776776777E+008;-3.510880398256743E-001;
1.506706706706707E+008;-3.637184761947454E-001;
1.536636636636637E+008;-3.730191718483680E-001;
1.566566566566567E+008;-3.541965394172304E-001;
1.596496496496497E+008;-2.854707553301246E-001;
1.626426426426427E+008;-3.002230211993290E-001;
1.656356356356356E+008;-3.245156060737353E-001;
1.686286286286286E+008;-3.245150911886937E-001;
1.716216216216216E+008;-3.381344956069812E-001;
1.746146146146146E+008;-2.914265497821536E-001;
1.776076076076076E+008;-3.440556911027585E-001;
1.806006006006006E+008;-2.886026636536698E-001;
1.835935935935936E+008;-2.555698441053489E-001;
1.865865865865866E+008;-3.168062165579879E-001;
1.895795795795796E+008;-3.220773169347919E-001;
1.925725725725726E+008;-2.697569727741139E-001;
1.955655655655656E+008;-3.251176363911411E-001;
1.985585585585586E+008;-3.146347528238238E-001;
2.015515515515516E+008;-2.547093168912211E-001;
2.045445445445446E+008;-2.886356273203563E-001;
2.075375375375375E+008;-3.180469176031580E-001;
2.105305305305305E+008;-3.150834485463996E-001;
2.135235235235235E+008;-3.721249268345677E-001;
2.165165165165165E+008;-3.279403307486450E-001;
2.195095095095095E+008;-3.283351357471717E-001;
2.225025025025025E+008;-3.481998062829749E-001;
2.254954954954955E+008;-3.640381380708419E-001;
2.284884884884885E+008;-3.880565264499430E-001;
2.314814814814815E+008;-3.880278262011820E-001;
2.344744744744745E+008;-3.509754065003027E-001;
2.374674674674675E+008;-3.426033830979578E-001;
2.404604604604605E+008;-3.554524357471421E-001;
2.434534534534535E+008;-3.741918346687562E-001;
2.464464464464465E+008;-4.538225340499019E-001;
2.494394394394395E+008;-4.416218955212361E-001;
2.524324324324324E+008;-4.315341274214923E-001;
2.554254254254254E+008;-4.607603940642633E-001;
2.584184184184184E+008;-4.983030178250383E-001;
2.614114114114114E+008;-4.921772841651967E-001;
2.644044044044044E+008;-4.921577308690687E-001;
2.673973973973974E+008;-4.784827562647142E-001;
