# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.691342490907683E+002;
1.299299299299299E+007;1.656085413890888E+002;
1.598598598598599E+007;1.574750755326571E+002;
1.897897897897898E+007;1.604674728693692E+002;
2.197197197197197E+007;1.518294611202764E+002;
2.496496496496496E+007;1.499353500585911E+002;
2.795795795795796E+007;1.456501228315843E+002;
3.095095095095095E+007;1.434871945694957E+002;
3.394394394394395E+007;1.384663695088362E+002;
3.693693693693694E+007;1.382971757255751E+002;
3.992992992992993E+007;1.336568003252041E+002;
4.292292292292292E+007;1.311433144813682E+002;
4.591591591591591E+007;1.278792338748603E+002;
4.890890890890891E+007;1.221599714112455E+002;
5.190190190190190E+007;1.197455642410472E+002;
5.489489489489490E+007;1.148818841312144E+002;
5.788788788788789E+007;1.113772344378181E+002;
6.088088088088088E+007;1.084550801132103E+002;
6.387387387387388E+007;1.050798473321487E+002;
6.686686686686686E+007;1.012613582426951E+002;
6.985985985985985E+007;9.798724811903745E+001;
7.285285285285285E+007;9.504684007180090E+001;
7.584584584584585E+007;9.087596864106084E+001;
7.883883883883885E+007;8.720577721305183E+001;
8.183183183183183E+007;8.485221911211578E+001;
8.482482482482483E+007;8.047782250785468E+001;
8.781781781781782E+007;7.714238684140543E+001;
9.081081081081080E+007;7.302240342232922E+001;
9.380380380380380E+007;7.074116612496140E+001;
9.679679679679680E+007;6.698070155272077E+001;
9.978978978978980E+007;6.342069064932503E+001;
1.027827827827828E+008;6.006288331232226E+001;
1.057757757757758E+008;5.581264628512932E+001;
1.087687687687688E+008;5.301259508829958E+001;
1.117617617617618E+008;5.005266613982844E+001;
1.147547547547548E+008;4.598724164229365E+001;
1.177477477477478E+008;4.311738938075022E+001;
1.207407407407408E+008;3.887795966434311E+001;
1.237337337337337E+008;3.559345414605407E+001;
1.267267267267267E+008;3.222925189155199E+001;
1.297197197197197E+008;2.884381064543176E+001;
1.327127127127127E+008;2.513548809032073E+001;
1.357057057057057E+008;2.213764048513457E+001;
1.386986986986987E+008;1.795439429993706E+001;
1.416916916916917E+008;1.462977329662036E+001;
1.446846846846847E+008;1.135911745714083E+001;
1.476776776776777E+008;7.633021810941090E+000;
1.506706706706707E+008;3.672977407106487E+000;
1.536636636636637E+008;6.571665923014463E-001;
1.566566566566567E+008;-2.706293859822905E+000;
1.596496496496497E+008;-6.751488814991863E+000;
1.626426426426427E+008;-9.631036515676286E+000;
1.656356356356356E+008;-1.388647580632615E+001;
1.686286286286286E+008;-1.694009736386705E+001;
