# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;4.703002616778175E-001;
1.299299299299299E+007;4.119463348185619E-001;
1.598598598598599E+007;-3.104987248771560E-001;
1.897897897897898E+007;1.992375589560981E-001;
2.197197197197197E+007;1.251329741886826E-001;
2.496496496496496E+007;-3.155092465232379E-002;
2.795795795795796E+007;-2.667724957303422E-001;
3.095095095095095E+007;-3.532029261697028E-001;
3.394394394394395E+007;-2.315492192737430E-001;
3.693693693693694E+007;-5.988140032086085E-001;
3.992992992992993E+007;-7.425252982167018E-001;
4.292292292292292E+007;-2.230761262418541E-001;
4.591591591591591E+007;-5.145468819355371E-001;
4.890890890890891E+007;-5.350031497473825E-001;
5.190190190190190E+007;-3.021118285217574E-001;
5.489489489489490E+007;-4.858168382147458E-001;
5.788788788788789E+007;-4.155865044000813E-001;
6.088088088088088E+007;-2.965586908025181E-001;
6.387387387387388E+007;-3.228108004522319E-001;
6.686686686686686E+007;-3.752192106699307E-001;
6.985985985985985E+007;-3.596339443248007E-001;
7.285285285285285E+007;-3.311470057859313E-001;
7.584584584584585E+007;-3.631070239537323E-001;
7.883883883883885E+007;-3.443065259592413E-001;
8.183183183183183E+007;-4.018415916049180E-001;
8.482482482482483E+007;-4.128956900077546E-001;
8.781781781781782E+007;-4.214453139216737E-001;
9.081081081081080E+007;-3.437837579499975E-001;
9.380380380380380E+007;-3.556913052000900E-001;
9.679679679679680E+007;-3.781582035804895E-001;
9.978978978978980E+007;-4.551027059022476E-001;
1.027827827827828E+008;-4.007651237262498E-001;
1.057757757757758E+008;-4.192840527753697E-001;
1.087687687687688E+008;-3.622765635956466E-001;
1.117617617617618E+008;-3.756102496165936E-001;
1.147547547547548E+008;-3.171410469087084E-001;
1.177477477477478E+008;-2.756873711173872E-001;
1.207407407407408E+008;-3.339916278918581E-001;
1.237337337337337E+008;-3.054879952861839E-001;
1.267267267267267E+008;-3.945100430221129E-001;
1.297197197197197E+008;-3.522756292116407E-001;
1.327127127127127E+008;-3.473039626591356E-001;
1.357057057057057E+008;-3.015345496244368E-001;
1.386986986986987E+008;-3.383341285004881E-001;
1.416916916916917E+008;-3.200682380692208E-001;
1.446846846846847E+008;-3.738164165066593E-001;
1.476776776776777E+008;-3.646465879573241E-001;
1.506706706706707E+008;-3.468506446902119E-001;
1.536636636636637E+008;-3.285420104887967E-001;
1.566566566566567E+008;-2.761052549616398E-001;
1.596496496496497E+008;-2.872492193171434E-001;
1.626426426426427E+008;-2.666737468896353E-001;
1.656356356356356E+008;-3.118414248726301E-001;
1.686286286286286E+008;-3.122875993542839E-001;
1.716216216216216E+008;-2.311811978169594E-001;
1.746146146146146E+008;-2.703000881613080E-001;
1.776076076076076E+008;-2.520162190876059E-001;
1.806006006006006E+008;-2.462223349313231E-001;
1.835935935935936E+008;-2.216320597289211E-001;
1.865865865865866E+008;-2.456371805240166E-001;
