# Version 1.00
#
freq[Hz];Trc2_S11[°];
1.000000000000000E+007;-2.966917802858430E+001;
1.019019019019019E+007;-3.072351651972920E+001;
1.038038038038038E+007;-3.087397222681044E+001;
1.057057057057057E+007;-3.157438015856391E+001;
1.076076076076076E+007;-3.211416906957794E+001;
1.095095095095095E+007;-3.276571828295407E+001;
1.114114114114114E+007;-3.410219670341977E+001;
1.133133133133133E+007;-3.456363222406877E+001;
1.152152152152152E+007;-3.429352959775145E+001;
1.171171171171171E+007;-3.532842017329347E+001;
1.190190190190190E+007;-3.649995051218681E+001;
1.209209209209209E+007;-3.639325092049688E+001;
1.228228228228228E+007;-3.701403427625335E+001;
1.247247247247247E+007;-3.749353218465847E+001;
1.266266266266266E+007;-3.848387789601411E+001;
1.285285285285285E+007;-3.863052574395830E+001;
1.304304304304304E+007;-3.924188093971092E+001;
1.323323323323323E+007;-4.000956581880090E+001;
1.342342342342342E+007;-4.057690465469003E+001;
1.361361361361361E+007;-4.079878202359799E+001;
1.380380380380380E+007;-4.178299394699584E+001;
1.399399399399399E+007;-4.211323672361888E+001;
1.418418418418418E+007;-4.295253271424198E+001;
1.437437437437438E+007;-4.331617529065473E+001;
1.456456456456456E+007;-4.417301668273966E+001;
1.475475475475476E+007;-4.462240975265166E+001;
1.494494494494494E+007;-4.539566455754097E+001;
1.513513513513514E+007;-4.577795657780466E+001;
1.532532532532533E+007;-4.623796258729943E+001;
1.551551551551552E+007;-4.705892227822960E+001;
1.570570570570571E+007;-4.769575607656960E+001;
1.589589589589590E+007;-4.819775913392613E+001;
1.608608608608609E+007;-4.899635126257542E+001;
1.627627627627628E+007;-4.905504211051176E+001;
1.646646646646647E+007;-4.983865435883438E+001;
1.665665665665666E+007;-5.005962366241380E+001;
1.684684684684685E+007;-5.106488094390828E+001;
1.703703703703704E+007;-5.157538244405556E+001;
1.722722722722723E+007;-5.197396813531897E+001;
1.741741741741742E+007;-5.265559061815387E+001;
1.760760760760761E+007;-5.355769214593001E+001;
1.779779779779780E+007;-5.404843546444695E+001;
1.798798798798799E+007;-5.435344484142831E+001;
1.817817817817818E+007;-5.521566718526382E+001;
1.836836836836837E+007;-5.534752805897900E+001;
1.855855855855856E+007;-5.632485938199812E+001;
1.874874874874875E+007;-5.703966876245868E+001;
1.893893893893894E+007;-5.722297575880403E+001;
1.912912912912913E+007;-5.792233503377537E+001;
1.931931931931932E+007;-5.847678964701002E+001;
1.950950950950951E+007;-5.900328485439438E+001;
1.969969969969970E+007;-5.930768605360714E+001;
1.988988988988989E+007;-6.022209658773134E+001;
2.008008008008008E+007;-6.072471375650019E+001;
2.027027027027027E+007;-6.147158513656000E+001;
2.046046046046046E+007;-6.218709995978676E+001;
2.065065065065065E+007;-6.262805792149953E+001;
2.084084084084084E+007;-6.310659548915374E+001;
2.103103103103103E+007;-6.359126302308051E+001;
2.122122122122122E+007;-6.433893447325134E+001;
2.141141141141141E+007;-6.473983051672342E+001;
2.160160160160160E+007;-6.554675699516537E+001;
2.179179179179179E+007;-6.591262213514993E+001;
2.198198198198198E+007;-6.673508325258598E+001;
2.217217217217217E+007;-6.710569856532948E+001;
2.236236236236236E+007;-6.810012392390796E+001;
2.255255255255255E+007;-6.853770104921321E+001;
2.274274274274274E+007;-6.883044196521996E+001;
2.293293293293293E+007;-6.960915098421042E+001;
2.312312312312312E+007;-6.983581696490035E+001;
2.331331331331331E+007;-7.071617816748724E+001;
2.350350350350350E+007;-7.138730622815498E+001;
2.369369369369369E+007;-7.195086708365123E+001;
2.388388388388389E+007;-7.229875838120502E+001;
2.407407407407408E+007;-7.312545690581614E+001;
2.426426426426426E+007;-7.382866193041080E+001;
2.445445445445445E+007;-7.424917361074149E+001;
