# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;1.469108247646521E+002;
1.010010010010010E+007;1.466189072499275E+002;
1.020020020020020E+007;1.461727123461187E+002;
1.030030030030030E+007;1.458941783285035E+002;
1.040040040040040E+007;1.455483972731545E+002;
1.050050050050050E+007;1.451703828379714E+002;
1.060060060060060E+007;1.448969194568188E+002;
1.070070070070070E+007;1.445514793197422E+002;
1.080080080080080E+007;1.441373358710149E+002;
1.090090090090090E+007;1.438841899866789E+002;
1.100100100100100E+007;1.434202009573634E+002;
1.110110110110110E+007;1.431639466949758E+002;
1.120120120120120E+007;1.427653166623606E+002;
1.130130130130130E+007;1.424231728129868E+002;
1.140140140140140E+007;1.421406163944397E+002;
1.150150150150150E+007;1.417765537199964E+002;
1.160160160160160E+007;1.414969315367684E+002;
1.170170170170170E+007;1.412249466774452E+002;
1.180180180180180E+007;1.409917245874942E+002;
1.190190190190190E+007;1.406133105195546E+002;
1.200200200200200E+007;1.404520122338211E+002;
1.210210210210210E+007;1.400480195727407E+002;
1.220220220220220E+007;1.397174744891747E+002;
1.230230230230230E+007;1.394351483290935E+002;
1.240240240240240E+007;1.391590846574798E+002;
1.250250250250250E+007;1.388251333153410E+002;
1.260260260260260E+007;1.385709700877585E+002;
1.270270270270270E+007;1.382711661223010E+002;
1.280280280280280E+007;1.378948174984653E+002;
1.290290290290290E+007;1.376063338503092E+002;
1.300300300300300E+007;1.372924224124849E+002;
1.310310310310310E+007;1.369609888884012E+002;
1.320320320320320E+007;1.365875737861865E+002;
1.330330330330330E+007;1.362755386087175E+002;
1.340340340340340E+007;1.359452512593001E+002;
1.350350350350350E+007;1.356931526430216E+002;
1.360360360360360E+007;1.353229082188980E+002;
1.370370370370370E+007;1.350548394285391E+002;
1.380380380380380E+007;1.346963556569585E+002;
1.390390390390390E+007;1.343736263006169E+002;
1.400400400400400E+007;1.340394169194069E+002;
1.410410410410410E+007;1.337759203843391E+002;
1.420420420420421E+007;1.333940184189942E+002;
1.430430430430431E+007;1.331268084887263E+002;
1.440440440440441E+007;1.327959281130454E+002;
1.450450450450451E+007;1.324773082273760E+002;
1.460460460460461E+007;1.321352383849995E+002;
1.470470470470471E+007;1.318232112207428E+002;
1.480480480480481E+007;1.315249878183640E+002;
1.490490490490491E+007;1.311476690090221E+002;
1.500500500500501E+007;1.308237180636245E+002;
1.510510510510511E+007;1.305571772696382E+002;
1.520520520520521E+007;1.302127321259712E+002;
1.530530530530531E+007;1.298835075740126E+002;
1.540540540540541E+007;1.295701650492906E+002;
1.550550550550551E+007;1.292072404547765E+002;
1.560560560560561E+007;1.289002007041250E+002;
1.570570570570571E+007;1.285895382429715E+002;
1.580580580580581E+007;1.282829877056277E+002;
1.590590590590591E+007;1.279360033230583E+002;
1.600600600600601E+007;1.275495869474079E+002;
1.610610610610611E+007;1.271928409046241E+002;
1.620620620620621E+007;1.269130977375667E+002;
1.630630630630631E+007;1.265094444616384E+002;
1.640640640640641E+007;1.261686568057281E+002;
1.650650650650651E+007;1.258471057456234E+002;
1.660660660660661E+007;1.255351881412656E+002;
1.670670670670671E+007;1.252163326096105E+002;
1.680680680680681E+007;1.249188972704972E+002;
1.690690690690691E+007;1.245526544268977E+002;
1.700700700700701E+007;1.242557587162391E+002;
1.710710710710711E+007;1.239330842135459E+002;
1.720720720720721E+007;1.236188084096344E+002;
1.730730730730731E+007;1.232971800935813E+002;
1.740740740740741E+007;1.229807620991281E+002;
1.750750750750751E+007;1.226258549569797E+002;
1.760760760760761E+007;1.223239181347130E+002;
1.770770770770771E+007;1.220333719002432E+002;
1.780780780780781E+007;1.217331025269466E+002;
1.790790790790791E+007;1.214120429618038E+002;
1.800800800800801E+007;1.213747045313495E+002;
1.810810810810811E+007;1.210364896940283E+002;
1.820820820820821E+007;1.207100899434542E+002;
1.830830830830831E+007;1.203845195215993E+002;
1.840840840840841E+007;1.200551539494787E+002;
1.850850850850851E+007;1.197184292816100E+002;
1.860860860860861E+007;1.194423287160300E+002;
1.870870870870871E+007;1.190843866660218E+002;
1.880880880880881E+007;1.187568605349795E+002;
1.890890890890891E+007;1.184628161711707E+002;
1.900900900900901E+007;1.181011654690939E+002;
1.910910910910911E+007;1.178226319980631E+002;
1.920920920920921E+007;1.175293814994130E+002;
1.930930930930931E+007;1.174584661131173E+002;
1.940940940940941E+007;1.170970725132181E+002;
