# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;5.340061342526423E-002;
1.019019019019019E+007;4.093810584887106E-003;
1.038038038038038E+007;5.399597908424321E-002;
1.057057057057057E+007;7.353337166906086E-002;
1.076076076076076E+007;-7.239947961322533E-003;
1.095095095095095E+007;1.005998065001389E-002;
1.114114114114114E+007;-9.802283499863534E-002;
1.133133133133133E+007;7.923447361348708E-003;
1.152152152152152E+007;6.584212068829907E-002;
1.171171171171171E+007;-7.248010232870343E-002;
1.190190190190190E+007;-1.065723972196369E-002;
1.209209209209209E+007;2.536751024314685E-002;
1.228228228228228E+007;2.371540767622301E-002;
1.247247247247247E+007;7.767586842722904E-003;
1.266266266266266E+007;-3.219556772710327E-002;
1.285285285285285E+007;-2.566601352884243E-002;
1.304304304304304E+007;1.835829510896465E-002;
1.323323323323323E+007;-1.560582417410131E-002;
1.342342342342342E+007;-3.119643375088439E-002;
1.361361361361361E+007;3.879978934846752E-002;
1.380380380380380E+007;-3.119946832118484E-002;
1.399399399399399E+007;4.373162955524511E-002;
1.418418418418418E+007;-3.100623135022469E-002;
1.437437437437438E+007;7.161011198196509E-003;
1.456456456456456E+007;-4.846066743410647E-002;
1.475475475475476E+007;-5.352498031921369E-002;
1.494494494494494E+007;-3.196237041682237E-002;
1.513513513513514E+007;1.104392545092369E-002;
1.532532532532533E+007;1.347680393895774E-002;
1.551551551551552E+007;-5.993585192281142E-002;
1.570570570570571E+007;-1.046804151882540E-002;
1.589589589589590E+007;-1.165717978149915E-001;
1.608608608608609E+007;-4.229845787674606E-002;
1.627627627627628E+007;-8.239801143718253E-002;
1.646646646646647E+007;3.856544639035579E-002;
1.665665665665666E+007;-2.085549106106138E-002;
1.684684684684685E+007;-7.087263353925796E-003;
1.703703703703704E+007;-6.378136769027797E-002;
1.722722722722723E+007;-5.869640379665306E-002;
1.741741741741742E+007;-4.238472288881093E-002;
1.760760760760761E+007;-8.944962462035562E-002;
1.779779779779780E+007;-1.738225438135271E-002;
1.798798798798799E+007;-3.548759080808084E-002;
1.817817817817818E+007;-3.534462414400195E-002;
1.836836836836837E+007;-9.743037933103061E-003;
1.855855855855856E+007;-6.826321179541386E-002;
1.874874874874875E+007;-1.785237371979387E-002;
1.893893893893894E+007;-7.358386463395107E-002;
1.912912912912913E+007;-3.303906056534033E-002;
1.931931931931932E+007;-3.047415410227962E-002;
1.950950950950951E+007;-2.196481578394207E-002;
1.969969969969970E+007;-5.790636195267073E-002;
1.988988988988989E+007;-2.449074841524985E-002;
2.008008008008008E+007;-3.954079206856670E-002;
2.027027027027027E+007;-9.990985827253679E-002;
2.046046046046046E+007;-8.174066111226450E-002;
2.065065065065065E+007;-7.916263092797074E-002;
2.084084084084084E+007;-8.381029202869661E-002;
2.103103103103103E+007;-5.779945890037408E-002;
2.122122122122122E+007;-5.969113249563550E-002;
2.141141141141141E+007;-6.237682464675759E-002;
2.160160160160160E+007;-9.577071606764406E-002;
2.179179179179179E+007;-8.072337777207911E-002;
2.198198198198198E+007;-5.810530264206601E-002;
2.217217217217217E+007;-4.826926241000417E-002;
2.236236236236236E+007;-8.800683210142529E-002;
2.255255255255255E+007;-9.005872144174830E-002;
2.274274274274274E+007;-6.577273017816405E-002;
2.293293293293293E+007;-6.155914997642529E-002;
2.312312312312312E+007;-7.771677911657045E-002;
2.331331331331331E+007;-7.460730682944958E-002;
2.350350350350350E+007;-5.225708787884061E-002;
2.369369369369369E+007;-4.793518758552076E-002;
2.388388388388389E+007;-8.091431230877368E-002;
2.407407407407408E+007;-5.523092179177196E-002;
2.426426426426426E+007;-1.407233979859310E-002;
2.445445445445445E+007;-5.396059979538878E-002;
2.464464464464464E+007;-7.629472777036178E-002;
2.483483483483484E+007;-5.259951860208304E-002;
2.502502502502503E+007;-6.674633420932538E-002;
2.521521521521521E+007;-6.379193273833746E-002;
2.540540540540541E+007;-7.246644836141693E-002;
2.559559559559559E+007;-3.911821375274256E-002;
2.578578578578579E+007;-5.077273436240287E-002;
2.597597597597598E+007;-5.002641210808875E-002;
2.616616616616616E+007;-8.583244554293706E-002;
2.635635635635636E+007;-7.939262906343858E-002;
2.654654654654655E+007;-9.018858728370403E-002;
2.673673673673674E+007;-8.226893695080628E-002;
2.692692692692693E+007;-1.005470781926107E-001;
2.711711711711712E+007;-7.498124420055502E-002;
2.730730730730731E+007;-7.669220590966072E-002;
2.749749749749750E+007;-7.060074587084179E-002;
2.768768768768769E+007;-5.847635275323577E-002;
2.787787787787788E+007;-7.918501766800674E-002;
2.806806806806807E+007;-7.820331625211047E-002;
2.825825825825826E+007;-5.634370891011595E-002;
2.844844844844845E+007;-8.061002918024168E-002;
2.863863863863864E+007;-1.036261730234346E-001;
2.882882882882883E+007;-8.636879470304378E-002;
2.901901901901902E+007;-8.238657247874684E-002;
2.920920920920921E+007;-9.789393666108444E-002;
2.939939939939940E+007;-9.977922376363156E-002;
2.958958958958959E+007;-1.175051441633764E-001;
2.977977977977978E+007;-1.076636095622517E-001;
2.996996996996997E+007;-1.399058219976003E-001;
3.016016016016016E+007;-1.084582398882957E-001;
3.035035035035035E+007;-9.945732208691141E-002;
3.054054054054054E+007;-1.006790046922265E-001;
3.073073073073073E+007;-8.286842585410721E-002;
3.092092092092092E+007;-1.273145222535667E-001;
3.111111111111111E+007;-9.211622881223790E-002;
3.130130130130130E+007;-9.661770378589410E-002;
3.149149149149149E+007;-1.021392007291558E-001;
3.168168168168168E+007;-9.244666120072068E-002;
3.187187187187187E+007;-8.831409274420393E-002;
3.206206206206206E+007;-1.052506596110792E-001;
3.225225225225225E+007;-9.602029494079274E-002;
3.244244244244244E+007;-1.025343934833561E-001;
3.263263263263263E+007;-1.063507794254024E-001;
3.282282282282282E+007;-1.063557212330155E-001;
3.301301301301301E+007;-1.113495075447686E-001;
3.320320320320320E+007;-1.148120913229765E-001;
3.339339339339339E+007;-1.126066647468322E-001;
3.358358358358358E+007;-1.022915117641056E-001;
3.377377377377378E+007;-1.038111373642166E-001;
3.396396396396396E+007;-1.030312439535478E-001;
3.415415415415415E+007;-1.118311745321156E-001;
3.434434434434435E+007;-1.239778133326735E-001;
3.453453453453453E+007;-1.291438059601235E-001;
3.472472472472473E+007;-1.232170013810437E-001;
3.491491491491491E+007;-1.146011078383977E-001;
3.510510510510510E+007;-1.338742629218171E-001;
3.529529529529530E+007;-1.448291770397114E-001;
3.548548548548549E+007;-1.395677009204636E-001;
3.567567567567568E+007;-1.246489335877615E-001;
3.586586586586586E+007;-1.261162094465649E-001;
3.605605605605605E+007;-8.471140081757474E-002;
3.624624624624625E+007;-1.085454447785558E-001;
3.643643643643644E+007;-1.182721802181762E-001;
3.662662662662663E+007;-1.144048449101325E-001;
3.681681681681682E+007;-1.198223108450715E-001;
3.700700700700700E+007;-1.285701078780244E-001;
3.719719719719720E+007;-1.336045269441630E-001;
3.738738738738739E+007;-1.337724842124470E-001;
3.757757757757758E+007;-1.505315341929579E-001;
3.776776776776777E+007;-1.677223877301385E-001;
3.795795795795795E+007;-1.398656052573658E-001;
3.814814814814815E+007;-1.469960686062120E-001;
3.833833833833834E+007;-1.658897215708901E-001;
3.852852852852853E+007;-1.480712517031006E-001;
3.871871871871872E+007;-1.625920483122244E-001;
3.890890890890890E+007;-1.579073765927455E-001;
3.909909909909910E+007;-1.508348353524881E-001;
3.928928928928929E+007;-1.739442400654987E-001;
3.947947947947948E+007;-1.678458086514674E-001;
3.966966966966967E+007;-1.800054370384634E-001;
3.985985985985985E+007;-1.847684169096356E-001;
4.005005005005005E+007;-1.952892688739918E-001;
4.024024024024024E+007;-1.941790555088408E-001;
4.043043043043043E+007;-1.915207023876425E-001;
4.062062062062062E+007;-2.035276439882315E-001;
4.081081081081081E+007;-1.935680370748062E-001;
4.100100100100100E+007;-1.983354974278120E-001;
4.119119119119119E+007;-1.790029338632456E-001;
4.138138138138138E+007;-2.013730993092822E-001;
4.157157157157157E+007;-1.986108938004348E-001;
4.176176176176176E+007;-2.091768014489415E-001;
4.195195195195195E+007;-2.271574476112633E-001;
4.214214214214215E+007;-2.005142207542711E-001;
4.233233233233233E+007;-2.112928571038313E-001;
4.252252252252252E+007;-2.082103811023093E-001;
4.271271271271271E+007;-2.188468332291245E-001;
4.290290290290290E+007;-2.050643274025741E-001;
4.309309309309310E+007;-2.269262066199770E-001;
4.328328328328328E+007;-2.097792645183992E-001;
4.347347347347347E+007;-2.296934932699903E-001;
4.366366366366366E+007;-2.240566774914609E-001;
4.385385385385385E+007;-2.225363862704436E-001;
4.404404404404404E+007;-2.248065627312527E-001;
4.423423423423424E+007;-2.403365234003963E-001;
4.442442442442443E+007;-2.487989329142468E-001;
4.461461461461461E+007;-2.379236333596569E-001;
4.480480480480480E+007;-2.350139887015075E-001;
4.499499499499500E+007;-2.479846046690530E-001;
4.518518518518519E+007;-2.311667304485574E-001;
4.537537537537538E+007;-2.423478425140981E-001;
4.556556556556556E+007;-2.334905790169332E-001;
4.575575575575575E+007;-2.322548064016125E-001;
4.594594594594595E+007;-2.461582161628644E-001;
