# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;4.155062217511745E-003;
1.019019019019019E+007;1.223608899055472E-001;
1.038038038038038E+007;1.156043327018561E-001;
1.057057057057057E+007;1.468011409803638E-001;
1.076076076076076E+007;8.238309835288132E-002;
1.095095095095095E+007;-5.095764153797072E-002;
1.114114114114114E+007;4.786584332868097E-003;
1.133133133133133E+007;-4.168514000400942E-002;
1.152152152152152E+007;-6.510892713793690E-003;
1.171171171171171E+007;-2.533625875743621E-002;
1.190190190190190E+007;-4.658918611160041E-002;
1.209209209209209E+007;-2.364108096979681E-002;
1.228228228228228E+007;-8.187953772144801E-003;
1.247247247247247E+007;5.220146157419219E-002;
1.266266266266266E+007;-4.762426329403095E-002;
1.285285285285285E+007;-5.988915477379767E-002;
1.304304304304304E+007;3.622753778630798E-002;
1.323323323323323E+007;1.727489660465066E-002;
1.342342342342342E+007;-1.792539871234164E-003;
1.361361361361361E+007;2.777032786873088E-003;
1.380380380380380E+007;3.767165526639382E-002;
1.399399399399399E+007;-3.515309413304581E-002;
1.418418418418418E+007;-7.136911575650802E-002;
1.437437437437438E+007;-1.746415512406290E-002;
1.456456456456456E+007;-5.010217821180549E-002;
1.475475475475476E+007;-1.915827588784214E-002;
1.494494494494494E+007;-6.279301813904790E-002;
1.513513513513514E+007;9.360976402619441E-005;
1.532532532532533E+007;-1.175659055037511E-001;
1.551551551551552E+007;2.622467898442533E-002;
1.570570570570571E+007;-1.514959518892442E-004;
1.589589589589590E+007;-1.699666136186025E-002;
1.608608608608609E+007;1.367005681935834E-002;
1.627627627627628E+007;1.283347127899117E-002;
1.646646646646647E+007;-1.728346430610359E-002;
1.665665665665666E+007;3.801396300586967E-002;
1.684684684684685E+007;-3.520415952240524E-003;
1.703703703703704E+007;-2.712505554043709E-002;
1.722722722722723E+007;-2.420963625102515E-002;
1.741741741741742E+007;-4.645836996169767E-002;
1.760760760760761E+007;-5.143438650089709E-002;
1.779779779779780E+007;-7.168290551022895E-002;
1.798798798798799E+007;-7.046417263235549E-002;
1.817817817817818E+007;-4.215887594734161E-002;
1.836836836836837E+007;-4.054882564065088E-002;
1.855855855855856E+007;-8.349533487525526E-002;
1.874874874874875E+007;-2.233480288448119E-002;
1.893893893893894E+007;-4.823920024113621E-002;
1.912912912912913E+007;-6.010923745072407E-002;
1.931931931931932E+007;-4.334716962182510E-002;
1.950950950950951E+007;-1.414874867766656E-002;
1.969969969969970E+007;-6.680457720747215E-002;
1.988988988988989E+007;-8.369023416363526E-002;
2.008008008008008E+007;-7.706406560491254E-002;
2.027027027027027E+007;-7.136385906940033E-002;
2.046046046046046E+007;-9.175425569595033E-002;
2.065065065065065E+007;-3.614589963038990E-002;
2.084084084084084E+007;-5.507315051560321E-002;
2.103103103103103E+007;-8.783996654974859E-002;
2.122122122122122E+007;-6.875596699704853E-002;
2.141141141141141E+007;-7.445630204303927E-002;
2.160160160160160E+007;-8.381216853611953E-002;
2.179179179179179E+007;-1.064510129964701E-001;
2.198198198198198E+007;-7.660083670349252E-002;
2.217217217217217E+007;-6.093842659280658E-002;
2.236236236236236E+007;-3.787430724836728E-002;
2.255255255255255E+007;-7.995784079197592E-002;
2.274274274274274E+007;-9.082660499423027E-002;
2.293293293293293E+007;-6.477663359762484E-002;
2.312312312312312E+007;-7.928891912871945E-002;
2.331331331331331E+007;-6.825888178492914E-002;
2.350350350350350E+007;-5.164859393792107E-002;
2.369369369369369E+007;-8.327474067995157E-002;
2.388388388388389E+007;-7.990043034498713E-002;
2.407407407407408E+007;-3.952545663232260E-002;
2.426426426426426E+007;-9.305126625961675E-002;
2.445445445445445E+007;-7.333448143301009E-002;
2.464464464464464E+007;-7.975143703538384E-002;
2.483483483483484E+007;-9.197225679412066E-002;
2.502502502502503E+007;-4.351115236733315E-002;
2.521521521521521E+007;-5.625873020327570E-002;
2.540540540540541E+007;-5.937990698558401E-002;
2.559559559559559E+007;-5.700938321769839E-002;
2.578578578578579E+007;-6.910816144006333E-002;
2.597597597597598E+007;-6.167924660440632E-002;
2.616616616616616E+007;-8.923889569003277E-002;
2.635635635635636E+007;-6.675548023371875E-002;
2.654654654654655E+007;-4.620102604441019E-002;
2.673673673673674E+007;-1.227726362631964E-001;
2.692692692692693E+007;-9.003130557079540E-002;
2.711711711711712E+007;-1.019676250307370E-001;
2.730730730730731E+007;-8.802501699381986E-002;
2.749749749749750E+007;-8.395204972244529E-002;
2.768768768768769E+007;-8.639505119668511E-002;
2.787787787787788E+007;-9.843554859507382E-002;
2.806806806806807E+007;-8.848892480491220E-002;
2.825825825825826E+007;-7.605084197951320E-002;
2.844844844844845E+007;-9.114585190950991E-002;
2.863863863863864E+007;-1.102588352665235E-001;
2.882882882882883E+007;-9.066756082465077E-002;
2.901901901901902E+007;-9.829897113960298E-002;
2.920920920920921E+007;-8.912980781694757E-002;
2.939939939939940E+007;-1.069555435801739E-001;
2.958958958958959E+007;-8.550964771746955E-002;
2.977977977977978E+007;-1.231919580803783E-001;
2.996996996996997E+007;-1.485233566126026E-001;
3.016016016016016E+007;-1.187401827622245E-001;
3.035035035035035E+007;-8.917596511423034E-002;
3.054054054054054E+007;-1.153160077471475E-001;
3.073073073073073E+007;-1.208249645640090E-001;
3.092092092092092E+007;-1.029430340366656E-001;
3.111111111111111E+007;-1.049258661500510E-001;
3.130130130130130E+007;-9.542568802670580E-002;
3.149149149149149E+007;-1.207805677806007E-001;
3.168168168168168E+007;-9.377142914937670E-002;
3.187187187187187E+007;-1.290836067659467E-001;
3.206206206206206E+007;-1.043487749545529E-001;
3.225225225225225E+007;-1.097064252549420E-001;
3.244244244244244E+007;-1.284427783876712E-001;
3.263263263263263E+007;-1.127920875108364E-001;
3.282282282282282E+007;-1.143788249405418E-001;
3.301301301301301E+007;-1.498676198912400E-001;
3.320320320320320E+007;-1.091689937564827E-001;
3.339339339339339E+007;-9.919570724594178E-002;
3.358358358358358E+007;-1.284582967521053E-001;
3.377377377377378E+007;-1.362924973802677E-001;
3.396396396396396E+007;-1.156226169232272E-001;
3.415415415415415E+007;-1.082209458893103E-001;
3.434434434434435E+007;-1.219527962216177E-001;
3.453453453453453E+007;-1.178976676657615E-001;
3.472472472472473E+007;-1.274985363042146E-001;
3.491491491491491E+007;-1.243628406507016E-001;
3.510510510510510E+007;-1.416478675436876E-001;
3.529529529529530E+007;-1.285105630674387E-001;
3.548548548548549E+007;-1.529466886305904E-001;
3.567567567567568E+007;-1.547483604634378E-001;
3.586586586586586E+007;-1.556311029202975E-001;
3.605605605605605E+007;-1.349399426497046E-001;
3.624624624624625E+007;-1.463440359755017E-001;
3.643643643643644E+007;-1.444976669307742E-001;
3.662662662662663E+007;-1.647176947175788E-001;
3.681681681681682E+007;-1.583391126486029E-001;
3.700700700700700E+007;-1.689266099676189E-001;
3.719719719719720E+007;-1.554702810696882E-001;
3.738738738738739E+007;-1.411227026510355E-001;
3.757757757757758E+007;-1.678788430296842E-001;
3.776776776776777E+007;-1.618967672004557E-001;
3.795795795795795E+007;-1.720193411559074E-001;
3.814814814814815E+007;-1.894138759285555E-001;
3.833833833833834E+007;-1.859887652193831E-001;
3.852852852852853E+007;-1.723173124908989E-001;
3.871871871871872E+007;-1.946203304466886E-001;
3.890890890890890E+007;-1.986218939694090E-001;
3.909909909909910E+007;-2.004883565191227E-001;
3.928928928928929E+007;-2.173376119351378E-001;
3.947947947947948E+007;-2.061905610462037E-001;
3.966966966966967E+007;-2.244027194473774E-001;
3.985985985985985E+007;-1.893248993590965E-001;
4.005005005005005E+007;-2.210403796240587E-001;
4.024024024024024E+007;-1.996747397554258E-001;
4.043043043043043E+007;-2.038187497477875E-001;
4.062062062062062E+007;-2.080764581503226E-001;
4.081081081081081E+007;-2.241136685066005E-001;
4.100100100100100E+007;-2.297125847987412E-001;
4.119119119119119E+007;-2.220396299694384E-001;
4.138138138138138E+007;-2.237504795966251E-001;
4.157157157157157E+007;-2.156906051831327E-001;
4.176176176176176E+007;-2.498164875240624E-001;
4.195195195195195E+007;-2.326004227602107E-001;
4.214214214214215E+007;-2.480166321478063E-001;
4.233233233233233E+007;-2.352676553505975E-001;
4.252252252252252E+007;-2.549137826946830E-001;
4.271271271271271E+007;-2.355376397881215E-001;
4.290290290290290E+007;-2.269814476533890E-001;
4.309309309309310E+007;-2.537045825787258E-001;
4.328328328328328E+007;-2.440303275084003E-001;
4.347347347347347E+007;-2.485653457338931E-001;
4.366366366366366E+007;-2.563095833797700E-001;
4.385385385385385E+007;-2.487258753049622E-001;
4.404404404404404E+007;-2.650674010028999E-001;
4.423423423423424E+007;-2.424176740906309E-001;
4.442442442442443E+007;-2.553764810047183E-001;
4.461461461461461E+007;-2.554691176508133E-001;
4.480480480480480E+007;-2.538345782669647E-001;
4.499499499499500E+007;-2.531149949752333E-001;
