# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-4.170997964363775E-001;
1.010010010010010E+007;-4.301318021167708E-001;
1.020020020020020E+007;-3.694973467528596E-001;
1.030030030030030E+007;-3.683156977140565E-001;
1.040040040040040E+007;-3.751984480858525E-001;
1.050050050050050E+007;-3.808409632640763E-001;
1.060060060060060E+007;-3.888020077377112E-001;
1.070070070070070E+007;-3.993187871203625E-001;
1.080080080080080E+007;-4.118121118896838E-001;
1.090090090090090E+007;-4.088191341585690E-001;
1.100100100100100E+007;-4.427674388972834E-001;
1.110110110110110E+007;-4.456285064367175E-001;
1.120120120120120E+007;-4.512324090597851E-001;
1.130130130130130E+007;-4.407672618767561E-001;
1.140140140140140E+007;-4.430204240732868E-001;
1.150150150150150E+007;-4.425516718162664E-001;
1.160160160160160E+007;-4.366232845251817E-001;
1.170170170170170E+007;-4.376370350888946E-001;
1.180180180180180E+007;-4.495035843392479E-001;
1.190190190190190E+007;-4.436257377964014E-001;
1.200200200200200E+007;-4.611152986444482E-001;
1.210210210210210E+007;-4.579331266482370E-001;
1.220220220220220E+007;-4.611625111656060E-001;
1.230230230230230E+007;-4.573334321372632E-001;
1.240240240240240E+007;-4.602477952465260E-001;
1.250250250250250E+007;-4.613701037935228E-001;
1.260260260260260E+007;-4.524550822262612E-001;
1.270270270270270E+007;-4.598310697639785E-001;
1.280280280280280E+007;-4.546563845932127E-001;
1.290290290290290E+007;-4.576775861288723E-001;
1.300300300300300E+007;-4.615977352345496E-001;
1.310310310310310E+007;-4.631935010726180E-001;
1.320320320320320E+007;-4.647407594340745E-001;
1.330330330330330E+007;-4.593562485490487E-001;
1.340340340340340E+007;-4.717121655023533E-001;
1.350350350350350E+007;-4.722798897016917E-001;
1.360360360360360E+007;-4.692087513690591E-001;
1.370370370370370E+007;-4.664497702393502E-001;
1.380380380380380E+007;-4.747745460187831E-001;
1.390390390390390E+007;-4.831628534625125E-001;
1.400400400400400E+007;-4.646041507930953E-001;
1.410410410410410E+007;-4.657720499792526E-001;
1.420420420420421E+007;-4.794407479082201E-001;
1.430430430430431E+007;-4.641606121682541E-001;
1.440440440440441E+007;-4.743933948471196E-001;
1.450450450450451E+007;-4.737979145216800E-001;
1.460460460460461E+007;-4.742547426507136E-001;
1.470470470470471E+007;-4.792686159694731E-001;
1.480480480480481E+007;-4.798728289001317E-001;
1.490490490490491E+007;-4.748099918173519E-001;
1.500500500500501E+007;-4.787506318173218E-001;
1.510510510510511E+007;-4.675260999223629E-001;
1.520520520520521E+007;-4.786106445800998E-001;
1.530530530530531E+007;-4.851725470132369E-001;
1.540540540540541E+007;-4.834281612497567E-001;
1.550550550550551E+007;-4.812656184188728E-001;
1.560560560560561E+007;-4.745006996822343E-001;
1.570570570570571E+007;-4.816848666345273E-001;
1.580580580580581E+007;-4.879368118698160E-001;
1.590590590590591E+007;-4.818331625321974E-001;
1.600600600600601E+007;-4.721655079649555E-001;
1.610610610610611E+007;-4.789918217134461E-001;
1.620620620620621E+007;-4.798999465344641E-001;
1.630630630630631E+007;-4.772251509432937E-001;
1.640640640640641E+007;-4.805373794502301E-001;
1.650650650650651E+007;-4.779332244118318E-001;
1.660660660660661E+007;-4.815439191478887E-001;
1.670670670670671E+007;-4.843858102568936E-001;
1.680680680680681E+007;-4.883009865819789E-001;
1.690690690690691E+007;-4.879528040784648E-001;
1.700700700700701E+007;-4.823028634384696E-001;
1.710710710710711E+007;-4.797092177933169E-001;
1.720720720720721E+007;-4.851754448034893E-001;
1.730730730730731E+007;-4.875626271140787E-001;
1.740740740740741E+007;-4.874273330802821E-001;
1.750750750750751E+007;-4.898155179144584E-001;
1.760760760760761E+007;-4.813925599041690E-001;
1.770770770770771E+007;-4.915470894034811E-001;
1.780780780780781E+007;-4.895146492688164E-001;
1.790790790790791E+007;-4.866342242040765E-001;
1.800800800800801E+007;-5.059789383123726E-001;
1.810810810810811E+007;-5.076478348504916E-001;
1.820820820820821E+007;-5.055046468161899E-001;
1.830830830830831E+007;-5.065265525563594E-001;
1.840840840840841E+007;-5.110918893675910E-001;
1.850850850850851E+007;-5.104552727525026E-001;
1.860860860860861E+007;-5.066869541913837E-001;
1.870870870870871E+007;-5.128355934907636E-001;
1.880880880880881E+007;-5.234654492162335E-001;
1.890890890890891E+007;-5.218566299760947E-001;
1.900900900900901E+007;-5.159051837308594E-001;
1.910910910910911E+007;-5.191899688345952E-001;
1.920920920920921E+007;-5.229190563166584E-001;
1.930930930930931E+007;-5.490122632772405E-001;
1.940940940940941E+007;-5.431985035627674E-001;
1.950950950950951E+007;-5.401415498494383E-001;
1.960960960960961E+007;-5.360900697384199E-001;
1.970970970970971E+007;-5.335485175094302E-001;
1.980980980980981E+007;-5.266742948421270E-001;
1.990990990990991E+007;-5.215447159471670E-001;
2.001001001001001E+007;-5.134793773986177E-001;
2.011011011011011E+007;-5.128757759007281E-001;
2.021021021021021E+007;-5.132533726455950E-001;
2.031031031031031E+007;-5.199696663145390E-001;
2.041041041041041E+007;-5.176049078412076E-001;
2.051051051051051E+007;-5.152090756400251E-001;
2.061061061061061E+007;-5.171870687716927E-001;
2.071071071071071E+007;-5.263674719351918E-001;
2.081081081081081E+007;-5.164939932617988E-001;
2.091091091091091E+007;-5.207309995488014E-001;
2.101101101101101E+007;-5.203051982214828E-001;
2.111111111111111E+007;-5.205837097107253E-001;
2.121121121121121E+007;-5.256699269477267E-001;
2.131131131131131E+007;-5.258817341168577E-001;
2.141141141141141E+007;-5.305808282656862E-001;
2.151151151151151E+007;-5.215434619572638E-001;
2.161161161161161E+007;-5.248200113196726E-001;
2.171171171171171E+007;-5.248109451123039E-001;
2.181181181181181E+007;-5.301765562052647E-001;
2.191191191191191E+007;-5.286198987317364E-001;
2.201201201201201E+007;-5.256091782622954E-001;
2.211211211211211E+007;-5.213742650806288E-001;
2.221221221221221E+007;-5.152785480956880E-001;
2.231231231231231E+007;-5.157533327716322E-001;
2.241241241241241E+007;-5.187745590930328E-001;
2.251251251251251E+007;-5.205058042010209E-001;
2.261261261261261E+007;-5.194075858921193E-001;
2.271271271271271E+007;-5.199598807677637E-001;
2.281281281281281E+007;-5.164804415846179E-001;
2.291291291291291E+007;-5.209320356252942E-001;
2.301301301301301E+007;-5.222658400597007E-001;
2.311311311311311E+007;-5.238109448957427E-001;
2.321321321321321E+007;-5.196747044878124E-001;
2.331331331331331E+007;-5.251484074185440E-001;
2.341341341341341E+007;-5.216313332720282E-001;
2.351351351351351E+007;-5.262753842738063E-001;
2.361361361361361E+007;-5.254535016039753E-001;
2.371371371371371E+007;-5.272589808834326E-001;
2.381381381381381E+007;-5.297783789034035E-001;
2.391391391391391E+007;-5.322771520381907E-001;
2.401401401401401E+007;-5.241317734317643E-001;
2.411411411411411E+007;-5.256695886303138E-001;
2.421421421421421E+007;-5.275500966141254E-001;
2.431431431431431E+007;-5.263657746766145E-001;
2.441441441441441E+007;-5.221102998752478E-001;
2.451451451451451E+007;-5.296191877197939E-001;
2.461461461461461E+007;-5.273911909460860E-001;
2.471471471471471E+007;-5.311470702022284E-001;
2.481481481481481E+007;-5.310853406764626E-001;
2.491491491491491E+007;-5.326157810067941E-001;
2.501501501501501E+007;-5.346454327153740E-001;
2.511511511511511E+007;-5.335097533523755E-001;
2.521521521521521E+007;-5.342549303279583E-001;
2.531531531531531E+007;-5.339182093789523E-001;
2.541541541541541E+007;-5.321258058903855E-001;
2.551551551551551E+007;-5.330625195286810E-001;
2.561561561561561E+007;-5.385087153894463E-001;
2.571571571571571E+007;-5.351035105317143E-001;
2.581581581581581E+007;-5.290787858523575E-001;
2.591591591591591E+007;-5.380948091916362E-001;
2.601601601601601E+007;-5.433416556341091E-001;
2.611611611611611E+007;-5.474123611093658E-001;
2.621621621621621E+007;-5.450127835934081E-001;
2.631631631631631E+007;-5.404864932843896E-001;
2.641641641641641E+007;-5.416907602749971E-001;
2.651651651651651E+007;-5.403863195053399E-001;
2.661661661661661E+007;-5.390552835850649E-001;
2.671671671671671E+007;-5.344853810756074E-001;
2.681681681681682E+007;-5.405456728374832E-001;
2.691691691691692E+007;-5.374439844571145E-001;
2.701701701701702E+007;-5.346677123922355E-001;
2.711711711711712E+007;-5.386079071295746E-001;
2.721721721721722E+007;-5.346597250933346E-001;
2.731731731731732E+007;-5.300404973853551E-001;
2.741741741741742E+007;-5.332493362766746E-001;
2.751751751751752E+007;-5.250083657289032E-001;
2.761761761761762E+007;-5.271141872488516E-001;
2.771771771771772E+007;-5.290082479900025E-001;
2.781781781781782E+007;-5.219236014622565E-001;
2.791791791791792E+007;-5.234604935704864E-001;
2.801801801801802E+007;-5.333831945999700E-001;
2.811811811811812E+007;-5.317476926039849E-001;
2.821821821821822E+007;-5.345172604841382E-001;
2.831831831831832E+007;-5.352897202966845E-001;
2.841841841841842E+007;-5.329747167123863E-001;
2.851851851851852E+007;-5.340420743485673E-001;
2.861861861861862E+007;-5.363741650573382E-001;
2.871871871871872E+007;-5.338838476257852E-001;
2.881881881881882E+007;-5.331999272533221E-001;
2.891891891891892E+007;-5.351865610007207E-001;
2.901901901901902E+007;-5.332984320656485E-001;
2.911911911911912E+007;-5.348921657109953E-001;
2.921921921921922E+007;-5.336036670917566E-001;
2.931931931931932E+007;-5.359093761092089E-001;
2.941941941941942E+007;-5.362798870408333E-001;
2.951951951951952E+007;-5.312500984694589E-001;
2.961961961961962E+007;-5.361794673146249E-001;
2.971971971971972E+007;-5.327654145192811E-001;
2.981981981981982E+007;-5.322450105738448E-001;
2.991991991991992E+007;-5.340750701684475E-001;
3.002002002002002E+007;-5.240479204678790E-001;
3.012012012012012E+007;-5.253972209240587E-001;
3.022022022022022E+007;-5.272140901975260E-001;
3.032032032032032E+007;-5.262591853841349E-001;
3.042042042042042E+007;-5.241431420888311E-001;
3.052052052052052E+007;-5.282875767760762E-001;
3.062062062062062E+007;-5.304977530192708E-001;
3.072072072072072E+007;-5.278147795670029E-001;
3.082082082082082E+007;-5.310936417714639E-001;
3.092092092092092E+007;-5.278107211276811E-001;
3.102102102102102E+007;-5.302284023849682E-001;
3.112112112112112E+007;-5.299607918095162E-001;
3.122122122122122E+007;-5.325736352797704E-001;
3.132132132132132E+007;-5.325358485366314E-001;
3.142142142142142E+007;-5.306841025807983E-001;
3.152152152152152E+007;-5.300683057775018E-001;
3.162162162162162E+007;-5.293284605262845E-001;
3.172172172172172E+007;-5.324606363910263E-001;
3.182182182182182E+007;-5.329966501727581E-001;
3.192192192192192E+007;-5.376608581535707E-001;
3.202202202202202E+007;-5.391156409527212E-001;
3.212212212212212E+007;-5.393230416332989E-001;
3.222222222222222E+007;-5.372954596704982E-001;
3.232232232232232E+007;-5.387232134756175E-001;
3.242242242242242E+007;-5.357783428030539E-001;
3.252252252252252E+007;-5.330817575147433E-001;
3.262262262262262E+007;-5.354688461845447E-001;
3.272272272272272E+007;-5.377237860067867E-001;
3.282282282282282E+007;-5.312385357655726E-001;
3.292292292292292E+007;-5.329563723367775E-001;
3.302302302302302E+007;-5.359591634705190E-001;
3.312312312312312E+007;-5.323057050684238E-001;
3.322322322322322E+007;-5.305404466623966E-001;
3.332332332332332E+007;-5.309153893414307E-001;
3.342342342342342E+007;-5.311151735141354E-001;
3.352352352352352E+007;-5.306249042146192E-001;
3.362362362362362E+007;-5.264682674579649E-001;
3.372372372372372E+007;-5.317832965692948E-001;
3.382382382382383E+007;-5.302226740247489E-001;
3.392392392392393E+007;-5.276084569217929E-001;
3.402402402402403E+007;-5.722975033850213E-001;
3.412412412412413E+007;-5.719899229961947E-001;
3.422422422422423E+007;-5.710177653636255E-001;
3.432432432432433E+007;-5.665215020253022E-001;
3.442442442442443E+007;-5.647619991948728E-001;
3.452452452452453E+007;-5.603945366178246E-001;
3.462462462462463E+007;-5.599963779245136E-001;
3.472472472472473E+007;-5.563461546785371E-001;
3.482482482482483E+007;-5.565504512238010E-001;
3.492492492492493E+007;-5.546536233967396E-001;
3.502502502502503E+007;-5.521609486036507E-001;
3.512512512512513E+007;-5.513120854919646E-001;
3.522522522522523E+007;-5.491073382941935E-001;
3.532532532532533E+007;-5.453025145780436E-001;
3.542542542542543E+007;-5.439757870174304E-001;
3.552552552552553E+007;-5.414661265917603E-001;
3.562562562562563E+007;-5.419384474201457E-001;
3.572572572572573E+007;-5.377773990138896E-001;
3.582582582582583E+007;-5.368885032324313E-001;
3.592592592592593E+007;-5.360358408612735E-001;
3.602602602602603E+007;-6.833872298568046E-001;
3.612612612612613E+007;-6.814201361676892E-001;
3.622622622622623E+007;-6.773502033223027E-001;
3.632632632632633E+007;-6.731099193183753E-001;
3.642642642642643E+007;-6.726471073316300E-001;
3.652652652652653E+007;-6.693131001404641E-001;
3.662662662662663E+007;-6.645590952031983E-001;
3.672672672672673E+007;-6.646126103309933E-001;
3.682682682682683E+007;-6.612302082313636E-001;
3.692692692692693E+007;-6.566568310694341E-001;
3.702702702702703E+007;-6.552247427971907E-001;
3.712712712712713E+007;-6.483737058206935E-001;
3.722722722722723E+007;-6.483876328582481E-001;
3.732732732732733E+007;-6.452318058581545E-001;
3.742742742742743E+007;-6.417927289188589E-001;
3.752752752752753E+007;-6.408855202749162E-001;
3.762762762762763E+007;-6.382757024176747E-001;
3.772772772772773E+007;-6.342174464250676E-001;
3.782782782782783E+007;-6.339886202061783E-001;
3.792792792792793E+007;-6.289870575487822E-001;
3.802802802802803E+007;-6.246697503094112E-001;
3.812812812812813E+007;-6.209547699237495E-001;
3.822822822822823E+007;-6.200293676471695E-001;
3.832832832832833E+007;-6.186646109808566E-001;
3.842842842842843E+007;-6.171047007545182E-001;
3.852852852852853E+007;-6.147313242265421E-001;
3.862862862862863E+007;-6.111869219721907E-001;
3.872872872872873E+007;-6.113489314732582E-001;
3.882882882882883E+007;-6.100467059740167E-001;
3.892892892892893E+007;-6.046869833069749E-001;
3.902902902902903E+007;-6.027190462118874E-001;
3.912912912912913E+007;-6.001944645353773E-001;
3.922922922922923E+007;-5.985674051860588E-001;
3.932932932932933E+007;-5.962662771767507E-001;
3.942942942942943E+007;-5.916848930774510E-001;
3.952952952952953E+007;-5.920826665551757E-001;
3.962962962962963E+007;-5.891792672431037E-001;
3.972972972972973E+007;-5.896493531847776E-001;
3.982982982982983E+007;-5.847721218574489E-001;
3.992992992992993E+007;-5.828120489555526E-001;
4.003003003003003E+007;-5.820164772122474E-001;
4.013013013013013E+007;-5.805602643791955E-001;
4.023023023023023E+007;-5.789936930019569E-001;
4.033033033033033E+007;-5.746570107509548E-001;
4.043043043043043E+007;-5.735045637763371E-001;
4.053053053053053E+007;-5.733380637591631E-001;
4.063063063063063E+007;-5.707373144805332E-001;
4.073073073073073E+007;-5.697839085484771E-001;
4.083083083083083E+007;-5.649580768414814E-001;
4.093093093093093E+007;-5.627316791612894E-001;
4.103103103103103E+007;-5.644999057054371E-001;
4.113113113113113E+007;-5.617162178756107E-001;
4.123123123123123E+007;-5.611062929740106E-001;
4.133133133133133E+007;-5.574907406713316E-001;
4.143143143143143E+007;-5.589046264591205E-001;
4.153153153153153E+007;-5.548866489265250E-001;
4.163163163163163E+007;-5.517667664622701E-001;
4.173173173173173E+007;-5.525396291287829E-001;
4.183183183183183E+007;-5.530581057937041E-001;
4.193193193193193E+007;-5.516420221674745E-001;
4.203203203203203E+007;-5.488617230471998E-001;
4.213213213213213E+007;-5.467413771604447E-001;
4.223223223223223E+007;-5.477153172300328E-001;
4.233233233233233E+007;-5.460738301575435E-001;
4.243243243243243E+007;-5.430505514841387E-001;
4.253253253253253E+007;-5.440955573835392E-001;
4.263263263263263E+007;-5.430986949253934E-001;
4.273273273273273E+007;-5.409905409160907E-001;
4.283283283283283E+007;-5.371825443141672E-001;
4.293293293293293E+007;-5.356085155263680E-001;
4.303303303303303E+007;-5.356149955474868E-001;
4.313313313313313E+007;-5.372816949659772E-001;
4.323323323323323E+007;-5.347158993335262E-001;
4.333333333333333E+007;-5.344848398740736E-001;
4.343343343343343E+007;-5.312257120315831E-001;
4.353353353353353E+007;-5.311497280403015E-001;
4.363363363363364E+007;-5.317728995207228E-001;
4.373373373373374E+007;-5.274417263981057E-001;
4.383383383383384E+007;-5.274938562548716E-001;
4.393393393393394E+007;-5.298937903386138E-001;
4.403403403403404E+007;-5.261421309138267E-001;
4.413413413413414E+007;-5.264062654507548E-001;
4.423423423423424E+007;-5.255453687081733E-001;
4.433433433433434E+007;-5.241834998379555E-001;
4.443443443443444E+007;-5.248509895464733E-001;
4.453453453453454E+007;-5.249418162807369E-001;
4.463463463463464E+007;-5.211416428333365E-001;
4.473473473473474E+007;-5.215646304773350E-001;
4.483483483483484E+007;-5.200487102532734E-001;
4.493493493493494E+007;-5.198489081344521E-001;
4.503503503503504E+007;-5.205690869602907E-001;
4.513513513513514E+007;-5.176198977191244E-001;
4.523523523523524E+007;-5.192688877750934E-001;
4.533533533533534E+007;-5.175310778495973E-001;
4.543543543543544E+007;-5.166055007875441E-001;
4.553553553553554E+007;-5.169345870635452E-001;
4.563563563563564E+007;-5.170910222515245E-001;
4.573573573573574E+007;-5.165258742100253E-001;
4.583583583583584E+007;-5.125563352745475E-001;
4.593593593593594E+007;-5.155261396767015E-001;
4.603603603603604E+007;-5.143671725952161E-001;
4.613613613613614E+007;-5.165185809159119E-001;
4.623623623623624E+007;-5.144101241930243E-001;
4.633633633633634E+007;-5.142847022719421E-001;
4.643643643643644E+007;-5.122965794929523E-001;
4.653653653653654E+007;-5.125730651168152E-001;
4.663663663663664E+007;-5.145894257384102E-001;
4.673673673673674E+007;-5.135530942576554E-001;
4.683683683683684E+007;-5.122549401186476E-001;
4.693693693693694E+007;-5.114168614896917E-001;
4.703703703703704E+007;-5.105922098763334E-001;
4.713713713713714E+007;-5.107408072826404E-001;
4.723723723723724E+007;-5.107506303385530E-001;
4.733733733733734E+007;-5.115452540198193E-001;
4.743743743743744E+007;-5.103775534934949E-001;
4.753753753753754E+007;-5.095480047321720E-001;
4.763763763763764E+007;-5.084979078714458E-001;
4.773773773773774E+007;-5.093404644012860E-001;
4.783783783783784E+007;-5.090032253108224E-001;
4.793793793793794E+007;-5.085740963415517E-001;
4.803803803803804E+007;-5.108920810958564E-001;
4.813813813813814E+007;-5.093112208958071E-001;
4.823823823823824E+007;-5.104087196128921E-001;
4.833833833833834E+007;-5.111046889962218E-001;
4.843843843843844E+007;-5.108374165836204E-001;
4.853853853853854E+007;-5.116809304658379E-001;
4.863863863863864E+007;-5.105009794642945E-001;
4.873873873873874E+007;-5.094551151435773E-001;
4.883883883883884E+007;-5.105900585635994E-001;
