# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;1.537474120456582E-002;
1.059811962392478E+007;8.409391971584462E-002;
1.119623924784957E+007;-3.804507915229451E-002;
1.179435887177436E+007;-3.266930549673928E-002;
1.239247849569914E+007;4.253135818550670E-002;
1.299059811962393E+007;4.499206979039785E-002;
1.358871774354871E+007;6.749672130359155E-002;
1.418683736747349E+007;-2.131594175609528E-002;
1.478495699139828E+007;6.061898804990170E-003;
1.538307661532307E+007;-8.553897544834313E-003;
1.598119623924785E+007;1.755520054214791E-002;
1.657931586317264E+007;-1.116579903932738E-002;
1.717743548709742E+007;2.944653947369880E-002;
1.777555511102220E+007;1.277822109302408E-002;
1.837367473494699E+007;3.832762448244224E-002;
1.897179435887177E+007;-3.288525317295429E-002;
1.956991398279656E+007;4.188341962204645E-003;
2.016803360672134E+007;-2.079114035317547E-002;
2.076615323064613E+007;-8.370406825941529E-003;
2.136427285457091E+007;-3.135019500591231E-002;
2.196239247849570E+007;3.438868125212443E-002;
2.256051210242049E+007;-1.980459951922401E-003;
2.315863172634527E+007;-2.671513288941549E-002;
2.375675135027006E+007;-1.403914789959723E-002;
2.435487097419484E+007;1.546468216191026E-002;
2.495299059811962E+007;-3.665412028760037E-003;
2.555111022204441E+007;-1.370765394533103E-002;
2.614922984596919E+007;2.966272131922882E-002;
2.674734946989398E+007;-1.853132500668331E-002;
2.734546909381877E+007;2.670596285760398E-002;
2.794358871774355E+007;1.719150323600931E-002;
2.854170834166833E+007;-1.467826282175176E-002;
2.913982796559312E+007;-1.513325957910080E-003;
2.973794758951790E+007;2.983079188392506E-002;
3.033606721344269E+007;1.716987195509596E-002;
3.093418683736747E+007;2.719068563946875E-002;
3.153230646129226E+007;4.938632806875911E-003;
3.213042608521704E+007;-1.114071000422963E-002;
3.272854570914183E+007;1.265780135768934E-002;
3.332666533306661E+007;9.509791183569150E-003;
3.392478495699140E+007;6.824356182332529E-003;
3.452290458091618E+007;3.443026335055800E-002;
3.512102420484097E+007;-1.125504452460606E-002;
3.571914382876575E+007;-6.942121853135200E-003;
3.631726345269054E+007;1.998258097035805E-001;
3.691538307661532E+007;1.700891417325821E-001;
3.751350270054011E+007;1.781048395544630E-001;
3.811162232446489E+007;1.576608430728177E-001;
3.870974194838968E+007;1.587068623960897E-001;
3.930786157231446E+007;1.509580414265485E-001;
3.990598119623925E+007;1.398971847200133E-001;
4.050410082016403E+007;1.452499835573593E-001;
4.110222044408882E+007;1.246353186043549E-001;
4.170034006801360E+007;1.084742059716517E-001;
4.229845969193839E+007;1.116338858335002E-001;
4.289657931586318E+007;7.367097296352534E-002;
4.349469893978795E+007;8.707471338961928E-002;
4.409281856371274E+007;6.385345527493634E-002;
4.469093818763753E+007;4.641117515147405E-002;
4.528905781156232E+007;5.536318751277325E-002;
4.588717743548710E+007;5.113294458731304E-002;
4.648529705941188E+007;3.820870821771664E-002;
4.708341668333667E+007;2.942393882626027E-002;
4.768153630726145E+007;3.141130752974285E-002;
4.827965593118624E+007;6.894745801242000E-003;
4.887777555511102E+007;1.145168701091734E-002;
4.947589517903581E+007;1.508030304652214E-002;
5.007401480296059E+007;6.792788139483893E-003;
5.067213442688537E+007;9.651932582566492E-003;
5.127025405081016E+007;2.330040201285957E-003;
5.186837367473494E+007;6.318740943316082E-003;
5.246649329865973E+007;1.278507950319651E-002;
5.306461292258452E+007;3.676682888655245E-003;
5.366273254650930E+007;-2.181754597647763E-003;
5.426085217043409E+007;-9.401131253605862E-003;
5.485897179435887E+007;-5.032268051324941E-003;
5.545709141828366E+007;2.125772089567539E-003;
5.605521104220844E+007;-1.050644511499805E-003;
5.665333066613323E+007;3.619719654527192E-003;
5.725145029005801E+007;-6.288819308380494E-003;
5.784956991398279E+007;1.381600516497031E-003;
5.844768953790758E+007;-6.734248800835393E-003;
5.904580916183236E+007;-1.463061339426099E-002;
5.964392878575715E+007;-1.501798217108247E-002;
6.024204840968194E+007;-1.006339972867059E-002;
6.084016803360672E+007;-1.648430341952079E-002;
6.143828765753151E+007;-1.680258857133436E-002;
6.203640728145629E+007;-1.578266205529513E-002;
6.263452690538108E+007;-2.999396521219461E-003;
6.323264652930586E+007;-3.094294808581670E-002;
6.383076615323065E+007;-1.447469218814483E-002;
6.442888577715543E+007;-2.424087218249890E-002;
6.502700540108021E+007;-1.781758224023186E-002;
6.562512502500500E+007;-1.649769525389016E-002;
6.622324464892978E+007;-2.403622272664281E-002;
6.682136427285457E+007;-2.480045432795269E-002;
6.741948389677936E+007;-1.968855557685163E-002;
6.801760352070415E+007;-3.003826301243880E-002;
6.861572314462893E+007;-1.696242492780340E-002;
6.921384276855370E+007;-3.192115365727050E-002;
6.981196239247850E+007;-3.387912852979273E-002;
7.041008201640329E+007;-2.202575242057152E-002;
7.100820164032807E+007;-2.755860424163047E-002;
7.160632126425284E+007;-3.392029355516971E-002;
7.220444088817763E+007;-3.833436269024607E-002;
7.280256051210243E+007;-2.084647481470886E-002;
7.340068013602720E+007;-3.624722778417428E-002;
7.399879975995198E+007;-4.135400811965561E-002;
7.459691938387677E+007;-4.692125575325503E-002;
7.519503900780156E+007;-4.409636853403551E-002;
7.579315863172635E+007;-4.613167689765032E-002;
7.639127825565113E+007;-3.024331748869619E-002;
7.698939787957591E+007;-3.297638623764720E-002;
7.758751750350070E+007;-3.623375586665678E-002;
7.818563712742548E+007;-3.919015526176654E-002;
7.878375675135027E+007;-3.477225128961524E-002;
