# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-9.668769249984548E-001;
1.299299299299299E+007;1.375215168458686E-001;
1.598598598598599E+007;1.692616400153255E-001;
1.897897897897898E+007;-3.519048500736570E-001;
2.197197197197197E+007;1.081687615975446E-001;
2.496496496496496E+007;-7.606187376442775E-002;
2.795795795795796E+007;-1.449698771136717E-001;
3.095095095095095E+007;-1.313239726749803E-001;
3.394394394394395E+007;-7.504761165053929E-002;
3.693693693693694E+007;3.372129573278382E-001;
3.992992992992993E+007;1.549330315478214E-001;
4.292292292292292E+007;7.846596661849382E-002;
4.591591591591591E+007;5.886417021828388E-002;
4.890890890890891E+007;1.756773713616830E-002;
5.190190190190190E+007;2.617680996517796E-002;
5.489489489489490E+007;-1.064973196836266E-001;
5.788788788788789E+007;-7.999793494391816E-002;
6.088088088088088E+007;-1.468697123868379E-001;
6.387387387387388E+007;-4.336017220564244E-002;
6.686686686686686E+007;1.032437100404175E-001;
6.985985985985985E+007;3.610745169064825E-002;
7.285285285285285E+007;1.988112010986886E-002;
7.584584584584585E+007;5.501644670138094E-002;
7.883883883883885E+007;5.002023749209756E-002;
8.183183183183183E+007;-8.038135467645682E-002;
8.482482482482483E+007;-5.420537800500605E-002;
8.781781781781782E+007;-2.224558848681100E-003;
9.081081081081080E+007;3.026173892380063E-002;
9.380380380380380E+007;-1.176576842950525E-001;
9.679679679679680E+007;-5.121389295301988E-002;
9.978978978978980E+007;-2.381148234365089E-001;
1.027827827827828E+008;-1.916273943855505E-001;
1.057757757757758E+008;-2.136875762206392E-001;
1.087687687687688E+008;-1.765316745914642E-001;
1.117617617617618E+008;-1.092682536632424E-001;
1.147547547547548E+008;-1.624893479895807E-001;
1.177477477477478E+008;-8.701263610764422E-002;
1.207407407407408E+008;-2.247583179612328E-001;
1.237337337337337E+008;-1.514511905255842E-001;
1.267267267267267E+008;-1.893509444781305E-001;
1.297197197197197E+008;-1.244509290557285E-001;
1.327127127127127E+008;-1.555538085648479E-001;
1.357057057057057E+008;-2.117970646971519E-001;
1.386986986986987E+008;-2.599844793295812E-001;
1.416916916916917E+008;-2.295884859627382E-001;
1.446846846846847E+008;-2.098638822939491E-001;
1.476776776776777E+008;-3.002494803983034E-001;
1.506706706706707E+008;-2.411191416629836E-001;
1.536636636636637E+008;-3.633336804120495E-001;
1.566566566566567E+008;-2.572694429082338E-001;
1.596496496496497E+008;-3.498756726822216E-001;
1.626426426426427E+008;-2.879047550675120E-001;
1.656356356356356E+008;-2.832426176042328E-001;
1.686286286286286E+008;-3.081993394919578E-001;
1.716216216216216E+008;-2.825704031921132E-001;
1.746146146146146E+008;-3.046819311637417E-001;
1.776076076076076E+008;-3.037495537810419E-001;
1.806006006006006E+008;-3.764871330419040E-001;
1.835935935935936E+008;-4.106777340933739E-001;
1.865865865865866E+008;-3.676172268829024E-001;
1.895795795795796E+008;-3.244124439727336E-001;
1.925725725725726E+008;-3.873883327685464E-001;
1.955655655655656E+008;-3.713181731361071E-001;
1.985585585585586E+008;-4.310992513749887E-001;
2.015515515515516E+008;-3.745846983696513E-001;
2.045445445445446E+008;-4.103226690811794E-001;
2.075375375375375E+008;-4.201603075333103E-001;
2.105305305305305E+008;-4.311754890292211E-001;
2.135235235235235E+008;-4.519111503865528E-001;
2.165165165165165E+008;-4.501943731227896E-001;
2.195095095095095E+008;-4.593477826432558E-001;
2.225025025025025E+008;-4.941853470463821E-001;
2.254954954954955E+008;-4.660818127070801E-001;
2.284884884884885E+008;-4.384100222718023E-001;
2.314814814814815E+008;-4.785286339087054E-001;
2.344744744744745E+008;-4.635073770464038E-001;
2.374674674674675E+008;-4.801384659588111E-001;
2.404604604604605E+008;-4.533504006851730E-001;
2.434534534534535E+008;-4.765836431465238E-001;
2.464464464464465E+008;-4.563461789163371E-001;
2.494394394394395E+008;-4.853228180127832E-001;
2.524324324324324E+008;-4.783344994632580E-001;
2.554254254254254E+008;-4.603438128646405E-001;
2.584184184184184E+008;-4.516900225080906E-001;
2.614114114114114E+008;-4.498282750599389E-001;
2.644044044044044E+008;-4.612700513069024E-001;
2.673973973973974E+008;-4.466289019524173E-001;
2.703903903903904E+008;-4.702392701517114E-001;
2.733833833833834E+008;-4.456713900486226E-001;
2.763763763763764E+008;-4.794083224064429E-001;
2.793693693693694E+008;-4.764857586007065E-001;
2.823623623623624E+008;-4.349151919690335E-001;
2.853553553553554E+008;-4.378709542294346E-001;
2.883483483483483E+008;-4.239778379244210E-001;
2.913413413413413E+008;-4.361900307435891E-001;
2.943343343343343E+008;-4.100160235525077E-001;
2.973273273273273E+008;-4.539119492918292E-001;
3.003203203203203E+008;-4.557989974694875E-001;
3.033133133133133E+008;-4.417974934310039E-001;
3.063063063063063E+008;-4.002579854742694E-001;
3.092992992992993E+008;-4.271285050773677E-001;
3.122922922922923E+008;-4.417727253796016E-001;
3.152852852852853E+008;-4.302791706977955E-001;
3.182782782782783E+008;-3.938351383617696E-001;
3.212712712712713E+008;-4.291305460618928E-001;
3.242642642642643E+008;-4.397816563181692E-001;
3.272572572572573E+008;-4.217005217079927E-001;
3.302502502502502E+008;-4.063764719762120E-001;
3.332432432432432E+008;-4.021857809180708E-001;
3.362362362362362E+008;-4.237742485036964E-001;
3.392292292292292E+008;-4.247155211398730E-001;
3.422222222222222E+008;-3.949584752516051E-001;
3.452152152152152E+008;-4.242524332957069E-001;
3.482082082082082E+008;-4.123183945203033E-001;
3.512012012012012E+008;-3.536017727797066E-001;
3.541941941941942E+008;-3.739445171302387E-001;
3.571871871871872E+008;-3.959719416155009E-001;
3.601801801801802E+008;-4.198259921613090E-001;
3.631731731731732E+008;-3.839222286666258E-001;
3.661661661661662E+008;-3.924131677867424E-001;
3.691591591591592E+008;-4.176417603864366E-001;
3.721521521521521E+008;-3.837542250031043E-001;
3.751451451451451E+008;-3.819404503238735E-001;
3.781381381381381E+008;-3.766820066349191E-001;
3.811311311311311E+008;-3.521850564283847E-001;
3.841241241241241E+008;-3.791524077078280E-001;
3.871171171171171E+008;-4.001220613190127E-001;
3.901101101101101E+008;-3.663936161996591E-001;
3.931031031031031E+008;-4.238553737447018E-001;
3.960960960960961E+008;-4.043557846884104E-001;
3.990890890890891E+008;-4.310075247595404E-001;
4.020820820820821E+008;-4.350499230037071E-001;
4.050750750750751E+008;-4.148246386178636E-001;
4.080680680680681E+008;-4.348842013630277E-001;
4.110610610610611E+008;-4.077187638291873E-001;
4.140540540540541E+008;-4.269127649154647E-001;
4.170470470470470E+008;-4.277632733899318E-001;
4.200400400400400E+008;-4.285193732818035E-001;
4.230330330330330E+008;-4.553211661292244E-001;
4.260260260260260E+008;-4.543752909381532E-001;
4.290190190190190E+008;-4.490696213805511E-001;
4.320120120120120E+008;-4.639494791677155E-001;
4.350050050050050E+008;-4.570647005451946E-001;
4.379979979979980E+008;-4.803908943640514E-001;
4.409909909909910E+008;-4.873403646805082E-001;
4.439839839839840E+008;-5.043178149437566E-001;
4.469769769769770E+008;-4.941933210886890E-001;
4.499699699699700E+008;-4.827836113597483E-001;
4.529629629629630E+008;-4.916013828588032E-001;
4.559559559559560E+008;-5.187970627753659E-001;
4.589489489489489E+008;-5.287533263791321E-001;
4.619419419419419E+008;-5.210277105005420E-001;
4.649349349349349E+008;-5.305833579666160E-001;
4.679279279279279E+008;-5.380843922764955E-001;
4.709209209209209E+008;-5.284039105035372E-001;
4.739139139139139E+008;-5.158897125441193E-001;
4.769069069069069E+008;-5.469419945749574E-001;
4.798998998998999E+008;-5.653788138692698E-001;
4.828928928928929E+008;-6.495991225921326E-001;
4.858858858858859E+008;-6.201592699707363E-001;
4.888788788788789E+008;-5.980084889283266E-001;
4.918718718718719E+008;-5.983122524403960E-001;
4.948648648648649E+008;-6.129642772057362E-001;
4.978578578578579E+008;-5.968919873073120E-001;
5.008508508508508E+008;-4.957042938304418E-001;
5.038438438438438E+008;-5.117595320806001E-001;
5.068368368368368E+008;-5.322285503373349E-001;
5.098298298298298E+008;-5.603599578885578E-001;
5.128228228228228E+008;-5.934520280410951E-001;
5.158158158158158E+008;-6.055979449064485E-001;
5.188088088088088E+008;-5.964505934948977E-001;
5.218018018018018E+008;-5.809618049807543E-001;
5.247947947947948E+008;-6.120844195027880E-001;
5.277877877877878E+008;-6.242969125808761E-001;
5.307807807807808E+008;-6.215972948236348E-001;
5.337737737737738E+008;-6.435722377668418E-001;
5.367667667667668E+008;-6.308631707272683E-001;
5.397597597597598E+008;-6.613531780731843E-001;
5.427527527527528E+008;-6.275765835340607E-001;
5.457457457457457E+008;-6.415502006893634E-001;
5.487387387387388E+008;-6.404326079772612E-001;
5.517317317317318E+008;-6.453852982900420E-001;
5.547247247247248E+008;-6.429618973002966E-001;
5.577177177177178E+008;-6.877231736174091E-001;
5.607107107107108E+008;-6.669325753720143E-001;
5.637037037037036E+008;-6.590778816967519E-001;
5.666966966966966E+008;-6.381132463858339E-001;
5.696896896896896E+008;-6.482674424632702E-001;
5.726826826826826E+008;-6.538060132986839E-001;
5.756756756756756E+008;-6.470459473975254E-001;
5.786686686686686E+008;-6.593897816625951E-001;
5.816616616616616E+008;-6.655258362179005E-001;
5.846546546546546E+008;-6.671227327943585E-001;
5.876476476476476E+008;-6.472891483648625E-001;
5.906406406406406E+008;-6.533795675387052E-001;
5.936336336336336E+008;-6.613667794628111E-001;
5.966266266266266E+008;-6.729363327448297E-001;
5.996196196196196E+008;-6.519162514831867E-001;
6.026126126126126E+008;-6.640489530793990E-001;
6.056056056056056E+008;-6.579249155016890E-001;
6.085985985985986E+008;-6.624901522774800E-001;
6.115915915915916E+008;-6.513042929138402E-001;
6.145845845845846E+008;-6.500908138338202E-001;
6.175775775775776E+008;-6.329595971098018E-001;
6.205705705705706E+008;-6.457746885216684E-001;
6.235635635635636E+008;-6.456075886663713E-001;
6.265565565565566E+008;-6.406726274751269E-001;
6.295495495495496E+008;-6.380207952658894E-001;
6.325425425425426E+008;-6.523586916904015E-001;
6.355355355355356E+008;-6.330968494225080E-001;
6.385285285285286E+008;-6.352298214858595E-001;
6.415215215215216E+008;-6.459191125314103E-001;
6.445145145145146E+008;-6.252184862463346E-001;
6.475075075075076E+008;-6.473591222165828E-001;
6.505005005005004E+008;-6.226083279483459E-001;
6.534934934934934E+008;-6.306389486098811E-001;
6.564864864864864E+008;-6.226744190019682E-001;
6.594794794794794E+008;-6.206012820086838E-001;
6.624724724724724E+008;-6.092138141034933E-001;
6.654654654654654E+008;-6.151962560745089E-001;
6.684584584584584E+008;-6.086467542690949E-001;
6.714514514514514E+008;-6.074493120671375E-001;
6.744444444444444E+008;-6.351486838154007E-001;
6.774374374374374E+008;-6.080414910268128E-001;
6.804304304304304E+008;-5.970268396960836E-001;
6.834234234234234E+008;-6.135910397322603E-001;
6.864164164164164E+008;-6.137015357172546E-001;
6.894094094094094E+008;-6.030951685757945E-001;
6.924024024024024E+008;-6.177166732113266E-001;
6.953953953953954E+008;-6.047935031129975E-001;
6.983883883883884E+008;-6.071560558176947E-001;
7.013813813813814E+008;-6.112947381707123E-001;
7.043743743743744E+008;-6.210396742707507E-001;
7.073673673673674E+008;-6.241881947487981E-001;
7.103603603603604E+008;-6.317162682846800E-001;
7.133533533533534E+008;-6.255959122866132E-001;
7.163463463463464E+008;-6.424772881782769E-001;
7.193393393393394E+008;-6.389813132959834E-001;
7.223323323323324E+008;-6.318398550992966E-001;
7.253253253253254E+008;-6.396586088903410E-001;
7.283183183183184E+008;-6.414633049512888E-001;
7.313113113113114E+008;-6.493017123950987E-001;
7.343043043043042E+008;-6.577172510329278E-001;
7.372972972972972E+008;-6.597636240852374E-001;
7.402902902902902E+008;-6.561825024792424E-001;
7.432832832832832E+008;-6.723656105983398E-001;
7.462762762762762E+008;-6.820864972496616E-001;
7.492692692692692E+008;-6.636783679885937E-001;
7.522622622622622E+008;-6.793821339911178E-001;
7.552552552552552E+008;-6.963370792301115E-001;
7.582482482482482E+008;-6.797990016645089E-001;
7.612412412412412E+008;-6.929403909910645E-001;
7.642342342342342E+008;-6.972881237149916E-001;
7.672272272272272E+008;-6.980759032008292E-001;
7.702202202202202E+008;-7.311920364821859E-001;
7.732132132132132E+008;-6.912017101583261E-001;
7.762062062062062E+008;-7.327391236384423E-001;
7.791991991991992E+008;-7.220754546742875E-001;
