# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;2.137485011047748E-002;
1.059811962392478E+007;3.467796795923782E-002;
1.119623924784957E+007;-2.180048894395902E-002;
1.179435887177436E+007;3.639754026980618E-002;
1.239247849569914E+007;4.417907070247856E-002;
1.299059811962393E+007;-3.027341764535259E-002;
1.358871774354871E+007;8.205130692208934E-002;
1.418683736747349E+007;-4.142113663262981E-002;
1.478495699139828E+007;5.105209237375444E-002;
1.538307661532307E+007;3.752877489271180E-002;
1.598119623924785E+007;6.353219520923562E-003;
1.657931586317264E+007;7.737880645820273E-003;
1.717743548709742E+007;-6.039399786990689E-003;
1.777555511102220E+007;1.409960618898720E-002;
1.837367473494699E+007;3.293904542701437E-003;
1.897179435887177E+007;1.823310008099940E-002;
1.956991398279656E+007;2.326695092955964E-003;
2.016803360672134E+007;5.484008842070038E-003;
2.076615323064613E+007;2.196872858789950E-002;
2.136427285457091E+007;2.478790126369062E-002;
2.196239247849570E+007;-2.448066657475106E-002;
2.256051210242049E+007;1.587705909806596E-002;
2.315863172634527E+007;3.309422326138294E-002;
2.375675135027006E+007;-2.452708796728483E-002;
2.435487097419484E+007;-3.343746645452225E-003;
2.495299059811962E+007;-2.050890554081739E-002;
2.555111022204441E+007;4.242486985383072E-003;
2.614922984596919E+007;1.522226234264319E-002;
2.674734946989398E+007;6.242122871627539E-004;
2.734546909381877E+007;-7.906155979731549E-003;
2.794358871774355E+007;3.310617666969244E-002;
2.854170834166833E+007;-7.115337102394956E-004;
2.913982796559312E+007;1.539165592229317E-002;
2.973794758951790E+007;1.653101835586449E-002;
3.033606721344269E+007;-4.229413886012760E-002;
3.093418683736747E+007;9.703331266591640E-003;
3.153230646129226E+007;-2.595216224956723E-003;
3.213042608521704E+007;-1.393108158163220E-002;
3.272854570914183E+007;2.449524915194085E-002;
3.332666533306661E+007;2.033551260605234E-002;
3.392478495699140E+007;5.147561086800225E-004;
3.452290458091618E+007;2.588239982785128E-002;
3.512102420484097E+007;3.960304513816286E-003;
3.571914382876575E+007;-8.639058386622097E-003;
3.631726345269054E+007;1.882663584694101E-001;
3.691538307661532E+007;1.940104227612935E-001;
3.751350270054011E+007;1.670555081465485E-001;
3.811162232446489E+007;1.698591343660540E-001;
3.870974194838968E+007;1.366287487104768E-001;
3.930786157231446E+007;1.512753996208467E-001;
3.990598119623925E+007;1.189781209012967E-001;
4.050410082016403E+007;1.063689479289885E-001;
4.110222044408882E+007;1.115152287330629E-001;
4.170034006801360E+007;1.101831202634460E-001;
4.229845969193839E+007;1.055983979471355E-001;
4.289657931586318E+007;9.702397105625002E-002;
4.349469893978795E+007;8.189734407943895E-002;
4.409281856371274E+007;8.786575881874115E-002;
4.469093818763753E+007;7.991218971511381E-002;
4.528905781156232E+007;6.077243038175983E-002;
4.588717743548710E+007;5.526644230363298E-002;
4.648529705941188E+007;3.038764401755580E-002;
4.708341668333667E+007;4.427162585418926E-002;
4.768153630726145E+007;3.513029455514816E-002;
4.827965593118624E+007;3.192849656478142E-002;
4.887777555511102E+007;1.820196434900297E-002;
4.947589517903581E+007;7.310125582703365E-003;
5.007401480296059E+007;1.691127562001901E-002;
5.067213442688537E+007;2.103127423887005E-004;
5.127025405081016E+007;1.413199330009309E-002;
5.186837367473494E+007;-3.513810826676148E-003;
5.246649329865973E+007;1.435651603910450E-003;
5.306461292258452E+007;-4.442583144932069E-003;
5.366273254650930E+007;1.509404868830998E-003;
5.426085217043409E+007;-3.724684113142147E-003;
5.485897179435887E+007;-4.466399888692553E-003;
5.545709141828366E+007;-8.097179153073815E-003;
5.605521104220844E+007;-6.796389924349042E-003;
5.665333066613323E+007;-1.617967151207653E-004;
5.725145029005801E+007;9.147403412018305E-003;
5.784956991398279E+007;-4.573192472092623E-003;
5.844768953790758E+007;-4.716008494562400E-003;
5.904580916183236E+007;-7.625396211016241E-003;
5.964392878575715E+007;-1.802079574211238E-002;
6.024204840968194E+007;-1.330161497859031E-002;
6.084016803360672E+007;-5.108622583042823E-003;
6.143828765753151E+007;-3.532911926412136E-003;
6.203640728145629E+007;-8.184764698132707E-003;
6.263452690538108E+007;1.225430542474211E-003;
6.323264652930586E+007;-9.726157404178613E-003;
6.383076615323065E+007;-1.724997671089116E-002;
6.442888577715543E+007;-1.197509912286814E-002;
6.502700540108021E+007;-1.478482743815071E-002;
6.562512502500500E+007;-1.027942619005050E-002;
6.622324464892978E+007;-2.088840095288663E-002;
6.682136427285457E+007;-1.162979647153147E-002;
6.741948389677936E+007;-1.286121194516260E-002;
6.801760352070415E+007;-2.514367591381317E-002;
6.861572314462893E+007;-1.970995441781100E-002;
6.921384276855370E+007;-2.688721930307566E-002;
6.981196239247850E+007;-2.225391179316014E-002;
7.041008201640329E+007;-2.996908231912200E-002;
7.100820164032807E+007;-3.361380426931596E-002;
7.160632126425284E+007;-3.739333552805383E-002;
7.220444088817763E+007;-3.795461038237178E-002;
7.280256051210243E+007;-3.815799849897405E-002;
7.340068013602720E+007;-3.807445534710146E-002;
7.399879975995198E+007;-4.005648414680817E-002;
7.459691938387677E+007;-3.375694235245884E-002;
7.519503900780156E+007;-3.299230410917287E-002;
7.579315863172635E+007;-3.257056196793854E-002;
7.639127825565113E+007;-3.016706594645852E-002;
7.698939787957591E+007;-3.128813515518341E-002;
7.758751750350070E+007;-3.962703542567432E-002;
7.818563712742548E+007;-4.306945333107123E-002;
7.878375675135027E+007;-2.936052990673077E-002;
7.938187637527506E+007;-3.192403160970381E-002;
7.997999599919984E+007;-4.043673779081933E-002;
8.057811562312463E+007;-3.958911403864440E-002;
8.117623524704941E+007;-3.950160528411746E-002;
8.177435487097420E+007;-3.063011582460352E-002;
8.237247449489898E+007;-2.863982921407921E-002;
8.297059411882377E+007;-4.122625916694838E-002;
8.356871374274854E+007;-2.813914230077997E-002;
8.416683336667334E+007;-4.930638556462146E-002;
8.476495299059811E+007;-2.239545285855780E-002;
8.536307261452290E+007;-2.883208042830708E-002;
8.596119223844768E+007;-3.317022514953352E-002;
8.655931186237247E+007;-3.112897291398604E-002;
8.715743148629727E+007;-3.946741884315691E-002;
8.775555111022204E+007;-3.540152820333640E-002;
8.835367073414683E+007;-3.041036749739650E-002;
8.895179035807161E+007;-3.172450060726294E-002;
8.954990998199640E+007;-2.775225502968332E-002;
9.014802960592118E+007;-4.529529058151693E-002;
9.074614922984597E+007;-3.483644266213905E-002;
