# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-4.375432309971749E-001;
1.299299299299299E+007;5.251690714295582E-001;
1.598598598598599E+007;-1.353222382223988E-001;
1.897897897897898E+007;7.165403736152869E-002;
2.197197197197197E+007;2.003132323023964E-001;
2.496496496496496E+007;-2.587357799028602E-001;
2.795795795795796E+007;4.710339178019691E-001;
3.095095095095095E+007;-8.090624283979692E-002;
3.394394394394395E+007;5.833943626119702E-003;
3.693693693693694E+007;2.676753731505703E-001;
3.992992992992993E+007;1.644246186942490E-002;
4.292292292292292E+007;3.798875330654392E-002;
4.591591591591591E+007;-6.944049509735147E-002;
4.890890890890891E+007;-7.154614091288865E-002;
5.190190190190190E+007;3.625627265695833E-002;
5.489489489489490E+007;-8.292122642210210E-002;
5.788788788788789E+007;-2.057177617319379E-003;
6.088088088088088E+007;-7.516553203815204E-002;
6.387387387387388E+007;-5.997568291474480E-003;
6.686686686686686E+007;3.540516872831982E-002;
6.985985985985985E+007;-9.476281390114645E-002;
7.285285285285285E+007;2.002748013282873E-001;
7.584584584584585E+007;-7.988221031512606E-002;
7.883883883883885E+007;-7.265294289305337E-002;
8.183183183183183E+007;-6.404643699982404E-002;
8.482482482482483E+007;-5.082513000323885E-002;
8.781781781781782E+007;-3.319115808549560E-002;
9.081081081081080E+007;-2.509003157114761E-002;
9.380380380380380E+007;-6.968617419059370E-002;
9.679679679679680E+007;-9.870871360847728E-003;
9.978978978978980E+007;-9.183331446560571E-002;
1.027827827827828E+008;-1.437923211867611E-001;
1.057757757757758E+008;-1.118309118572235E-001;
1.087687687687688E+008;-1.280055854176402E-001;
1.117617617617618E+008;1.764579443951675E-003;
1.147547547547548E+008;-1.649687401374897E-001;
1.177477477477478E+008;-2.210249835975554E-001;
1.207407407407408E+008;-1.247913799598163E-001;
1.237337337337337E+008;-1.741525381297585E-001;
1.267267267267267E+008;-2.201198348565165E-001;
1.297197197197197E+008;-2.351108422528887E-001;
1.327127127127127E+008;-1.966215351950267E-001;
1.357057057057057E+008;-2.484492378628856E-001;
1.386986986986987E+008;-2.283899108877060E-001;
