# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.096274865419917E+001;
1.059811962392478E+007;-1.115444367659108E+001;
1.119623924784957E+007;-1.269026829435215E+001;
1.179435887177436E+007;-1.373503315213545E+001;
1.239247849569914E+007;-1.360409003146494E+001;
1.299059811962393E+007;-1.404047301301693E+001;
1.358871774354871E+007;-1.494297843829039E+001;
1.418683736747349E+007;-1.562671162006425E+001;
1.478495699139828E+007;-1.673357088030977E+001;
1.538307661532307E+007;-1.685626075732398E+001;
1.598119623924785E+007;-1.745291924857187E+001;
1.657931586317264E+007;-1.851443834097699E+001;
1.717743548709742E+007;-1.935517106318211E+001;
1.777555511102220E+007;-2.016182586282898E+001;
1.837367473494699E+007;-2.056129615594991E+001;
1.897179435887177E+007;-2.165281943436077E+001;
1.956991398279656E+007;-2.169833714685207E+001;
2.016803360672134E+007;-2.270167778332083E+001;
2.076615323064613E+007;-2.334863351651829E+001;
2.136427285457091E+007;-2.417138876352082E+001;
2.196239247849570E+007;-2.463499440554127E+001;
2.256051210242049E+007;-2.533763600541991E+001;
2.315863172634527E+007;-2.582060215170300E+001;
2.375675135027006E+007;-2.667754076277232E+001;
2.435487097419484E+007;-2.755933320477687E+001;
2.495299059811962E+007;-2.820157003108969E+001;
2.555111022204441E+007;-2.865941033954255E+001;
2.614922984596919E+007;-2.969927754165055E+001;
2.674734946989398E+007;-2.983216695221235E+001;
2.734546909381877E+007;-3.062856391625636E+001;
2.794358871774355E+007;-3.127988058387145E+001;
2.854170834166833E+007;-3.215106578246541E+001;
2.913982796559312E+007;-3.298248527349718E+001;
2.973794758951790E+007;-3.348798995210875E+001;
3.033606721344269E+007;-3.405915087455853E+001;
3.093418683736747E+007;-3.466323751129400E+001;
3.153230646129226E+007;-3.541634472230795E+001;
3.213042608521704E+007;-3.609431090399792E+001;
3.272854570914183E+007;-3.651691591761670E+001;
3.332666533306661E+007;-3.743319521287901E+001;
3.392478495699140E+007;-3.800012024758147E+001;
3.452290458091618E+007;-3.860744917193768E+001;
3.512102420484097E+007;-3.927126731456305E+001;
3.571914382876575E+007;-4.009682072669309E+001;
3.631726345269054E+007;-4.033847083545089E+001;
3.691538307661532E+007;-4.102307306876944E+001;
3.751350270054011E+007;-4.184189060357941E+001;
3.811162232446489E+007;-4.266467085728677E+001;
3.870974194838968E+007;-4.335038568251102E+001;
3.930786157231446E+007;-4.411171375811426E+001;
3.990598119623925E+007;-4.482857601365193E+001;
4.050410082016403E+007;-4.556067091791500E+001;
4.110222044408882E+007;-4.616379906995343E+001;
4.170034006801360E+007;-4.698691976218886E+001;
4.229845969193839E+007;-4.759698039222241E+001;
4.289657931586318E+007;-4.839128128531097E+001;
4.349469893978795E+007;-4.891219557087396E+001;
4.409281856371274E+007;-4.960513288865447E+001;
4.469093818763753E+007;-5.027324920153394E+001;
4.528905781156232E+007;-5.085590171113862E+001;
4.588717743548710E+007;-5.168755165862302E+001;
4.648529705941188E+007;-5.236482303316696E+001;
4.708341668333667E+007;-5.301148038425584E+001;
4.768153630726145E+007;-5.363257651021044E+001;
4.827965593118624E+007;-5.438604422557794E+001;
4.887777555511102E+007;-5.501649549376382E+001;
4.947589517903581E+007;-5.564250497170694E+001;
5.007401480296059E+007;-5.622170472212510E+001;
5.067213442688537E+007;-5.696503126066178E+001;
5.127025405081016E+007;-5.754717154089779E+001;
5.186837367473494E+007;-5.835670831487110E+001;
5.246649329865973E+007;-5.900258853061001E+001;
5.306461292258452E+007;-5.973022278582790E+001;
5.366273254650930E+007;-6.029179645080372E+001;
5.426085217043409E+007;-6.099930773500061E+001;
5.485897179435887E+007;-6.175406744050189E+001;
5.545709141828366E+007;-6.230164056035031E+001;
5.605521104220844E+007;-6.305321126507408E+001;
5.665333066613323E+007;-6.385218611034232E+001;
5.725145029005801E+007;-6.449290226299388E+001;
5.784956991398279E+007;-6.502202513568290E+001;
5.844768953790758E+007;-6.580234165539754E+001;
5.904580916183236E+007;-6.647461298710572E+001;
5.964392878575715E+007;-6.718383260000276E+001;
6.024204840968194E+007;-6.777964169007669E+001;
6.084016803360672E+007;-6.839026274531122E+001;
6.143828765753151E+007;-6.913372708054789E+001;
6.203640728145629E+007;-6.976880437680394E+001;
6.263452690538108E+007;-7.041426561413192E+001;
6.323264652930586E+007;-7.110750363465003E+001;
6.383076615323065E+007;-7.165678760047935E+001;
6.442888577715543E+007;-7.243873910201084E+001;
6.502700540108021E+007;-7.310675082378698E+001;
6.562512502500500E+007;-7.373362599634707E+001;
6.622324464892978E+007;-7.443917373160485E+001;
6.682136427285457E+007;-7.512107643973394E+001;
6.741948389677936E+007;-7.577865389085994E+001;
6.801760352070415E+007;-7.635366255703869E+001;
6.861572314462893E+007;-7.706897789664805E+001;
6.921384276855370E+007;-7.776871093684817E+001;
6.981196239247850E+007;-7.840068984576618E+001;
7.041008201640329E+007;-7.908419537407087E+001;
7.100820164032807E+007;-7.978527836931133E+001;
7.160632126425284E+007;-8.041320951634306E+001;
7.220444088817763E+007;-8.109004925746157E+001;
7.280256051210243E+007;-8.166037874560375E+001;
7.340068013602720E+007;-8.237514918946488E+001;
7.399879975995198E+007;-8.315786948959429E+001;
7.459691938387677E+007;-8.374552784260141E+001;
7.519503900780156E+007;-8.436930077710441E+001;
7.579315863172635E+007;-8.511557188620577E+001;
7.639127825565113E+007;-8.586347098127165E+001;
7.698939787957591E+007;-8.646979172659528E+001;
7.758751750350070E+007;-8.705560291124658E+001;
7.818563712742548E+007;-8.772304587142611E+001;
7.878375675135027E+007;-8.841731526048754E+001;
7.938187637527506E+007;-8.913549898972605E+001;
7.997999599919984E+007;-8.979161601465194E+001;
8.057811562312463E+007;-9.035786144428852E+001;
8.117623524704941E+007;-9.110574862730836E+001;
8.177435487097420E+007;-9.184635188766454E+001;
8.237247449489898E+007;-9.249739410653115E+001;
8.297059411882377E+007;-9.299767100183215E+001;
8.356871374274854E+007;-9.369782228601058E+001;
8.416683336667334E+007;-9.426096220298369E+001;
8.476495299059811E+007;-9.498666515157167E+001;
8.536307261452290E+007;-9.558682200811465E+001;
8.596119223844768E+007;-9.634777021646173E+001;
8.655931186237247E+007;-9.691051303985192E+001;
8.715743148629727E+007;-9.758305795058830E+001;
8.775555111022204E+007;-9.824134285500956E+001;
8.835367073414683E+007;-9.895454285236404E+001;
8.895179035807161E+007;-9.962987035521540E+001;
8.954990998199640E+007;-1.002900050543054E+002;
9.014802960592118E+007;-1.009639264059584E+002;
9.074614922984597E+007;-1.016552625272975E+002;
9.134426885377075E+007;-1.022753835052124E+002;
9.194238847769554E+007;-1.029932781215313E+002;
9.254050810162032E+007;-1.037352867898107E+002;
9.313862772554511E+007;-1.044057509553356E+002;
9.373674734946989E+007;-1.050721489592390E+002;
9.433486697339468E+007;-1.057593964864420E+002;
9.493298659731947E+007;-1.064610672044142E+002;
9.553110622124425E+007;-1.071492947585030E+002;
9.612922584516904E+007;-1.077679327466022E+002;
9.672734546909381E+007;-1.084839124119464E+002;
9.732546509301861E+007;-1.092151798038017E+002;
9.792358471694338E+007;-1.097686053692395E+002;
9.852170434086818E+007;-1.104481976387812E+002;
9.911982396479295E+007;-1.111081805174859E+002;
9.971794358871774E+007;-1.116979099390301E+002;
1.003160632126425E+008;-1.123895254708837E+002;
1.009141828365673E+008;-1.131521373653343E+002;
1.015123024604921E+008;-1.138383733131268E+002;
1.021104220844169E+008;-1.145711922481872E+002;
1.027085417083417E+008;-1.152323254598888E+002;
1.033066613322665E+008;-1.159535137088802E+002;
1.039047809561912E+008;-1.165801491909911E+002;
1.045029005801160E+008;-1.172696696566897E+002;
1.051010202040408E+008;-1.178819698697210E+002;
1.056991398279656E+008;-1.185592172170334E+002;
1.062972594518904E+008;-1.192161895015968E+002;
1.068953790758152E+008;-1.198456884959983E+002;
1.074934986997400E+008;-1.210252810833099E+002;
1.080916183236647E+008;-1.215983143330558E+002;
1.086897379475895E+008;-1.222566808561738E+002;
1.092878575715143E+008;-1.228360596988496E+002;
1.098859771954391E+008;-1.234642213647854E+002;
1.104840968193639E+008;-1.240984566353075E+002;
1.110822164432887E+008;-1.247037396807115E+002;
1.116803360672135E+008;-1.253578566020194E+002;
1.122784556911382E+008;-1.259489839715688E+002;
1.128765753150630E+008;-1.265503118647127E+002;
1.134746949389878E+008;-1.271663264147334E+002;
1.140728145629126E+008;-1.277841474818445E+002;
1.146709341868374E+008;-1.284497253381381E+002;
1.152690538107622E+008;-1.291265323690836E+002;
1.158671734346869E+008;-1.297736944830335E+002;
1.164652930586117E+008;-1.304754331856345E+002;
1.170634126825365E+008;-1.311473287229733E+002;
1.176615323064613E+008;-1.317507419989215E+002;
1.182596519303861E+008;-1.324418191461711E+002;
1.188577715543109E+008;-1.330914547055733E+002;
1.194558911782357E+008;-1.337306251787453E+002;
1.200540108021604E+008;-1.344330657007279E+002;
1.206521304260852E+008;-1.350762977009935E+002;
1.212502500500100E+008;-1.357451492077790E+002;
1.218483696739348E+008;-1.363905145532942E+002;
1.224464892978596E+008;-1.370323349245861E+002;
1.230446089217844E+008;-1.377097536454654E+002;
1.236427285457091E+008;-1.383565127589374E+002;
1.242408481696339E+008;-1.390245239337926E+002;
1.248389677935587E+008;-1.396731067013304E+002;
1.254370874174835E+008;-1.403777231643884E+002;
1.260352070414083E+008;-1.409667676213574E+002;
1.266333266653331E+008;-1.416496125042808E+002;
1.272314462892579E+008;-1.423290846963026E+002;
1.278295659131826E+008;-1.429900770361109E+002;
1.284276855371074E+008;-1.436612308243632E+002;
1.290258051610322E+008;-1.442952623040060E+002;
