# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.133289581937970E+001;
1.299299299299299E+007;-1.760992528549785E+001;
1.598598598598599E+007;-1.990814623798173E+001;
1.897897897897898E+007;-2.275764109056281E+001;
2.197197197197197E+007;-2.434964073456519E+001;
2.496496496496496E+007;-2.759331347383438E+001;
2.795795795795796E+007;-3.242511429158616E+001;
3.095095095095095E+007;-3.446900399696549E+001;
3.394394394394395E+007;-3.812754805313260E+001;
3.693693693693694E+007;-4.151977350551690E+001;
3.992992992992993E+007;-4.551791752711905E+001;
4.292292292292292E+007;-4.907553348113982E+001;
4.591591591591591E+007;-5.198143561676505E+001;
4.890890890890891E+007;-5.565354046539613E+001;
5.190190190190190E+007;-5.750434471512389E+001;
5.489489489489490E+007;-6.257756874627026E+001;
5.788788788788789E+007;-6.554053159622397E+001;
6.088088088088088E+007;-6.856847211564211E+001;
6.387387387387388E+007;-7.142146129044681E+001;
6.686686686686686E+007;-7.574941785359343E+001;
6.985985985985985E+007;-7.866232721602552E+001;
7.285285285285285E+007;-8.167762313552679E+001;
7.584584584584585E+007;-8.545091980354270E+001;
7.883883883883885E+007;-8.855725849282284E+001;
8.183183183183183E+007;-9.287835322217173E+001;
8.482482482482483E+007;-9.555227254366925E+001;
8.781781781781782E+007;-9.859151814563947E+001;
9.081081081081080E+007;-1.013017419971456E+002;
9.380380380380380E+007;-1.049425961659824E+002;
9.679679679679680E+007;-1.080684438835854E+002;
9.978978978978980E+007;-1.115258283948391E+002;
1.027827827827828E+008;-1.154713854339197E+002;
1.057757757757758E+008;-1.190694417117257E+002;
1.087687687687688E+008;-1.222933263118492E+002;
1.117617617617618E+008;-1.251668987156010E+002;
1.147547547547548E+008;-1.285037944371082E+002;
1.177477477477478E+008;-1.320364083093230E+002;
1.207407407407408E+008;-1.354190711689201E+002;
1.237337337337337E+008;-1.379571076954665E+002;
1.267267267267267E+008;-1.419104690512726E+002;
1.297197197197197E+008;-1.453800789987405E+002;
1.327127127127127E+008;-1.485721094447419E+002;
1.357057057057057E+008;-1.516290834240145E+002;
1.386986986986987E+008;-1.550701162293760E+002;
1.416916916916917E+008;-1.585297288847845E+002;
1.446846846846847E+008;-1.613776393394734E+002;
1.476776776776777E+008;-1.646225253942313E+002;
1.506706706706707E+008;-1.682422758262948E+002;
1.536636636636637E+008;-1.712319735555304E+002;
1.566566566566567E+008;-1.746338891187288E+002;
1.596496496496497E+008;-1.783215506281929E+002;
1.626426426426427E+008;1.786027664013921E+002;
1.656356356356356E+008;1.754990941473670E+002;
1.686286286286286E+008;1.718083957493423E+002;
1.716216216216216E+008;1.690787962303566E+002;
1.746146146146146E+008;1.657239212692624E+002;
1.776076076076076E+008;1.625186691691355E+002;
1.806006006006006E+008;1.593905381446138E+002;
1.835935935935936E+008;1.557822025249860E+002;
1.865865865865866E+008;1.523776369706461E+002;
1.895795795795796E+008;1.492106273140167E+002;
1.925725725725726E+008;1.463475241670289E+002;
1.955655655655656E+008;1.428340746801431E+002;
1.985585585585586E+008;1.394824121737437E+002;
2.015515515515516E+008;1.363483788042017E+002;
2.045445445445446E+008;1.330406659965793E+002;
2.075375375375375E+008;1.298731385973433E+002;
2.105305305305305E+008;1.262421107802105E+002;
2.135235235235235E+008;1.231383371079376E+002;
2.165165165165165E+008;1.200317343118693E+002;
2.195095095095095E+008;1.166229138121487E+002;
2.225025025025025E+008;1.130980938415026E+002;
2.254954954954955E+008;1.098394480363443E+002;
2.284884884884885E+008;1.064660780283973E+002;
2.314814814814815E+008;1.034606240818780E+002;
2.344744744744745E+008;1.005359656660553E+002;
2.374674674674675E+008;9.685849112816906E+001;
2.404604604604605E+008;9.353652632305096E+001;
2.434534534534535E+008;9.016427461883527E+001;
2.464464464464465E+008;8.691740349893705E+001;
2.494394394394395E+008;8.361540758286908E+001;
2.524324324324324E+008;8.025747002683475E+001;
2.554254254254254E+008;7.683780987678406E+001;
2.584184184184184E+008;7.347138820362675E+001;
2.614114114114114E+008;7.027204201867066E+001;
2.644044044044044E+008;6.698358564141915E+001;
2.673973973973974E+008;6.366807241173816E+001;
2.703903903903904E+008;6.029256659540499E+001;
2.733833833833834E+008;5.698163640267730E+001;
2.763763763763764E+008;5.357633705227890E+001;
2.793693693693694E+008;5.027735891904196E+001;
2.823623623623624E+008;4.685037522980695E+001;
2.853553553553554E+008;4.363182324928388E+001;
2.883483483483483E+008;4.023031067699130E+001;
2.913413413413413E+008;3.668899272372087E+001;
2.943343343343343E+008;3.357399331088175E+001;
2.973273273273273E+008;3.017542937812874E+001;
3.003203203203203E+008;2.689234239235227E+001;
3.033133133133133E+008;2.357143896603296E+001;
3.063063063063063E+008;2.001701118218910E+001;
3.092992992992993E+008;1.654781919604676E+001;
3.122922922922923E+008;1.351006643424970E+001;
3.152852852852853E+008;1.003973363714201E+001;
3.182782782782783E+008;6.727611881505022E+000;
3.212712712712713E+008;3.308834421069783E+000;
3.242642642642643E+008;-2.795820000802997E-002;
3.272572572572573E+008;-3.375700797379878E+000;
3.302502502502502E+008;-6.472917300753837E+000;
3.332432432432432E+008;-1.002787340637662E+001;
3.362362362362362E+008;-1.331356032162928E+001;
3.392292292292292E+008;-1.673797421768166E+001;
3.422222222222222E+008;-2.014634487993112E+001;
3.452152152152152E+008;-2.336132915003506E+001;
3.482082082082082E+008;-2.681379470637771E+001;
3.512012012012012E+008;-3.008911186372727E+001;
3.541941941941942E+008;-3.346277430910411E+001;
3.571871871871872E+008;-3.684322598609520E+001;
3.601801801801802E+008;-4.015185781197710E+001;
3.631731731731732E+008;-4.354769844995533E+001;
3.661661661661662E+008;-4.682130097840449E+001;
3.691591591591592E+008;-5.011718227014854E+001;
3.721521521521521E+008;-5.359536954429824E+001;
3.751451451451451E+008;-5.690154993351818E+001;
3.781381381381381E+008;-6.031913822614160E+001;
3.811311311311311E+008;-6.354810440245649E+001;
3.841241241241241E+008;-6.690421390881132E+001;
3.871171171171171E+008;-7.027274142235375E+001;
3.901101101101101E+008;-7.353061209101389E+001;
3.931031031031031E+008;-7.691342201947367E+001;
3.960960960960961E+008;-8.022199898158041E+001;
3.990890890890891E+008;-8.365767149660624E+001;
4.020820820820821E+008;-8.691756957143210E+001;
4.050750750750751E+008;-9.034204027875710E+001;
4.080680680680681E+008;-9.350394077513255E+001;
4.110610610610611E+008;-9.661495665865131E+001;
4.140540540540541E+008;-9.986663980012386E+001;
4.170470470470470E+008;-1.033926588651371E+002;
4.200400400400400E+008;-1.068205969976410E+002;
4.230330330330330E+008;-1.100484718079904E+002;
4.260260260260260E+008;-1.133712910769991E+002;
4.290190190190190E+008;-1.165233216169375E+002;
4.320120120120120E+008;-1.198688286309858E+002;
4.350050050050050E+008;-1.230738568235630E+002;
4.379979979979980E+008;-1.264400462504322E+002;
4.409909909909910E+008;-1.301348666712895E+002;
4.439839839839840E+008;-1.333392475800347E+002;
4.469769769769770E+008;-1.367579607972768E+002;
4.499699699699700E+008;-1.397365592734631E+002;
4.529629629629630E+008;-1.431161434432806E+002;
4.559559559559560E+008;-1.462532782268144E+002;
4.589489489489489E+008;-1.495364006071394E+002;
4.619419419419419E+008;-1.528440152839817E+002;
4.649349349349349E+008;-1.561781591548806E+002;
4.679279279279279E+008;-1.595472671731302E+002;
4.709209209209209E+008;-1.626036314268362E+002;
4.739139139139139E+008;-1.661551482677691E+002;
4.769069069069069E+008;-1.692103006439376E+002;
4.798998998998999E+008;-1.725724072456590E+002;
4.828928928928929E+008;-1.760782340425154E+002;
4.858858858858859E+008;-1.791546812110588E+002;
4.888788788788789E+008;1.774205727543292E+002;
4.918718718718719E+008;1.742115356570787E+002;
4.948648648648649E+008;1.710573321506364E+002;
4.978578578578579E+008;1.677918193134145E+002;
5.008508508508508E+008;1.644007252703187E+002;
5.038438438438438E+008;1.610461502300293E+002;
5.068368368368368E+008;1.578932649222291E+002;
5.098298298298298E+008;1.545648853956321E+002;
5.128228228228228E+008;1.513181050014308E+002;
5.158158158158158E+008;1.481814919016211E+002;
5.188088088088088E+008;1.448468791353329E+002;
5.218018018018018E+008;1.414451251105535E+002;
5.247947947947948E+008;1.382123744625717E+002;
5.277877877877878E+008;1.349010038459967E+002;
5.307807807807808E+008;1.316530061694668E+002;
5.337737737737738E+008;1.283175979327060E+002;
5.367667667667668E+008;1.250227067272981E+002;
5.397597597597598E+008;1.217744603203885E+002;
5.427527527527528E+008;1.184677758902553E+002;
5.457457457457457E+008;1.151155543833994E+002;
5.487387387387388E+008;1.119283539161579E+002;
5.517317317317318E+008;1.086269756174345E+002;
5.547247247247248E+008;1.054017811380004E+002;
5.577177177177178E+008;1.018485755180768E+002;
5.607107107107108E+008;9.868850138600708E+001;
5.637037037037036E+008;9.536757392001253E+001;
