# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.079965731047324E+001;
1.059811962392478E+007;-1.160987563198347E+001;
1.119623924784957E+007;-1.260313661618650E+001;
1.179435887177436E+007;-1.369979056898435E+001;
1.239247849569914E+007;-1.375681922899176E+001;
1.299059811962393E+007;-1.471370088101901E+001;
1.358871774354871E+007;-1.500727843094727E+001;
1.418683736747349E+007;-1.557044629825216E+001;
1.478495699139828E+007;-1.623728795885216E+001;
1.538307661532307E+007;-1.713976804887064E+001;
1.598119623924785E+007;-1.786379103635505E+001;
1.657931586317264E+007;-1.901697645374105E+001;
1.717743548709742E+007;-1.957584961158412E+001;
1.777555511102220E+007;-2.021806146268596E+001;
1.837367473494699E+007;-2.096561125877151E+001;
1.897179435887177E+007;-2.158342851073808E+001;
1.956991398279656E+007;-2.171220662408271E+001;
2.016803360672134E+007;-2.268101850663347E+001;
2.076615323064613E+007;-2.333018115022347E+001;
2.136427285457091E+007;-2.405976216382915E+001;
2.196239247849570E+007;-2.486557407175197E+001;
2.256051210242049E+007;-2.518394244847062E+001;
2.315863172634527E+007;-2.600255511741925E+001;
2.375675135027006E+007;-2.672232831992744E+001;
2.435487097419484E+007;-2.730569390399457E+001;
2.495299059811962E+007;-2.812659075698364E+001;
2.555111022204441E+007;-2.864059112857900E+001;
2.614922984596919E+007;-2.949965521589315E+001;
2.674734946989398E+007;-2.996851590654832E+001;
2.734546909381877E+007;-3.082404795213119E+001;
2.794358871774355E+007;-3.124733834275287E+001;
2.854170834166833E+007;-3.203933719583675E+001;
2.913982796559312E+007;-3.271554220142283E+001;
2.973794758951790E+007;-3.336878585663803E+001;
3.033606721344269E+007;-3.393963261387425E+001;
3.093418683736747E+007;-3.470698883647427E+001;
3.153230646129226E+007;-3.537036093407846E+001;
3.213042608521704E+007;-3.612734561598278E+001;
3.272854570914183E+007;-3.680488589133606E+001;
3.332666533306661E+007;-3.748096741726519E+001;
3.392478495699140E+007;-3.797603891964066E+001;
3.452290458091618E+007;-3.869215922454059E+001;
3.512102420484097E+007;-3.951681018069942E+001;
3.571914382876575E+007;-4.015011133589781E+001;
3.631726345269054E+007;-4.028150317912963E+001;
3.691538307661532E+007;-4.108393969505995E+001;
3.751350270054011E+007;-4.201992692872324E+001;
3.811162232446489E+007;-4.256998458687141E+001;
3.870974194838968E+007;-4.332021611852597E+001;
3.930786157231446E+007;-4.420869405555480E+001;
3.990598119623925E+007;-4.464132359765407E+001;
4.050410082016403E+007;-4.542304971469915E+001;
4.110222044408882E+007;-4.620767450150017E+001;
4.170034006801360E+007;-4.700613141906776E+001;
4.229845969193839E+007;-4.755271609831225E+001;
4.289657931586318E+007;-4.823048890816086E+001;
4.349469893978795E+007;-4.898696354206689E+001;
4.409281856371274E+007;-4.972058964085922E+001;
4.469093818763753E+007;-5.031059284244123E+001;
4.528905781156232E+007;-5.105556658357814E+001;
4.588717743548710E+007;-5.170576359955766E+001;
4.648529705941188E+007;-5.239380858925394E+001;
4.708341668333667E+007;-5.285614903104336E+001;
4.768153630726145E+007;-5.373904312925795E+001;
4.827965593118624E+007;-5.431560318422943E+001;
4.887777555511102E+007;-5.500491187358035E+001;
4.947589517903581E+007;-5.559772795093730E+001;
5.007401480296059E+007;-5.625061529731724E+001;
5.067213442688537E+007;-5.709383974698347E+001;
5.127025405081016E+007;-5.765813252845831E+001;
5.186837367473494E+007;-5.829549932799610E+001;
5.246649329865973E+007;-5.903726549737334E+001;
5.306461292258452E+007;-5.970977118184198E+001;
5.366273254650930E+007;-6.038899319835618E+001;
5.426085217043409E+007;-6.116475516311545E+001;
5.485897179435887E+007;-6.170739622249869E+001;
5.545709141828366E+007;-6.243764526127666E+001;
5.605521104220844E+007;-6.310945885998245E+001;
5.665333066613323E+007;-6.383916560903038E+001;
5.725145029005801E+007;-6.444552296441178E+001;
5.784956991398279E+007;-6.515418051224887E+001;
5.844768953790758E+007;-6.580520986050061E+001;
5.904580916183236E+007;-6.650277021391928E+001;
5.964392878575715E+007;-6.718203513850752E+001;
6.024204840968194E+007;-6.778197259235473E+001;
6.084016803360672E+007;-6.836602546091110E+001;
6.143828765753151E+007;-6.906349808212070E+001;
6.203640728145629E+007;-6.978962028265457E+001;
6.263452690538108E+007;-7.057674580341144E+001;
