# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-6.750599800848748E+000;
1.299299299299299E+007;-1.863987726655727E+001;
1.598598598598599E+007;-1.800535016848330E+001;
1.897897897897898E+007;-2.079442163124192E+001;
2.197197197197197E+007;-2.747735838777862E+001;
2.496496496496496E+007;-2.969785884106247E+001;
2.795795795795796E+007;-3.200702001017101E+001;
3.095095095095095E+007;-3.322109277708370E+001;
3.394394394394395E+007;-3.808264127872371E+001;
3.693693693693694E+007;-4.200165932522742E+001;
3.992992992992993E+007;-4.479089159266857E+001;
4.292292292292292E+007;-4.773822499414414E+001;
4.591591591591591E+007;-5.156883101521677E+001;
4.890890890890891E+007;-5.555375691974782E+001;
5.190190190190190E+007;-5.904695290480707E+001;
5.489489489489490E+007;-6.291038795741849E+001;
5.788788788788789E+007;-6.493132190434530E+001;
6.088088088088088E+007;-6.882665620736134E+001;
6.387387387387388E+007;-7.179978184379381E+001;
6.686686686686686E+007;-7.572004537755146E+001;
6.985985985985985E+007;-7.810814516855645E+001;
7.285285285285285E+007;-8.229981397757310E+001;
7.584584584584585E+007;-8.565920624823278E+001;
7.883883883883885E+007;-8.850932155912700E+001;
8.183183183183183E+007;-9.234925103354718E+001;
8.482482482482483E+007;-9.499349170055899E+001;
8.781781781781782E+007;-9.809942362507893E+001;
9.081081081081080E+007;-1.012775862537462E+002;
9.380380380380380E+007;-1.058501798719127E+002;
9.679679679679680E+007;-1.093822334966661E+002;
9.978978978978980E+007;-1.118311380301609E+002;
1.027827827827828E+008;-1.149390767276055E+002;
1.057757757757758E+008;-1.187227048918426E+002;
1.087687687687688E+008;-1.220910335332655E+002;
1.117617617617618E+008;-1.253287965827625E+002;
1.147547547547548E+008;-1.285778264235869E+002;
1.177477477477478E+008;-1.318651110850865E+002;
1.207407407407408E+008;-1.352831390200498E+002;
1.237337337337337E+008;-1.381853251316075E+002;
1.267267267267267E+008;-1.416355158580018E+002;
1.297197197197197E+008;-1.446954553029333E+002;
1.327127127127127E+008;-1.486562272955738E+002;
1.357057057057057E+008;-1.514511348105887E+002;
1.386986986986987E+008;-1.549541284838227E+002;
1.416916916916917E+008;-1.581001162135571E+002;
1.446846846846847E+008;-1.612593463018831E+002;
1.476776776776777E+008;-1.647748230146186E+002;
1.506706706706707E+008;-1.678688597212564E+002;
1.536636636636637E+008;-1.715276627712648E+002;
1.566566566566567E+008;-1.745101080587744E+002;
1.596496496496497E+008;-1.775751431420151E+002;
1.626426426426427E+008;1.789355527077129E+002;
1.656356356356356E+008;1.757602827851026E+002;
1.686286286286286E+008;1.725383311391699E+002;
1.716216216216216E+008;1.687042576391847E+002;
1.746146146146146E+008;1.655724074663329E+002;
1.776076076076076E+008;1.624136483641678E+002;
1.806006006006006E+008;1.589215218622678E+002;
1.835935935935936E+008;1.556319080441438E+002;
1.865865865865866E+008;1.523846367699600E+002;
1.895795795795796E+008;1.491255026590366E+002;
1.925725725725726E+008;1.462681653379202E+002;
1.955655655655656E+008;1.426864704383495E+002;
1.985585585585586E+008;1.396549731090792E+002;
2.015515515515516E+008;1.363238714013537E+002;
2.045445445445446E+008;1.332227488200710E+002;
2.075375375375375E+008;1.295323534792876E+002;
2.105305305305305E+008;1.262146303134367E+002;
2.135235235235235E+008;1.227588290612132E+002;
2.165165165165165E+008;1.199162783663902E+002;
2.195095095095095E+008;1.166482559987174E+002;
2.225025025025025E+008;1.133598694416213E+002;
2.254954954954955E+008;1.101362878868433E+002;
2.284884884884885E+008;1.064569535926192E+002;
2.314814814814815E+008;1.034410046336801E+002;
2.344744744744745E+008;1.005268481192632E+002;
2.374674674674675E+008;9.685595554408874E+001;
2.404604604604605E+008;9.335847004363360E+001;
2.434534534534535E+008;9.031855153555561E+001;
2.464464464464465E+008;8.705741517705289E+001;
2.494394394394395E+008;8.357790182307035E+001;
2.524324324324324E+008;8.030036405432180E+001;
2.554254254254254E+008;7.701843553256366E+001;
2.584184184184184E+008;7.370082284135245E+001;
2.614114114114114E+008;7.060351494916405E+001;
2.644044044044044E+008;6.677166997714991E+001;
2.673973973973974E+008;6.376360956863875E+001;
2.703903903903904E+008;6.049757287194753E+001;
2.733833833833834E+008;5.692092147259923E+001;
2.763763763763764E+008;5.348042546645570E+001;
2.793693693693694E+008;5.048158121477514E+001;
2.823623623623624E+008;4.671132770166585E+001;
2.853553553553554E+008;4.347142322565850E+001;
2.883483483483483E+008;4.031028231522455E+001;
2.913413413413413E+008;3.683843987341819E+001;
2.943343343343343E+008;3.353689732101023E+001;
2.973273273273273E+008;3.015805729052131E+001;
3.003203203203203E+008;2.688216794993164E+001;
3.033133133133133E+008;2.325195922319988E+001;
3.063063063063063E+008;2.020618305634832E+001;
3.092992992992993E+008;1.690297971893067E+001;
3.122922922922923E+008;1.327016316252970E+001;
3.152852852852853E+008;1.033655487912685E+001;
3.182782782782783E+008;6.759997978677935E+000;
3.212712712712713E+008;3.324471820914262E+000;
3.242642642642643E+008;1.679813416849790E-001;
3.272572572572573E+008;-3.361140435456120E+000;
3.302502502502502E+008;-6.212723181854646E+000;
3.332432432432432E+008;-1.002194856419912E+001;
3.362362362362362E+008;-1.349128661271555E+001;
3.392292292292292E+008;-1.662701732942846E+001;
3.422222222222222E+008;-1.998736196789900E+001;
3.452152152152152E+008;-2.323603278492782E+001;
3.482082082082082E+008;-2.676076183647796E+001;
3.512012012012012E+008;-3.027761194826241E+001;
3.541941941941942E+008;-3.350748118220383E+001;
3.571871871871872E+008;-3.685810002546291E+001;
3.601801801801802E+008;-4.021220600493326E+001;
3.631731731731732E+008;-4.354119934488227E+001;
3.661661661661662E+008;-4.690973120154000E+001;
3.691591591591592E+008;-5.026304774675416E+001;
3.721521521521521E+008;-5.348253919820820E+001;
3.751451451451451E+008;-5.669268083692678E+001;
3.781381381381381E+008;-6.011465550658119E+001;
3.811311311311311E+008;-6.345513609389754E+001;
3.841241241241241E+008;-6.682554423187069E+001;
3.871171171171171E+008;-7.034533437768087E+001;
3.901101101101101E+008;-7.368078003874507E+001;
3.931031031031031E+008;-7.691462335042557E+001;
3.960960960960961E+008;-8.026113764780384E+001;
3.990890890890891E+008;-8.356409846630784E+001;
4.020820820820821E+008;-8.703185443020138E+001;
4.050750750750751E+008;-9.015767416044974E+001;
4.080680680680681E+008;-9.341041356758457E+001;
4.110610610610611E+008;-9.674569901452087E+001;
4.140540540540541E+008;-9.984115742821369E+001;
4.170470470470470E+008;-1.031984800832902E+002;
4.200400400400400E+008;-1.067429214145742E+002;
4.230330330330330E+008;-1.101691461752117E+002;
4.260260260260260E+008;-1.132130033612129E+002;
4.290190190190190E+008;-1.165704985745819E+002;
4.320120120120120E+008;-1.200364201209346E+002;
4.350050050050050E+008;-1.231314846441096E+002;
4.379979979979980E+008;-1.263712620156784E+002;
4.409909909909910E+008;-1.299514492578129E+002;
4.439839839839840E+008;-1.332406132730910E+002;
4.469769769769770E+008;-1.365963109818020E+002;
4.499699699699700E+008;-1.398245680773624E+002;
4.529629629629630E+008;-1.431516119676754E+002;
4.559559559559560E+008;-1.462317837880457E+002;
4.589489489489489E+008;-1.495469157043907E+002;
4.619419419419419E+008;-1.528784860499033E+002;
4.649349349349349E+008;-1.562135168934752E+002;
4.679279279279279E+008;-1.593967484414725E+002;
4.709209209209209E+008;-1.627844757503231E+002;
4.739139139139139E+008;-1.658866203954895E+002;
4.769069069069069E+008;-1.691310289262288E+002;
4.798998998998999E+008;-1.725593993519017E+002;
