# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;1.995143648751424E-002;
1.059811962392478E+007;-6.541905028074853E-002;
1.119623924784957E+007;-9.457411101326212E-002;
1.179435887177436E+007;3.394592096038043E-003;
1.239247849569914E+007;7.139012045213646E-003;
1.299059811962393E+007;6.740373053814561E-002;
1.358871774354871E+007;8.360036616377443E-003;
1.418683736747349E+007;-6.086251517103521E-002;
1.478495699139828E+007;3.597406843744475E-002;
1.538307661532307E+007;3.052186172065268E-002;
1.598119623924785E+007;3.837490710637342E-002;
1.657931586317264E+007;3.819637721357206E-002;
1.717743548709742E+007;-3.460916407778970E-002;
1.777555511102220E+007;6.729355153961300E-002;
1.837367473494699E+007;-2.745528033308541E-002;
1.897179435887177E+007;-1.999398931930794E-002;
1.956991398279656E+007;-1.669626280878888E-003;
2.016803360672134E+007;3.753141369347971E-003;
2.076615323064613E+007;-2.767684617610155E-002;
2.136427285457091E+007;1.009036875602653E-002;
2.196239247849570E+007;-2.604299716603710E-002;
2.256051210242049E+007;3.975009826159318E-002;
2.315863172634527E+007;-1.471458796983639E-002;
2.375675135027006E+007;-2.763257396005482E-002;
2.435487097419484E+007;-2.559248397572110E-002;
2.495299059811962E+007;1.975685457001155E-002;
2.555111022204441E+007;2.268342948870351E-002;
2.614922984596919E+007;-1.301501969046233E-002;
2.674734946989398E+007;2.791579230284997E-003;
2.734546909381877E+007;-1.692888117426715E-002;
2.794358871774355E+007;4.531928510325397E-002;
2.854170834166833E+007;-2.962322889846397E-003;
2.913982796559312E+007;1.601579459822199E-002;
2.973794758951790E+007;2.880012791858667E-003;
3.033606721344269E+007;-3.926373701381118E-003;
3.093418683736747E+007;-1.483036038941469E-002;
3.153230646129226E+007;-3.314907523112804E-003;
3.213042608521704E+007;1.556509717283437E-002;
3.272854570914183E+007;1.956947419052166E-002;
3.332666533306661E+007;-4.744548898805177E-003;
3.392478495699140E+007;1.921322151657531E-002;
3.452290458091618E+007;6.706654801636837E-003;
3.512102420484097E+007;-9.287008138979041E-003;
3.571914382876575E+007;2.470990265550539E-002;
3.631726345269054E+007;1.985210865823571E-001;
3.691538307661532E+007;1.429170737131948E-001;
3.751350270054011E+007;1.730274056486463E-001;
3.811162232446489E+007;1.625496960159782E-001;
3.870974194838968E+007;1.429078212403171E-001;
3.930786157231446E+007;1.450516472069266E-001;
3.990598119623925E+007;1.460346066016230E-001;
4.050410082016403E+007;1.318965966764235E-001;
4.110222044408882E+007;1.353857854316223E-001;
4.170034006801360E+007;9.351300465182146E-002;
4.229845969193839E+007;1.012431951745022E-001;
4.289657931586318E+007;7.380000130310831E-002;
4.349469893978795E+007;8.438392549974801E-002;
4.409281856371274E+007;5.039229036099877E-002;
4.469093818763753E+007;7.456697153180772E-002;
4.528905781156232E+007;4.405637682186681E-002;
4.588717743548710E+007;6.319473433320419E-002;
4.648529705941188E+007;4.415759905891377E-002;
4.708341668333667E+007;5.420296410255886E-002;
4.768153630726145E+007;3.764525086203274E-002;
4.827965593118624E+007;2.140509395304966E-002;
4.887777555511102E+007;-7.047233708081050E-003;
4.947589517903581E+007;-1.245594683146335E-002;
5.007401480296059E+007;1.075707745953933E-002;
5.067213442688537E+007;5.713825751271230E-003;
5.127025405081016E+007;-5.489668506767933E-003;
5.186837367473494E+007;-7.298826037907285E-003;
5.246649329865973E+007;8.664564823738719E-003;
5.306461292258452E+007;-4.940167816003554E-003;
5.366273254650930E+007;-2.078266555787837E-003;
5.426085217043409E+007;4.241051716161658E-003;
5.485897179435887E+007;-1.907270888867075E-002;
5.545709141828366E+007;-1.642525921027321E-002;
5.605521104220844E+007;-1.060704171164147E-002;
5.665333066613323E+007;-9.552840580666742E-003;
5.725145029005801E+007;-1.188894261304979E-002;
5.784956991398279E+007;-1.892285944206445E-002;
5.844768953790758E+007;-1.649229197429212E-002;
5.904580916183236E+007;-1.748131972070625E-002;
5.964392878575715E+007;-1.451757500078573E-002;
6.024204840968194E+007;-2.205900120304411E-002;
6.084016803360672E+007;-1.732590314074978E-002;
6.143828765753151E+007;-2.457234574037343E-002;
6.203640728145629E+007;-1.838396617534873E-002;
6.263452690538108E+007;-2.861620564984611E-002;
6.323264652930586E+007;-1.996577039340148E-002;
6.383076615323065E+007;-2.664140393423444E-002;
6.442888577715543E+007;-2.267111795942188E-002;
6.502700540108021E+007;-2.134057595954388E-002;
6.562512502500500E+007;-2.656758639753597E-002;
6.622324464892978E+007;-1.127760748066288E-002;
6.682136427285457E+007;-3.031285700483663E-002;
6.741948389677936E+007;-2.828243319360951E-002;
6.801760352070415E+007;-2.505895521477724E-002;
6.861572314462893E+007;-3.063145386480032E-002;
6.921384276855370E+007;-2.581075015835592E-002;
6.981196239247850E+007;-3.804674947665692E-002;
7.041008201640329E+007;-3.034386595632983E-002;
7.100820164032807E+007;-4.202496139922276E-002;
7.160632126425284E+007;-4.017894109863953E-002;
7.220444088817763E+007;-4.035347242522999E-002;
7.280256051210243E+007;-3.934719031373161E-002;
7.340068013602720E+007;-4.092809826363307E-002;
7.399879975995198E+007;-5.158416285710614E-002;
7.459691938387677E+007;-5.724777783648372E-002;
7.519503900780156E+007;-4.404347214913182E-002;
7.579315863172635E+007;-5.955651915343300E-002;
7.639127825565113E+007;-5.400155856274430E-002;
7.698939787957591E+007;-3.216570358116171E-002;
7.758751750350070E+007;-5.800956271555921E-002;
7.818563712742548E+007;-5.447226094824934E-002;
7.878375675135027E+007;-6.201250757995689E-002;
7.938187637527506E+007;-6.914928450634476E-002;
7.997999599919984E+007;-4.572993366964372E-002;
8.057811562312463E+007;-5.366382586766513E-002;
8.117623524704941E+007;-5.537335947045294E-002;
8.177435487097420E+007;-5.703657575922015E-002;
8.237247449489898E+007;-6.869021808262735E-002;
8.297059411882377E+007;-6.570214381412157E-002;
8.356871374274854E+007;-5.733473968974440E-002;
8.416683336667334E+007;-4.853049271582811E-002;
8.476495299059811E+007;-5.047598663746944E-002;
8.536307261452290E+007;-4.680001781826009E-002;
8.596119223844768E+007;-4.978493585714609E-002;
8.655931186237247E+007;-5.462419098296654E-002;
8.715743148629727E+007;-4.578857819129920E-002;
8.775555111022204E+007;-5.265318713246221E-002;
8.835367073414683E+007;-5.490695869101171E-002;
8.895179035807161E+007;-6.134092417255500E-002;
8.954990998199640E+007;-5.631974978013417E-002;
9.014802960592118E+007;-5.647060511239213E-002;
9.074614922984597E+007;-7.047919094668913E-002;
9.134426885377075E+007;-5.930604178886704E-002;
9.194238847769554E+007;-6.556070513027007E-002;
9.254050810162032E+007;-6.411458101181423E-002;
9.313862772554511E+007;-7.282555217283253E-002;
9.373674734946989E+007;-7.475692234959297E-002;
9.433486697339468E+007;-7.844676380719122E-002;
9.493298659731947E+007;-7.826507813159984E-002;
9.553110622124425E+007;-7.811877473376014E-002;
9.612922584516904E+007;-9.113015891539157E-002;
9.672734546909381E+007;-9.178218824605415E-002;
9.732546509301861E+007;-8.571787863005419E-002;
9.792358471694338E+007;-1.032799813409362E-001;
9.852170434086818E+007;-1.050290033355678E-001;
9.911982396479295E+007;-1.110677071692708E-001;
9.971794358871774E+007;-1.134300483979594E-001;
1.003160632126425E+008;-1.147284844690608E-001;
1.009141828365673E+008;-1.215885660055379E-001;
1.015123024604921E+008;-1.368396451047283E-001;
1.021104220844169E+008;-1.271515368909954E-001;
1.027085417083417E+008;-1.312624734534878E-001;
1.033066613322665E+008;-1.302207512129713E-001;
1.039047809561912E+008;-1.382913573454722E-001;
1.045029005801160E+008;-1.420093841515561E-001;
1.051010202040408E+008;-1.396920450369517E-001;
1.056991398279656E+008;-1.482212218309370E-001;
1.062972594518904E+008;-1.504780209829754E-001;
1.068953790758152E+008;-1.474287236168848E-001;
1.074934986997400E+008;-1.682621675869956E-001;
1.080916183236647E+008;-1.575792751621852E-001;
1.086897379475895E+008;-1.706469016394094E-001;
1.092878575715143E+008;-1.582470660684507E-001;
1.098859771954391E+008;-1.530994256275679E-001;
1.104840968193639E+008;-1.692612790984496E-001;
1.110822164432887E+008;-1.723568578492244E-001;
1.116803360672135E+008;-1.713213282023521E-001;
1.122784556911382E+008;-1.693169945780129E-001;
1.128765753150630E+008;-1.719601970272057E-001;
1.134746949389878E+008;-1.690337371423517E-001;
1.140728145629126E+008;-1.788348409553598E-001;
1.146709341868374E+008;-1.759478669984799E-001;
1.152690538107622E+008;-1.733954904520465E-001;
1.158671734346869E+008;-1.841344875162946E-001;
1.164652930586117E+008;-1.848959856962227E-001;
1.170634126825365E+008;-1.906906825906951E-001;
1.176615323064613E+008;-1.865575229173887E-001;
1.182596519303861E+008;-1.925664932540743E-001;
1.188577715543109E+008;-2.052047209219857E-001;
1.194558911782357E+008;-1.982124013544790E-001;
1.200540108021604E+008;-2.056500899099431E-001;
1.206521304260852E+008;-1.969126198315596E-001;
1.212502500500100E+008;-2.034186866772634E-001;
1.218483696739348E+008;-2.018401409568881E-001;
1.224464892978596E+008;-2.086410049959988E-001;
1.230446089217844E+008;-2.053254209443400E-001;
1.236427285457091E+008;-2.158000594255680E-001;
1.242408481696339E+008;-2.213903488972326E-001;
1.248389677935587E+008;-2.109459984445134E-001;
1.254370874174835E+008;-2.277484248708437E-001;
1.260352070414083E+008;-2.223469564787463E-001;
1.266333266653331E+008;-2.295788034549829E-001;
1.272314462892579E+008;-2.235492084650216E-001;
1.278295659131826E+008;-2.326542063180855E-001;
1.284276855371074E+008;-2.258029100172371E-001;
1.290258051610322E+008;-2.353034425469016E-001;
1.296239247849570E+008;-2.437554988725257E-001;
1.302220444088818E+008;-2.436978362986125E-001;
1.308201640328066E+008;-2.366500749475922E-001;
1.314182836567313E+008;-2.400501863230850E-001;
1.320164032806561E+008;-2.413554081551401E-001;
1.326145229045809E+008;-2.402641882249331E-001;
1.332126425285057E+008;-2.507228564864329E-001;
1.338107621524305E+008;-2.562397970954621E-001;
1.344088817763553E+008;-2.530314879171041E-001;
1.350070014002801E+008;-2.609487773700816E-001;
1.356051210242049E+008;-2.591855376997703E-001;
1.362032406481296E+008;-2.524055799927064E-001;
1.368013602720544E+008;-2.606005421933296E-001;
1.373994798959792E+008;-2.621707748092254E-001;
1.379975995199040E+008;-2.648641754921929E-001;
1.385957191438288E+008;-2.690947614649411E-001;
1.391938387677535E+008;-2.728381241396535E-001;
1.397919583916783E+008;-2.780662733957274E-001;
1.403900780156031E+008;-2.782177260366506E-001;
1.409881976395279E+008;-2.776923853995400E-001;
1.415863172634527E+008;-2.845454963905019E-001;
1.421844368873775E+008;-2.829031444356905E-001;
1.427825565113023E+008;-2.874880352467681E-001;
1.433806761352270E+008;-2.890354744992741E-001;
1.439787957591518E+008;-2.981551316787344E-001;
1.445769153830766E+008;-2.978723084413739E-001;
1.451750350070014E+008;-2.923207338805233E-001;
1.457731546309262E+008;-3.016882136786638E-001;
1.463712742548510E+008;-3.057237255245888E-001;
1.469693938787758E+008;-3.020220004639683E-001;
1.475675135027005E+008;-3.074504742669043E-001;
1.481656331266253E+008;-3.099925519647006E-001;
1.487637527505501E+008;-3.115148697876513E-001;
1.493618723744749E+008;-3.112144342425486E-001;
1.499599919983997E+008;-3.147757771362866E-001;
1.505581116223245E+008;-3.153326232407133E-001;
1.511562312462493E+008;-3.131166283313409E-001;
1.517543508701740E+008;-3.176908467752275E-001;
1.523524704940988E+008;-3.199871904623382E-001;
1.529505901180236E+008;-3.242179536045486E-001;
1.535487097419484E+008;-3.303776679512345E-001;
1.541468293658732E+008;-3.298919019187063E-001;
1.547449489897980E+008;-3.351588540534120E-001;
1.553430686137227E+008;-3.334466508512352E-001;
1.559411882376475E+008;-3.413181539475620E-001;
1.565393078615723E+008;-3.382628771951967E-001;
1.571374274854971E+008;-3.374060475767751E-001;
1.577355471094219E+008;-3.349911927061057E-001;
1.583336667333467E+008;-3.428808920002165E-001;
1.589317863572715E+008;-3.462433278720140E-001;
1.595299059811962E+008;-3.548854192918674E-001;
1.601280256051210E+008;-3.580460990832698E-001;
1.607261452290458E+008;-3.589617739449834E-001;
1.613242648529706E+008;-3.642418468073833E-001;
1.619223844768954E+008;-3.679091257847512E-001;
1.625205041008202E+008;-3.644361538076202E-001;
1.631186237247450E+008;-3.666097418259715E-001;
1.637167433486697E+008;-3.652204201822830E-001;
1.643148629725945E+008;-3.681983929775181E-001;
1.649129825965193E+008;-3.639141546703231E-001;
1.655111022204441E+008;-3.746776108029531E-001;
1.661092218443689E+008;-3.721051844508301E-001;
1.667073414682937E+008;-3.779116711824387E-001;
1.673054610922184E+008;-3.754715857649357E-001;
1.679035807161432E+008;-3.830789351729024E-001;
1.685017003400680E+008;-3.842496651495146E-001;
1.690998199639928E+008;-3.765481111634592E-001;
1.696979395879176E+008;-3.902962497260212E-001;
1.702960592118424E+008;-3.876332971980485E-001;
1.708941788357672E+008;-3.852436757232065E-001;
1.714922984596919E+008;-3.902198258474687E-001;
1.720904180836167E+008;-3.878255066540440E-001;
1.726885377075415E+008;-3.974857943457485E-001;
1.732866573314663E+008;-3.996938306192341E-001;
1.738847769553911E+008;-3.950265559864809E-001;
1.744828965793159E+008;-3.966255599048374E-001;
1.750810162032406E+008;-3.995218043712494E-001;
1.756791358271654E+008;-4.029335052741032E-001;
