# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-3.747932017739986E-002;
1.059811962392478E+007;6.324464198223453E-003;
1.119623924784957E+007;-6.417182692332119E-003;
1.179435887177436E+007;-2.506019040164789E-002;
1.239247849569914E+007;-2.823871587939678E-002;
1.299059811962393E+007;2.242081877003913E-002;
1.358871774354871E+007;2.970249712279862E-002;
1.418683736747349E+007;-2.927742638424062E-002;
1.478495699139828E+007;-5.126257526114011E-003;
1.538307661532307E+007;7.463661164032132E-002;
1.598119623924785E+007;-5.036251603617684E-002;
1.657931586317264E+007;-1.585162239878579E-002;
1.717743548709742E+007;1.487209706657184E-002;
1.777555511102220E+007;1.558963864331813E-002;
1.837367473494699E+007;2.204181057798225E-002;
1.897179435887177E+007;-3.513787101304213E-002;
1.956991398279656E+007;1.818778478490004E-002;
2.016803360672134E+007;1.496108764283883E-002;
2.076615323064613E+007;1.281413003878445E-002;
2.136427285457091E+007;3.383531787254623E-002;
2.196239247849570E+007;5.035153039705505E-003;
2.256051210242049E+007;1.385001669365745E-002;
2.315863172634527E+007;-1.387063599969096E-002;
2.375675135027006E+007;-7.471541313752071E-003;
2.435487097419484E+007;1.869397336424123E-002;
2.495299059811962E+007;-8.170464847491246E-003;
2.555111022204441E+007;-1.588067024137424E-002;
2.614922984596919E+007;-1.420702354323449E-002;
2.674734946989398E+007;-6.128815298036943E-003;
2.734546909381877E+007;-1.958407060249694E-004;
2.794358871774355E+007;2.680599322047237E-002;
2.854170834166833E+007;-2.592065772002279E-003;
2.913982796559312E+007;-2.762299235510161E-003;
2.973794758951790E+007;-1.432050201655395E-002;
3.033606721344269E+007;1.341284380588897E-002;
3.093418683736747E+007;-1.456390774782894E-002;
3.153230646129226E+007;1.369588312261660E-002;
3.213042608521704E+007;-8.154016589881411E-003;
3.272854570914183E+007;-1.167101109487616E-002;
3.332666533306661E+007;-1.755916751240838E-003;
3.392478495699140E+007;-7.829174704094707E-003;
3.452290458091618E+007;2.884695620822520E-002;
3.512102420484097E+007;-5.236794168477651E-003;
3.571914382876575E+007;-1.667672961765468E-002;
3.631726345269054E+007;1.806235508429045E-001;
3.691538307661532E+007;1.837211330340074E-001;
3.751350270054011E+007;1.734592747473783E-001;
3.811162232446489E+007;1.622861029922478E-001;
3.870974194838968E+007;1.385506262606752E-001;
3.930786157231446E+007;1.356289001371467E-001;
3.990598119623925E+007;1.215821352607957E-001;
4.050410082016403E+007;1.223353198021262E-001;
4.110222044408882E+007;9.947670369093509E-002;
4.170034006801360E+007;1.053364599163951E-001;
4.229845969193839E+007;8.139663890426981E-002;
4.289657931586318E+007;8.797504110043478E-002;
4.349469893978795E+007;6.418098385117921E-002;
4.409281856371274E+007;6.053207600859412E-002;
4.469093818763753E+007;4.510369818621196E-002;
4.528905781156232E+007;4.880842846142063E-002;
4.588717743548710E+007;4.357425090002748E-002;
4.648529705941188E+007;3.555904634010058E-002;
4.708341668333667E+007;2.874493309850058E-002;
4.768153630726145E+007;2.137385633905092E-002;
4.827965593118624E+007;3.341677858485687E-003;
4.887777555511102E+007;7.063430035008930E-003;
4.947589517903581E+007;6.724052164973644E-003;
5.007401480296059E+007;7.730739281901464E-004;
5.067213442688537E+007;-1.563579811578551E-003;
