# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.200000000000000E+009;-1.598394968043996E+000;
1.200140028005601E+009;-1.597036766790836E+000;
1.200280056011202E+009;-1.597597878603042E+000;
1.200420084016803E+009;-1.596683662424737E+000;
1.200560112022404E+009;-1.596196213337497E+000;
1.200700140028006E+009;-1.597784245426316E+000;
1.200840168033607E+009;-1.596001275489176E+000;
1.200980196039208E+009;-1.595769058996716E+000;
1.201120224044809E+009;-1.596772080327952E+000;
1.201260252050410E+009;-1.595014877238026E+000;
1.201400280056011E+009;-1.595189457128576E+000;
1.201540308061612E+009;-1.594132450037178E+000;
1.201680336067214E+009;-1.594778841225689E+000;
1.201820364072815E+009;-1.593506292432973E+000;
1.201960392078416E+009;-1.594546556399700E+000;
1.202100420084017E+009;-1.594525551837291E+000;
1.202240448089618E+009;-1.593383606527749E+000;
1.202380476095219E+009;-1.592641200072716E+000;
1.202520504100820E+009;-1.593628651166253E+000;
1.202660532106421E+009;-1.593948739019575E+000;
1.202800560112022E+009;-1.592761506471058E+000;
1.202940588117624E+009;-1.592924990402456E+000;
1.203080616123225E+009;-1.593882294427004E+000;
1.203220644128826E+009;-1.594108327876608E+000;
1.203360672134427E+009;-1.594488699322012E+000;
1.203500700140028E+009;-1.594020307136465E+000;
1.203640728145629E+009;-1.592907966750838E+000;
1.203780756151230E+009;-1.593345534056174E+000;
1.203920784156831E+009;-1.593169211280421E+000;
1.204060812162432E+009;-1.592588319161163E+000;
1.204200840168034E+009;-1.592787951755157E+000;
1.204340868173635E+009;-1.592201787390150E+000;
1.204480896179236E+009;-1.591906005322498E+000;
1.204620924184837E+009;-1.592729431941551E+000;
1.204760952190438E+009;-1.591842942088797E+000;
1.204900980196039E+009;-1.593015591403203E+000;
1.205041008201640E+009;-1.591836339790104E+000;
1.205181036207242E+009;-1.592344645511290E+000;
1.205321064212843E+009;-1.593153836757258E+000;
1.205461092218444E+009;-1.592824292477657E+000;
1.205601120224045E+009;-1.593806838285904E+000;
1.205741148229646E+009;-1.592619417803621E+000;
1.205881176235247E+009;-1.593206028323867E+000;
1.206021204240848E+009;-1.592056987987519E+000;
1.206161232246449E+009;-1.592955830975155E+000;
1.206301260252050E+009;-1.591991076205189E+000;
1.206441288257652E+009;-1.593111506658189E+000;
1.206581316263253E+009;-1.592827911368326E+000;
1.206721344268854E+009;-1.592903709174164E+000;
1.206861372274455E+009;-1.593110559948780E+000;
1.207001400280056E+009;-1.592622948954764E+000;
1.207141428285657E+009;-1.594421450284296E+000;
1.207281456291258E+009;-1.591964390376199E+000;
1.207421484296859E+009;-1.592154047514798E+000;
1.207561512302460E+009;-1.592323023774510E+000;
1.207701540308062E+009;-1.592387621638592E+000;
1.207841568313663E+009;-1.591798224747931E+000;
1.207981596319264E+009;-1.591425348116107E+000;
1.208121624324865E+009;-1.590729173996912E+000;
1.208261652330466E+009;-1.590010810136132E+000;
1.208401680336067E+009;-1.590898570328124E+000;
1.208541708341668E+009;-1.591175914403299E+000;
1.208681736347270E+009;-1.590701861225144E+000;
1.208821764352871E+009;-1.591503199879871E+000;
1.208961792358472E+009;-1.590540578763570E+000;
1.209101820364073E+009;-1.591172867152139E+000;
1.209241848369674E+009;-1.590242792306817E+000;
1.209381876375275E+009;-1.592100366038407E+000;
1.209521904380876E+009;-1.590616496803839E+000;
1.209661932386477E+009;-1.590904187142240E+000;
1.209801960392078E+009;-1.591618889682196E+000;
1.209941988397680E+009;-1.588945994791884E+000;
1.210082016403281E+009;-1.590821904451413E+000;
1.210222044408882E+009;-1.590559798918946E+000;
1.210362072414483E+009;-1.590704001197643E+000;
1.210502100420084E+009;-1.591147103763565E+000;
1.210642128425685E+009;-1.590901239920622E+000;
1.210782156431286E+009;-1.588978428425117E+000;
1.210922184436887E+009;-1.590116962363329E+000;
1.211062212442488E+009;-1.589627985174863E+000;
1.211202240448090E+009;-1.590025515319392E+000;
1.211342268453691E+009;-1.589730842878051E+000;
1.211482296459292E+009;-1.589019971529539E+000;
1.211622324464893E+009;-1.587613049561614E+000;
1.211762352470494E+009;-1.589462649122023E+000;
1.211902380476095E+009;-1.588086418117971E+000;
1.212042408481696E+009;-1.588915069292132E+000;
1.212182436487298E+009;-1.586969679732714E+000;
1.212322464492899E+009;-1.588695595350155E+000;
1.212462492498500E+009;-1.588790415326006E+000;
1.212602520504101E+009;-1.587889246394062E+000;
1.212742548509702E+009;-1.587970848860231E+000;
1.212882576515303E+009;-1.587589639422969E+000;
1.213022604520904E+009;-1.588042299825796E+000;
1.213162632526505E+009;-1.587338293624397E+000;
1.213302660532106E+009;-1.587691260881716E+000;
1.213442688537708E+009;-1.586076519703746E+000;
1.213582716543309E+009;-1.587887501011088E+000;
1.213722744548910E+009;-1.587266678188273E+000;
1.213862772554511E+009;-1.588819167223597E+000;
1.214002800560112E+009;-1.587032683922468E+000;
1.214142828565713E+009;-1.586506352007850E+000;
1.214282856571314E+009;-1.586908842511472E+000;
1.214422884576915E+009;-1.585979423910048E+000;
1.214562912582516E+009;-1.586278408150956E+000;
1.214702940588118E+009;-1.585209307372037E+000;
1.214842968593719E+009;-1.586318512172950E+000;
1.214982996599320E+009;-1.586105165205142E+000;
1.215123024604921E+009;-1.585878997516295E+000;
1.215263052610522E+009;-1.586207601746258E+000;
1.215403080616123E+009;-1.586079585985858E+000;
1.215543108621724E+009;-1.586297976289663E+000;
1.215683136627326E+009;-1.585599368538258E+000;
1.215823164632927E+009;-1.586027129520732E+000;
1.215963192638528E+009;-1.585746533886010E+000;
1.216103220644129E+009;-1.586316934115492E+000;
1.216243248649730E+009;-1.584944194717610E+000;
1.216383276655331E+009;-1.585384288058366E+000;
1.216523304660932E+009;-1.584107822044621E+000;
1.216663332666533E+009;-1.585464345295925E+000;
1.216803360672134E+009;-1.584719648488515E+000;
1.216943388677736E+009;-1.584220880042833E+000;
1.217083416683337E+009;-1.583513658761265E+000;
1.217223444688938E+009;-1.585249736008926E+000;
1.217363472694539E+009;-1.584590958137905E+000;
1.217503500700140E+009;-1.584810824265942E+000;
1.217643528705741E+009;-1.584300678694009E+000;
1.217783556711342E+009;-1.583809397076338E+000;
1.217923584716944E+009;-1.583374564933188E+000;
1.218063612722544E+009;-1.583785827339966E+000;
1.218203640728146E+009;-1.583227849270028E+000;
1.218343668733747E+009;-1.582730589801319E+000;
1.218483696739348E+009;-1.582662311604385E+000;
1.218623724744949E+009;-1.581782658877225E+000;
1.218763752750550E+009;-1.580949818372911E+000;
1.218903780756151E+009;-1.582130150484940E+000;
1.219043808761752E+009;-1.581742926407443E+000;
1.219183836767354E+009;-1.581065128703233E+000;
1.219323864772955E+009;-1.582552119969910E+000;
1.219463892778556E+009;-1.582097309669982E+000;
1.219603920784157E+009;-1.581924423532137E+000;
1.219743948789758E+009;-1.582442215576121E+000;
1.219883976795359E+009;-1.580626417742306E+000;
1.220024004800960E+009;-1.582219613961363E+000;
1.220164032806561E+009;-1.580965280555099E+000;
1.220304060812162E+009;-1.580360477490835E+000;
1.220444088817764E+009;-1.582303965156022E+000;
1.220584116823365E+009;-1.581626589050770E+000;
1.220724144828966E+009;-1.581556294765940E+000;
1.220864172834567E+009;-1.581017274220103E+000;
1.221004200840168E+009;-1.578897968789247E+000;
1.221144228845769E+009;-1.580590126511936E+000;
1.221284256851370E+009;-1.580817438698936E+000;
1.221424284856972E+009;-1.579734903706505E+000;
1.221564312862572E+009;-1.581540302899310E+000;
1.221704340868174E+009;-1.580717560027892E+000;
1.221844368873775E+009;-1.581097268775911E+000;
1.221984396879376E+009;-1.580142886978799E+000;
1.222124424884977E+009;-1.581133791256116E+000;
1.222264452890578E+009;-1.580012567233630E+000;
1.222404480896179E+009;-1.581093379802882E+000;
1.222544508901780E+009;-1.580614666245990E+000;
1.222684536907382E+009;-1.580350383835706E+000;
1.222824564912983E+009;-1.578782096832864E+000;
1.222964592918584E+009;-1.579530548744759E+000;
1.223104620924185E+009;-1.580466406985678E+000;
1.223244648929786E+009;-1.579931274384924E+000;
1.223384676935387E+009;-1.579613080664220E+000;
1.223524704940988E+009;-1.579518116176086E+000;
1.223664732946589E+009;-1.578788851235686E+000;
1.223804760952190E+009;-1.579476714467899E+000;
1.223944788957792E+009;-1.578824791448913E+000;
1.224084816963393E+009;-1.579845733769389E+000;
1.224224844968994E+009;-1.578198401802641E+000;
1.224364872974595E+009;-1.578227688215563E+000;
1.224504900980196E+009;-1.578532684758012E+000;
1.224644928985797E+009;-1.579500281080499E+000;
1.224784956991398E+009;-1.580271801920684E+000;
1.224924984997000E+009;-1.577622260970126E+000;
1.225065013002600E+009;-1.578289359028270E+000;
1.225205041008202E+009;-1.578438522138858E+000;
1.225345069013803E+009;-1.578319972455063E+000;
1.225485097019404E+009;-1.580267747202564E+000;
1.225625125025005E+009;-1.577446161684013E+000;
1.225765153030606E+009;-1.576997943187941E+000;
1.225905181036207E+009;-1.578196486860954E+000;
1.226045209041808E+009;-1.578167463682626E+000;
1.226185237047410E+009;-1.578410370525467E+000;
1.226325265053011E+009;-1.577510781984108E+000;
1.226465293058612E+009;-1.577634403577056E+000;
1.226605321064213E+009;-1.579209681062319E+000;
1.226745349069814E+009;-1.577998609561099E+000;
1.226885377075415E+009;-1.577264685520719E+000;
1.227025405081016E+009;-1.577052370669724E+000;
1.227165433086617E+009;-1.577521910820305E+000;
1.227305461092218E+009;-1.578564620553617E+000;
1.227445489097820E+009;-1.578046065168799E+000;
1.227585517103421E+009;-1.577455055741872E+000;
1.227725545109022E+009;-1.577525132321886E+000;
1.227865573114623E+009;-1.577197103157506E+000;
1.228005601120224E+009;-1.577326540519344E+000;
1.228145629125825E+009;-1.577453996945922E+000;
1.228285657131426E+009;-1.578360839888329E+000;
1.228425685137028E+009;-1.577691084866822E+000;
1.228565713142628E+009;-1.577945426433546E+000;
1.228705741148230E+009;-1.576654300232179E+000;
1.228845769153831E+009;-1.577510230003484E+000;
1.228985797159432E+009;-1.578258418583626E+000;
1.229125825165033E+009;-1.578033571642559E+000;
1.229265853170634E+009;-1.577672915788232E+000;
1.229405881176235E+009;-1.577422289188397E+000;
1.229545909181836E+009;-1.577636180737474E+000;
1.229685937187438E+009;-1.577826036129982E+000;
1.229825965193039E+009;-1.577240034160423E+000;
1.229965993198640E+009;-1.578220757457168E+000;
1.230106021204241E+009;-1.578070934092875E+000;
1.230246049209842E+009;-1.578269527614277E+000;
1.230386077215443E+009;-1.578392306244902E+000;
1.230526105221044E+009;-1.577065559542431E+000;
1.230666133226645E+009;-1.577783946203842E+000;
1.230806161232246E+009;-1.578013004359105E+000;
1.230946189237848E+009;-1.578563712384843E+000;
1.231086217243449E+009;-1.577184478508678E+000;
1.231226245249050E+009;-1.578017447247299E+000;
1.231366273254651E+009;-1.577300336544344E+000;
1.231506301260252E+009;-1.579249968944700E+000;
1.231646329265853E+009;-1.576827552427005E+000;
1.231786357271454E+009;-1.578004251099845E+000;
1.231926385277056E+009;-1.577859157401223E+000;
1.232066413282656E+009;-1.577639842547272E+000;
1.232206441288258E+009;-1.578731834982266E+000;
1.232346469293859E+009;-1.578427624519534E+000;
1.232486497299460E+009;-1.577864271545026E+000;
1.232626525305061E+009;-1.578927212823398E+000;
1.232766553310662E+009;-1.578051152238493E+000;
1.232906581316263E+009;-1.578130176301635E+000;
1.233046609321864E+009;-1.578037706695397E+000;
1.233186637327466E+009;-1.577761229189449E+000;
1.233326665333067E+009;-1.578819871544892E+000;
1.233466693338668E+009;-1.578354671205754E+000;
1.233606721344269E+009;-1.578668970740219E+000;
1.233746749349870E+009;-1.578592182064905E+000;
1.233886777355471E+009;-1.579149851044659E+000;
1.234026805361072E+009;-1.579121871025171E+000;
1.234166833366673E+009;-1.578593846490950E+000;
1.234306861372274E+009;-1.578371000233541E+000;
1.234446889377876E+009;-1.575985681427911E+000;
1.234586917383477E+009;-1.576645939724451E+000;
1.234726945389078E+009;-1.579345699678088E+000;
1.234866973394679E+009;-1.576795228998241E+000;
1.235007001400280E+009;-1.575450853681403E+000;
1.235147029405881E+009;-1.577561454954405E+000;
1.235287057411482E+009;-1.575738796692316E+000;
1.235427085417084E+009;-1.575766199717602E+000;
1.235567113422684E+009;-1.577067931476153E+000;
1.235707141428286E+009;-1.575934970160680E+000;
1.235847169433887E+009;-1.577273535165495E+000;
1.235987197439488E+009;-1.576111256218036E+000;
1.236127225445089E+009;-1.575315640557581E+000;
