# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.210627655082480E+001;
1.059811962392478E+007;-1.220342476782360E+001;
1.119623924784957E+007;-1.415198767937586E+001;
1.179435887177436E+007;-1.459105011976861E+001;
1.239247849569914E+007;-1.538210398867907E+001;
1.299059811962393E+007;-1.577272305703208E+001;
1.358871774354871E+007;-1.644095305561629E+001;
1.418683736747349E+007;-1.735492899942648E+001;
1.478495699139828E+007;-1.742593477582817E+001;
1.538307661532307E+007;-1.829247311287784E+001;
1.598119623924785E+007;-1.906656206053673E+001;
1.657931586317264E+007;-1.985850261598334E+001;
1.717743548709742E+007;-2.077486263240331E+001;
1.777555511102220E+007;-2.159925858067036E+001;
1.837367473494699E+007;-2.184375011699065E+001;
1.897179435887177E+007;-2.311910901024141E+001;
1.956991398279656E+007;-2.325407983954178E+001;
2.016803360672134E+007;-2.457667277662573E+001;
2.076615323064613E+007;-2.515840317888963E+001;
2.136427285457091E+007;-2.569141015904957E+001;
2.196239247849570E+007;-2.653428924386727E+001;
2.256051210242049E+007;-2.730147281958863E+001;
2.315863172634527E+007;-2.804627019542996E+001;
2.375675135027006E+007;-2.836640182879993E+001;
2.435487097419484E+007;-2.935387865593932E+001;
2.495299059811962E+007;-3.004715000451005E+001;
2.555111022204441E+007;-3.067710665357808E+001;
2.614922984596919E+007;-3.149906672040567E+001;
2.674734946989398E+007;-3.208438329432244E+001;
2.734546909381877E+007;-3.273590657870378E+001;
2.794358871774355E+007;-3.352411719899938E+001;
2.854170834166833E+007;-3.429112170588566E+001;
2.913982796559312E+007;-3.511877082729041E+001;
2.973794758951790E+007;-3.611841155071107E+001;
3.033606721344269E+007;-3.639584668544962E+001;
3.093418683736747E+007;-3.727633043081234E+001;
3.153230646129226E+007;-3.794888787811116E+001;
3.213042608521704E+007;-3.857594401619812E+001;
3.272854570914183E+007;-3.943399199745426E+001;
3.332666533306661E+007;-4.022085225099769E+001;
3.392478495699140E+007;-4.079946755987677E+001;
3.452290458091618E+007;-4.152802245004580E+001;
3.512102420484097E+007;-4.230879869643766E+001;
3.571914382876575E+007;-4.288140068459732E+001;
3.631726345269054E+007;-4.356575945908207E+001;
3.691538307661532E+007;-4.432490640061948E+001;
3.751350270054011E+007;-4.501563544952103E+001;
3.811162232446489E+007;-4.590602399033815E+001;
3.870974194838968E+007;-4.662254455185217E+001;
3.930786157231446E+007;-4.745371731183347E+001;
