# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.161271500699843E+001;
1.019803960792158E+007;-1.081510066886135E+001;
1.039607921584317E+007;-1.182965044670248E+001;
1.059411882376475E+007;-1.211914918729792E+001;
1.079215843168634E+007;-1.263994248514951E+001;
1.099019803960792E+007;-1.350983813992114E+001;
1.118823764752951E+007;-1.394365424890819E+001;
1.138627725545109E+007;-1.411162570896698E+001;
1.158431686337267E+007;-1.364289241702261E+001;
1.178235647129426E+007;-1.462635030804699E+001;
1.198039607921584E+007;-1.453962770084282E+001;
1.217843568713743E+007;-1.431518902908129E+001;
1.237647529505901E+007;-1.468125192214559E+001;
1.257451490298060E+007;-1.515575491535882E+001;
1.277255451090218E+007;-1.536463517873666E+001;
1.297059411882377E+007;-1.583221116589315E+001;
1.316863372674535E+007;-1.622069092786436E+001;
1.336667333466693E+007;-1.562146040768823E+001;
1.356471294258852E+007;-1.648396480982976E+001;
1.376275255051010E+007;-1.626909149744596E+001;
1.396079215843169E+007;-1.687756686169085E+001;
1.415883176635327E+007;-1.679128487287027E+001;
1.435687137427485E+007;-1.712484170780769E+001;
1.455491098219644E+007;-1.771122602258639E+001;
1.475295059011802E+007;-1.760575522472640E+001;
1.495099019803961E+007;-1.817364358573718E+001;
1.514902980596119E+007;-1.822934926848624E+001;
1.534706941388278E+007;-1.854754356777443E+001;
1.554510902180436E+007;-1.876104914892926E+001;
1.574314862972594E+007;-1.920562689622263E+001;
1.594118823764753E+007;-1.941051528212505E+001;
1.613922784556911E+007;-1.962336327683120E+001;
1.633726745349070E+007;-1.928649007529252E+001;
1.653530706141228E+007;-2.051571605988859E+001;
1.673334666933387E+007;-2.004252788624419E+001;
1.693138627725545E+007;-2.066224302420714E+001;
1.712942588517704E+007;-2.087621379342343E+001;
1.732746549309862E+007;-2.065909478294605E+001;
1.752550510102020E+007;-2.118395722751649E+001;
1.772354470894179E+007;-2.150954385442165E+001;
1.792158431686337E+007;-2.142955219677312E+001;
1.811962392478496E+007;-2.183914871002372E+001;
1.831766353270654E+007;-2.214794650751200E+001;
1.851570314062813E+007;-2.222763637132832E+001;
1.871374274854971E+007;-2.221073863260593E+001;
1.891178235647129E+007;-2.287143543400492E+001;
1.910982196439288E+007;-2.295147080516749E+001;
1.930786157231446E+007;-2.278076058748841E+001;
1.950590118023605E+007;-2.288124322857722E+001;
1.970394078815763E+007;-2.358447679750594E+001;
1.990198039607922E+007;-2.386170258699579E+001;
2.010002000400080E+007;-2.449062387263110E+001;
2.029805961192238E+007;-2.455861815201554E+001;
2.049609921984397E+007;-2.485008571795085E+001;
2.069413882776555E+007;-2.505834075562270E+001;
2.089217843568714E+007;-2.507938156253468E+001;
2.109021804360872E+007;-2.546678479185608E+001;
2.128825765153030E+007;-2.566205652076074E+001;
2.148629725945189E+007;-2.606770357586851E+001;
2.168433686737347E+007;-2.623685271877685E+001;
2.188237647529506E+007;-2.628563952634044E+001;
2.208041608321665E+007;-2.679380244193233E+001;
2.227845569113823E+007;-2.679260291359846E+001;
2.247649529905981E+007;-2.720776845648537E+001;
2.267453490698139E+007;-2.750989199900367E+001;
2.287257451490298E+007;-2.757645466320955E+001;
2.307061412282457E+007;-2.794624531074850E+001;
2.326865373074615E+007;-2.813933042446171E+001;
2.346669333866774E+007;-2.820155372073171E+001;
2.366473294658932E+007;-2.842448445103167E+001;
2.386277255451090E+007;-2.863484244797510E+001;
2.406081216243248E+007;-2.886659835267416E+001;
2.425885177035407E+007;-2.934548107789330E+001;
2.445689137827566E+007;-2.951737842190133E+001;
2.465493098619724E+007;-2.979015008837396E+001;
2.485297059411882E+007;-2.990012646350083E+001;
2.505101020204041E+007;-3.021893958417793E+001;
2.524904980996199E+007;-3.038952822002538E+001;
2.544708941788358E+007;-3.070475020617572E+001;
2.564512902580516E+007;-3.099421429553081E+001;
2.584316863372675E+007;-3.104518651391750E+001;
2.604120824164833E+007;-3.154523286479594E+001;
2.623924784956991E+007;-3.166392603096086E+001;
2.643728745749150E+007;-3.203036245822143E+001;
2.663532706541308E+007;-3.210040802466807E+001;
2.683336667333467E+007;-3.254614720922098E+001;
