# Version 1.00
#
freq[Hz];Trc2_S11[°];
1.000000000000000E+007;-3.009627767188039E+001;
1.033011003667889E+007;-2.982365024660202E+001;
1.066022007335779E+007;-3.131324395445850E+001;
1.099033011003668E+007;-3.307601894538337E+001;
1.132044014671557E+007;-3.434613357279707E+001;
1.165055018339447E+007;-3.528907519804304E+001;
1.198066022007336E+007;-3.591491206046537E+001;
1.231077025675225E+007;-3.716464872373052E+001;
1.264088029343114E+007;-3.778661445094479E+001;
1.297099033011004E+007;-3.876966767022210E+001;
1.330110036678893E+007;-3.996873308612618E+001;
1.363121040346782E+007;-4.157266683819986E+001;
1.396132044014671E+007;-4.188766646611011E+001;
1.429143047682561E+007;-4.291591495605655E+001;
1.462154051350450E+007;-4.441285192893326E+001;
1.495165055018340E+007;-4.500413785941928E+001;
1.528176058686229E+007;-4.587288644602462E+001;
1.561187062354118E+007;-4.713776933078389E+001;
1.594198066022007E+007;-4.815240224380738E+001;
1.627209069689897E+007;-4.945775737417944E+001;
1.660220073357786E+007;-5.016949598559954E+001;
1.693231077025675E+007;-5.145330112821776E+001;
1.726242080693565E+007;-5.238164859435123E+001;
1.759253084361454E+007;-5.299330478608150E+001;
1.792264088029343E+007;-5.419749050560411E+001;
1.825275091697232E+007;-5.532629407661099E+001;
1.858286095365122E+007;-5.649658188220661E+001;
1.891297099033011E+007;-5.714766356844078E+001;
1.924308102700900E+007;-5.832158043625326E+001;
1.957319106368790E+007;-5.919427698928674E+001;
1.990330110036679E+007;-6.002737218855889E+001;
2.023341113704568E+007;-6.160467632336322E+001;
2.056352117372458E+007;-6.254381018569607E+001;
2.089363121040347E+007;-6.337906934638971E+001;
2.122374124708236E+007;-6.461464551371770E+001;
2.155385128376126E+007;-6.527045459980359E+001;
2.188396132044015E+007;-6.639580137197490E+001;
2.221407135711904E+007;-6.748142574214556E+001;
2.254418139379793E+007;-6.868506313062599E+001;
2.287429143047683E+007;-6.934743372687258E+001;
2.320440146715572E+007;-7.053540036829082E+001;
2.353451150383461E+007;-7.139014540751234E+001;
2.386462154051350E+007;-7.247025287148597E+001;
2.419473157719240E+007;-7.368310561818176E+001;
2.452484161387129E+007;-7.470213320759814E+001;
2.485495165055018E+007;-7.548971707123147E+001;
2.518506168722908E+007;-7.667340698924448E+001;
2.551517172390797E+007;-7.751122349640515E+001;
2.584528176058686E+007;-7.851799753722349E+001;
2.617539179726575E+007;-7.966436347222168E+001;
2.650550183394465E+007;-8.056249504923483E+001;
2.683561187062354E+007;-8.156421948909636E+001;
2.716572190730244E+007;-8.263047634190644E+001;
2.749583194398133E+007;-8.378383165458925E+001;
2.782594198066022E+007;-8.458803815030198E+001;
2.815605201733911E+007;-8.568061777771435E+001;
2.848616205401801E+007;-8.665089987724991E+001;
2.881627209069690E+007;-8.767374257664014E+001;
2.914638212737579E+007;-8.870204696270838E+001;
2.947649216405468E+007;-8.999042526424590E+001;
2.980660220073358E+007;-9.081230891676100E+001;
3.013671223741247E+007;-9.164874679426190E+001;
3.046682227409136E+007;-9.271362193086885E+001;
3.079693231077026E+007;-9.375706769382428E+001;
3.112704234744915E+007;-9.485446961759726E+001;
3.145715238412804E+007;-9.584088186447984E+001;
3.178726242080694E+007;-9.693432268743031E+001;
3.211737245748583E+007;-9.804968533168422E+001;
3.244748249416472E+007;-9.879081660117133E+001;
3.277759253084362E+007;-9.984891152953767E+001;
3.310770256752251E+007;-1.010107097920511E+002;
3.343781260420140E+007;-1.020533299296937E+002;
3.376792264088029E+007;-1.031024372446564E+002;
3.409803267755918E+007;-1.042890056564847E+002;
3.442814271423808E+007;-1.053120155340171E+002;
3.475825275091697E+007;-1.063752165083557E+002;
3.508836278759587E+007;-1.073083782830932E+002;
3.541847282427476E+007;-1.081515139848198E+002;
3.574858286095365E+007;-1.093504366417249E+002;
