# Version 1.00
#
freq[Hz];Trc2_S11[°];
7.000000000000000E+007;1.420745513876688E+002;
7.002002002002002E+007;1.418729202257971E+002;
7.004004004004005E+007;1.417693434262855E+002;
7.006006006006005E+007;1.418349924601087E+002;
7.008008008008008E+007;1.416919801210498E+002;
7.010010010010010E+007;1.417649692385787E+002;
7.012012012012012E+007;1.416018592022329E+002;
7.014014014014015E+007;1.416001992501916E+002;
7.016016016016015E+007;1.415548480206981E+002;
7.018018018018018E+007;1.413884492123132E+002;
7.020020020020020E+007;1.413703979766476E+002;
7.022022022022022E+007;1.413335581835255E+002;
7.024024024024025E+007;1.411742899610330E+002;
7.026026026026025E+007;1.412345149498432E+002;
7.028028028028028E+007;1.410944696628145E+002;
7.030030030030030E+007;1.409096721451859E+002;
7.032032032032032E+007;1.409809255239560E+002;
7.034034034034035E+007;1.407713029869181E+002;
7.036036036036035E+007;1.408744908858228E+002;
7.038038038038038E+007;1.407773262535200E+002;
7.040040040040040E+007;1.407577341519979E+002;
7.042042042042042E+007;1.405271277791651E+002;
7.044044044044045E+007;1.405104589473342E+002;
7.046046046046045E+007;1.405074692733131E+002;
7.048048048048048E+007;1.403532236712379E+002;
7.050050050050050E+007;1.402750675715011E+002;
7.052052052052052E+007;1.403002992047191E+002;
7.054054054054055E+007;1.402453845455508E+002;
7.056056056056055E+007;1.401795739033088E+002;
7.058058058058058E+007;1.401002000546883E+002;
7.060060060060060E+007;1.400290467727956E+002;
7.062062062062062E+007;1.399798074905478E+002;
7.064064064064065E+007;1.399259387508356E+002;
7.066066066066065E+007;1.399043190283350E+002;
7.068068068068068E+007;1.398264435472115E+002;
7.070070070070070E+007;1.397296689597817E+002;
7.072072072072072E+007;1.396792893291131E+002;
7.074074074074075E+007;1.395560868224966E+002;
7.076076076076075E+007;1.393614687436685E+002;
7.078078078078078E+007;1.394787174263883E+002;
7.080080080080080E+007;1.393285864296637E+002;
7.082082082082082E+007;1.392802103977234E+002;
7.084084084084085E+007;1.392342571474742E+002;
7.086086086086085E+007;1.390999231077235E+002;
7.088088088088088E+007;1.391215216901095E+002;
7.090090090090090E+007;1.391234091499344E+002;
7.092092092092092E+007;1.389436380296815E+002;
7.094094094094095E+007;1.387993404446956E+002;
7.096096096096095E+007;1.388146739873577E+002;
7.098098098098098E+007;1.387432981248755E+002;
7.100100100100100E+007;1.387307351092336E+002;
7.102102102102102E+007;1.386497581524887E+002;
7.104104104104105E+007;1.387084168456756E+002;
7.106106106106105E+007;1.384865716418312E+002;
7.108108108108108E+007;1.385506407624721E+002;
7.110110110110110E+007;1.384456746778891E+002;
7.112112112112112E+007;1.382937854015497E+002;
7.114114114114115E+007;1.381537980291186E+002;
7.116116116116116E+007;1.381769198704057E+002;
7.118118118118118E+007;1.381253524610980E+002;
7.120120120120120E+007;1.380242510344601E+002;
7.122122122122122E+007;1.378800858062799E+002;
7.124124124124125E+007;1.379308099538646E+002;
7.126126126126126E+007;1.378420734719512E+002;
7.128128128128128E+007;1.377678203166195E+002;
7.130130130130130E+007;1.376378838384171E+002;
7.132132132132132E+007;1.375361897322228E+002;
7.134134134134135E+007;1.375466552237209E+002;
7.136136136136136E+007;1.375527178916894E+002;
7.138138138138138E+007;1.373667307504262E+002;
7.140140140140140E+007;1.374150012076285E+002;
7.142142142142142E+007;1.373627922996935E+002;
7.144144144144145E+007;1.372344359817345E+002;
7.146146146146146E+007;1.371784382385590E+002;
7.148148148148148E+007;1.370440925641243E+002;
7.150150150150150E+007;1.370356243983295E+002;
7.152152152152152E+007;1.369864437522244E+002;
7.154154154154155E+007;1.368544519831660E+002;
7.156156156156156E+007;1.368258943817441E+002;
7.158158158158158E+007;1.367100278200121E+002;
7.160160160160160E+007;1.366684569819682E+002;
7.162162162162162E+007;1.366844249693433E+002;
7.164164164164165E+007;1.364876950622148E+002;
7.166166166166166E+007;1.363499427530700E+002;
7.168168168168168E+007;1.365016448529430E+002;
7.170170170170170E+007;1.365450717715427E+002;
7.172172172172172E+007;1.362491443827244E+002;
7.174174174174175E+007;1.362359347876609E+002;
7.176176176176176E+007;1.361621512493668E+002;
7.178178178178178E+007;1.360974919865068E+002;
7.180180180180180E+007;1.360428849868001E+002;
7.182182182182182E+007;1.359775150923758E+002;
7.184184184184185E+007;1.360038445232225E+002;
7.186186186186186E+007;1.359085655799165E+002;
7.188188188188188E+007;1.358312149477208E+002;
7.190190190190190E+007;1.358126026242024E+002;
7.192192192192192E+007;1.355203187586672E+002;
7.194194194194195E+007;1.355345652539161E+002;
7.196196196196196E+007;1.354088504282289E+002;
7.198198198198198E+007;1.353034634117134E+002;
7.200200200200200E+007;1.353318109234452E+002;
7.202202202202202E+007;1.352902985828886E+002;
7.204204204204205E+007;1.352965752681438E+002;
7.206206206206206E+007;1.351181988033483E+002;
7.208208208208208E+007;1.349912651498238E+002;
7.210210210210210E+007;1.350943079488253E+002;
7.212212212212212E+007;1.348307690348284E+002;
7.214214214214215E+007;1.348733138202115E+002;
7.216216216216216E+007;1.347654654222198E+002;
7.218218218218218E+007;1.347988869077222E+002;
7.220220220220220E+007;1.345765587471674E+002;
7.222222222222222E+007;1.346213170554779E+002;
7.224224224224225E+007;1.344413237869120E+002;
7.226226226226226E+007;1.344639439936135E+002;
7.228228228228228E+007;1.343226737836646E+002;
7.230230230230230E+007;1.343584334918899E+002;
7.232232232232232E+007;1.342285492475174E+002;
7.234234234234235E+007;1.342093604300924E+002;
7.236236236236236E+007;1.341961534740027E+002;
7.238238238238238E+007;1.341351379537632E+002;
7.240240240240240E+007;1.340029712328427E+002;
7.242242242242242E+007;1.340041722674093E+002;
7.244244244244245E+007;1.339866021056496E+002;
7.246246246246246E+007;1.337845291974520E+002;
7.248248248248248E+007;1.337336538484684E+002;
7.250250250250250E+007;1.336866034813484E+002;
7.252252252252252E+007;1.335999827525074E+002;
7.254254254254255E+007;1.334669362557442E+002;
7.256256256256256E+007;1.334685591038308E+002;
7.258258258258258E+007;1.333954974025424E+002;
7.260260260260260E+007;1.332844804099711E+002;
7.262262262262262E+007;1.333329062957313E+002;
7.264264264264265E+007;1.330594155434474E+002;
7.266266266266266E+007;1.331293195898477E+002;
7.268268268268268E+007;1.331260708641726E+002;
7.270270270270270E+007;1.329573646774495E+002;
7.272272272272272E+007;1.329837715590628E+002;
7.274274274274275E+007;1.328761855236637E+002;
7.276276276276276E+007;1.328106085746706E+002;
7.278278278278278E+007;1.327308186543373E+002;
7.280280280280280E+007;1.325828713630842E+002;
7.282282282282282E+007;1.325025337343427E+002;
7.284284284284285E+007;1.325995170745154E+002;
7.286286286286286E+007;1.323972848009895E+002;
7.288288288288288E+007;1.324678630598777E+002;
7.290290290290290E+007;1.324222235578197E+002;
7.292292292292292E+007;1.322926513930783E+002;
7.294294294294295E+007;1.322452377519501E+002;
7.296296296296296E+007;1.321028916236963E+002;
7.298298298298298E+007;1.320715798275215E+002;
7.300300300300300E+007;1.320191427845852E+002;
7.302302302302302E+007;1.319135811721238E+002;
7.304304304304305E+007;1.318121461162042E+002;
7.306306306306307E+007;1.317468499658526E+002;
7.308308308308308E+007;1.316516446181471E+002;
7.310310310310310E+007;1.315361764959127E+002;
7.312312312312312E+007;1.315291117254702E+002;
7.314314314314315E+007;1.314806997781266E+002;
7.316316316316317E+007;1.313717804295055E+002;
7.318318318318318E+007;1.314278141749154E+002;
7.320320320320320E+007;1.311978386059943E+002;
7.322322322322322E+007;1.312225745140790E+002;
7.324324324324325E+007;1.312168532261608E+002;
7.326326326326327E+007;1.311609581961571E+002;
7.328328328328328E+007;1.310526521752874E+002;
7.330330330330330E+007;1.310146061730480E+002;
7.332332332332332E+007;1.308494732601814E+002;
7.334334334334335E+007;1.307741673939707E+002;
7.336336336336337E+007;1.307821519489938E+002;
7.338338338338338E+007;1.306317015869805E+002;
7.340340340340340E+007;1.305760203599761E+002;
7.342342342342342E+007;1.305885970855455E+002;
7.344344344344345E+007;1.304712554940637E+002;
7.346346346346347E+007;1.303775074317312E+002;
7.348348348348348E+007;1.302593216599317E+002;
7.350350350350350E+007;1.301468758989070E+002;
7.352352352352352E+007;1.301054707907589E+002;
7.354354354354355E+007;1.300259949506242E+002;
7.356356356356357E+007;1.300544481724793E+002;
7.358358358358358E+007;1.299987799073077E+002;
7.360360360360360E+007;1.299396434109608E+002;
7.362362362362362E+007;1.298835771102479E+002;
7.364364364364365E+007;1.297773510419828E+002;
7.366366366366367E+007;1.297116436565048E+002;
7.368368368368368E+007;1.297135938264243E+002;
7.370370370370370E+007;1.294756366839631E+002;
7.372372372372372E+007;1.294414466689657E+002;
7.374374374374375E+007;1.295164303956765E+002;
7.376376376376377E+007;1.293268588518343E+002;
7.378378378378378E+007;1.293262669192928E+002;
7.380380380380380E+007;1.291922157265868E+002;
7.382382382382383E+007;1.293116118788632E+002;
7.384384384384385E+007;1.290800191726461E+002;
7.386386386386387E+007;1.290474748354523E+002;
7.388388388388388E+007;1.289553918819002E+002;
7.390390390390390E+007;1.288754630072720E+002;
7.392392392392393E+007;1.288285773774580E+002;
7.394394394394395E+007;1.287155678540908E+002;
7.396396396396397E+007;1.285934389571213E+002;
7.398398398398398E+007;1.286450064370016E+002;
7.400400400400400E+007;1.284729156395289E+002;
7.402402402402403E+007;1.284978896902398E+002;
7.404404404404405E+007;1.283763811231282E+002;
7.406406406406407E+007;1.282872529976594E+002;
7.408408408408408E+007;1.282139622675584E+002;
7.410410410410410E+007;1.280967140233544E+002;
7.412412412412413E+007;1.280627306166438E+002;
7.414414414414415E+007;1.279948687675767E+002;
7.416416416416417E+007;1.279564635166838E+002;
7.418418418418418E+007;1.279779778391083E+002;
7.420420420420420E+007;1.278133572841644E+002;
7.422422422422423E+007;1.277796422527558E+002;
7.424424424424425E+007;1.277450965141043E+002;
7.426426426426427E+007;1.276250811911539E+002;
7.428428428428428E+007;1.276328052566473E+002;
7.430430430430430E+007;1.274849220331179E+002;
7.432432432432433E+007;1.274189292309165E+002;
7.434434434434435E+007;1.273439233460439E+002;
7.436436436436437E+007;1.273180432351262E+002;
7.438438438438438E+007;1.272003816151735E+002;
7.440440440440440E+007;1.270698856890884E+002;
7.442442442442443E+007;1.269866959327607E+002;
7.444444444444445E+007;1.268739891905748E+002;
7.446446446446447E+007;1.269388898541330E+002;
7.448448448448448E+007;1.267532750899295E+002;
7.450450450450450E+007;1.268269815761667E+002;
7.452452452452453E+007;1.267373593072773E+002;
7.454454454454455E+007;1.266551662903817E+002;
7.456456456456457E+007;1.266000888871690E+002;
7.458458458458458E+007;1.264831288982473E+002;
7.460460460460460E+007;1.264111926712918E+002;
7.462462462462463E+007;1.264352015500290E+002;
7.464464464464465E+007;1.262791800612835E+002;
7.466466466466467E+007;1.262845286609318E+002;
7.468468468468468E+007;1.262211677140320E+002;
7.470470470470470E+007;1.260573541861715E+002;
7.472472472472473E+007;1.259982036707923E+002;
7.474474474474475E+007;1.258507799510327E+002;
7.476476476476477E+007;1.258789654076888E+002;
7.478478478478478E+007;1.258728833905560E+002;
7.480480480480480E+007;1.257842923132381E+002;
7.482482482482483E+007;1.256954521173701E+002;
7.484484484484485E+007;1.256330296980924E+002;
7.486486486486487E+007;1.255648872329625E+002;
7.488488488488488E+007;1.254493415416837E+002;
7.490490490490490E+007;1.254411795097294E+002;
7.492492492492493E+007;1.252375401039455E+002;
7.494494494494495E+007;1.252010355857841E+002;
7.496496496496497E+007;1.252315061510532E+002;
7.498498498498498E+007;1.250777281371396E+002;
7.500500500500500E+007;1.250340251389940E+002;
7.502502502502503E+007;1.250254283165054E+002;
7.504504504504505E+007;1.248679133338245E+002;
7.506506506506507E+007;1.248156034193389E+002;
7.508508508508508E+007;1.247800143035052E+002;
7.510510510510510E+007;1.247671527577394E+002;
7.512512512512513E+007;1.245078933360787E+002;
7.514514514514515E+007;1.245658506738475E+002;
7.516516516516517E+007;1.245085201056247E+002;
7.518518518518518E+007;1.243381894451215E+002;
7.520520520520520E+007;1.243433528788317E+002;
7.522522522522523E+007;1.242629387854181E+002;
7.524524524524525E+007;1.241282427010630E+002;
7.526526526526527E+007;1.241119342619716E+002;
7.528528528528528E+007;1.240627692743459E+002;
7.530530530530530E+007;1.239550761206044E+002;
7.532532532532533E+007;1.239659418157089E+002;
7.534534534534535E+007;1.238479932567693E+002;
7.536536536536537E+007;1.238354901509430E+002;
7.538538538538538E+007;1.236640131208549E+002;
7.540540540540540E+007;1.236593686003775E+002;
7.542542542542543E+007;1.234172634416511E+002;
7.544544544544545E+007;1.234712713428412E+002;
7.546546546546547E+007;1.233857932230054E+002;
7.548548548548548E+007;1.233371470260495E+002;
7.550550550550550E+007;1.232445547107270E+002;
7.552552552552553E+007;1.230597353203897E+002;
7.554554554554555E+007;1.231266848852589E+002;
7.556556556556557E+007;1.230374049116059E+002;
7.558558558558558E+007;1.229588625938631E+002;
7.560560560560560E+007;1.228060857015876E+002;
7.562562562562563E+007;1.228689584901596E+002;
7.564564564564565E+007;1.227469964349022E+002;
7.566566566566567E+007;1.225858116389870E+002;
7.568568568568568E+007;1.226474152584849E+002;
7.570570570570570E+007;1.224140101512311E+002;
7.572572572572573E+007;1.224298918471537E+002;
7.574574574574575E+007;1.223606179914045E+002;
7.576576576576577E+007;1.221985194701108E+002;
7.578578578578578E+007;1.221922604989119E+002;
7.580580580580580E+007;1.220786570351551E+002;
7.582582582582583E+007;1.219721749965607E+002;
7.584584584584585E+007;1.219973049715391E+002;
7.586586586586587E+007;1.218745481898376E+002;
7.588588588588588E+007;1.218732230896152E+002;
7.590590590590590E+007;1.218015241494513E+002;
7.592592592592593E+007;1.216223615798842E+002;
7.594594594594595E+007;1.216078133540884E+002;
7.596596596596597E+007;1.215503069509281E+002;
7.598598598598598E+007;1.214341695586554E+002;
7.600600600600600E+007;1.213898512873598E+002;
7.602602602602603E+007;1.213518131868003E+002;
7.604604604604605E+007;1.212208767773903E+002;
7.606606606606607E+007;1.212076201652169E+002;
7.608608608608608E+007;1.210763646583559E+002;
7.610610610610610E+007;1.210125606415943E+002;
7.612612612612613E+007;1.208857925441783E+002;
7.614614614614615E+007;1.208752021408331E+002;
7.616616616616617E+007;1.207767664676239E+002;
7.618618618618618E+007;1.207723554725205E+002;
7.620620620620620E+007;1.205817898716995E+002;
7.622622622622623E+007;1.207157430054811E+002;
7.624624624624625E+007;1.205441825643903E+002;
7.626626626626627E+007;1.204184081333703E+002;
7.628628628628628E+007;1.202934735752580E+002;
7.630630630630630E+007;1.202247123580405E+002;
7.632632632632633E+007;1.201263518150262E+002;
7.634634634634635E+007;1.200540185531623E+002;
7.636636636636637E+007;1.200311414777156E+002;
7.638638638638638E+007;1.199294175298375E+002;
7.640640640640640E+007;1.198401123957765E+002;
7.642642642642643E+007;1.198244091423187E+002;
7.644644644644645E+007;1.197179006643936E+002;
7.646646646646647E+007;1.196285548541511E+002;
7.648648648648648E+007;1.196049616154244E+002;
7.650650650650650E+007;1.195234668118968E+002;
7.652652652652653E+007;1.194358189684187E+002;
7.654654654654655E+007;1.192988613755384E+002;
7.656656656656657E+007;1.192106556224341E+002;
7.658658658658658E+007;1.191374556536448E+002;
7.660660660660660E+007;1.191372696825679E+002;
7.662662662662663E+007;1.189946238812047E+002;
7.664664664664665E+007;1.188957488422057E+002;
7.666666666666667E+007;1.188013379615770E+002;
7.668668668668668E+007;1.187330568165371E+002;
7.670670670670670E+007;1.186012112999913E+002;
7.672672672672673E+007;1.186692240784453E+002;
7.674674674674675E+007;1.185628969860365E+002;
7.676676676676677E+007;1.184132305826824E+002;
