# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;4.065937592591858E-002;
1.033011003667889E+007;4.953218143016350E-002;
1.066022007335779E+007;-7.064368737437309E-002;
1.099033011003668E+007;-1.268629956614554E-001;
1.132044014671557E+007;3.207269840874510E-002;
1.165055018339447E+007;-1.008138380681607E-001;
1.198066022007336E+007;-1.387824976347131E-001;
1.231077025675225E+007;-6.014216750711740E-002;
1.264088029343114E+007;7.575292205422570E-003;
1.297099033011004E+007;-5.252047669541273E-002;
1.330110036678893E+007;-6.596755061181686E-002;
1.363121040346782E+007;-2.737384597769946E-002;
1.396132044014671E+007;-6.753740027223310E-002;
1.429143047682561E+007;-4.478497003350618E-002;
1.462154051350450E+007;-7.164652768938656E-002;
1.495165055018340E+007;-1.140743428089088E-001;
1.528176058686229E+007;-9.904032593825188E-002;
1.561187062354118E+007;-6.340838645091669E-002;
1.594198066022007E+007;-2.252120960891067E-002;
1.627209069689897E+007;4.202098217103877E-003;
1.660220073357786E+007;-6.296450392825813E-002;
1.693231077025675E+007;-5.886954369991953E-002;
1.726242080693565E+007;-7.078718883686389E-002;
1.759253084361454E+007;-8.521095415900465E-002;
1.792264088029343E+007;-7.249164128317978E-002;
1.825275091697232E+007;-8.113744824964825E-002;
1.858286095365122E+007;-9.516392340167784E-002;
1.891297099033011E+007;-6.735292975274443E-002;
1.924308102700900E+007;-1.291634728922846E-001;
1.957319106368790E+007;-1.141719341741324E-001;
1.990330110036679E+007;-1.334113103269927E-001;
2.023341113704568E+007;-1.823044805714039E-001;
2.056352117372458E+007;-1.504840977756752E-001;
2.089363121040347E+007;-1.681643414157038E-001;
2.122374124708236E+007;-1.705007360341853E-001;
2.155385128376126E+007;-1.698316838380360E-001;
2.188396132044015E+007;-1.302558243045682E-001;
2.221407135711904E+007;-1.974487160929986E-001;
2.254418139379793E+007;-1.429707787883736E-001;
2.287429143047683E+007;-1.478780347506947E-001;
2.320440146715572E+007;-1.920242046145176E-001;
2.353451150383461E+007;-1.750440832490824E-001;
2.386462154051350E+007;-1.686420302649747E-001;
2.419473157719240E+007;-1.898625557687944E-001;
2.452484161387129E+007;-1.607016944495897E-001;
2.485495165055018E+007;-1.616958575340519E-001;
2.518506168722908E+007;-1.547185083827761E-001;
2.551517172390797E+007;-1.851480798655613E-001;
2.584528176058686E+007;-1.848538193640509E-001;
2.617539179726575E+007;-1.746985297298341E-001;
2.650550183394465E+007;-2.191409751502451E-001;
2.683561187062354E+007;-2.204676351788756E-001;
2.716572190730244E+007;-2.209355147493786E-001;
2.749583194398133E+007;-2.138654215285441E-001;
2.782594198066022E+007;-2.026577787570947E-001;
2.815605201733911E+007;-2.512145472373364E-001;
2.848616205401801E+007;-2.285381818262477E-001;
2.881627209069690E+007;-2.609113457315102E-001;
2.914638212737579E+007;-2.588967585674947E-001;
2.947649216405468E+007;-2.502568305474572E-001;
2.980660220073358E+007;-2.487121105487719E-001;
3.013671223741247E+007;-2.874462360335803E-001;
3.046682227409136E+007;-2.748403968690462E-001;
3.079693231077026E+007;-2.628804137509282E-001;
3.112704234744915E+007;-2.768378789416897E-001;
3.145715238412804E+007;-2.642057637178628E-001;
3.178726242080694E+007;-2.524091919784289E-001;
3.211737245748583E+007;-2.888679489787300E-001;
3.244748249416472E+007;-2.665526474555804E-001;
3.277759253084362E+007;-2.958007425756020E-001;
3.310770256752251E+007;-3.023455006251353E-001;
3.343781260420140E+007;-3.051187945258890E-001;
3.376792264088029E+007;-2.748474498171115E-001;
3.409803267755918E+007;-2.864465477142507E-001;
3.442814271423808E+007;-3.305902899285891E-001;
3.475825275091697E+007;-3.258007783548446E-001;
3.508836278759587E+007;-3.423071491581650E-001;
3.541847282427476E+007;-3.256426450089078E-001;
3.574858286095365E+007;-3.470235652984681E-001;
3.607869289763254E+007;-3.472167196924329E-001;
3.640880293431144E+007;-3.565097756696301E-001;
3.673891297099033E+007;-3.645512573122423E-001;
3.706902300766923E+007;-3.681222774145994E-001;
3.739913304434812E+007;-3.651908173778909E-001;
3.772924308102701E+007;-3.822556810479798E-001;
3.805935311770590E+007;-4.079345824917617E-001;
3.838946315438479E+007;-4.187506631856618E-001;
3.871957319106369E+007;-4.268686984681376E-001;
3.904968322774258E+007;-4.321529635846551E-001;
3.937979326442148E+007;-4.006895584382956E-001;
3.970990330110037E+007;-4.246636423060176E-001;
4.004001333777926E+007;-4.329050144550028E-001;
4.037012337445815E+007;-4.423038729213032E-001;
4.070023341113704E+007;-4.663875421479488E-001;
4.103034344781594E+007;-4.504618817639507E-001;
4.136045348449484E+007;-4.714029460890712E-001;
4.169056352117372E+007;-4.663353787127135E-001;
4.202067355785262E+007;-4.612896724085958E-001;
4.235078359453151E+007;-4.780204654065129E-001;
4.268089363121040E+007;-4.908169707473792E-001;
4.301100366788930E+007;-5.154277688570227E-001;
4.334111370456819E+007;-5.146522608828069E-001;
4.367122374124708E+007;-4.960576085972611E-001;
4.400133377792598E+007;-5.129319566637804E-001;
4.433144381460487E+007;-5.201431287426322E-001;
4.466155385128376E+007;-5.210189382927115E-001;
4.499166388796265E+007;-4.888205620044357E-001;
4.532177392464155E+007;-5.270173223292280E-001;
4.565188396132044E+007;-5.219619694321915E-001;
4.598199399799933E+007;-5.395243332272056E-001;
4.631210403467823E+007;-5.511323116799636E-001;
4.664221407135712E+007;-5.567915362589975E-001;
4.697232410803601E+007;-5.508524630955550E-001;
4.730243414471491E+007;-5.447521075445262E-001;
4.763254418139380E+007;-5.381440885713246E-001;
4.796265421807269E+007;-5.383268131067152E-001;
4.829276425475159E+007;-5.521779013151505E-001;
4.862287429143048E+007;-5.552251883825471E-001;
4.895298432810937E+007;-5.222980020658103E-001;
4.928309436478826E+007;-5.318839103521209E-001;
4.961320440146716E+007;-5.388852612206160E-001;
