# Version 1.00
#
freq[Hz];Trc1_S11[dB];
7.000000000000000E+007;-7.103384547522147E-001;
7.002002002002002E+007;-7.182150036558330E-001;
7.004004004004005E+007;-7.343691535627857E-001;
7.006006006006005E+007;-7.233657916374264E-001;
7.008008008008008E+007;-7.325022010141334E-001;
7.010010010010010E+007;-7.378897211162833E-001;
7.012012012012012E+007;-7.285200820914318E-001;
7.014014014014015E+007;-7.155606299982600E-001;
7.016016016016015E+007;-7.308365438112383E-001;
7.018018018018018E+007;-7.237346139681685E-001;
7.020020020020020E+007;-7.129304031426553E-001;
7.022022022022022E+007;-7.379079684774546E-001;
7.024024024024025E+007;-7.369426924378133E-001;
7.026026026026025E+007;-7.386921241668765E-001;
7.028028028028028E+007;-7.440943996606679E-001;
7.030030030030030E+007;-7.255682543426932E-001;
7.032032032032032E+007;-7.137205109692751E-001;
7.034034034034035E+007;-7.316995549653574E-001;
7.036036036036035E+007;-7.104042998676909E-001;
7.038038038038038E+007;-7.288044152151444E-001;
7.040040040040040E+007;-7.289835846924622E-001;
7.042042042042042E+007;-7.286696392473547E-001;
7.044044044044045E+007;-7.215646223187606E-001;
7.046046046046045E+007;-7.302578565289117E-001;
7.048048048048048E+007;-7.309735520729837E-001;
7.050050050050050E+007;-7.342754606570948E-001;
7.052052052052052E+007;-7.225386584559731E-001;
7.054054054054055E+007;-7.264963418256157E-001;
7.056056056056055E+007;-7.280028933333702E-001;
7.058058058058058E+007;-7.339361333656923E-001;
7.060060060060060E+007;-7.112903702975976E-001;
7.062062062062062E+007;-7.281967790481202E-001;
7.064064064064065E+007;-7.214011381486808E-001;
7.066066066066065E+007;-7.398754365870781E-001;
7.068068068068068E+007;-7.168660777403911E-001;
7.070070070070070E+007;-7.349148490811551E-001;
7.072072072072072E+007;-7.388502173726635E-001;
7.074074074074075E+007;-7.347408540606573E-001;
7.076076076076075E+007;-7.205484119086045E-001;
7.078078078078078E+007;-7.291321218408090E-001;
7.080080080080080E+007;-7.284793490662573E-001;
7.082082082082082E+007;-7.147537525859856E-001;
7.084084084084085E+007;-7.448356076131354E-001;
7.086086086086085E+007;-7.424396087588545E-001;
7.088088088088088E+007;-7.241285481185306E-001;
7.090090090090090E+007;-7.152009703452822E-001;
7.092092092092092E+007;-7.324084677083698E-001;
7.094094094094095E+007;-7.303634536470767E-001;
7.096096096096095E+007;-7.163912809780256E-001;
7.098098098098098E+007;-7.307308712925941E-001;
7.100100100100100E+007;-7.282117129302455E-001;
7.102102102102102E+007;-7.430736544179404E-001;
7.104104104104105E+007;-7.193571432851044E-001;
7.106106106106105E+007;-7.313600041844812E-001;
7.108108108108108E+007;-7.229825974547365E-001;
7.110110110110110E+007;-7.311942696493740E-001;
7.112112112112112E+007;-7.226136227364812E-001;
7.114114114114115E+007;-7.231755525336461E-001;
7.116116116116116E+007;-7.218924830757080E-001;
7.118118118118118E+007;-7.345372405664957E-001;
7.120120120120120E+007;-7.334081158573947E-001;
7.122122122122122E+007;-7.349224787599943E-001;
7.124124124124125E+007;-7.259120449039415E-001;
7.126126126126126E+007;-7.332029304882284E-001;
7.128128128128128E+007;-7.307644698878892E-001;
7.130130130130130E+007;-7.337300494944133E-001;
7.132132132132132E+007;-7.224462468343090E-001;
7.134134134134135E+007;-7.184926962174784E-001;
7.136136136136136E+007;-7.198032580946007E-001;
7.138138138138138E+007;-7.265680535457278E-001;
7.140140140140140E+007;-7.272013239651521E-001;
7.142142142142142E+007;-7.339460798487841E-001;
7.144144144144145E+007;-7.239511163663229E-001;
7.146146146146146E+007;-7.273957077300215E-001;
7.148148148148148E+007;-7.220635182189622E-001;
7.150150150150150E+007;-7.263024259984583E-001;
7.152152152152152E+007;-7.362015648997475E-001;
7.154154154154155E+007;-7.354324110679973E-001;
7.156156156156156E+007;-7.165331440871240E-001;
7.158158158158158E+007;-7.203775826948639E-001;
7.160160160160160E+007;-7.362863105974666E-001;
7.162162162162162E+007;-7.315694513112206E-001;
7.164164164164165E+007;-7.356372453974467E-001;
7.166166166166166E+007;-7.115635733964898E-001;
7.168168168168168E+007;-7.422860065877411E-001;
7.170170170170170E+007;-7.303905836832761E-001;
7.172172172172172E+007;-7.188681519115393E-001;
7.174174174174175E+007;-7.191422285726754E-001;
7.176176176176176E+007;-7.277449217547090E-001;
7.178178178178178E+007;-7.389081915164543E-001;
7.180180180180180E+007;-7.359839228575169E-001;
7.182182182182182E+007;-7.213815027566191E-001;
7.184184184184185E+007;-7.273202140436589E-001;
