# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;1.261171506721518E-001;
1.019803960792158E+007;3.375913623573471E-002;
1.039607921584317E+007;5.142851517831806E-002;
1.059411882376475E+007;4.938404986142321E-002;
1.079215843168634E+007;-1.556517731453559E-002;
1.099019803960792E+007;8.506954318285753E-003;
1.118823764752951E+007;-1.261135322697941E-002;
1.138627725545109E+007;-1.209218614906049E-002;
1.158431686337267E+007;-4.835603497189573E-002;
1.178235647129426E+007;-1.285471867090181E-002;
1.198039607921584E+007;1.051992415878333E-002;
1.217843568713743E+007;3.560772053947451E-003;
1.237647529505901E+007;3.698052025201285E-002;
1.257451490298060E+007;-2.128303711031165E-002;
1.277255451090218E+007;1.349723469816073E-001;
1.297059411882377E+007;4.605973023652840E-002;
1.316863372674535E+007;5.534395428170312E-002;
1.336667333466693E+007;9.982845325785913E-003;
1.356471294258852E+007;-3.890072974725504E-002;
1.376275255051010E+007;4.009858288460524E-002;
1.396079215843169E+007;-1.182897021244256E-002;
1.415883176635327E+007;-9.976354973173413E-003;
1.435687137427485E+007;3.095164003136182E-002;
1.455491098219644E+007;-2.620828855607981E-002;
1.475295059011802E+007;3.061009807330805E-002;
1.495099019803961E+007;3.179276767543275E-003;
1.514902980596119E+007;3.823808232592554E-002;
1.534706941388278E+007;-5.776553702929329E-003;
1.554510902180436E+007;3.645792321150738E-002;
1.574314862972594E+007;3.668874118958590E-003;
1.594118823764753E+007;-6.697526944902622E-003;
1.613922784556911E+007;-8.617293067505469E-002;
1.633726745349070E+007;6.333786888548959E-002;
1.653530706141228E+007;-3.406774680576762E-002;
1.673334666933387E+007;1.695546764035917E-002;
1.693138627725545E+007;-4.446462397279939E-002;
1.712942588517704E+007;5.166305608357689E-003;
1.732746549309862E+007;-8.864289280584817E-003;
1.752550510102020E+007;2.061565343751375E-002;
1.772354470894179E+007;-7.638684211816817E-006;
1.792158431686337E+007;8.321059831318148E-003;
1.811962392478496E+007;4.671232915217408E-003;
1.831766353270654E+007;6.615606286286431E-002;
1.851570314062813E+007;-1.248652066085450E-002;
1.871374274854971E+007;-2.595493138837172E-002;
1.891178235647129E+007;-2.430627480300081E-002;
1.910982196439288E+007;-4.938890749492404E-003;
