# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.219538603622660E+001;
1.059811962392478E+007;-1.183671303973916E+001;
1.119623924784957E+007;-1.338976269291217E+001;
1.179435887177436E+007;-1.445163783644054E+001;
1.239247849569914E+007;-1.522188286281018E+001;
1.299059811962393E+007;-1.562976164562648E+001;
1.358871774354871E+007;-1.651691263447496E+001;
1.418683736747349E+007;-1.696671114179646E+001;
1.478495699139828E+007;-1.728144752058834E+001;
1.538307661532307E+007;-1.887842222148180E+001;
1.598119623924785E+007;-1.908256991940300E+001;
1.657931586317264E+007;-1.994648037037444E+001;
1.717743548709742E+007;-2.121501023295208E+001;
1.777555511102220E+007;-2.205221102889522E+001;
1.837367473494699E+007;-2.200687530206311E+001;
1.897179435887177E+007;-2.287350583406015E+001;
1.956991398279656E+007;-2.340078216433972E+001;
2.016803360672134E+007;-2.438434085489561E+001;
2.076615323064613E+007;-2.514188799977766E+001;
2.136427285457091E+007;-2.577764818545706E+001;
2.196239247849570E+007;-2.673255202076842E+001;
2.256051210242049E+007;-2.751175986663013E+001;
2.315863172634527E+007;-2.812015684414168E+001;
2.375675135027006E+007;-2.882648087173529E+001;
2.435487097419484E+007;-2.936750092398118E+001;
2.495299059811962E+007;-3.010613733915315E+001;
2.555111022204441E+007;-3.099440517945084E+001;
2.614922984596919E+007;-3.154094081483524E+001;
2.674734946989398E+007;-3.243131753646969E+001;
2.734546909381877E+007;-3.311322392177426E+001;
2.794358871774355E+007;-3.353452447799491E+001;
2.854170834166833E+007;-3.455641024094194E+001;
2.913982796559312E+007;-3.516459360086051E+001;
2.973794758951790E+007;-3.586158670933661E+001;
3.033606721344269E+007;-3.670186795856056E+001;
3.093418683736747E+007;-3.743483420478346E+001;
3.153230646129226E+007;-3.819107008624868E+001;
3.213042608521704E+007;-3.875757528961319E+001;
3.272854570914183E+007;-3.964541060928497E+001;
3.332666533306661E+007;-4.030295127567311E+001;
3.392478495699140E+007;-4.101922147460810E+001;
3.452290458091618E+007;-4.169494554821829E+001;
3.512102420484097E+007;-4.240942834039133E+001;
3.571914382876575E+007;-4.311771242108093E+001;
3.631726345269054E+007;-4.378398442110534E+001;
3.691538307661532E+007;-4.448195300608562E+001;
3.751350270054011E+007;-4.542956418932426E+001;
3.811162232446489E+007;-4.608659900184471E+001;
3.870974194838968E+007;-4.663980582503757E+001;
3.930786157231446E+007;-4.772860279551247E+001;
3.990598119623925E+007;-4.839066096379461E+001;
4.050410082016403E+007;-4.921352270115794E+001;
4.110222044408882E+007;-4.987171538399750E+001;
4.170034006801360E+007;-5.066763900398966E+001;
4.229845969193839E+007;-5.149177457088134E+001;
4.289657931586318E+007;-5.209382376496223E+001;
4.349469893978795E+007;-5.280185794129144E+001;
4.409281856371274E+007;-5.347886339829439E+001;
4.469093818763753E+007;-5.430821557445450E+001;
4.528905781156232E+007;-5.505339584868234E+001;
4.588717743548710E+007;-5.582357354409690E+001;
4.648529705941188E+007;-5.639549351597690E+001;
4.708341668333667E+007;-5.717039950020053E+001;
4.768153630726145E+007;-5.783846721492618E+001;
4.827965593118624E+007;-5.858625866979320E+001;
4.887777555511102E+007;-5.923073940357465E+001;
4.947589517903581E+007;-5.993157073300855E+001;
5.007401480296059E+007;-6.062128036452039E+001;
5.067213442688537E+007;-6.136220219880190E+001;
5.127025405081016E+007;-6.212952219586193E+001;
5.186837367473494E+007;-6.277353181290136E+001;
5.246649329865973E+007;-6.346193909077808E+001;
5.306461292258452E+007;-6.434585067585778E+001;
5.366273254650930E+007;-6.500995188104375E+001;
5.426085217043409E+007;-6.580406504725647E+001;
5.485897179435887E+007;-6.650014998282444E+001;
5.545709141828366E+007;-6.716182357508640E+001;
5.605521104220844E+007;-6.799017946578263E+001;
5.665333066613323E+007;-6.862492161222895E+001;
5.725145029005801E+007;-6.941518224922116E+001;
5.784956991398279E+007;-7.018443661953162E+001;
5.844768953790758E+007;-7.084010071084572E+001;
5.904580916183236E+007;-7.156189488094360E+001;
5.964392878575715E+007;-7.231031267893724E+001;
6.024204840968194E+007;-7.309817894467437E+001;
6.084016803360672E+007;-7.363427001428644E+001;
6.143828765753151E+007;-7.444611396463617E+001;
6.203640728145629E+007;-7.516451739862058E+001;
6.263452690538108E+007;-7.593977687524921E+001;
6.323264652930586E+007;-7.660779798509357E+001;
6.383076615323065E+007;-7.735174308398936E+001;
6.442888577715543E+007;-7.804402609749526E+001;
6.502700540108021E+007;-7.876775716780274E+001;
6.562512502500500E+007;-7.937426892861262E+001;
6.622324464892978E+007;-8.029264208268886E+001;
6.682136427285457E+007;-8.097183359744643E+001;
6.741948389677936E+007;-8.167101949293827E+001;
6.801760352070415E+007;-8.242847262031265E+001;
6.861572314462893E+007;-8.307181093191132E+001;
6.921384276855370E+007;-8.380224589694342E+001;
6.981196239247850E+007;-8.441329352635270E+001;
7.041008201640329E+007;-8.520971425284851E+001;
7.100820164032807E+007;-8.582597563212246E+001;
7.160632126425284E+007;-8.662326874581038E+001;
7.220444088817763E+007;-8.724401342258528E+001;
7.280256051210243E+007;-8.804360754246325E+001;
7.340068013602720E+007;-8.875021555985970E+001;
7.399879975995198E+007;-8.955982734390679E+001;
7.459691938387677E+007;-9.025668950400954E+001;
7.519503900780156E+007;-9.089390325217357E+001;
7.579315863172635E+007;-9.164722017768474E+001;
7.639127825565113E+007;-9.236201912282940E+001;
7.698939787957591E+007;-9.310583873202350E+001;
7.758751750350070E+007;-9.379285078112203E+001;
7.818563712742548E+007;-9.455376716897609E+001;
7.878375675135027E+007;-9.529060244002670E+001;
7.938187637527506E+007;-9.598738072553648E+001;
7.997999599919984E+007;-9.667034851638559E+001;
8.057811562312463E+007;-9.738439503407555E+001;
8.117623524704941E+007;-9.815219836502774E+001;
8.177435487097420E+007;-9.890288755349272E+001;
8.237247449489898E+007;-9.952864972231957E+001;
8.297059411882377E+007;-1.002691552513247E+002;
8.356871374274854E+007;-1.009604059137579E+002;
8.416683336667334E+007;-1.016693368040741E+002;
8.476495299059811E+007;-1.022886492283320E+002;
8.536307261452290E+007;-1.029856019693815E+002;
8.596119223844768E+007;-1.037021866759516E+002;
8.655931186237247E+007;-1.044503166488851E+002;
8.715743148629727E+007;-1.051564945425038E+002;
8.775555111022204E+007;-1.058417494532885E+002;
8.835367073414683E+007;-1.065862833743311E+002;
8.895179035807161E+007;-1.072381353219668E+002;
8.954990998199640E+007;-1.080534031251042E+002;
9.014802960592118E+007;-1.087895388984728E+002;
9.074614922984597E+007;-1.095263577495074E+002;
9.134426885377075E+007;-1.101942765171774E+002;
9.194238847769554E+007;-1.110801527601767E+002;
9.254050810162032E+007;-1.117107001125564E+002;
9.313862772554511E+007;-1.123860558066214E+002;
9.373674734946989E+007;-1.131465273180129E+002;
9.433486697339468E+007;-1.140016199073819E+002;
9.493298659731947E+007;-1.147006662466667E+002;
9.553110622124425E+007;-1.153959451212308E+002;
9.612922584516904E+007;-1.161776928454425E+002;
9.672734546909381E+007;-1.169617209048344E+002;
9.732546509301861E+007;-1.176224877653339E+002;
9.792358471694338E+007;-1.183079950452734E+002;
9.852170434086818E+007;-1.189975931218211E+002;
9.911982396479295E+007;-1.197163946571273E+002;
9.971794358871774E+007;-1.203996080453862E+002;
1.003160632126425E+008;-1.210651872787440E+002;
1.009141828365673E+008;-1.217511867876428E+002;
1.015123024604921E+008;-1.226216830088734E+002;
1.021104220844169E+008;-1.233314493945793E+002;
1.027085417083417E+008;-1.241684827226897E+002;
1.033066613322665E+008;-1.247801784664871E+002;
1.039047809561912E+008;-1.255786361336296E+002;
1.045029005801160E+008;-1.262848203253566E+002;
1.051010202040408E+008;-1.269726905488879E+002;
1.056991398279656E+008;-1.276620416231848E+002;
1.062972594518904E+008;-1.283575709059944E+002;
1.068953790758152E+008;-1.290592112727356E+002;
1.074934986997400E+008;-1.302988168015303E+002;
1.080916183236647E+008;-1.309097038554890E+002;
1.086897379475895E+008;-1.316254202366919E+002;
1.092878575715143E+008;-1.322645153895727E+002;
1.098859771954391E+008;-1.330019813351198E+002;
1.104840968193639E+008;-1.336521086942132E+002;
1.110822164432887E+008;-1.342672267068749E+002;
1.116803360672135E+008;-1.349290027281748E+002;
1.122784556911382E+008;-1.356413773108302E+002;
1.128765753150630E+008;-1.362705241743466E+002;
1.134746949389878E+008;-1.369152427421214E+002;
1.140728145629126E+008;-1.376368198578037E+002;
1.146709341868374E+008;-1.383352550256694E+002;
1.152690538107622E+008;-1.390311997674588E+002;
1.158671734346869E+008;-1.397349208177941E+002;
1.164652930586117E+008;-1.404693471958829E+002;
1.170634126825365E+008;-1.412298167948206E+002;
1.176615323064613E+008;-1.419023178611063E+002;
1.182596519303861E+008;-1.425976245071992E+002;
1.188577715543109E+008;-1.433329214900184E+002;
1.194558911782357E+008;-1.440495092400059E+002;
1.200540108021604E+008;-1.447222006387869E+002;
1.206521304260852E+008;-1.453726310016697E+002;
1.212502500500100E+008;-1.461409977621167E+002;
1.218483696739348E+008;-1.468589025230660E+002;
1.224464892978596E+008;-1.475658603421285E+002;
1.230446089217844E+008;-1.482361256866915E+002;
1.236427285457091E+008;-1.490153998458451E+002;
1.242408481696339E+008;-1.496749637262061E+002;
1.248389677935587E+008;-1.504212424735815E+002;
1.254370874174835E+008;-1.510785479735388E+002;
1.260352070414083E+008;-1.518381901758656E+002;
1.266333266653331E+008;-1.524893831153015E+002;
1.272314462892579E+008;-1.532489482831487E+002;
1.278295659131826E+008;-1.538805925481225E+002;
1.284276855371074E+008;-1.546369914479091E+002;
1.290258051610322E+008;-1.553666065143222E+002;
1.296239247849570E+008;-1.560753480216434E+002;
1.302220444088818E+008;-1.567747443851409E+002;
1.308201640328066E+008;-1.574720587361180E+002;
1.314182836567313E+008;-1.581619478600084E+002;
1.320164032806561E+008;-1.589180466986448E+002;
1.326145229045809E+008;-1.595515124905838E+002;
1.332126425285057E+008;-1.602957954852996E+002;
1.338107621524305E+008;-1.609804706376493E+002;
1.344088817763553E+008;-1.617444480358965E+002;
1.350070014002801E+008;-1.623905592114928E+002;
1.356051210242049E+008;-1.631906653760761E+002;
1.362032406481296E+008;-1.638405861875442E+002;
1.368013602720544E+008;-1.645426941733364E+002;
1.373994798959792E+008;-1.652931131370976E+002;
1.379975995199040E+008;-1.659928636478293E+002;
1.385957191438288E+008;-1.667160085017662E+002;
1.391938387677535E+008;-1.674192529387020E+002;
1.397919583916783E+008;-1.680814778789837E+002;
1.403900780156031E+008;-1.687734249891277E+002;
1.409881976395279E+008;-1.695329747511665E+002;
1.415863172634527E+008;-1.702670190937679E+002;
1.421844368873775E+008;-1.709273912985009E+002;
1.427825565113023E+008;-1.716328418125616E+002;
1.433806761352270E+008;-1.723496620758495E+002;
1.439787957591518E+008;-1.730980437195387E+002;
1.445769153830766E+008;-1.737558161646422E+002;
1.451750350070014E+008;-1.745084245839359E+002;
1.457731546309262E+008;-1.751660023474260E+002;
1.463712742548510E+008;-1.759090448617369E+002;
1.469693938787758E+008;-1.766072711834528E+002;
1.475675135027005E+008;-1.772768861001115E+002;
1.481656331266253E+008;-1.780481220469650E+002;
1.487637527505501E+008;-1.787343614960395E+002;
1.493618723744749E+008;-1.794746810796921E+002;
1.499599919983997E+008;1.798525271593441E+002;
1.505581116223245E+008;1.791327195435776E+002;
1.511562312462493E+008;1.783968877397070E+002;
1.517543508701740E+008;1.777275906513968E+002;
1.523524704940988E+008;1.769600785708578E+002;
1.529505901180236E+008;1.762493984668691E+002;
1.535487097419484E+008;1.755459489226095E+002;
1.541468293658732E+008;1.748540194214767E+002;
1.547449489897980E+008;1.741348960831717E+002;
1.553430686137227E+008;1.734828546929411E+002;
1.559411882376475E+008;1.727808641655188E+002;
1.565393078615723E+008;1.720332283813777E+002;
1.571374274854971E+008;1.713415020892194E+002;
1.577355471094219E+008;1.706581905742391E+002;
1.583336667333467E+008;1.699162705495796E+002;
1.589317863572715E+008;1.692543694389340E+002;
1.595299059811962E+008;1.684676737999263E+002;
1.601280256051210E+008;1.678011361982576E+002;
1.607261452290458E+008;1.671092057104436E+002;
1.613242648529706E+008;1.664357855079939E+002;
1.619223844768954E+008;1.657195535033525E+002;
1.625205041008202E+008;1.649757597105996E+002;
1.631186237247450E+008;1.642745150235805E+002;
1.637167433486697E+008;1.635308724974495E+002;
1.643148629725945E+008;1.628428513237220E+002;
1.649129825965193E+008;1.621173765383001E+002;
1.655111022204441E+008;1.614243846619906E+002;
1.661092218443689E+008;1.606991844098402E+002;
1.667073414682937E+008;1.599956552737404E+002;
1.673054610922184E+008;1.592798881631015E+002;
1.679035807161432E+008;1.585490878050136E+002;
1.685017003400680E+008;1.578318433811145E+002;
1.690998199639928E+008;1.571543689603056E+002;
1.696979395879176E+008;1.564242233658981E+002;
1.702960592118424E+008;1.557128485048017E+002;
1.708941788357672E+008;1.550005685802250E+002;
1.714922984596919E+008;1.543867707348861E+002;
1.720904180836167E+008;1.536211242927297E+002;
1.726885377075415E+008;1.529226922247463E+002;
1.732866573314663E+008;1.522498965232491E+002;
1.738847769553911E+008;1.514936815948786E+002;
1.744828965793159E+008;1.508196636623468E+002;
1.750810162032406E+008;1.501175732392338E+002;
1.756791358271654E+008;1.493912448741359E+002;
1.762772554510902E+008;1.487147802053038E+002;
1.768753750750150E+008;1.479817595754092E+002;
1.774734946989398E+008;1.472882618114327E+002;
1.780716143228646E+008;1.466110714618797E+002;
1.786697339467894E+008;1.459158658430764E+002;
1.792678535707142E+008;1.451828209593352E+002;
1.798659731946389E+008;1.444604574198138E+002;
1.804640928185637E+008;1.437758443161690E+002;
1.810622124424885E+008;1.430375004134260E+002;
1.816603320664133E+008;1.423002268972200E+002;
1.822584516903381E+008;1.415939709822728E+002;
1.828565713142628E+008;1.408860076294195E+002;
1.834546909381876E+008;1.401774968398824E+002;
