# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-5.500606248625162E-003;
1.059811962392478E+007;-5.290368481931568E-002;
1.119623924784957E+007;1.055965421616578E-001;
1.179435887177436E+007;-3.883985166667259E-002;
1.239247849569914E+007;1.954939758034633E-002;
1.299059811962393E+007;7.609385836244346E-002;
1.358871774354871E+007;-5.300002393597125E-003;
1.418683736747349E+007;-2.423871587777745E-002;
1.478495699139828E+007;5.460428361897180E-002;
1.538307661532307E+007;4.557962351169825E-002;
1.598119623924785E+007;6.535482244406350E-003;
1.657931586317264E+007;3.722287988916094E-002;
1.717743548709742E+007;-3.294316545304771E-002;
1.777555511102220E+007;-4.512692061210307E-002;
1.837367473494699E+007;7.931930583494128E-003;
1.897179435887177E+007;-4.494409685852702E-002;
1.956991398279656E+007;1.810033766673513E-002;
2.016803360672134E+007;3.234688132600488E-002;
2.076615323064613E+007;-4.880734156811182E-003;
2.136427285457091E+007;-5.826677701446376E-003;
2.196239247849570E+007;1.410791666797270E-003;
2.256051210242049E+007;3.067343200201598E-002;
2.315863172634527E+007;1.821198813343313E-004;
2.375675135027006E+007;1.738775465201230E-002;
2.435487097419484E+007;-1.761111679762495E-002;
2.495299059811962E+007;-1.657512938342459E-002;
2.555111022204441E+007;1.812309950913337E-002;
2.614922984596919E+007;-3.120846195317764E-003;
2.674734946989398E+007;4.784849879827115E-003;
2.734546909381877E+007;-2.170448124489540E-002;
2.794358871774355E+007;-1.310432225395755E-003;
2.854170834166833E+007;4.060290523371117E-003;
2.913982796559312E+007;1.925612135775076E-003;
2.973794758951790E+007;6.557395654979617E-003;
3.033606721344269E+007;2.132284188510994E-002;
3.093418683736747E+007;1.363718140985903E-002;
3.153230646129226E+007;1.030915850350060E-002;
3.213042608521704E+007;1.354407192116030E-002;
3.272854570914183E+007;1.102513182227417E-002;
3.332666533306661E+007;1.835629430006452E-002;
3.392478495699140E+007;1.938419633213322E-002;
3.452290458091618E+007;3.003335260325345E-002;
3.512102420484097E+007;4.070578512798889E-002;
3.571914382876575E+007;9.727617765567949E-003;
3.631726345269054E+007;1.976714495018157E-001;
3.691538307661532E+007;1.967025734451135E-001;
3.751350270054011E+007;1.655113399377603E-001;
3.811162232446489E+007;1.852379032632756E-001;
3.870974194838968E+007;1.624600086393303E-001;
3.930786157231446E+007;1.513708715807982E-001;
3.990598119623925E+007;1.514697901829654E-001;
4.050410082016403E+007;1.451348858965253E-001;
4.110222044408882E+007;1.126226092727044E-001;
4.170034006801360E+007;1.225692495586041E-001;
4.229845969193839E+007;1.327008785925978E-001;
4.289657931586318E+007;9.963767437497398E-002;
4.349469893978795E+007;8.011649125761569E-002;
4.409281856371274E+007;8.522806572345659E-002;
4.469093818763753E+007;7.424855826644568E-002;
4.528905781156232E+007;6.811467631636535E-002;
4.588717743548710E+007;5.619060985353537E-002;
4.648529705941188E+007;5.706865699405646E-002;
4.708341668333667E+007;3.452206302525017E-002;
4.768153630726145E+007;3.795497168595024E-002;
4.827965593118624E+007;4.152572887961130E-002;
4.887777555511102E+007;2.908356928474284E-002;
4.947589517903581E+007;2.017835182434072E-002;
5.007401480296059E+007;1.880128366347008E-002;
5.067213442688537E+007;5.783011649338329E-003;
