# Version 1.00
#
freq[Hz];Trc1_S11[°];
1.000000000000000E+007;-1.105384919945579E+001;
1.059811962392478E+007;-1.072087416119584E+001;
1.119623924784957E+007;-1.175237900046179E+001;
1.179435887177436E+007;-1.277646087434178E+001;
1.239247849569914E+007;-1.264242622102746E+001;
1.299059811962393E+007;-1.401568320882005E+001;
1.358871774354871E+007;-1.414928429673137E+001;
1.418683736747349E+007;-1.470893326414288E+001;
1.478495699139828E+007;-1.585048385639786E+001;
1.538307661532307E+007;-1.629633069361250E+001;
1.598119623924785E+007;-1.674436822199154E+001;
1.657931586317264E+007;-1.764630496895218E+001;
1.717743548709742E+007;-1.839738667611679E+001;
1.777555511102220E+007;-1.884331009054949E+001;
1.837367473494699E+007;-1.917586058689897E+001;
1.897179435887177E+007;-1.992165297647881E+001;
1.956991398279656E+007;-2.062559517900187E+001;
2.016803360672134E+007;-2.125709295525305E+001;
2.076615323064613E+007;-2.233336621024484E+001;
2.136427285457091E+007;-2.280695802142905E+001;
2.196239247849570E+007;-2.294088121241816E+001;
2.256051210242049E+007;-2.378393074616063E+001;
2.315863172634527E+007;-2.439909242222270E+001;
2.375675135027006E+007;-2.497617959215397E+001;
2.435487097419484E+007;-2.556795981243335E+001;
2.495299059811962E+007;-2.611899954555371E+001;
2.555111022204441E+007;-2.682389789442357E+001;
2.614922984596919E+007;-2.745811271184664E+001;
2.674734946989398E+007;-2.813567701409227E+001;
2.734546909381877E+007;-2.865818293838474E+001;
2.794358871774355E+007;-2.946180787482522E+001;
2.854170834166833E+007;-3.009522150378227E+001;
2.913982796559312E+007;-3.051154924114185E+001;
2.973794758951790E+007;-3.131078781416729E+001;
3.033606721344269E+007;-3.199517085297511E+001;
3.093418683736747E+007;-3.245850756807289E+001;
3.153230646129226E+007;-3.316823450339683E+001;
3.213042608521704E+007;-3.361613694019567E+001;
3.272854570914183E+007;-3.444049336968215E+001;
3.332666533306661E+007;-3.504882396240842E+001;
3.392478495699140E+007;-3.571316609278475E+001;
3.452290458091618E+007;-3.615189298557363E+001;
3.512102420484097E+007;-3.701459216754731E+001;
3.571914382876575E+007;-3.770227157359665E+001;
3.631726345269054E+007;-3.773667241638080E+001;
3.691538307661532E+007;-3.830834416802086E+001;
3.751350270054011E+007;-3.921838179860747E+001;
3.811162232446489E+007;-3.976074648702542E+001;
3.870974194838968E+007;-4.069099477654203E+001;
3.930786157231446E+007;-4.115042548485965E+001;
3.990598119623925E+007;-4.196510429565818E+001;
4.050410082016403E+007;-4.262530245101332E+001;
4.110222044408882E+007;-4.325043495345992E+001;
4.170034006801360E+007;-4.396741575320751E+001;
4.229845969193839E+007;-4.453354509110065E+001;
4.289657931586318E+007;-4.532208692761351E+001;
4.349469893978795E+007;-4.590927582491731E+001;
4.409281856371274E+007;-4.651151768277550E+001;
4.469093818763753E+007;-4.721109493828697E+001;
4.528905781156232E+007;-4.768064413467474E+001;
4.588717743548710E+007;-4.845132749917710E+001;
4.648529705941188E+007;-4.919465159335286E+001;
4.708341668333667E+007;-4.974230446636965E+001;
4.768153630726145E+007;-5.045624204348388E+001;
4.827965593118624E+007;-5.091480269286353E+001;
4.887777555511102E+007;-5.156043838521436E+001;
4.947589517903581E+007;-5.213619239482402E+001;
5.007401480296059E+007;-5.268690145609847E+001;
5.067213442688537E+007;-5.344876472550426E+001;
5.127025405081016E+007;-5.411862351412925E+001;
5.186837367473494E+007;-5.467656996254441E+001;
5.246649329865973E+007;-5.538581288485918E+001;
5.306461292258452E+007;-5.596132240080778E+001;
5.366273254650930E+007;-5.661841471639901E+001;
5.426085217043409E+007;-5.726883466852361E+001;
5.485897179435887E+007;-5.796712401563456E+001;
5.545709141828366E+007;-5.850876591149061E+001;
5.605521104220844E+007;-5.920818962165805E+001;
5.665333066613323E+007;-5.986417927755132E+001;
5.725145029005801E+007;-6.042815855275377E+001;
5.784956991398279E+007;-6.116573694951097E+001;
5.844768953790758E+007;-6.174910166511205E+001;
5.904580916183236E+007;-6.233551411873455E+001;
5.964392878575715E+007;-6.292477813636833E+001;
6.024204840968194E+007;-6.359483454788944E+001;
6.084016803360672E+007;-6.419247933102106E+001;
6.143828765753151E+007;-6.488965578611675E+001;
6.203640728145629E+007;-6.545457085837064E+001;
6.263452690538108E+007;-6.608200324547016E+001;
6.323264652930586E+007;-6.674841580435079E+001;
6.383076615323065E+007;-6.735536469559359E+001;
6.442888577715543E+007;-6.796725005861144E+001;
6.502700540108021E+007;-6.858883942480289E+001;
6.562512502500500E+007;-6.923010335479788E+001;
6.622324464892978E+007;-6.982555570932580E+001;
6.682136427285457E+007;-7.042495522801102E+001;
6.741948389677936E+007;-7.110900603057395E+001;
6.801760352070415E+007;-7.178115027424826E+001;
6.861572314462893E+007;-7.234474312643353E+001;
6.921384276855370E+007;-7.288026438606651E+001;
6.981196239247850E+007;-7.354258294495801E+001;
7.041008201640329E+007;-7.413639464353123E+001;
7.100820164032807E+007;-7.478516864730368E+001;
7.160632126425284E+007;-7.539126887552779E+001;
7.220444088817763E+007;-7.592233390891693E+001;
7.280256051210243E+007;-7.669694774803132E+001;
7.340068013602720E+007;-7.733947759565751E+001;
7.399879975995198E+007;-7.788789280568318E+001;
7.459691938387677E+007;-7.848849951757298E+001;
7.519503900780156E+007;-7.916398757790333E+001;
7.579315863172635E+007;-7.979461206966403E+001;
7.639127825565113E+007;-8.049584069746068E+001;
7.698939787957591E+007;-8.118571427350274E+001;
7.758751750350070E+007;-8.165673350610702E+001;
7.818563712742548E+007;-8.232318060460727E+001;
7.878375675135027E+007;-8.299862162762486E+001;
7.938187637527506E+007;-8.365578240215733E+001;
7.997999599919984E+007;-8.422727766573946E+001;
8.057811562312463E+007;-8.491348305649166E+001;
8.117623524704941E+007;-8.557351599687075E+001;
8.177435487097420E+007;-8.611097433812803E+001;
8.237247449489898E+007;-8.668261531537230E+001;
8.297059411882377E+007;-8.744381357725327E+001;
8.356871374274854E+007;-8.803258727088929E+001;
8.416683336667334E+007;-8.851069876558702E+001;
8.476495299059811E+007;-8.911624127544457E+001;
8.536307261452290E+007;-8.972568677216451E+001;
8.596119223844768E+007;-9.027430554586597E+001;
8.655931186237247E+007;-9.093259959617335E+001;
8.715743148629727E+007;-9.154979167178610E+001;
8.775555111022204E+007;-9.209637549279707E+001;
8.835367073414683E+007;-9.274164870287740E+001;
8.895179035807161E+007;-9.348187826757699E+001;
8.954990998199640E+007;-9.407588059974439E+001;
9.014802960592118E+007;-9.463744038596002E+001;
9.074614922984597E+007;-9.534663574028433E+001;
9.134426885377075E+007;-9.596324321631022E+001;
9.194238847769554E+007;-9.666870389713419E+001;
9.254050810162032E+007;-9.725224237613401E+001;
9.313862772554511E+007;-9.789699142991157E+001;
9.373674734946989E+007;-9.851568523869935E+001;
9.433486697339468E+007;-9.926029016561265E+001;
9.493298659731947E+007;-9.992100262746151E+001;
9.553110622124425E+007;-1.006341185963108E+002;
9.612922584516904E+007;-1.012299698898247E+002;
9.672734546909381E+007;-1.017900225837197E+002;
9.732546509301861E+007;-1.024774101097706E+002;
9.792358471694338E+007;-1.029835110349090E+002;
9.852170434086818E+007;-1.036565391210064E+002;
9.911982396479295E+007;-1.041569885692873E+002;
9.971794358871774E+007;-1.048867874986230E+002;
1.003160632126425E+008;-1.054726124921781E+002;
1.009141828365673E+008;-1.061859371190357E+002;
1.015123024604921E+008;-1.068068624007286E+002;
1.021104220844169E+008;-1.075118851197890E+002;
1.027085417083417E+008;-1.081377176794177E+002;
1.033066613322665E+008;-1.088023869702969E+002;
1.039047809561912E+008;-1.093174123942390E+002;
1.045029005801160E+008;-1.099938939789681E+002;
1.051010202040408E+008;-1.106172298465369E+002;
1.056991398279656E+008;-1.112762940238657E+002;
1.062972594518904E+008;-1.118766026136521E+002;
1.068953790758152E+008;-1.124253018691145E+002;
1.074934986997400E+008;-1.135200425335748E+002;
1.080916183236647E+008;-1.141702996356323E+002;
1.086897379475895E+008;-1.147867198164814E+002;
1.092878575715143E+008;-1.153327404898599E+002;
1.098859771954391E+008;-1.159378661556160E+002;
1.104840968193639E+008;-1.164662941711308E+002;
1.110822164432887E+008;-1.171159119338867E+002;
1.116803360672135E+008;-1.176539742080840E+002;
1.122784556911382E+008;-1.182479151652301E+002;
1.128765753150630E+008;-1.187524742195557E+002;
1.134746949389878E+008;-1.193366270684611E+002;
1.140728145629126E+008;-1.198474032480861E+002;
1.146709341868374E+008;-1.205201715378708E+002;
1.152690538107622E+008;-1.211399413042114E+002;
1.158671734346869E+008;-1.217743567913490E+002;
1.164652930586117E+008;-1.224283867178216E+002;
1.170634126825365E+008;-1.230609409730814E+002;
