# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-1.072923336016266E-001;
3.001001001001001E+007;-8.917793218065117E-001;
5.002002002002002E+007;-1.124449513943744E+000;
7.003003003003004E+007;-1.329867135713896E+000;
9.004004004004005E+007;-1.344073278967484E+000;
1.100500500500501E+008;-1.469019091432655E+000;
1.300600600600601E+008;-1.840213652304817E+000;
1.500700700700701E+008;-1.741120057205819E+000;
1.700800800800801E+008;-1.891774076461458E+000;
1.900900900900901E+008;-1.932489347431686E+000;
2.101001001001001E+008;-2.230841842537981E+000;
2.301101101101101E+008;-2.267173925670854E+000;
2.501201201201201E+008;-2.193318838332623E+000;
2.701301301301302E+008;-2.412392735080868E+000;
2.901401401401402E+008;-2.467437828385650E+000;
3.101501501501502E+008;-2.735810163973979E+000;
3.301601601601602E+008;-2.511167766826159E+000;
3.501701701701702E+008;-2.640394222780512E+000;
3.701801801801802E+008;-2.878898910339582E+000;
3.901901901901902E+008;-2.871066431542531E+000;
4.102002002002002E+008;-2.989541751727253E+000;
4.302102102102103E+008;-2.763810185375031E+000;
4.502202202202203E+008;-3.208082789474853E+000;
4.702302302302303E+008;-3.192738678592764E+000;
4.902402402402403E+008;-3.149827363223883E+000;
5.102502502502503E+008;-3.203027616695331E+000;
5.302602602602603E+008;-3.185001803205017E+000;
5.502702702702704E+008;-3.744484698195651E+000;
5.702802802802804E+008;-3.387434868642580E+000;
5.902902902902904E+008;-3.462206956696868E+000;
6.103003003003004E+008;-3.697814808988430E+000;
6.303103103103104E+008;-3.715238842682760E+000;
6.503203203203204E+008;-4.088056425506473E+000;
6.703303303303304E+008;-3.566698256830660E+000;
6.903403403403404E+008;-4.015878134573626E+000;
7.103503503503504E+008;-4.118692401192011E+000;
7.303603603603604E+008;-4.090100806441283E+000;
7.503703703703704E+008;-4.229561701554866E+000;
7.703803803803804E+008;-3.818881208819579E+000;
7.903903903903904E+008;-4.616541135009216E+000;
8.104004004004004E+008;-4.394360476398202E+000;
8.304104104104105E+008;-4.216975318724259E+000;
8.504204204204205E+008;-4.464531586436422E+000;
8.704304304304305E+008;-4.250069979871551E+000;
8.904404404404405E+008;-4.962193866413914E+000;
9.104504504504505E+008;-4.424242055954135E+000;
9.304604604604605E+008;-4.515704384369460E+000;
9.504704704704706E+008;-4.798589094986944E+000;
9.704804804804806E+008;-4.690225405194332E+000;
9.904904904904906E+008;-5.038812314288449E+000;
1.010500500500501E+009;-4.476986769359553E+000;
1.030510510510511E+009;-5.065826710933233E+000;
1.050520520520521E+009;-5.483085190412123E+000;
1.070530530530531E+009;-5.512308443954495E+000;
1.090540540540541E+009;-5.338567766579335E+000;
1.110550550550551E+009;-5.001171164886484E+000;
1.130560560560561E+009;-5.912281007702095E+000;
1.150570570570571E+009;-5.702426010505035E+000;
1.170580580580581E+009;-5.590307259240832E+000;
1.190590590590591E+009;-5.322476653986424E+000;
1.210600600600601E+009;-5.388213341005957E+000;
1.230610610610611E+009;-5.927373876653650E+000;
1.250620620620621E+009;-5.349464629137327E+000;
1.270630630630631E+009;-5.807970065965368E+000;
1.290640640640641E+009;-5.416468442208474E+000;
1.310650650650651E+009;-5.564524254797932E+000;
1.330660660660661E+009;-5.714283178788552E+000;
1.350670670670671E+009;-5.057539316164461E+000;
1.370680680680681E+009;-5.749072267243457E+000;
1.390690690690691E+009;-5.520586864295240E+000;
1.410700700700701E+009;-5.702895652025902E+000;
1.430710710710711E+009;-5.686931223998304E+000;
1.450720720720721E+009;-5.262240632142970E+000;
1.470730730730731E+009;-5.999663445638612E+000;
1.490740740740741E+009;-5.556565275730045E+000;
1.510750750750751E+009;-5.768606974002426E+000;
1.530760760760761E+009;-5.583581295014765E+000;
1.550770770770771E+009;-5.556772449351539E+000;
1.570780780780781E+009;-6.204374272171066E+000;
1.590790790790791E+009;-5.539177068726114E+000;
1.610800800800801E+009;-5.984069812006976E+000;
1.630810810810811E+009;-5.775403096267394E+000;
1.650820820820821E+009;-6.287882348428578E+000;
1.670830830830831E+009;-6.884478753697094E+000;
