# Version 1.00
#
freq[Hz];Trc2_S11[°];
1.000000000000000E+007;-7.480595172394085E+001;
3.001001001001001E+007;-2.297531685318524E+002;
5.002002002002002E+007;-3.802828621680351E+002;
7.003003003003004E+007;-5.310389408917029E+002;
9.004004004004005E+007;-6.811159878736846E+002;
1.100500500500501E+008;-8.319053393575621E+002;
1.300600600600601E+008;-9.843788471796544E+002;
1.500700700700701E+008;-1.132469095798555E+003;
1.700800800800801E+008;-1.283778207062077E+003;
1.900900900900901E+008;-1.434075609216926E+003;
2.101001001001001E+008;-1.586177690689987E+003;
2.301101101101101E+008;-1.735796389785119E+003;
2.501201201201201E+008;-1.884106009160505E+003;
2.701301301301302E+008;-2.037772932477162E+003;
2.901401401401402E+008;-2.186163224608277E+003;
3.101501501501502E+008;-2.337856602989136E+003;
3.301601601601602E+008;-2.486381246973478E+003;
3.501701701701702E+008;-2.635809481160630E+003;
3.701801801801802E+008;-2.789079419511267E+003;
3.901901901901902E+008;-2.936087005058756E+003;
4.102002002002002E+008;-3.088189780269510E+003;
4.302102102102103E+008;-3.235015613211411E+003;
4.502202202202203E+008;-3.387258466959287E+003;
4.702302302302303E+008;-3.539745687098940E+003;
4.902402402402403E+008;-3.686066954539070E+003;
5.102502502502503E+008;-3.839594325221715E+003;
5.302602602602603E+008;-3.986921777683504E+003;
5.502702702702704E+008;-4.141455848110789E+003;
5.702802802802804E+008;-4.292325567036825E+003;
5.902902902902904E+008;-4.439506392790047E+003;
6.103003003003004E+008;-4.595821696950598E+003;
6.303103103103104E+008;-4.743907790692526E+003;
6.503203203203204E+008;-4.899901798004607E+003;
6.703303303303304E+008;-5.048035729335984E+003;
6.903403403403404E+008;-5.199013549788885E+003;
7.103503503503504E+008;-5.354727071768574E+003;
7.303603603603604E+008;-5.501783437447481E+003;
7.503703703703704E+008;-5.657957708302073E+003;
7.703803803803804E+008;-5.803143031770135E+003;
7.903903903903904E+008;-5.956483270976660E+003;
8.104004004004004E+008;-6.109779531542815E+003;
8.304104104104105E+008;-6.255003309972527E+003;
8.504204204204205E+008;-6.409467013790061E+003;
8.704304304304305E+008;-6.555373258059787E+003;
8.904404404404405E+008;-6.709761392656920E+003;
9.104504504504505E+008;-6.859266398433496E+003;
9.304604604604605E+008;-7.006314406452540E+003;
9.504704704704706E+008;-7.160565920802610E+003;
9.704804804804806E+008;-7.307243529270971E+003;
9.904904904904906E+008;-7.463612143989712E+003;
1.010500500500501E+009;-7.611881957937463E+003;
1.030510510510511E+009;-7.763899204949448E+003;
1.050520520520521E+009;-7.918490484885190E+003;
1.070530530530531E+009;-8.064211718982941E+003;
1.090540540540541E+009;-8.220686026252242E+003;
1.110550550550551E+009;-8.368328404276836E+003;
1.130560560560561E+009;-8.523479168382060E+003;
1.150570570570571E+009;-8.674211763432162E+003;
1.170580580580581E+009;-8.822048557616046E+003;
1.190590590590591E+009;-8.977361385774591E+003;
1.210600600600601E+009;-9.123083771748541E+003;
1.230610610610611E+009;-9.279423462253517E+003;
1.250620620620621E+009;-9.427424622220433E+003;
1.270630630630631E+009;-9.574954507455428E+003;
1.290640640640641E+009;-9.726515292460028E+003;
1.310650650650651E+009;-9.871087438964159E+003;
1.330660660660661E+009;-1.002767239864888E+004;
1.350670670670671E+009;-1.017287752530268E+004;
1.370680680680681E+009;-1.032191875464568E+004;
1.390690690690691E+009;-1.047395151360080E+004;
1.410700700700701E+009;-1.061821630172906E+004;
1.430710710710711E+009;-1.077438801290631E+004;
1.450720720720721E+009;-1.091897655560003E+004;
1.470730730730731E+009;-1.106970792702182E+004;
1.490740740740741E+009;-1.122171533693909E+004;
1.510750750750751E+009;-1.137014155763154E+004;
1.530760760760761E+009;-1.152761515662918E+004;
1.550770770770771E+009;-1.167171283196345E+004;
1.570780780780781E+009;-1.182810778711329E+004;
1.590790790790791E+009;-1.198080641322964E+004;
1.610800800800801E+009;-1.213401423000783E+004;
1.630810810810811E+009;-1.229105045318212E+004;
1.650820820820821E+009;-1.244180841221790E+004;
1.670830830830831E+009;-1.261638697430043E+004;
1.690840840840841E+009;-1.279064283201243E+004;
1.710850850850851E+009;-1.273618183416366E+004;
1.730860860860861E+009;-1.260597265119207E+004;
1.750870870870871E+009;-1.276688164396562E+004;
1.770880880880881E+009;-1.293365635303250E+004;
1.790890890890891E+009;-1.308616556111878E+004;
1.810900900900901E+009;-1.323260757807351E+004;
1.830910910910911E+009;-1.338470773164742E+004;
1.850920920920921E+009;-1.352957595185007E+004;
1.870930930930931E+009;-1.368606643211805E+004;
1.890940940940941E+009;-1.382907992984851E+004;
1.910950950950951E+009;-1.397517524470782E+004;
1.930960960960961E+009;-1.412781967559766E+004;
1.950970970970971E+009;-1.427451272398993E+004;
1.970980980980981E+009;-1.442876213665952E+004;
1.990990990990991E+009;-1.457046886087498E+004;
2.011001001001001E+009;-1.471944992937247E+004;
2.031011011011011E+009;-1.487342649783870E+004;
2.051021021021021E+009;-1.502187462555491E+004;
2.071031031031031E+009;-1.517316100107970E+004;
2.091041041041041E+009;-1.531498165834422E+004;
2.111051051051051E+009;-1.547179089167573E+004;
2.131061061061061E+009;-1.562506823984458E+004;
