# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-1.954623429423884E-002;
1.059811962392478E+007;-4.325754822522355E-002;
1.119623924784957E+007;-1.233102497446944E-001;
1.179435887177436E+007;-2.543089681068843E-002;
1.239247849569914E+007;-1.893791432390255E-001;
1.299059811962393E+007;-1.609194574776155E-001;
1.358871774354871E+007;-1.622893981590797E-001;
1.418683736747349E+007;-1.818364952254922E-001;
1.478495699139828E+007;-2.423429644617401E-001;
1.538307661532307E+007;-3.062212187435712E-001;
1.598119623924785E+007;-3.191107788911979E-001;
1.657931586317264E+007;-3.542298112270811E-001;
1.717743548709742E+007;-3.151108309322845E-001;
1.777555511102220E+007;-3.257633032688940E-001;
1.837367473494699E+007;-4.326086471303295E-001;
1.897179435887177E+007;-4.155409238717258E-001;
1.956991398279656E+007;-4.391139898542429E-001;
2.016803360672134E+007;-5.098638786841898E-001;
2.076615323064613E+007;-5.868077274946096E-001;
2.136427285457091E+007;-5.137989978900629E-001;
2.196239247849570E+007;-5.876723563860743E-001;
2.256051210242049E+007;-5.515471827034340E-001;
2.315863172634527E+007;-5.976786024486062E-001;
2.375675135027006E+007;-6.148027759428573E-001;
2.435487097419484E+007;-6.208161734929072E-001;
2.495299059811962E+007;-6.571521767007160E-001;
2.555111022204441E+007;-6.809255054730942E-001;
2.614922984596919E+007;-7.388581311545711E-001;
2.674734946989398E+007;-7.219748974748754E-001;
2.734546909381877E+007;-7.451579945254576E-001;
2.794358871774355E+007;-7.552254728698421E-001;
2.854170834166833E+007;-8.148293059400523E-001;
2.913982796559312E+007;-8.135772765426064E-001;
2.973794758951790E+007;-8.266436715475598E-001;
3.033606721344269E+007;-8.156459535477308E-001;
3.093418683736747E+007;-8.576029135191856E-001;
3.153230646129226E+007;-8.727891229213070E-001;
3.213042608521704E+007;-8.645008619403304E-001;
3.272854570914183E+007;-8.926000635525483E-001;
3.332666533306661E+007;-9.302717038628986E-001;
3.392478495699140E+007;-9.565827229493427E-001;
3.452290458091618E+007;-9.795452859468099E-001;
3.512102420484097E+007;-9.812728878084499E-001;
3.571914382876575E+007;-1.001395114368222E+000;
3.631726345269054E+007;-1.189509969100314E+000;
3.691538307661532E+007;-1.177681996567211E+000;
3.751350270054011E+007;-1.145653648800534E+000;
3.811162232446489E+007;-1.162126968159235E+000;
3.870974194838968E+007;-1.126376605848022E+000;
3.930786157231446E+007;-1.119982132385119E+000;
3.990598119623925E+007;-1.096676849896958E+000;
4.050410082016403E+007;-1.097818075409919E+000;
4.110222044408882E+007;-1.060547574551811E+000;
4.170034006801360E+007;-1.088641055811966E+000;
4.229845969193839E+007;-1.054407162564809E+000;
4.289657931586318E+007;-1.073641667124814E+000;
4.349469893978795E+007;-1.045546334695615E+000;
4.409281856371274E+007;-1.040881774929021E+000;
4.469093818763753E+007;-1.039578555711496E+000;
4.528905781156232E+007;-1.024895408035458E+000;
4.588717743548710E+007;-1.044210626950187E+000;
4.648529705941188E+007;-1.037439758994180E+000;
4.708341668333667E+007;-1.020836886653499E+000;
4.768153630726145E+007;-1.041446652254094E+000;
4.827965593118624E+007;-1.049806337610962E+000;
4.887777555511102E+007;-1.038650015847647E+000;
4.947589517903581E+007;-1.059506276759053E+000;
5.007401480296059E+007;-1.050510304726582E+000;
5.067213442688537E+007;-1.058239942779681E+000;
5.127025405081016E+007;-1.064125534952607E+000;
5.186837367473494E+007;-1.054160051441407E+000;
5.246649329865973E+007;-1.050750712232093E+000;
5.306461292258452E+007;-1.043529559579494E+000;
5.366273254650930E+007;-1.066876231181158E+000;
5.426085217043409E+007;-1.065521080849490E+000;
5.485897179435887E+007;-1.061696329826484E+000;
5.545709141828366E+007;-1.063769704858116E+000;
5.605521104220844E+007;-1.065762778319474E+000;
5.665333066613323E+007;-1.086394822659728E+000;
5.725145029005801E+007;-1.069592052435195E+000;
5.784956991398279E+007;-1.077251390724226E+000;
5.844768953790758E+007;-1.089556910897900E+000;
5.904580916183236E+007;-1.094826252006186E+000;
5.964392878575715E+007;-1.098727700976929E+000;
6.024204840968194E+007;-1.116269018766017E+000;
6.084016803360672E+007;-1.118410530928505E+000;
6.143828765753151E+007;-1.136424648483690E+000;
6.203640728145629E+007;-1.117694812158022E+000;
6.263452690538108E+007;-1.128989927042347E+000;
6.323264652930586E+007;-1.136753578920806E+000;
6.383076615323065E+007;-1.150892238304917E+000;
6.442888577715543E+007;-1.156157821215056E+000;
6.502700540108021E+007;-1.160719079006452E+000;
6.562512502500500E+007;-1.176622166754810E+000;
6.622324464892978E+007;-1.187371804923522E+000;
6.682136427285457E+007;-1.200998663570222E+000;
6.741948389677936E+007;-1.186025627789733E+000;
6.801760352070415E+007;-1.199646271440336E+000;
6.861572314462893E+007;-1.237598699086941E+000;
6.921384276855370E+007;-1.228214992458391E+000;
6.981196239247850E+007;-1.212878365651957E+000;
7.041008201640329E+007;-1.241266905662483E+000;
7.100820164032807E+007;-1.253860708322304E+000;
7.160632126425284E+007;-1.258925389917353E+000;
7.220444088817763E+007;-1.278187303736939E+000;
7.280256051210243E+007;-1.277513339618416E+000;
7.340068013602720E+007;-1.277900918189431E+000;
7.399879975995198E+007;-1.296690153787478E+000;
7.459691938387677E+007;-1.301269678198503E+000;
7.519503900780156E+007;-1.308213857093767E+000;
7.579315863172635E+007;-1.308990742862658E+000;
7.639127825565113E+007;-1.325536657320364E+000;
7.698939787957591E+007;-1.319094895085052E+000;
7.758751750350070E+007;-1.335523826067872E+000;
7.818563712742548E+007;-1.338139029797451E+000;
7.878375675135027E+007;-1.344329221489668E+000;
7.938187637527506E+007;-1.343863122764772E+000;
7.997999599919984E+007;-1.347338593156460E+000;
8.057811562312463E+007;-1.338631604545935E+000;
8.117623524704941E+007;-1.350600516646222E+000;
8.177435487097420E+007;-1.349454273404813E+000;
8.237247449489898E+007;-1.337268593539401E+000;
8.297059411882377E+007;-1.335109122571275E+000;
8.356871374274854E+007;-1.344693469890606E+000;
8.416683336667334E+007;-1.338865722815361E+000;
8.476495299059811E+007;-1.331410605415971E+000;
8.536307261452290E+007;-1.330836183989734E+000;
8.596119223844768E+007;-1.333217628604683E+000;
8.655931186237247E+007;-1.315784312874059E+000;
8.715743148629727E+007;-1.327881237451791E+000;
8.775555111022204E+007;-1.312993503153258E+000;
8.835367073414683E+007;-1.314577862029109E+000;
8.895179035807161E+007;-1.309681370379220E+000;
8.954990998199640E+007;-1.305883994955406E+000;
9.014802960592118E+007;-1.297164878559866E+000;
9.074614922984597E+007;-1.305004181859734E+000;
9.134426885377075E+007;-1.296356907331129E+000;
9.194238847769554E+007;-1.293783613514729E+000;
9.254050810162032E+007;-1.289219726613454E+000;
9.313862772554511E+007;-1.279779414908529E+000;
9.373674734946989E+007;-1.277495685736614E+000;
9.433486697339468E+007;-1.265027792509364E+000;
9.493298659731947E+007;-1.273662887964743E+000;
9.553110622124425E+007;-1.261770988575271E+000;
9.612922584516904E+007;-1.260908400441709E+000;
9.672734546909381E+007;-1.244102786022684E+000;
9.732546509301861E+007;-1.248395108906395E+000;
9.792358471694338E+007;-1.242225093850025E+000;
9.852170434086818E+007;-1.239866833162525E+000;
9.911982396479295E+007;-1.238700140005082E+000;
9.971794358871774E+007;-1.238217587629920E+000;
1.003160632126425E+008;-1.233759767092472E+000;
1.009141828365673E+008;-1.231221085106386E+000;
1.015123024604921E+008;-1.237961143095930E+000;
1.021104220844169E+008;-1.231596849160545E+000;
1.027085417083417E+008;-1.235224962965235E+000;
1.033066613322665E+008;-1.233551874700132E+000;
1.039047809561912E+008;-1.236056936966835E+000;
1.045029005801160E+008;-1.245749753091296E+000;
1.051010202040408E+008;-1.258045161980124E+000;
1.056991398279656E+008;-1.250540309607977E+000;
1.062972594518904E+008;-1.258918305950310E+000;
1.068953790758152E+008;-1.270270307246822E+000;
1.074934986997400E+008;-1.278311239454130E+000;
1.080916183236647E+008;-1.280757329355514E+000;
1.086897379475895E+008;-1.287764376042120E+000;
1.092878575715143E+008;-1.308441540982785E+000;
1.098859771954391E+008;-1.315645898747982E+000;
1.104840968193639E+008;-1.335445751342348E+000;
1.110822164432887E+008;-1.337334411666079E+000;
1.116803360672135E+008;-1.341804419957863E+000;
1.122784556911382E+008;-1.366354986246979E+000;
1.128765753150630E+008;-1.375097760429196E+000;
1.134746949389878E+008;-1.400446375298132E+000;
1.140728145629126E+008;-1.407665597007575E+000;
1.146709341868374E+008;-1.419792823329802E+000;
1.152690538107622E+008;-1.430056389731252E+000;
1.158671734346869E+008;-1.454521675508912E+000;
1.164652930586117E+008;-1.466633150501036E+000;
1.170634126825365E+008;-1.491433183028253E+000;
1.176615323064613E+008;-1.504930278769873E+000;
1.182596519303861E+008;-1.525016590405339E+000;
1.188577715543109E+008;-1.533797654194486E+000;
1.194558911782357E+008;-1.552377218554171E+000;
1.200540108021604E+008;-1.569323029145087E+000;
1.206521304260852E+008;-1.580695123925028E+000;
1.212502500500100E+008;-1.596675826120236E+000;
1.218483696739348E+008;-1.613571973987218E+000;
1.224464892978596E+008;-1.636810763610552E+000;
1.230446089217844E+008;-1.637493464785369E+000;
1.236427285457091E+008;-1.645604131853359E+000;
1.242408481696339E+008;-1.667903531416677E+000;
1.248389677935587E+008;-1.678015129813761E+000;
1.254370874174835E+008;-1.691950766371022E+000;
1.260352070414083E+008;-1.702864478966120E+000;
1.266333266653331E+008;-1.708892260850773E+000;
1.272314462892579E+008;-1.714293079445659E+000;
1.278295659131826E+008;-1.726452413662266E+000;
1.284276855371074E+008;-1.734394723210652E+000;
1.290258051610322E+008;-1.743139973813567E+000;
1.296239247849570E+008;-1.743345237039818E+000;
1.302220444088818E+008;-1.758780076730446E+000;
1.308201640328066E+008;-1.762217322534941E+000;
1.314182836567313E+008;-1.760818687225984E+000;
1.320164032806561E+008;-1.764729856394929E+000;
1.326145229045809E+008;-1.765540611302331E+000;
1.332126425285057E+008;-1.763983766466120E+000;
1.338107621524305E+008;-1.769637698839804E+000;
1.344088817763553E+008;-1.770486263417596E+000;
1.350070014002801E+008;-1.768162987519441E+000;
1.356051210242049E+008;-1.770567998505368E+000;
1.362032406481296E+008;-1.769990470583034E+000;
1.368013602720544E+008;-1.762944961525317E+000;
1.373994798959792E+008;-1.760119615754780E+000;
1.379975995199040E+008;-1.759486477579564E+000;
1.385957191438288E+008;-1.753677339199687E+000;
1.391938387677535E+008;-1.760160466219503E+000;
1.397919583916783E+008;-1.747928154119113E+000;
1.403900780156031E+008;-1.740495290343154E+000;
1.409881976395279E+008;-1.741411596555205E+000;
1.415863172634527E+008;-1.731759396952014E+000;
1.421844368873775E+008;-1.722806901762376E+000;
1.427825565113023E+008;-1.722155179862652E+000;
1.433806761352270E+008;-1.716258016983222E+000;
1.439787957591518E+008;-1.701040965163436E+000;
1.445769153830766E+008;-1.701344174222411E+000;
1.451750350070014E+008;-1.691472263871041E+000;
1.457731546309262E+008;-1.686305785941974E+000;
1.463712742548510E+008;-1.687120292438464E+000;
1.469693938787758E+008;-1.676753041078709E+000;
1.475675135027005E+008;-1.670254689595626E+000;
1.481656331266253E+008;-1.674916766197550E+000;
1.487637527505501E+008;-1.670343909368744E+000;
1.493618723744749E+008;-1.661681737848517E+000;
1.499599919983997E+008;-1.659393466767394E+000;
1.505581116223245E+008;-1.650923156498226E+000;
1.511562312462493E+008;-1.651721864409723E+000;
1.517543508701740E+008;-1.649688892000816E+000;
1.523524704940988E+008;-1.644727303817483E+000;
1.529505901180236E+008;-1.641633107859802E+000;
1.535487097419484E+008;-1.652102945109905E+000;
1.541468293658732E+008;-1.646534981592155E+000;
1.547449489897980E+008;-1.642870589373046E+000;
1.553430686137227E+008;-1.639789881108667E+000;
1.559411882376475E+008;-1.643656677501412E+000;
1.565393078615723E+008;-1.642459945022968E+000;
1.571374274854971E+008;-1.642990875646055E+000;
1.577355471094219E+008;-1.650582556273603E+000;
1.583336667333467E+008;-1.642071419494026E+000;
1.589317863572715E+008;-1.652065514190053E+000;
1.595299059811962E+008;-1.651886497846704E+000;
1.601280256051210E+008;-1.658824528466379E+000;
1.607261452290458E+008;-1.659492969356277E+000;
1.613242648529706E+008;-1.666804400156309E+000;
1.619223844768954E+008;-1.680386615702599E+000;
1.625205041008202E+008;-1.682140878164883E+000;
1.631186237247450E+008;-1.686685035472707E+000;
1.637167433486697E+008;-1.689911055070360E+000;
1.643148629725945E+008;-1.708362473006981E+000;
1.649129825965193E+008;-1.703554764210790E+000;
1.655111022204441E+008;-1.717019641331120E+000;
1.661092218443689E+008;-1.718450774726349E+000;
1.667073414682937E+008;-1.729813330348989E+000;
1.673054610922184E+008;-1.731388086533831E+000;
1.679035807161432E+008;-1.744035010704079E+000;
1.685017003400680E+008;-1.754463052289391E+000;
1.690998199639928E+008;-1.755450204647458E+000;
1.696979395879176E+008;-1.772123418203123E+000;
1.702960592118424E+008;-1.772189627553386E+000;
1.708941788357672E+008;-1.784957850780127E+000;
1.714922984596919E+008;-1.784099549357760E+000;
1.720904180836167E+008;-1.796950274165093E+000;
1.726885377075415E+008;-1.804318041686311E+000;
1.732866573314663E+008;-1.809301139477141E+000;
1.738847769553911E+008;-1.816213337388031E+000;
1.744828965793159E+008;-1.825385720726140E+000;
1.750810162032406E+008;-1.834438757890560E+000;
1.756791358271654E+008;-1.832551527394541E+000;
1.762772554510902E+008;-1.844049511558275E+000;
1.768753750750150E+008;-1.838135452930362E+000;
1.774734946989398E+008;-1.844105727570847E+000;
1.780716143228646E+008;-1.850393339634047E+000;
1.786697339467894E+008;-1.857084638564120E+000;
1.792678535707142E+008;-1.849351310156064E+000;
1.798659731946389E+008;-1.859476966569159E+000;
1.804640928185637E+008;-1.859841589462070E+000;
1.810622124424885E+008;-1.855599731079420E+000;
1.816603320664133E+008;-1.860546917837304E+000;
1.822584516903381E+008;-1.862473611016057E+000;
1.828565713142628E+008;-1.860518682004685E+000;
1.834546909381876E+008;-1.863085239657711E+000;
1.840528105621124E+008;-1.857869414593492E+000;
1.846509301860372E+008;-1.860684565872271E+000;
1.852490498099620E+008;-1.861051686946547E+000;
1.858471694338868E+008;-1.856704770537683E+000;
1.864452890578116E+008;-1.862779403440804E+000;
1.870434086817364E+008;-1.860679711204164E+000;
1.876415283056611E+008;-1.855810429597152E+000;
1.882396479295859E+008;-1.855076700549454E+000;
1.888377675535107E+008;-1.853717595718293E+000;
1.894358871774355E+008;-1.854618927076015E+000;
1.900340068013603E+008;-1.852300902444210E+000;
1.906321264252850E+008;-1.849444177713960E+000;
1.912302460492098E+008;-1.846374507006462E+000;
1.918283656731346E+008;-1.852228576803441E+000;
1.924264852970594E+008;-1.840206469700266E+000;
1.930246049209842E+008;-1.841973822516522E+000;
1.936227245449090E+008;-1.845544127860112E+000;
1.942208441688338E+008;-1.841877601522767E+000;
1.948189637927586E+008;-1.843435221135975E+000;
1.954170834166834E+008;-1.845512744064187E+000;
