# Version 1.00
#
freq[Hz];Trc2_S11[°];
1.000000000000000E+007;-7.324514311048766E+001;
1.059811962392478E+007;-7.762580814463789E+001;
1.119623924784957E+007;-8.178650223784349E+001;
1.179435887177436E+007;-8.709492820571082E+001;
1.239247849569914E+007;-9.061877045584933E+001;
1.299059811962393E+007;-9.588280394879944E+001;
1.358871774354871E+007;-1.007736549323282E+002;
1.418683736747349E+007;-1.049106848021667E+002;
1.478495699139828E+007;-1.098136962588932E+002;
1.538307661532307E+007;-1.141214192520581E+002;
1.598119623924785E+007;-1.184503260304094E+002;
1.657931586317264E+007;-1.235438296545682E+002;
1.717743548709742E+007;-1.282325376435748E+002;
1.777555511102220E+007;-1.324567691207141E+002;
1.837367473494699E+007;-1.370643279411264E+002;
1.897179435887177E+007;-1.414112263084314E+002;
1.956991398279656E+007;-1.459290321787076E+002;
2.016803360672134E+007;-1.509226710462273E+002;
2.076615323064613E+007;-1.554116532400901E+002;
2.136427285457091E+007;-1.600225232382327E+002;
2.196239247849570E+007;-1.644393452026907E+002;
2.256051210242049E+007;-1.690877084860289E+002;
2.315863172634527E+007;-1.737296593398116E+002;
2.375675135027006E+007;-1.783035912322879E+002;
2.435487097419484E+007;-1.830658495807389E+002;
2.495299059811962E+007;-1.872255210159895E+002;
2.555111022204441E+007;-1.917610019275720E+002;
2.614922984596919E+007;-1.965189452997131E+002;
2.674734946989398E+007;-2.009358423712766E+002;
2.734546909381877E+007;-2.053138551740199E+002;
2.794358871774355E+007;-2.097903238346379E+002;
2.854170834166833E+007;-2.146307221515602E+002;
2.913982796559312E+007;-2.191711645109132E+002;
2.973794758951790E+007;-2.235878623035572E+002;
3.033606721344269E+007;-2.281926194496722E+002;
3.093418683736747E+007;-2.325540095161677E+002;
3.153230646129226E+007;-2.372955596525207E+002;
3.213042608521704E+007;-2.416453534564079E+002;
3.272854570914183E+007;-2.460108871925284E+002;
3.332666533306661E+007;-2.507774133742848E+002;
3.392478495699140E+007;-2.549536160410598E+002;
3.452290458091618E+007;-2.591115483716242E+002;
3.512102420484097E+007;-2.638082747337982E+002;
3.571914382876575E+007;-2.681606877117978E+002;
3.631726345269054E+007;-2.691211826927466E+002;
3.691538307661532E+007;-2.738131693591427E+002;
3.751350270054011E+007;-2.783732835306258E+002;
3.811162232446489E+007;-2.828796916310502E+002;
3.870974194838968E+007;-2.875090237826363E+002;
3.930786157231446E+007;-2.919171908097288E+002;
3.990598119623925E+007;-2.966291663396445E+002;
4.050410082016403E+007;-3.010412454787992E+002;
4.110222044408882E+007;-3.057070633819711E+002;
4.170034006801360E+007;-3.101945953441991E+002;
4.229845969193839E+007;-3.147533906303697E+002;
4.289657931586318E+007;-3.195943380146929E+002;
4.349469893978795E+007;-3.240952933094361E+002;
4.409281856371274E+007;-3.285718574788907E+002;
4.469093818763753E+007;-3.332533931073153E+002;
4.528905781156232E+007;-3.378180594511337E+002;
4.588717743548710E+007;-3.422982926006782E+002;
4.648529705941188E+007;-3.467165871868303E+002;
4.708341668333667E+007;-3.512401813499030E+002;
4.768153630726145E+007;-3.557926235738890E+002;
4.827965593118624E+007;-3.601461270937991E+002;
4.887777555511102E+007;-3.645684610539764E+002;
4.947589517903581E+007;-3.690996344231547E+002;
5.007401480296059E+007;-3.735045528237716E+002;
5.067213442688537E+007;-3.777858359058294E+002;
5.127025405081016E+007;-3.822031306702431E+002;
5.186837367473494E+007;-3.866226567388047E+002;
5.246649329865973E+007;-3.909090407755319E+002;
5.306461292258452E+007;-3.952565767461405E+002;
5.366273254650930E+007;-3.996961522840599E+002;
5.426085217043409E+007;-4.041830646251730E+002;
5.485897179435887E+007;-4.085320945685772E+002;
5.545709141828366E+007;-4.128488059641886E+002;
5.605521104220844E+007;-4.172016299007369E+002;
5.665333066613323E+007;-4.216352850402986E+002;
5.725145029005801E+007;-4.259557193311494E+002;
5.784956991398279E+007;-4.304162772600913E+002;
5.844768953790758E+007;-4.347569267532798E+002;
5.904580916183236E+007;-4.392299376274784E+002;
5.964392878575715E+007;-4.435471734111846E+002;
6.024204840968194E+007;-4.479039192951037E+002;
6.084016803360672E+007;-4.523826590083802E+002;
6.143828765753151E+007;-4.566831207111562E+002;
6.203640728145629E+007;-4.610934922567210E+002;
6.263452690538108E+007;-4.655280631569980E+002;
6.323264652930586E+007;-4.699225146815527E+002;
6.383076615323065E+007;-4.742658341494700E+002;
6.442888577715543E+007;-4.788328684758712E+002;
6.502700540108021E+007;-4.833383801727410E+002;
6.562512502500500E+007;-4.877004979052731E+002;
6.622324464892978E+007;-4.921555683037382E+002;
6.682136427285457E+007;-4.965953541277829E+002;
6.741948389677936E+007;-5.010455778686294E+002;
6.801760352070415E+007;-5.053743166773569E+002;
6.861572314462893E+007;-5.097860672999266E+002;
6.921384276855370E+007;-5.141520263406176E+002;
6.981196239247850E+007;-5.186443333702172E+002;
7.041008201640329E+007;-5.230820791105734E+002;
7.100820164032807E+007;-5.275652155582460E+002;
7.160632126425284E+007;-5.320642353714502E+002;
7.220444088817763E+007;-5.364446317013154E+002;
7.280256051210243E+007;-5.407638714164350E+002;
7.340068013602720E+007;-5.452416271168487E+002;
7.399879975995198E+007;-5.496508015480376E+002;
7.459691938387677E+007;-5.541224905250451E+002;
7.519503900780156E+007;-5.586983453577921E+002;
7.579315863172635E+007;-5.630910437450042E+002;
7.639127825565113E+007;-5.676124681141080E+002;
7.698939787957591E+007;-5.718945346678650E+002;
7.758751750350070E+007;-5.764245958834456E+002;
7.818563712742548E+007;-5.807666605071177E+002;
7.878375675135027E+007;-5.851174802390366E+002;
7.938187637527506E+007;-5.895575702942216E+002;
7.997999599919984E+007;-5.940350377362424E+002;
8.057811562312463E+007;-5.984166440487772E+002;
8.117623524704941E+007;-6.028048413311285E+002;
8.177435487097420E+007;-6.071913071336485E+002;
8.237247449489898E+007;-6.114627908160401E+002;
8.297059411882377E+007;-6.158805705740849E+002;
8.356871374274854E+007;-6.201647280525644E+002;
8.416683336667334E+007;-6.246205395861091E+002;
8.476495299059811E+007;-6.289987345052749E+002;
8.536307261452290E+007;-6.333061811402831E+002;
8.596119223844768E+007;-6.375937130360144E+002;
8.655931186237247E+007;-6.420463481997833E+002;
8.715743148629727E+007;-6.463365570395785E+002;
8.775555111022204E+007;-6.506980789994695E+002;
8.835367073414683E+007;-6.550219479641452E+002;
8.895179035807161E+007;-6.594177160819139E+002;
8.954990998199640E+007;-6.637280699853333E+002;
9.014802960592118E+007;-6.681124631057437E+002;
9.074614922984597E+007;-6.724629636776822E+002;
9.134426885377075E+007;-6.768087544762062E+002;
9.194238847769554E+007;-6.811095175790821E+002;
9.254050810162032E+007;-6.854224916882045E+002;
9.313862772554511E+007;-6.898243462251536E+002;
9.373674734946989E+007;-6.941937751399960E+002;
9.433486697339468E+007;-6.985749397633172E+002;
9.493298659731947E+007;-7.029026146134061E+002;
9.553110622124425E+007;-7.072659769668722E+002;
9.612922584516904E+007;-7.115657782474658E+002;
9.672734546909381E+007;-7.159121251161222E+002;
9.732546509301861E+007;-7.203378323687739E+002;
9.792358471694338E+007;-7.246479694187705E+002;
9.852170434086818E+007;-7.289928224389911E+002;
9.911982396479295E+007;-7.333707485778454E+002;
9.971794358871774E+007;-7.377786388707884E+002;
1.003160632126425E+008;-7.421720283689762E+002;
1.009141828365673E+008;-7.465970691382464E+002;
1.015123024604921E+008;-7.510328239370763E+002;
1.021104220844169E+008;-7.554077907844740E+002;
1.027085417083417E+008;-7.598543660333266E+002;
1.033066613322665E+008;-7.642895881559296E+002;
1.039047809561912E+008;-7.687013141032600E+002;
1.045029005801160E+008;-7.731633015556956E+002;
1.051010202040408E+008;-7.775725385675291E+002;
1.056991398279656E+008;-7.820179203539115E+002;
1.062972594518904E+008;-7.865145294822058E+002;
1.068953790758152E+008;-7.909212826986837E+002;
1.074934986997400E+008;-7.959230847490956E+002;
1.080916183236647E+008;-8.004058542695967E+002;
1.086897379475895E+008;-8.048237414780027E+002;
1.092878575715143E+008;-8.093095856461105E+002;
1.098859771954391E+008;-8.136502692417454E+002;
1.104840968193639E+008;-8.181206685861340E+002;
1.110822164432887E+008;-8.226480590513038E+002;
1.116803360672135E+008;-8.269443084053980E+002;
1.122784556911382E+008;-8.314965894165922E+002;
1.128765753150630E+008;-8.359247686098372E+002;
1.134746949389878E+008;-8.404215496128700E+002;
1.140728145629126E+008;-8.448385835110776E+002;
1.146709341868374E+008;-8.494185153937076E+002;
1.152690538107622E+008;-8.538850332889474E+002;
1.158671734346869E+008;-8.584001951531668E+002;
1.164652930586117E+008;-8.629595594715690E+002;
1.170634126825365E+008;-8.674970490738784E+002;
1.176615323064613E+008;-8.720081649172288E+002;
1.182596519303861E+008;-8.765620467810968E+002;
1.188577715543109E+008;-8.810366170134769E+002;
1.194558911782357E+008;-8.855374182221040E+002;
1.200540108021604E+008;-8.900198440326710E+002;
1.206521304260852E+008;-8.945964398921028E+002;
1.212502500500100E+008;-8.990348295019874E+002;
1.218483696739348E+008;-9.036221784183038E+002;
1.224464892978596E+008;-9.080176282572654E+002;
1.230446089217844E+008;-9.125548099537972E+002;
1.236427285457091E+008;-9.170586662089926E+002;
1.242408481696339E+008;-9.215430380709860E+002;
1.248389677935587E+008;-9.260774130976698E+002;
1.254370874174835E+008;-9.305483122432578E+002;
1.260352070414083E+008;-9.350284046268678E+002;
1.266333266653331E+008;-9.395093091934971E+002;
1.272314462892579E+008;-9.439057469949589E+002;
1.278295659131826E+008;-9.484422075673233E+002;
1.284276855371074E+008;-9.528421991017169E+002;
1.290258051610322E+008;-9.573300193613837E+002;
1.296239247849570E+008;-9.617871793375813E+002;
1.302220444088818E+008;-9.661755916848559E+002;
1.308201640328066E+008;-9.706315619000121E+002;
1.314182836567313E+008;-9.750640849988322E+002;
1.320164032806561E+008;-9.794256630266433E+002;
1.326145229045809E+008;-9.839044139431089E+002;
1.332126425285057E+008;-9.882789945961123E+002;
1.338107621524305E+008;-9.926038910116624E+002;
1.344088817763553E+008;-9.970877606619669E+002;
1.350070014002801E+008;-1.001398138357217E+003;
1.356051210242049E+008;-1.005767795852296E+003;
1.362032406481296E+008;-1.010124667257385E+003;
1.368013602720544E+008;-1.014517452973373E+003;
1.373994798959792E+008;-1.018858998722642E+003;
1.379975995199040E+008;-1.023250201068657E+003;
1.385957191438288E+008;-1.027553467189949E+003;
1.391938387677535E+008;-1.031894921517299E+003;
1.397919583916783E+008;-1.036163132082543E+003;
1.403900780156031E+008;-1.040467115805733E+003;
1.409881976395279E+008;-1.044821066498904E+003;
1.415863172634527E+008;-1.049162350410248E+003;
1.421844368873775E+008;-1.053469240063278E+003;
1.427825565113023E+008;-1.057783170302654E+003;
1.433806761352270E+008;-1.062106813361725E+003;
1.439787957591518E+008;-1.066364589673665E+003;
1.445769153830766E+008;-1.070678416092467E+003;
1.451750350070014E+008;-1.074974355585751E+003;
1.457731546309262E+008;-1.079294212093686E+003;
1.463712742548510E+008;-1.083608426118564E+003;
1.469693938787758E+008;-1.087941796998314E+003;
1.475675135027005E+008;-1.092195875339646E+003;
1.481656331266253E+008;-1.096503981945731E+003;
1.487637527505501E+008;-1.100828422209032E+003;
1.493618723744749E+008;-1.105116137215833E+003;
1.499599919983997E+008;-1.109441702697831E+003;
1.505581116223245E+008;-1.113729341495924E+003;
1.511562312462493E+008;-1.118043620025690E+003;
1.517543508701740E+008;-1.122392843184490E+003;
1.523524704940988E+008;-1.126726681651325E+003;
1.529505901180236E+008;-1.131044128029141E+003;
1.535487097419484E+008;-1.135357204578262E+003;
1.541468293658732E+008;-1.139680399018894E+003;
1.547449489897980E+008;-1.144042909851891E+003;
1.553430686137227E+008;-1.148405194869840E+003;
1.559411882376475E+008;-1.152732931749925E+003;
1.565393078615723E+008;-1.157070143327871E+003;
1.571374274854971E+008;-1.161465661242893E+003;
1.577355471094219E+008;-1.165828466169561E+003;
1.583336667333467E+008;-1.170151144863954E+003;
1.589317863572715E+008;-1.174588451533931E+003;
1.595299059811962E+008;-1.178937663493861E+003;
1.601280256051210E+008;-1.183304445387671E+003;
1.607261452290458E+008;-1.187729948996182E+003;
1.613242648529706E+008;-1.192137985621977E+003;
1.619223844768954E+008;-1.196566587934495E+003;
1.625205041008202E+008;-1.200941292735280E+003;
1.631186237247450E+008;-1.205306026631800E+003;
1.637167433486697E+008;-1.209757365581502E+003;
1.643148629725945E+008;-1.214153583193097E+003;
1.649129825965193E+008;-1.218588546523799E+003;
1.655111022204441E+008;-1.223048352877047E+003;
1.661092218443689E+008;-1.227412380357660E+003;
1.667073414682937E+008;-1.231834824117881E+003;
1.673054610922184E+008;-1.236294344599575E+003;
1.679035807161432E+008;-1.240702933808676E+003;
1.685017003400680E+008;-1.245120614472214E+003;
1.690998199639928E+008;-1.249566121667336E+003;
1.696979395879176E+008;-1.254007783302187E+003;
1.702960592118424E+008;-1.258411105591111E+003;
1.708941788357672E+008;-1.262834994260634E+003;
1.714922984596919E+008;-1.267311136385567E+003;
1.720904180836167E+008;-1.271646055902920E+003;
1.726885377075415E+008;-1.276113975443436E+003;
1.732866573314663E+008;-1.280563822182192E+003;
1.738847769553911E+008;-1.284977707516952E+003;
1.744828965793159E+008;-1.289397932249439E+003;
1.750810162032406E+008;-1.293829034325839E+003;
1.756791358271654E+008;-1.298206179770861E+003;
1.762772554510902E+008;-1.302661455335877E+003;
1.768753750750150E+008;-1.307042507369578E+003;
1.774734946989398E+008;-1.311474539105087E+003;
1.780716143228646E+008;-1.315887759536922E+003;
1.786697339467894E+008;-1.320314401788437E+003;
1.792678535707142E+008;-1.324718536516769E+003;
1.798659731946389E+008;-1.329142564689314E+003;
1.804640928185637E+008;-1.333596830192274E+003;
1.810622124424885E+008;-1.337969112980596E+003;
1.816603320664133E+008;-1.342433567539173E+003;
1.822584516903381E+008;-1.346853370962766E+003;
