# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-3.764981158797805E-002;
1.014950747537377E+007;4.083039601094782E-002;
1.029901495074754E+007;-3.443013054984491E-003;
1.044852242612131E+007;-4.848540453400674E-002;
1.059802990149508E+007;-1.032199153029569E-001;
1.074753737686884E+007;-2.998825620974331E-002;
1.089704485224261E+007;-1.413209702207655E-001;
1.104655232761638E+007;-1.562698485546843E-001;
1.119605980299015E+007;-1.738184964048562E-001;
1.134556727836392E+007;-2.784017501612571E-002;
1.149507475373769E+007;-2.181929426588794E-001;
1.164458222911146E+007;-1.621944628117215E-001;
1.179408970448523E+007;-1.758877244330153E-001;
1.194359717985899E+007;-2.554409509946901E-001;
1.209310465523276E+007;-1.194364092494133E-001;
1.224261213060653E+007;-2.065390873513900E-001;
1.239211960598030E+007;-1.905925346512274E-001;
1.254162708135407E+007;-2.229823648506468E-001;
1.269113455672784E+007;-2.627501266933873E-001;
1.284064203210161E+007;-1.573072704368637E-001;
1.299014950747537E+007;-2.124790358311070E-001;
1.313965698284914E+007;-2.090456133628666E-001;
1.328916445822291E+007;-2.070538583185218E-001;
1.343867193359668E+007;-1.280860115019114E-001;
1.358817940897045E+007;-1.759935132085138E-001;
1.373768688434422E+007;-2.629225276390119E-001;
1.388719435971799E+007;-2.195020619043367E-001;
1.403670183509176E+007;-2.594044178414607E-001;
1.418620931046552E+007;-2.863089681154863E-001;
1.433571678583929E+007;-2.511629117706875E-001;
1.448522426121306E+007;-2.857240758140268E-001;
1.463473173658683E+007;-2.646917002410607E-001;
1.478423921196060E+007;-3.248315840493294E-001;
1.493374668733437E+007;-2.801334661767403E-001;
1.508325416270814E+007;-3.618617091350949E-001;
1.523276163808191E+007;-2.877606487506270E-001;
1.538226911345567E+007;-3.292538422932917E-001;
1.553177658882944E+007;-3.629281964070757E-001;
1.568128406420321E+007;-3.275132018049249E-001;
1.583079153957698E+007;-4.035779563217410E-001;
1.598029901495075E+007;-3.611326837719789E-001;
1.612980649032452E+007;-3.304773538512907E-001;
1.627931396569829E+007;-3.784289980410753E-001;
1.642882144107205E+007;-3.820966351328389E-001;
1.657832891644582E+007;-3.350526721020523E-001;
1.672783639181959E+007;-3.753831964775812E-001;
1.687734386719336E+007;-3.145178085622391E-001;
1.702685134256713E+007;-3.232360994601337E-001;
1.717635881794090E+007;-4.589295566164573E-001;
1.732586629331467E+007;-4.395978493003676E-001;
1.747537376868843E+007;-4.138049395497530E-001;
1.762488124406220E+007;-4.144115257514200E-001;
1.777438871943597E+007;-4.113822381122138E-001;
1.792389619480974E+007;-4.475234294810475E-001;
1.807340367018351E+007;-4.226238705344527E-001;
1.822291114555728E+007;-4.359962676617777E-001;
1.837241862093104E+007;-4.456165972124585E-001;
1.852192609630482E+007;-4.630765406564375E-001;
1.867143357167859E+007;-4.779980149668372E-001;
1.882094104705235E+007;-4.053696304913265E-001;
1.897044852242612E+007;-5.240799172791851E-001;
1.911995599779989E+007;-4.582052958508158E-001;
1.926946347317366E+007;-4.839916924909000E-001;
1.941897094854743E+007;-5.017370753611925E-001;
1.956847842392120E+007;-5.242274496308920E-001;
1.971798589929497E+007;-5.329319322260910E-001;
1.986749337466873E+007;-5.372092453040329E-001;
2.001700085004250E+007;-5.276838231429618E-001;
2.016650832541627E+007;-5.345975369342274E-001;
2.031601580079004E+007;-5.329024242460385E-001;
2.046552327616381E+007;-5.789663726027383E-001;
2.061503075153758E+007;-5.472987339895448E-001;
2.076453822691134E+007;-5.473644226076563E-001;
2.091404570228512E+007;-5.827130571430953E-001;
2.106355317765888E+007;-5.854548342430880E-001;
2.121306065303265E+007;-5.931611161819844E-001;
2.136256812840642E+007;-6.157035537417717E-001;
2.151207560378019E+007;-5.641289017963487E-001;
2.166158307915396E+007;-6.169184341129823E-001;
2.181109055452773E+007;-6.711850834714843E-001;
2.196059802990150E+007;-6.203620365159818E-001;
2.211010550527526E+007;-6.281502450829118E-001;
2.225961298064903E+007;-5.897456673677665E-001;
2.240912045602280E+007;-5.936284901450535E-001;
2.255862793139657E+007;-6.410124357307785E-001;
2.270813540677034E+007;-6.290639590707988E-001;
2.285764288214411E+007;-5.966409590127684E-001;
2.300715035751788E+007;-6.067924329514464E-001;
2.315665783289164E+007;-6.351285155908949E-001;
2.330616530826541E+007;-6.538127337431935E-001;
2.345567278363918E+007;-6.625117332195544E-001;
2.360518025901295E+007;-6.200415466863367E-001;
2.375468773438672E+007;-6.763363467834457E-001;
2.390419520976049E+007;-6.591543836734025E-001;
2.405370268513425E+007;-6.792449739672014E-001;
2.420321016050803E+007;-7.211157435730510E-001;
2.435271763588179E+007;-6.868815397500525E-001;
2.450222511125556E+007;-7.056355771027747E-001;
2.465173258662933E+007;-7.036631763442964E-001;
2.480124006200310E+007;-7.614511807541040E-001;
2.495074753737687E+007;-7.235804005276287E-001;
2.510025501275064E+007;-7.228266138929586E-001;
2.524976248812441E+007;-7.210985904918987E-001;
2.539926996349818E+007;-7.519128575553160E-001;
2.554877743887194E+007;-7.485837266406376E-001;
2.569828491424571E+007;-7.541327427690162E-001;
2.584779238961948E+007;-7.582913839952981E-001;
2.599729986499325E+007;-7.288851723650963E-001;
2.614680734036702E+007;-7.876372979811358E-001;
2.629631481574079E+007;-8.085121689791095E-001;
2.644582229111455E+007;-8.059609344156715E-001;
2.659532976648833E+007;-7.888606935241793E-001;
2.674483724186209E+007;-8.203195474913266E-001;
2.689434471723586E+007;-8.178581976381008E-001;
2.704385219260963E+007;-8.043364932333144E-001;
2.719335966798340E+007;-7.983075812855786E-001;
2.734286714335717E+007;-8.050686670242723E-001;
2.749237461873094E+007;-8.164753940778962E-001;
2.764188209410470E+007;-8.415342844643430E-001;
2.779138956947848E+007;-8.078234738348401E-001;
2.794089704485224E+007;-8.312890766471262E-001;
2.809040452022601E+007;-8.571672297930666E-001;
2.823991199559978E+007;-8.703718059252135E-001;
2.838941947097355E+007;-8.884129873668657E-001;
2.853892694634732E+007;-8.763379650710655E-001;
2.868843442172109E+007;-9.025665329032743E-001;
2.883794189709485E+007;-8.443732005251383E-001;
2.898744937246862E+007;-8.833247594537050E-001;
2.913695684784239E+007;-8.901828924095329E-001;
2.928646432321616E+007;-8.922199274026230E-001;
2.943597179858993E+007;-8.797487729144622E-001;
2.958547927396370E+007;-9.367287897026301E-001;
2.973498674933747E+007;-8.576039037522596E-001;
2.988449422471124E+007;-8.848781048627420E-001;
3.003400170008500E+007;-9.055699379549086E-001;
3.018350917545877E+007;-9.077414871155199E-001;
3.033301665083254E+007;-9.370729721900202E-001;
3.048252412620631E+007;-9.190188077373080E-001;
3.063203160158008E+007;-8.988717202152352E-001;
3.078153907695385E+007;-9.327681394311256E-001;
3.093104655232761E+007;-9.221011107761873E-001;
3.108055402770139E+007;-9.431782030497040E-001;
3.123006150307515E+007;-9.405654138376934E-001;
3.137956897844892E+007;-9.320255149562123E-001;
3.152907645382269E+007;-9.796371263493682E-001;
3.167858392919646E+007;-9.390222836055879E-001;
3.182809140457023E+007;-9.570478177174937E-001;
3.197759887994400E+007;-9.501369727868833E-001;
3.212710635531776E+007;-9.773821656784668E-001;
3.227661383069154E+007;-9.834274361727631E-001;
3.242612130606530E+007;-9.921062858257363E-001;
3.257562878143907E+007;-9.911155916601936E-001;
3.272513625681284E+007;-9.860891586502585E-001;
3.287464373218661E+007;-9.810899374515412E-001;
3.302415120756038E+007;-9.730786717140595E-001;
3.317365868293415E+007;-1.005441168408757E+000;
3.332316615830791E+007;-1.018640103882143E+000;
3.347267363368169E+007;-1.012537833135272E+000;
3.362218110905545E+007;-9.973723357418678E-001;
3.377168858442922E+007;-9.714166134662169E-001;
3.392119605980299E+007;-9.941427434348146E-001;
3.407070353517675E+007;-1.051712552269131E+000;
3.422021101055053E+007;-1.051403440510963E+000;
3.436971848592430E+007;-1.053595456859676E+000;
3.451922596129806E+007;-1.054781228587594E+000;
3.466873343667184E+007;-1.051645196287927E+000;
3.481824091204560E+007;-1.037163401169813E+000;
3.496774838741937E+007;-1.035686484075512E+000;
3.511725586279314E+007;-1.061758098791397E+000;
3.526676333816691E+007;-1.037654887287409E+000;
3.541627081354068E+007;-1.082298769260055E+000;
