# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-9.237673890246033E-002;
1.014950747537377E+007;1.792735093307285E-001;
1.029901495074754E+007;-2.394502253596963E-002;
1.044852242612131E+007;3.888660309304447E-002;
1.059802990149508E+007;-1.159102572267936E-001;
1.074753737686884E+007;-1.032860232628248E-001;
1.089704485224261E+007;-9.207044933363670E-002;
1.104655232761638E+007;-1.070993662171026E-001;
1.119605980299015E+007;-1.835897853782588E-001;
1.134556727836392E+007;-2.158334203043594E-001;
1.149507475373769E+007;-1.900290230089487E-001;
1.164458222911146E+007;-1.683426407718115E-001;
1.179408970448523E+007;-1.946735509788608E-001;
1.194359717985899E+007;-2.324722784172484E-001;
1.209310465523276E+007;-1.888381181292238E-001;
1.224261213060653E+007;-2.179334109396918E-001;
1.239211960598030E+007;-1.261201581526804E-001;
1.254162708135407E+007;-2.215811870218898E-001;
1.269113455672784E+007;-2.351309146946455E-001;
1.284064203210161E+007;-2.743732949800385E-001;
1.299014950747537E+007;-1.651533908873637E-001;
1.313965698284914E+007;-2.703020840742427E-001;
1.328916445822291E+007;-2.740369882154066E-001;
1.343867193359668E+007;-2.371140693021458E-001;
1.358817940897045E+007;-2.191331973273615E-001;
1.373768688434422E+007;-2.937460375721921E-001;
1.388719435971799E+007;-2.460528311609547E-001;
1.403670183509176E+007;-2.995730369231681E-001;
1.418620931046552E+007;-2.952696967900759E-001;
1.433571678583929E+007;-2.677188414696594E-001;
1.448522426121306E+007;-2.990303877344444E-001;
1.463473173658683E+007;-2.833460159308177E-001;
1.478423921196060E+007;-3.083053156557347E-001;
1.493374668733437E+007;-3.508889153717265E-001;
1.508325416270814E+007;-3.056557695297225E-001;
1.523276163808191E+007;-3.078091382521447E-001;
1.538226911345567E+007;-3.029011573076886E-001;
1.553177658882944E+007;-2.779031435506230E-001;
1.568128406420321E+007;-2.866813647039838E-001;
1.583079153957698E+007;-3.031063720592896E-001;
1.598029901495075E+007;-3.477668185089004E-001;
1.612980649032452E+007;-3.626690166304269E-001;
1.627931396569829E+007;-3.444693390260045E-001;
1.642882144107205E+007;-3.562920464811252E-001;
1.657832891644582E+007;-3.270230877651777E-001;
1.672783639181959E+007;-3.802155504318235E-001;
1.687734386719336E+007;-3.481154507843048E-001;
1.702685134256713E+007;-3.759644409807498E-001;
1.717635881794090E+007;-4.193939710292473E-001;
1.732586629331467E+007;-3.914028804490304E-001;
1.747537376868843E+007;-4.103206306994220E-001;
1.762488124406220E+007;-3.887816912089298E-001;
1.777438871943597E+007;-4.207515024144198E-001;
1.792389619480974E+007;-3.961028070223442E-001;
1.807340367018351E+007;-4.588327344709675E-001;
1.822291114555728E+007;-4.945283286690882E-001;
1.837241862093104E+007;-4.910632765184999E-001;
1.852192609630482E+007;-4.810971296715821E-001;
1.867143357167859E+007;-4.457775028228434E-001;
1.882094104705235E+007;-4.546198826561188E-001;
1.897044852242612E+007;-4.705852598416501E-001;
1.911995599779989E+007;-5.142399372482227E-001;
1.926946347317366E+007;-4.922718831112065E-001;
1.941897094854743E+007;-4.873629631619953E-001;
1.956847842392120E+007;-4.633651851032663E-001;
1.971798589929497E+007;-4.768424033631366E-001;
1.986749337466873E+007;-4.789957209320689E-001;
2.001700085004250E+007;-5.257035106361344E-001;
2.016650832541627E+007;-5.580977823724630E-001;
2.031601580079004E+007;-5.773892247939232E-001;
2.046552327616381E+007;-5.345806560107684E-001;
2.061503075153758E+007;-5.637251901849107E-001;
2.076453822691134E+007;-5.895992842583203E-001;
2.091404570228512E+007;-5.634755305512398E-001;
2.106355317765888E+007;-5.532166900681199E-001;
2.121306065303265E+007;-5.277149493673112E-001;
2.136256812840642E+007;-5.763677639917301E-001;
2.151207560378019E+007;-6.078947575020971E-001;
2.166158307915396E+007;-6.152104147511643E-001;
2.181109055452773E+007;-6.088668803477346E-001;
2.196059802990150E+007;-6.170543837420895E-001;
2.211010550527526E+007;-5.973886662522232E-001;
2.225961298064903E+007;-6.223998888960901E-001;
2.240912045602280E+007;-6.809169462515446E-001;
2.255862793139657E+007;-6.066908002555320E-001;
2.270813540677034E+007;-6.553080077679361E-001;
2.285764288214411E+007;-5.955665226189235E-001;
2.300715035751788E+007;-6.543620824924670E-001;
2.315665783289164E+007;-6.523971554746118E-001;
2.330616530826541E+007;-6.797679560699491E-001;
2.345567278363918E+007;-6.530674096870254E-001;
2.360518025901295E+007;-6.782493687308143E-001;
2.375468773438672E+007;-7.098732021123144E-001;
2.390419520976049E+007;-6.937491252191566E-001;
2.405370268513425E+007;-7.152492181684653E-001;
2.420321016050803E+007;-7.358000735937306E-001;
2.435271763588179E+007;-7.056053727423097E-001;
2.450222511125556E+007;-6.589135390018902E-001;
2.465173258662933E+007;-7.241518078664859E-001;
2.480124006200310E+007;-7.185501468692135E-001;
2.495074753737687E+007;-7.440457267437382E-001;
2.510025501275064E+007;-6.864865907751573E-001;
2.524976248812441E+007;-7.154646080249832E-001;
2.539926996349818E+007;-7.768917357220744E-001;
2.554877743887194E+007;-7.277504902027855E-001;
2.569828491424571E+007;-7.576121838565538E-001;
2.584779238961948E+007;-7.567403124231018E-001;
2.599729986499325E+007;-7.973861902082720E-001;
2.614680734036702E+007;-7.921768856994220E-001;
2.629631481574079E+007;-7.804268870985616E-001;
2.644582229111455E+007;-7.949114548901572E-001;
2.659532976648833E+007;-8.226280883695172E-001;
2.674483724186209E+007;-8.299129476163046E-001;
2.689434471723586E+007;-7.977162589714187E-001;
2.704385219260963E+007;-8.435061935790932E-001;
2.719335966798340E+007;-8.072816161736396E-001;
2.734286714335717E+007;-8.204957727901300E-001;
2.749237461873094E+007;-8.421974702858597E-001;
2.764188209410470E+007;-8.187171771304699E-001;
2.779138956947848E+007;-8.127061156858437E-001;
2.794089704485224E+007;-8.751350719213553E-001;
2.809040452022601E+007;-8.279724847996663E-001;
2.823991199559978E+007;-8.871460494296894E-001;
2.838941947097355E+007;-8.599462669152982E-001;
2.853892694634732E+007;-8.583125294977101E-001;
2.868843442172109E+007;-8.470823806007962E-001;
2.883794189709485E+007;-8.572409913263517E-001;
2.898744937246862E+007;-8.852699835931813E-001;
2.913695684784239E+007;-8.912705014053488E-001;
2.928646432321616E+007;-8.529910179339355E-001;
2.943597179858993E+007;-8.937114343156359E-001;
2.958547927396370E+007;-8.864876735547954E-001;
2.973498674933747E+007;-9.317029245673454E-001;
2.988449422471124E+007;-9.208061309964598E-001;
3.003400170008500E+007;-8.994996577801449E-001;
3.018350917545877E+007;-9.182698357168281E-001;
3.033301665083254E+007;-9.325675552906040E-001;
3.048252412620631E+007;-9.555883172281637E-001;
3.063203160158008E+007;-9.092798795463100E-001;
3.078153907695385E+007;-9.266648460158121E-001;
3.093104655232761E+007;-9.551076150125616E-001;
3.108055402770139E+007;-9.221362482618851E-001;
3.123006150307515E+007;-9.355147526656268E-001;
3.137956897844892E+007;-9.271505521685041E-001;
3.152907645382269E+007;-9.085733758531230E-001;
3.167858392919646E+007;-9.328177973333033E-001;
3.182809140457023E+007;-9.422639790941930E-001;
3.197759887994400E+007;-9.819174446749576E-001;
3.212710635531776E+007;-9.747139606870050E-001;
3.227661383069154E+007;-9.449010941075764E-001;
3.242612130606530E+007;-9.693632331995640E-001;
3.257562878143907E+007;-9.631458441941438E-001;
3.272513625681284E+007;-9.845958414529783E-001;
3.287464373218661E+007;-9.953986624583044E-001;
3.302415120756038E+007;-1.003419632493529E+000;
3.317365868293415E+007;-9.757457467297386E-001;
3.332316615830791E+007;-9.775878705318506E-001;
3.347267363368169E+007;-9.919577460583745E-001;
3.362218110905545E+007;-9.842837749410034E-001;
3.377168858442922E+007;-1.010365851730334E+000;
3.392119605980299E+007;-1.011564507822767E+000;
3.407070353517675E+007;-1.020455413620592E+000;
3.422021101055053E+007;-1.087453425646312E+000;
3.436971848592430E+007;-1.083178802558181E+000;
3.451922596129806E+007;-1.038383699222357E+000;
3.466873343667184E+007;-1.085588785455063E+000;
3.481824091204560E+007;-1.044606331307779E+000;
3.496774838741937E+007;-1.077940978265704E+000;
3.511725586279314E+007;-1.051954794846893E+000;
3.526676333816691E+007;-1.071434579165118E+000;
3.541627081354068E+007;-1.057915272223808E+000;
3.556577828891444E+007;-1.051062080137912E+000;
3.571528576428822E+007;-1.037847803111332E+000;
3.586479323966198E+007;-1.074169341857913E+000;
3.601430071503575E+007;-1.283076937367277E+000;
3.616380819040952E+007;-1.270707426791075E+000;
3.631331566578329E+007;-1.235561045134571E+000;
3.646282314115706E+007;-1.233854038331097E+000;
3.661233061653082E+007;-1.229146024242724E+000;
3.676183809190460E+007;-1.259469593029861E+000;
3.691134556727836E+007;-1.232700229737415E+000;
3.706085304265213E+007;-1.234543063096564E+000;
3.721036051802591E+007;-1.226179522760971E+000;
3.735986799339967E+007;-1.222963623906536E+000;
3.750937546877344E+007;-1.208191166272070E+000;
3.765888294414721E+007;-1.172289549341133E+000;
3.780839041952097E+007;-1.198107806757130E+000;
3.795789789489475E+007;-1.203152964954573E+000;
3.810740537026851E+007;-1.213578353592503E+000;
3.825691284564228E+007;-1.206933369112577E+000;
3.840642032101605E+007;-1.217637038209963E+000;
3.855592779638982E+007;-1.199589952621567E+000;
3.870543527176359E+007;-1.189859767979643E+000;
3.885494274713735E+007;-1.161299120615037E+000;
3.900445022251113E+007;-1.190541375948830E+000;
3.915395769788490E+007;-1.171212805790788E+000;
3.930346517325866E+007;-1.149884035554858E+000;
3.945297264863243E+007;-1.177247465130828E+000;
3.960248012400620E+007;-1.173320828100344E+000;
3.975198759937997E+007;-1.165246836535413E+000;
3.990149507475373E+007;-1.169485354940740E+000;
4.005100255012751E+007;-1.141636348664437E+000;
4.020051002550127E+007;-1.156821302366690E+000;
4.035001750087504E+007;-1.131914653384773E+000;
4.049952497624882E+007;-1.153169962179660E+000;
4.064903245162258E+007;-1.153475324187032E+000;
4.079853992699635E+007;-1.154633316220732E+000;
4.094804740237012E+007;-1.129813408051070E+000;
4.109755487774389E+007;-1.160439414341540E+000;
4.124706235311766E+007;-1.154287372235097E+000;
4.139656982849142E+007;-1.162853284808577E+000;
4.154607730386519E+007;-1.117535369805665E+000;
4.169558477923896E+007;-1.128047052137022E+000;
4.184509225461273E+007;-1.132658407279657E+000;
4.199459972998650E+007;-1.121907202752034E+000;
4.214410720536026E+007;-1.129042328902660E+000;
4.229361468073404E+007;-1.113497862578242E+000;
4.244312215610781E+007;-1.122517215752043E+000;
4.259262963148157E+007;-1.109845628890630E+000;
4.274213710685534E+007;-1.094716105185756E+000;
4.289164458222911E+007;-1.127236486740133E+000;
4.304115205760288E+007;-1.116280977625875E+000;
4.319065953297665E+007;-1.133305055580186E+000;
4.334016700835042E+007;-1.108477482286359E+000;
4.348967448372418E+007;-1.117405952937451E+000;
4.363918195909795E+007;-1.113002396243519E+000;
4.378868943447172E+007;-1.099962873423463E+000;
4.393819690984549E+007;-1.122367721440454E+000;
4.408770438521926E+007;-1.107534404942522E+000;
4.423721186059303E+007;-1.093373368311017E+000;
4.438671933596680E+007;-1.098375843582163E+000;
4.453622681134056E+007;-1.107625514900411E+000;
4.468573428671434E+007;-1.107173674564349E+000;
4.483524176208811E+007;-1.106170391179190E+000;
4.498474923746187E+007;-1.103706367379562E+000;
4.513425671283564E+007;-1.107743870676710E+000;
4.528376418820941E+007;-1.112473405198331E+000;
4.543327166358318E+007;-1.122177872598545E+000;
4.558277913895695E+007;-1.104500503465266E+000;
4.573228661433072E+007;-1.098201068131077E+000;
4.588179408970448E+007;-1.110120287784016E+000;
4.603130156507825E+007;-1.089576427574295E+000;
4.618080904045202E+007;-1.099204398429143E+000;
4.633031651582579E+007;-1.110721412886900E+000;
4.647982399119956E+007;-1.104579092688965E+000;
4.662933146657333E+007;-1.105524739123972E+000;
4.677883894194710E+007;-1.118405242348803E+000;
