# Version 1.00
#
freq[Hz];Trc2_S11[°];
1.000000000000000E+007;-7.502384454487299E+001;
1.014950747537377E+007;-7.509133697988487E+001;
1.029901495074754E+007;-7.692321050993024E+001;
1.044852242612131E+007;-7.808026876306651E+001;
1.059802990149508E+007;-7.896272898446340E+001;
1.074753737686884E+007;-8.074656038177895E+001;
1.089704485224261E+007;-8.194907104297118E+001;
1.104655232761638E+007;-8.332200140321068E+001;
1.119605980299015E+007;-8.391448192159471E+001;
1.134556727836392E+007;-8.534039301647736E+001;
1.149507475373769E+007;-8.652251606293507E+001;
1.164458222911146E+007;-8.734323108204616E+001;
1.179408970448523E+007;-8.881042324741189E+001;
1.194359717985899E+007;-8.986822142566882E+001;
1.209310465523276E+007;-9.052768121377311E+001;
1.224261213060653E+007;-9.206836784296516E+001;
1.239211960598030E+007;-9.321392696688933E+001;
1.254162708135407E+007;-9.391319810095638E+001;
1.269113455672784E+007;-9.560908479137939E+001;
1.284064203210161E+007;-9.653768097926978E+001;
1.299014950747537E+007;-9.786081149851069E+001;
1.313965698284914E+007;-9.905744076595775E+001;
1.328916445822291E+007;-9.975119069658196E+001;
1.343867193359668E+007;-1.010485502589041E+002;
1.358817940897045E+007;-1.024578415024083E+002;
1.373768688434422E+007;-1.036313570262411E+002;
1.388719435971799E+007;-1.048470079081545E+002;
1.403670183509176E+007;-1.059896558116953E+002;
1.418620931046552E+007;-1.069307660458101E+002;
1.433571678583929E+007;-1.078129523461086E+002;
1.448522426121306E+007;-1.095091866029881E+002;
1.463473173658683E+007;-1.099420135863121E+002;
1.478423921196060E+007;-1.115823622778051E+002;
1.493374668733437E+007;-1.125144585815583E+002;
1.508325416270814E+007;-1.137253773961974E+002;
1.523276163808191E+007;-1.153472248026368E+002;
1.538226911345567E+007;-1.163265939470091E+002;
1.553177658882944E+007;-1.172511711654794E+002;
1.568128406420321E+007;-1.183756703230831E+002;
1.583079153957698E+007;-1.197427484792389E+002;
1.598029901495075E+007;-1.209318368100870E+002;
1.612980649032452E+007;-1.222366884368235E+002;
1.627931396569829E+007;-1.236748345378737E+002;
1.642882144107205E+007;-1.245709321456206E+002;
1.657832891644582E+007;-1.258571103456918E+002;
1.672783639181959E+007;-1.264688481778151E+002;
1.687734386719336E+007;-1.280196915812922E+002;
1.702685134256713E+007;-1.291461504008842E+002;
1.717635881794090E+007;-1.300681017830292E+002;
1.732586629331467E+007;-1.313041557622862E+002;
1.747537376868843E+007;-1.324247541449576E+002;
1.762488124406220E+007;-1.338596090536595E+002;
1.777438871943597E+007;-1.347022999703904E+002;
1.792389619480974E+007;-1.361580142772310E+002;
1.807340367018351E+007;-1.374432746978777E+002;
1.822291114555728E+007;-1.381305584817598E+002;
1.837241862093104E+007;-1.395758635127105E+002;
1.852192609630482E+007;-1.409336964273611E+002;
1.867143357167859E+007;-1.420672583503106E+002;
1.882094104705235E+007;-1.427780216083430E+002;
1.897044852242612E+007;-1.440862443463318E+002;
1.911995599779989E+007;-1.456283962680734E+002;
1.926946347317366E+007;-1.463069888550824E+002;
1.941897094854743E+007;-1.481689069384364E+002;
1.956847842392120E+007;-1.490964575319946E+002;
1.971798589929497E+007;-1.500190483505990E+002;
1.986749337466873E+007;-1.512239043568807E+002;
2.001700085004250E+007;-1.524487168974575E+002;
2.016650832541627E+007;-1.537008392356046E+002;
2.031601580079004E+007;-1.547330882530252E+002;
2.046552327616381E+007;-1.561199593238464E+002;
2.061503075153758E+007;-1.571315102322202E+002;
2.076453822691134E+007;-1.584183261071154E+002;
2.091404570228512E+007;-1.595884612479557E+002;
2.106355317765888E+007;-1.609402121392750E+002;
2.121306065303265E+007;-1.617183429271944E+002;
2.136256812840642E+007;-1.629942204337643E+002;
2.151207560378019E+007;-1.639822003001752E+002;
2.166158307915396E+007;-1.652632081860806E+002;
2.181109055452773E+007;-1.665647901263173E+002;
2.196059802990150E+007;-1.675356804628480E+002;
2.211010550527526E+007;-1.688182277203065E+002;
2.225961298064903E+007;-1.701933518536801E+002;
2.240912045602280E+007;-1.711675753218889E+002;
2.255862793139657E+007;-1.724940324508382E+002;
2.270813540677034E+007;-1.736316021671767E+002;
2.285764288214411E+007;-1.746887396391255E+002;
2.300715035751788E+007;-1.758431669078834E+002;
2.315665783289164E+007;-1.769250517776218E+002;
2.330616530826541E+007;-1.781949843756673E+002;
2.345567278363918E+007;-1.793065429415150E+002;
2.360518025901295E+007;-1.803684913530884E+002;
2.375468773438672E+007;-1.818413707699339E+002;
2.390419520976049E+007;-1.828127556472832E+002;
2.405370268513425E+007;-1.841318042827614E+002;
2.420321016050803E+007;-1.854484344643522E+002;
2.435271763588179E+007;-1.864650162212636E+002;
2.450222511125556E+007;-1.875194611820174E+002;
2.465173258662933E+007;-1.887230646546812E+002;
2.480124006200310E+007;-1.897154319307949E+002;
2.495074753737687E+007;-1.910482790298909E+002;
2.510025501275064E+007;-1.921215420678418E+002;
2.524976248812441E+007;-1.931922998155157E+002;
2.539926996349818E+007;-1.945823301337640E+002;
2.554877743887194E+007;-1.955777902271511E+002;
2.569828491424571E+007;-1.970235305648626E+002;
2.584779238961948E+007;-1.980562110689731E+002;
2.599729986499325E+007;-1.992806210462967E+002;
2.614680734036702E+007;-2.001877837646324E+002;
2.629631481574079E+007;-2.016498042739644E+002;
2.644582229111455E+007;-2.025702499901158E+002;
2.659532976648833E+007;-2.040875104467756E+002;
2.674483724186209E+007;-2.049233953972050E+002;
2.689434471723586E+007;-2.060282991326568E+002;
2.704385219260963E+007;-2.071349286523702E+002;
2.719335966798340E+007;-2.085177381887153E+002;
